tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Polish Open Spala 2018,2018-03-14,LIM Jonghoon,HRIBAR Peter,3,0,"11,11,11|8,4,8",R32,OLYMPICS,U21MS,882,Main Draw,LIM Jonghoon (KOR),HRIBAR Peter (SLO),LIM Jonghoon
ITTF Challenge Polish Open Spala 2018,2018-03-14,MENAND Remi,NIKULIN Ivan,3,0,"12,11,11|10,7,7",R32,OLYMPICS,U21MS,882,Main Draw,MENAND Remi (FRA),NIKULIN Ivan (RUS),MENAND Remi
ITTF Challenge Polish Open Spala 2018,2018-03-14,MARTINKO Jiri,GIVONE Nolan,3,2,"11,11,7,9,11|8,2,11,11,7",R32,OLYMPICS,U21MS,882,Main Draw,MARTINKO Jiri (CZE),GIVONE Nolan (FRA),MARTINKO Jiri
ITTF Challenge Polish Open Spala 2018,2018-03-14,BADOWSKI Marek,DEVOS Laurens,3,0,"11,11,13|4,7,11",R32,OLYMPICS,U21MS,882,Main Draw,DEVOS Laurens (BEL),BADOWSKI Marek (POL),BADOWSKI Marek
ITTF Challenge Polish Open Spala 2018,2018-03-14,TOGAMI Shunsuke,ZANDECKI Jan,3,0,"11,11,11|3,9,9",R32,OLYMPICS,U21MS,882,Main Draw,TOGAMI Shunsuke (JPN),ZANDECKI Jan (POL),TOGAMI Shunsuke
ITTF Challenge Polish Open Spala 2018,2018-03-14,CHO Daeseong,ROLLAND Jules,3,1,"11,9,13,12|9,11,11,10",R32,OLYMPICS,U21MS,882,Main Draw,ROLLAND Jules (FRA),CHO Daeseong (KOR),CHO Daeseong
ITTF Challenge Polish Open Spala 2018,2018-03-14,UDA Yukiya,CHEN Chun-Hsiang,3,0,"11,11,11|4,5,4",R32,OLYMPICS,U21MS,882,Main Draw,UDA Yukiya (JPN),CHEN Chun-Hsiang (TPE),UDA Yukiya
ITTF Challenge Polish Open Spala 2018,2018-03-14,KHANIN Aleksandr,MIYAMOTO Haruki,3,1,"11,12,11,11|4,14,5,8",R32,OLYMPICS,U21MS,882,Main Draw,MIYAMOTO Haruki (JPN),KHANIN Aleksandr (BLR),KHANIN Aleksandr
ITTF Challenge Polish Open Spala 2018,2018-03-14,TAKAMI Masaki,ABUSEV Artur,3,0,"11,11,11|8,6,1",R32,OLYMPICS,U21MS,882,Main Draw,TAKAMI Masaki (JPN),ABUSEV Artur (RUS),TAKAMI Masaki
ITTF Challenge Polish Open Spala 2018,2018-03-14,YIGENLER Abdullah,DILLING Andreas,3,1,"11,11,8,11|7,8,11,9",R32,OLYMPICS,U21MS,882,Main Draw,DILLING Andreas (DEN),YIGENLER Abdullah (TUR),YIGENLER Abdullah
ITTF Challenge Polish Open Spala 2018,2018-03-14,KANAMITSU Koyo,KOSOLOSKY Olav,3,1,"11,8,11,11|6,11,5,9",R32,OLYMPICS,U21MS,882,Main Draw,KANAMITSU Koyo (JPN),KOSOLOSKY Olav (BEL),KANAMITSU Koyo
ITTF Challenge Polish Open Spala 2018,2018-03-14,CHEN Shuainan,GUNDUZ Ibrahim,3,1,"11,11,7,11|8,5,11,8",R32,OLYMPICS,U21MS,882,Main Draw,CHEN Shuainan (ITA),GUNDUZ Ibrahim (TUR),CHEN Shuainan
ITTF Challenge Polish Open Spala 2018,2018-03-14,SPANIK Tibor,ZATOWKA Patryk,3,1,"11,9,11,11|6,11,7,7",R32,OLYMPICS,U21MS,882,Main Draw,ZATOWKA Patryk (POL),SPANIK Tibor (SVK),SPANIK Tibor
ITTF Challenge Polish Open Spala 2018,2018-03-14,TANAKA Yuta,KOTOWSKI Tomasz,3,0,"11,11,11|7,8,8",R32,OLYMPICS,U21MS,882,Main Draw,KOTOWSKI Tomasz (POL),TANAKA Yuta (JPN),TANAKA Yuta
ITTF Challenge Polish Open Spala 2018,2018-03-14,KULCZYCKI Samuel,SIDORENKO Vladimir,3,1,"11,3,11,11|8,11,9,8",R32,OLYMPICS,U21MS,882,Main Draw,SIDORENKO Vladimir (RUS),KULCZYCKI Samuel (POL),KULCZYCKI Samuel
ITTF Challenge Polish Open Spala 2018,2018-03-14,LEVENKO Andreas,KUBIK Maciej,3,1,"11,9,11,11|5,11,3,6",R32,OLYMPICS,U21MS,882,Main Draw,KUBIK Maciej (POL),LEVENKO Andreas (AUT),LEVENKO Andreas
ITTF Challenge Polish Open Spala 2018,2018-03-14,MENAND Remi,LIM Jonghoon,3,1,"13,7,11,11|11,11,4,8",R16,OLYMPICS,U21MS,882,Main Draw,LIM Jonghoon (KOR),MENAND Remi (FRA),MENAND Remi
ITTF Challenge Polish Open Spala 2018,2018-03-14,BADOWSKI Marek,MARTINKO Jiri,3,0,"13,11,11|11,7,3",R16,OLYMPICS,U21MS,882,Main Draw,MARTINKO Jiri (CZE),BADOWSKI Marek (POL),BADOWSKI Marek
ITTF Challenge Polish Open Spala 2018,2018-03-14,TOGAMI Shunsuke,CHO Daeseong,3,2,"11,9,9,11,11|5,11,11,5,8",R16,OLYMPICS,U21MS,882,Main Draw,TOGAMI Shunsuke (JPN),CHO Daeseong (KOR),TOGAMI Shunsuke
ITTF Challenge Polish Open Spala 2018,2018-03-14,KHANIN Aleksandr,UDA Yukiya,3,2,"8,14,12,12,15|11,12,10,14,13",R16,OLYMPICS,U21MS,882,Main Draw,UDA Yukiya (JPN),KHANIN Aleksandr (BLR),KHANIN Aleksandr
ITTF Challenge Polish Open Spala 2018,2018-03-14,TAKAMI Masaki,YIGENLER Abdullah,3,0,"11,11,11|7,3,5",R16,OLYMPICS,U21MS,882,Main Draw,TAKAMI Masaki (JPN),YIGENLER Abdullah (TUR),TAKAMI Masaki
ITTF Challenge Polish Open Spala 2018,2018-03-14,KANAMITSU Koyo,CHEN Shuainan,3,1,"11,11,2,12|5,9,11,10",R16,OLYMPICS,U21MS,882,Main Draw,KANAMITSU Koyo (JPN),CHEN Shuainan (ITA),KANAMITSU Koyo
ITTF Challenge Polish Open Spala 2018,2018-03-14,SPANIK Tibor,TANAKA Yuta,3,2,"11,11,8,3,13|7,9,11,11,11",R16,OLYMPICS,U21MS,882,Main Draw,SPANIK Tibor (SVK),TANAKA Yuta (JPN),SPANIK Tibor
ITTF Challenge Polish Open Spala 2018,2018-03-14,LEVENKO Andreas,KULCZYCKI Samuel,3,1,"11,11,5,11|8,7,11,5",R16,OLYMPICS,U21MS,882,Main Draw,KULCZYCKI Samuel (POL),LEVENKO Andreas (AUT),LEVENKO Andreas
ITTF Challenge Polish Open Spala 2018,2018-03-14,BADOWSKI Marek,MENAND Remi,3,0,"11,11,11|5,9,9",QF,OLYMPICS,U21MS,882,Main Draw,MENAND Remi (FRA),BADOWSKI Marek (POL),BADOWSKI Marek
ITTF Challenge Polish Open Spala 2018,2018-03-14,KHANIN Aleksandr,TOGAMI Shunsuke,3,0,"11,11,11|9,7,8",QF,OLYMPICS,U21MS,882,Main Draw,TOGAMI Shunsuke (JPN),KHANIN Aleksandr (BLR),KHANIN Aleksandr
ITTF Challenge Polish Open Spala 2018,2018-03-14,KANAMITSU Koyo,TAKAMI Masaki,3,0,"11,11,11|6,3,6",QF,OLYMPICS,U21MS,882,Main Draw,TAKAMI Masaki (JPN),KANAMITSU Koyo (JPN),KANAMITSU Koyo
ITTF Challenge Polish Open Spala 2018,2018-03-14,LEVENKO Andreas,SPANIK Tibor,3,2,"9,11,9,11,11|11,5,11,3,6",QF,OLYMPICS,U21MS,882,Main Draw,SPANIK Tibor (SVK),LEVENKO Andreas (AUT),LEVENKO Andreas
ITTF Challenge Polish Open Spala 2018,2018-03-14,BADOWSKI Marek,KHANIN Aleksandr,3,2,"1,11,11,9,11|11,5,9,11,6",SF,OLYMPICS,U21MS,882,Main Draw,BADOWSKI Marek (POL),KHANIN Aleksandr (BLR),BADOWSKI Marek
ITTF Challenge Polish Open Spala 2018,2018-03-14,LEVENKO Andreas,KANAMITSU Koyo,3,1,"11,11,5,11|8,5,11,9",SF,OLYMPICS,U21MS,882,Main Draw,KANAMITSU Koyo (JPN),LEVENKO Andreas (AUT),LEVENKO Andreas
ITTF Challenge Polish Open Spala 2018,2018-03-14,BADOWSKI Marek,LEVENKO Andreas,3,2,"11,9,8,11,11|5,11,11,5,5",F,OLYMPICS,U21MS,882,Main Draw,BADOWSKI Marek (POL),LEVENKO Andreas (AUT),BADOWSKI Marek
ITTF Challenge Polish Open Spala 2018,2018-03-14,SHIBATA Saki,CARLSEN Rebekka,3,0,"11,11,11|3,8,3",R32,OLYMPICS,U21WS,882,Main Draw,SHIBATA Saki (JPN),CARLSEN Rebekka (NOR),SHIBATA Saki
ITTF Challenge Polish Open Spala 2018,2018-03-14,CHOI Hyojoo,KOLISH Anastasia,3,0,"11,11,11|8,5,4",R32,OLYMPICS,U21WS,882,Main Draw,KOLISH Anastasia (RUS),CHOI Hyojoo (KOR),CHOI Hyojoo
ITTF Challenge Polish Open Spala 2018,2018-03-14,GUISNEL Oceane,TSAPTSINOS Maria,3,0,"11,11,11|3,9,9",R32,OLYMPICS,U21WS,882,Main Draw,GUISNEL Oceane (FRA),TSAPTSINOS Maria (ENG),GUISNEL Oceane
ITTF Challenge Polish Open Spala 2018,2018-03-14,BAJOR Natalia,FANG Sih-Han,3,2,"6,11,1,11,11|11,9,11,6,4",R32,OLYMPICS,U21WS,882,Main Draw,FANG Sih-Han (TPE),BAJOR Natalia (POL),BAJOR Natalia
ITTF Challenge Polish Open Spala 2018,2018-03-14,ZAHARIA Alina,NIKITCHANKA Alina,3,0,"11,11,11|6,5,3",R32,OLYMPICS,U21WS,882,Main Draw,NIKITCHANKA Alina (BLR),ZAHARIA Alina (ROU),ZAHARIA Alina
ITTF Challenge Polish Open Spala 2018,2018-03-14,HO Tin-Tin,SLAZAK Julia,3,2,"6,13,11,9,11|11,11,9,11,6",R32,OLYMPICS,U21WS,882,Main Draw,SLAZAK Julia (POL),HO Tin-Tin (ENG),HO Tin-Tin
ITTF Challenge Polish Open Spala 2018,2018-03-14,KIM Jiho,MIGOT Marie,3,1,"11,11,10,11|5,6,12,5",R32,OLYMPICS,U21WS,882,Main Draw,MIGOT Marie (FRA),KIM Jiho (KOR),KIM Jiho
ITTF Challenge Polish Open Spala 2018,2018-03-14,HARTBRICH Leonie,LIN Chia-Hsuan,3,2,"12,11,9,6,11|10,6,11,11,6",R32,OLYMPICS,U21WS,882,Main Draw,HARTBRICH Leonie (HUN),LIN Chia-Hsuan (TPE),HARTBRICH Leonie
ITTF Challenge Polish Open Spala 2018,2018-03-14,KUKULKOVA Tatiana,WAN Yuan,3,2,"11,7,11,5,11|8,11,6,11,9",R32,OLYMPICS,U21WS,882,Main Draw,WAN Yuan (GER),KUKULKOVA Tatiana (SVK),KUKULKOVA Tatiana
ITTF Challenge Polish Open Spala 2018,2018-03-14,DRAGOMAN Andreea,CHASSELIN Pauline,3,2,"12,11,11,11,11|14,13,6,3,7",R32,OLYMPICS,U21WS,882,Main Draw,CHASSELIN Pauline (FRA),DRAGOMAN Andreea (ROU),DRAGOMAN Andreea
ITTF Challenge Polish Open Spala 2018,2018-03-14,BOGDANOVA Nadezhda,SHADRINA Daria,3,0,"11,11,11|9,5,1",R32,OLYMPICS,U21WS,882,Main Draw,BOGDANOVA Nadezhda (BLR),SHADRINA Daria (RUS),BOGDANOVA Nadezhda
ITTF Challenge Polish Open Spala 2018,2018-03-14,TAILAKOVA Mariia,SZYMCZAK Julia,3,0,"11,11,11|8,7,2",R32,OLYMPICS,U21WS,882,Main Draw,SZYMCZAK Julia (POL),TAILAKOVA Mariia (RUS),TAILAKOVA Mariia
ITTF Challenge Polish Open Spala 2018,2018-03-14,ZARIF Audrey,KAZANTSEVA Kristina,3,0,"11,11,11|4,6,9",R32,OLYMPICS,U21WS,882,Main Draw,ZARIF Audrey (FRA),KAZANTSEVA Kristina (RUS),ZARIF Audrey
ITTF Challenge Polish Open Spala 2018,2018-03-14,SHIN Yubin,ZHANG Sofia-Xuan,3,0,"11,11,12|6,8,10",R32,OLYMPICS,U21WS,882,Main Draw,ZHANG Sofia-Xuan (ESP),SHIN Yubin (KOR),SHIN Yubin
ITTF Challenge Polish Open Spala 2018,2018-03-14,ODO Satsuki,TRIGOLOS Daria,3,1,"11,11,10,11|3,9,12,9",R32,OLYMPICS,U21WS,882,Main Draw,TRIGOLOS Daria (BLR),ODO Satsuki (JPN),ODO Satsuki
ITTF Challenge Polish Open Spala 2018,2018-03-14,WEGRZYN Katarzyna,KIHARA Miyuu,3,1,"4,11,11,11|11,9,9,5",R32,OLYMPICS,U21WS,882,Main Draw,WEGRZYN Katarzyna (POL),KIHARA Miyuu (JPN),WEGRZYN Katarzyna
ITTF Challenge Polish Open Spala 2018,2018-03-14,CHOI Hyojoo,SHIBATA Saki,3,2,"11,5,11,8,11|9,11,7,11,7",R16,OLYMPICS,U21WS,882,Main Draw,SHIBATA Saki (JPN),CHOI Hyojoo (KOR),CHOI Hyojoo
ITTF Challenge Polish Open Spala 2018,2018-03-14,BAJOR Natalia,GUISNEL Oceane,3,1,"11,6,11,11|7,11,9,9",R16,OLYMPICS,U21WS,882,Main Draw,GUISNEL Oceane (FRA),BAJOR Natalia (POL),BAJOR Natalia
ITTF Challenge Polish Open Spala 2018,2018-03-14,ZAHARIA Alina,HO Tin-Tin,3,0,"11,11,11|7,5,9",R16,OLYMPICS,U21WS,882,Main Draw,ZAHARIA Alina (ROU),HO Tin-Tin (ENG),ZAHARIA Alina
ITTF Challenge Polish Open Spala 2018,2018-03-14,KIM Jiho,HARTBRICH Leonie,3,0,"11,11,11|7,1,0",R16,OLYMPICS,U21WS,882,Main Draw,KIM Jiho (KOR),HARTBRICH Leonie (HUN),KIM Jiho
ITTF Challenge Polish Open Spala 2018,2018-03-14,DRAGOMAN Andreea,KUKULKOVA Tatiana,3,1,"10,11,11,11|12,7,4,7",R16,OLYMPICS,U21WS,882,Main Draw,KUKULKOVA Tatiana (SVK),DRAGOMAN Andreea (ROU),DRAGOMAN Andreea
ITTF Challenge Polish Open Spala 2018,2018-03-14,TAILAKOVA Mariia,BOGDANOVA Nadezhda,3,0,"11,11,11|4,4,7",R16,OLYMPICS,U21WS,882,Main Draw,BOGDANOVA Nadezhda (BLR),TAILAKOVA Mariia (RUS),TAILAKOVA Mariia
ITTF Challenge Polish Open Spala 2018,2018-03-14,SHIN Yubin,ZARIF Audrey,3,1,"5,16,11,11|11,14,7,7",R16,OLYMPICS,U21WS,882,Main Draw,ZARIF Audrey (FRA),SHIN Yubin (KOR),SHIN Yubin
ITTF Challenge Polish Open Spala 2018,2018-03-14,ODO Satsuki,WEGRZYN Katarzyna,3,0,"11,11,11|5,6,8",R16,OLYMPICS,U21WS,882,Main Draw,ODO Satsuki (JPN),WEGRZYN Katarzyna (POL),ODO Satsuki
ITTF Challenge Polish Open Spala 2018,2018-03-14,CHOI Hyojoo,BAJOR Natalia,3,1,"11,11,8,11|6,9,11,5",QF,OLYMPICS,U21WS,882,Main Draw,CHOI Hyojoo (KOR),BAJOR Natalia (POL),CHOI Hyojoo
ITTF Challenge Polish Open Spala 2018,2018-03-14,KIM Jiho,ZAHARIA Alina,3,1,"11,8,11,11|5,11,8,4",QF,OLYMPICS,U21WS,882,Main Draw,ZAHARIA Alina (ROU),KIM Jiho (KOR),KIM Jiho
ITTF Challenge Polish Open Spala 2018,2018-03-14,TAILAKOVA Mariia,DRAGOMAN Andreea,3,2,"10,11,11,15,11|12,8,6,17,5",QF,OLYMPICS,U21WS,882,Main Draw,DRAGOMAN Andreea (ROU),TAILAKOVA Mariia (RUS),TAILAKOVA Mariia
ITTF Challenge Polish Open Spala 2018,2018-03-14,SHIN Yubin,ODO Satsuki,3,0,"11,11,11|4,6,8",QF,OLYMPICS,U21WS,882,Main Draw,SHIN Yubin (KOR),ODO Satsuki (JPN),SHIN Yubin
ITTF Challenge Polish Open Spala 2018,2018-03-14,KIM Jiho,CHOI Hyojoo,3,2,"6,9,11,11,11|11,11,9,7,4",SF,OLYMPICS,U21WS,882,Main Draw,CHOI Hyojoo (KOR),KIM Jiho (KOR),KIM Jiho
ITTF Challenge Polish Open Spala 2018,2018-03-14,TAILAKOVA Mariia,SHIN Yubin,3,1,"4,11,11,11|11,8,5,9",SF,OLYMPICS,U21WS,882,Main Draw,TAILAKOVA Mariia (RUS),SHIN Yubin (KOR),TAILAKOVA Mariia
ITTF Challenge Polish Open Spala 2018,2018-03-14,KIM Jiho,TAILAKOVA Mariia,3,0,"11,11,11|4,6,4",F,OLYMPICS,U21WS,882,Main Draw,KIM Jiho (KOR),TAILAKOVA Mariia (RUS),KIM Jiho
ITTF Challenge Polish Open Spala 2018,2018-03-14,LEE Sang Su,STOYANOV Niagol,4,2,"12,9,11,9,11,11|10,11,6,11,3,5",R64,OLYMPICS,MS,882,Main Draw,LEE Sang Su (KOR),STOYANOV Niagol (ITA),LEE Sang Su
ITTF Challenge Polish Open Spala 2018,2018-03-14,SIRUCEK Pavel,LEVENKO Andreas,4,1,"12,9,12,11,11|10,11,10,7,6",R64,OLYMPICS,MS,882,Main Draw,LEVENKO Andreas (AUT),SIRUCEK Pavel (CZE),SIRUCEK Pavel
ITTF Challenge Polish Open Spala 2018,2018-03-14,WANG Eugene,PISTEJ Lubomir,4,0,"11,11,11,11|4,1,9,6",R64,OLYMPICS,MS,882,Main Draw,PISTEJ Lubomir (SVK),WANG Eugene (CAN),WANG Eugene
ITTF Challenge Polish Open Spala 2018,2018-03-14,QIU Dang,GHOSH Soumyajit,4,1,"11,11,7,13,11|8,6,11,11,9",R64,OLYMPICS,MS,882,Main Draw,QIU Dang (GER),GHOSH Soumyajit (IND),QIU Dang
ITTF Challenge Polish Open Spala 2018,2018-03-14,ACHANTA Sharath,GRELA Artur,4,1,"11,14,11,11,11|6,16,9,7,7",R64,OLYMPICS,MS,882,Main Draw,ACHANTA Sharath (IND),GRELA Artur (POL),ACHANTA Sharath
ITTF Challenge Polish Open Spala 2018,2018-03-14,SKACHKOV Kirill,BAJGER Ondrej,4,1,"11,11,11,8,11|5,6,5,11,6",R64,OLYMPICS,MS,882,Main Draw,BAJGER Ondrej (CZE),SKACHKOV Kirill (RUS),SKACHKOV Kirill
ITTF Challenge Polish Open Spala 2018,2018-03-14,JEOUNG Youngsik,BUROV Viacheslav,4,0,"11,11,11,11|3,4,7,9",R64,OLYMPICS,MS,882,Main Draw,JEOUNG Youngsik (KOR),BUROV Viacheslav (RUS),JEOUNG Youngsik
ITTF Challenge Polish Open Spala 2018,2018-03-14,OLIVARES Felipe,GNANASEKARAN Sathiyan,4,3,"11,5,5,8,11,11,11|7,11,11,11,6,5,9",R64,OLYMPICS,MS,882,Main Draw,OLIVARES Felipe (CHI),GNANASEKARAN Sathiyan (IND),OLIVARES Felipe
