tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,MONDAL Raj/SAHA Sourav,LAM Siu Hang/NG Pak Nam,3,2,"6,11,7,11,12|11,6,11,6,10",R16,OLYMPICS,MD,883,Main Draw,MONDAL Raj (IND) / SAHA Sourav (IND),LAM Siu Hang (HKG) / NG Pak Nam (HKG)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,GIRALDO Juan/OLAVE Alfonso,CAZACU Alexandru/JEAN Lauric,3,2,"11,11,6,10,11|8,9,11,12,8",R16,OLYMPICS,MD,883,Main Draw,GIRALDO Juan (COL) / OLAVE Alfonso (CHI),CAZACU Alexandru (ROU) / JEAN Lauric (BEL)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,CHO Eonrae/KIM Minhyeok,GONZALEZ Daniel/SHAMRUK Gleb,3,0,"13,11,11|11,7,6",R16,OLYMPICS,MD,883,Main Draw,CHO Eonrae (KOR) / KIM Minhyeok (KOR),GONZALEZ Daniel (PUR) / SHAMRUK Gleb (BLR)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,GLOD Eric/MLADENOVIC Luka,ALAMIAN Nima/LOTFIJANABADI Miad,3,1,"11,13,11,11|13,11,8,1",R16,OLYMPICS,MD,883,Main Draw,GLOD Eric (LUX) / MLADENOVIC Luka (LUX),ALAMIAN Nima (IRI) / LOTFIJANABADI Miad (IRI)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,CIFUENTES Horacio/GALVANO Nicolas,CABALLERO Carlos/MARTINEZ Guillermo,3,1,"8,11,13,19|11,6,11,17",R16,OLYMPICS,MD,883,Main Draw,CIFUENTES Horacio (ARG) / GALVANO Nicolas (ARG),CABALLERO Carlos (ESP) / MARTINEZ Guillermo (ESP)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,AN Jaehyun/CHO Seungmin,CANTERO Jesus/MACHADO Carlos,3,0,"11,11,11|5,6,5",R16,OLYMPICS,MD,883,Main Draw,AN Jaehyun (KOR) / CHO Seungmin (KOR),CANTERO Jesus (ESP) / MACHADO Carlos (ESP)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,KWAN Man Ho/LI Hon Ming,FRANCO Carlos/VILCHEZ Miguel,3,0,"11,11,11|5,3,7",R16,OLYMPICS,MD,883,Main Draw,KWAN Man Ho (HKG) / LI Hon Ming (HKG),FRANCO Carlos (ESP) / VILCHEZ Miguel (ESP)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,GRININGER Thomas/SERDAROGLU David,KHANIN Aleksandr/PLATONOV Pavel,3,2,"13,11,9,11,11|15,7,11,5,8",R16,OLYMPICS,MD,883,Main Draw,GRININGER Thomas (AUT) / SERDAROGLU David (AUT),KHANIN Aleksandr (BLR) / PLATONOV Pavel (BLR)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,MONDAL Raj/SAHA Sourav,GIRALDO Juan/OLAVE Alfonso,3,0,"11,11,11|9,7,7",QF,OLYMPICS,MD,883,Main Draw,MONDAL Raj (IND) / SAHA Sourav (IND),GIRALDO Juan (COL) / OLAVE Alfonso (CHI)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,CHO Eonrae/KIM Minhyeok,GLOD Eric/MLADENOVIC Luka,3,0,"11,12,11|9,10,9",QF,OLYMPICS,MD,883,Main Draw,CHO Eonrae (KOR) / KIM Minhyeok (KOR),GLOD Eric (LUX) / MLADENOVIC Luka (LUX)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,AN Jaehyun/CHO Seungmin,CIFUENTES Horacio/GALVANO Nicolas,3,0,"11,11,11|5,7,8",QF,OLYMPICS,MD,883,Main Draw,AN Jaehyun (KOR) / CHO Seungmin (KOR),CIFUENTES Horacio (ARG) / GALVANO Nicolas (ARG)
ITTF Challenge Spanish Open Guadalajara 2018,2018-03-28,KWAN Man Ho/LI Hon Ming,GRININGER Thomas/SERDAROGLU David,3,0,"11,11,11|9,4,9",QF,OLYMPICS,MD,883,Main Draw,KWAN Man Ho (HKG) / LI Hon Ming (HKG),GRININGER Thomas (AUT) / SERDAROGLU David (AUT)
