tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Oceania Championships Gold Coast 2018,2018-03-15,HU Heming,DELA PENA Alfred,3,0,"11,11,11|9,9,6",,OTHER,MS,911,Qualification,HU Heming (AUS),DELA PENA Alfred (NZL)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,HU Heming,AUBRY Ronan,3,0,"12,11,11|10,4,5",,OTHER,MS,911,Qualification,HU Heming (AUS),AUBRY Ronan (NCL)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DELA PENA Alfred,AUBRY Ronan,3,2,"6,11,11,5,11|11,4,5,11,9",,OTHER,MS,911,Qualification,AUBRY Ronan (NCL),DELA PENA Alfred (NZL)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YAN Xin,CHARLES Nolann,3,1,"11,11,7,11|6,4,11,4",,OTHER,MS,911,Qualification,YAN Xin (AUS),CHARLES Nolann (NCL)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YAN Xin,WU Vicky,3,0,"11,11,11|3,4,6",,OTHER,MS,911,Qualification,YAN Xin (AUS),WU Vicky (FIJ)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,WU Vicky,CHARLES Nolann,3,1,"11,12,11,11|8,14,4,9",,OTHER,MS,911,Qualification,WU Vicky (FIJ),CHARLES Nolann (NCL)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TOWNSEND Kane,IRANI Dinyar,3,0,"11,11,11|3,3,7",,OTHER,MS,911,Qualification,TOWNSEND Kane (AUS),IRANI Dinyar (NZL)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TOWNSEND Kane,WING Philip,3,0,"11,11,11|1,4,3",,OTHER,MS,911,Qualification,TOWNSEND Kane (AUS),WING Philip (FIJ)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,IRANI Dinyar,WING Philip,3,1,"9,11,11,11|11,8,5,7",,OTHER,MS,911,Qualification,WING Philip (FIJ),IRANI Dinyar (NZL)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,POWELL David,BELROSE Alize,3,0,"11,11,11|5,7,4",,OTHER,MS,911,Qualification,POWELL David (AUS),BELROSE Alize (PYF)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,POWELL David,MANICO Benji,3,0,"11,11,11|5,7,4",,OTHER,MS,911,Qualification,POWELL David (AUS),MANICO Benji (COK)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,BELROSE Alize,MANICO Benji,3,0,"11,11,11|8,4,7",,OTHER,MS,911,Qualification,MANICO Benji (COK),BELROSE Alize (PYF)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,SHING Yoshua,CARNET Bydhir,3,0,"11,11,11|3,7,9",,OTHER,MS,911,Qualification,SHING Yoshua (VAN),CARNET Bydhir (PYF)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,SHING Yoshua,UEA Tautu,3,0,"11,11,11|4,4,6",,OTHER,MS,911,Qualification,SHING Yoshua (VAN),UEA Tautu (COK)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,CARNET Bydhir,UEA Tautu,3,0,"11,11,11|1,5,3",,OTHER,MS,911,Qualification,UEA Tautu (COK),CARNET Bydhir (PYF)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,SHU Dean,LULU Ham,3,0,"11,11,11|9,4,8",,OTHER,MS,911,Qualification,SHU Dean (NZL),LULU Ham (VAN)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,SHU Dean,CARTER Trent,3,2,"11,4,11,13,11|8,11,5,15,8",,OTHER,MS,911,Qualification,SHU Dean (NZL),CARTER Trent (AUS)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,CARTER Trent,LULU Ham,3,0,"11,11,11|6,4,2",,OTHER,MS,911,Qualification,CARTER Trent (AUS),LULU Ham (VAN)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,BALL Matthew,WILLIAM Randy,3,0,"11,11,11|1,3,3",,OTHER,MS,911,Qualification,BALL Matthew (NZL),WILLIAM Randy (VAN)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,BALL Matthew,LOI Geoffrey,3,0,"11,11,11|5,4,5",,OTHER,MS,911,Qualification,BALL Matthew (NZL),LOI Geoffrey (PNG)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LOI Geoffrey,WILLIAM Randy,3,0,"11,11,11|6,5,8",,OTHER,MS,911,Qualification,LOI Geoffrey (PNG),WILLIAM Randy (VAN)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LAY Jian Fang,LULU Anolyn,3,0,"11,11,11|7,4,2",,OTHER,WS,911,Qualification,LAY Jian Fang (AUS),LULU Anolyn (VAN)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LAY Jian Fang,YEE Sally,3,0,"11,11,11|8,6,3",,OTHER,WS,911,Qualification,LAY Jian Fang (AUS),YEE Sally (FIJ)
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YEE Sally,LULU Anolyn,3,2,"11,10,11,6,11|6,12,9,11,6",,OTHER,WS,911,Qualification,YEE Sally (FIJ),LULU Anolyn (VAN)
