tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Pan American Championships Santiago 2018,2018-11-20,DIAZ Melanie,SALAZAR Astrid,3,0,"11,11,11|6,5,9",,OTHER,WT,916,Qualification,SALAZAR Astrid (ECU),DIAZ Melanie (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,DIAZ Adriana,PAREDES Nathaly,3,0,"13,11,11|11,7,4",,OTHER,WT,916,Qualification,PAREDES Nathaly (ECU),DIAZ Adriana (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,RIOS Daniely,QUINLLIN Emely,3,2,"11,11,7,3,11|9,5,11,11,6",,OTHER,WT,916,Qualification,QUINLLIN Emely (ECU),RIOS Daniely (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,MORALES Judith,LIAO Ivy,3,0,"12,11,11|10,8,9",,OTHER,WT,916,Qualification,MORALES Judith (CHI),LIAO Ivy (CAN)
ITTF Pan American Championships Santiago 2018,2018-11-20,ZHANG Mo,ORTEGA Daniela,3,0,"11,11,13|7,4,11",,OTHER,WT,916,Qualification,ORTEGA Daniela (CHI),ZHANG Mo (CAN)
ITTF Pan American Championships Santiago 2018,2018-11-20,VEGA Paulina,COTE Alicia,3,2,"11,9,6,13,11|6,11,11,11,9",,OTHER,WT,916,Qualification,VEGA Paulina (CHI),COTE Alicia (CAN)
ITTF Pan American Championships Santiago 2018,2018-11-20,ORTEGA Daniela,LIAO Ivy,3,0,"11,11,11|6,8,8",,OTHER,WT,916,Qualification,ORTEGA Daniela (CHI),LIAO Ivy (CAN)
ITTF Pan American Championships Santiago 2018,2018-11-20,WU Yue,ORTIZ Yasiris,3,1,"11,9,14,11|7,11,12,3",,OTHER,WT,916,Qualification,WU Yue (USA),ORTIZ Yasiris (DOM)
ITTF Pan American Championships Santiago 2018,2018-11-20,ZHANG Lily,BRITO Eva,3,1,"11,5,11,11|2,11,7,9",,OTHER,WT,916,Qualification,ZHANG Lily (USA),BRITO Eva (DOM)
ITTF Pan American Championships Santiago 2018,2018-11-20,WANG Xinyue,CASTRO Esmerlyn,3,0,"11,11,11|4,2,8",,OTHER,WT,916,Qualification,WANG Xinyue (USA),CASTRO Esmerlyn (DOM)
ITTF Pan American Championships Santiago 2018,2018-11-20,YAMADA Jessica,ACEVES Marbella,3,1,"11,11,8,11|8,4,11,6",,OTHER,WT,916,Qualification,ACEVES Marbella (MEX),YAMADA Jessica (BRA)
ITTF Pan American Championships Santiago 2018,2018-11-20,SILVA Yadira,TAKAHASHI Bruna,3,2,"13,5,9,11,11|11,11,11,6,7",,OTHER,WT,916,Qualification,SILVA Yadira (MEX),TAKAHASHI Bruna (BRA)
ITTF Pan American Championships Santiago 2018,2018-11-20,GUI Lin,BARCENAS Clio,3,2,"11,2,11,7,15|8,11,8,11,13",,OTHER,WT,916,Qualification,BARCENAS Clio (MEX),GUI Lin (BRA)
ITTF Pan American Championships Santiago 2018,2018-11-20,YAMADA Jessica,SILVA Yadira,3,0,"11,11,11|4,6,5",,OTHER,WT,916,Qualification,SILVA Yadira (MEX),YAMADA Jessica (BRA)
ITTF Pan American Championships Santiago 2018,2018-11-20,MONTEIRO Thiago,TIO Nicholas,3,1,"8,12,11,11|11,10,6,9",,OTHER,MT,916,Qualification,TIO Nicholas (USA),MONTEIRO Thiago (BRA)
ITTF Pan American Championships Santiago 2018,2018-11-20,JHA Kanak,JOUTI Eric,3,2,"11,11,3,6,11|6,7,11,11,1",,OTHER,MT,916,Qualification,JHA Kanak (USA),JOUTI Eric (BRA)
ITTF Pan American Championships Santiago 2018,2018-11-20,KUMAR Nikhil,ISHIY Vitor,3,1,"4,12,11,17|11,10,8,15",,OTHER,MT,916,Qualification,KUMAR Nikhil (USA),ISHIY Vitor (BRA)
ITTF Pan American Championships Santiago 2018,2018-11-20,JHA Kanak,MONTEIRO Thiago,3,0,"11,11,11|8,6,7",,OTHER,MT,916,Qualification,JHA Kanak (USA),MONTEIRO Thiago (BRA)
ITTF Pan American Championships Santiago 2018,2018-11-20,GOMEZ Gustavo,MONTUFAR Kevin,3,0,"11,11,11|5,6,7",,OTHER,MT,916,Qualification,MONTUFAR Kevin (GUA),GOMEZ Gustavo (CHI)
ITTF Pan American Championships Santiago 2018,2018-11-20,GUTIERREZ Allan,OLIVARES Felipe,3,1,"13,11,2,11|11,6,11,4",,OTHER,MT,916,Qualification,GUTIERREZ Allan (GUA),OLIVARES Felipe (CHI)
ITTF Pan American Championships Santiago 2018,2018-11-20,LAMADRID Juan,GATICA Hector,3,0,"11,14,13|6,12,11",,OTHER,MT,916,Qualification,GATICA Hector (GUA),LAMADRID Juan (CHI)
ITTF Pan American Championships Santiago 2018,2018-11-20,GOMEZ Gustavo,GUTIERREZ Allan,3,0,"11,11,11|3,4,7",,OTHER,MT,916,Qualification,GUTIERREZ Allan (GUA),GOMEZ Gustavo (CHI)
ITTF Pan American Championships Santiago 2018,2018-11-20,PEREIRA Andy,GARECA Franco,3,0,"11,11,11|5,6,6",,OTHER,MT,916,Qualification,GARECA Franco (BOL),PEREIRA Andy (CUB)
ITTF Pan American Championships Santiago 2018,2018-11-20,CAMPOS Jorge,LIZARAZU Eduardo,3,0,"11,11,11|6,7,4",,OTHER,MT,916,Qualification,LIZARAZU Eduardo (BOL),CAMPOS Jorge (CUB)
ITTF Pan American Championships Santiago 2018,2018-11-20,MARTINEZ Livan,AVILA Diego,3,1,"11,10,11,11|9,12,9,8",,OTHER,MT,916,Qualification,AVILA Diego (BOL),MARTINEZ Livan (CUB)
ITTF Pan American Championships Santiago 2018,2018-11-20,GALVANO Nicolas,VANEGAS Pablo,3,0,"11,11,11|8,3,5",,OTHER,MT,916,Qualification,GALVANO Nicolas (ARG),VANEGAS Pablo (ECU)
ITTF Pan American Championships Santiago 2018,2018-11-20,CIFUENTES Horacio,MINO Alberto,3,1,"8,11,11,12|11,1,2,10",,OTHER,MT,916,Qualification,CIFUENTES Horacio (ARG),MINO Alberto (ECU)
ITTF Pan American Championships Santiago 2018,2018-11-20,ALTO Gaston,RIOFRIO Emiliano,3,1,"7,11,11,11|11,6,6,5",,OTHER,MT,916,Qualification,ALTO Gaston (ARG),RIOFRIO Emiliano (ECU)
ITTF Pan American Championships Santiago 2018,2018-11-20,ARCE Dario,BERNARDEZ Santiago,3,0,"11,11,11|3,5,4",,OTHER,MT,916,Qualification,BERNARDEZ Santiago (URU),ARCE Dario (MEX)
ITTF Pan American Championships Santiago 2018,2018-11-20,MADRID Marcos,RODRIGUEZ Facundo,3,0,"11,11,11|3,6,7",,OTHER,MT,916,Qualification,RODRIGUEZ Facundo (URU),MADRID Marcos (MEX)
ITTF Pan American Championships Santiago 2018,2018-11-20,VILLA Ricardo,PALOU Pablo,3,2,"9,11,11,8,11|11,9,3,11,6",,OTHER,MT,916,Qualification,PALOU Pablo (URU),VILLA Ricardo (MEX)
ITTF Pan American Championships Santiago 2018,2018-11-20,GONZALEZ Yomar,MEDJUGORAC Marko,3,1,"11,11,6,11|9,9,11,3",,OTHER,MT,916,Qualification,MEDJUGORAC Marko (CAN),GONZALEZ Yomar (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,AFANADOR Brian,WANG Eugene,3,2,"9,11,5,11,11|11,4,11,8,9",,OTHER,MT,916,Qualification,WANG Eugene (CAN),AFANADOR Brian (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,HAZIN Jeremy,GONZALEZ Daniel,3,1,"11,9,11,11|6,11,9,9",,OTHER,MT,916,Qualification,HAZIN Jeremy (CAN),GONZALEZ Daniel (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,WANG Eugene,GONZALEZ Yomar,3,0,"11,11,11|2,7,1",,OTHER,MT,916,Qualification,WANG Eugene (CAN),GONZALEZ Yomar (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,AFANADOR Brian,MEDJUGORAC Marko,3,1,"11,10,18,11|9,12,16,7",,OTHER,MT,916,Qualification,MEDJUGORAC Marko (CAN),AFANADOR Brian (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,AGUIRRE Marcelo,BLAS Bryan,3,0,"11,11,11|8,7,9",,OTHER,MT,916,Qualification,BLAS Bryan (PER),AGUIRRE Marcelo (PAR)
ITTF Pan American Championships Santiago 2018,2018-11-20,RODRIGUEZ Diego,IBANEZ Italo,3,1,"11,12,6,11|1,10,11,6",,OTHER,MT,916,Qualification,RODRIGUEZ Diego (PER),IBANEZ Italo (PAR)
ITTF Pan American Championships Santiago 2018,2018-11-20,TORANZOS Alejandro,HIDALGO Rodrigo,3,1,"7,11,11,11|11,6,6,6",,OTHER,MT,916,Qualification,HIDALGO Rodrigo (PER),TORANZOS Alejandro (PAR)
ITTF Pan American Championships Santiago 2018,2018-11-20,AGUIRRE Marcelo,RODRIGUEZ Diego,3,1,"10,11,11,11|12,7,7,6",,OTHER,MT,916,Qualification,RODRIGUEZ Diego (PER),AGUIRRE Marcelo (PAR)
ITTF Pan American Championships Santiago 2018,2018-11-20,DIAZ Melanie,ARGUELLES Camila,3,1,"11,11,7,11|9,8,11,7",,OTHER,WT,916,Qualification,ARGUELLES Camila (ARG),DIAZ Melanie (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,DIAZ Adriana,IWASA Agustina,3,0,"11,11,11|3,5,5",,OTHER,WT,916,Qualification,IWASA Agustina (ARG),DIAZ Adriana (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,RIOS Daniely,CODINA Ana,3,1,"11,7,11,11|9,11,9,3",,OTHER,WT,916,Qualification,CODINA Ana (ARG),RIOS Daniely (PUR)
ITTF Pan American Championships Santiago 2018,2018-11-20,YAMADA Jessica,LOVET Idalys,3,2,"13,11,14,7,11|15,7,12,11,7",,OTHER,WT,916,Qualification,YAMADA Jessica (BRA),LOVET Idalys (CUB)
ITTF Pan American Championships Santiago 2018,2018-11-20,TAKAHASHI Bruna,CASTILLO Lisi,3,0,"11,11,11|2,8,4",,OTHER,WT,916,Qualification,TAKAHASHI Bruna (BRA),CASTILLO Lisi (CUB)
ITTF Pan American Championships Santiago 2018,2018-11-20,FONSECA Daniela,GUI Lin,3,0,"11,11,11|8,6,9",,OTHER,WT,916,Qualification,GUI Lin (BRA),FONSECA Daniela (CUB)
ITTF Pan American Championships Santiago 2018,2018-11-20,TAKAHASHI Bruna,LOVET Idalys,3,1,"7,11,11,11|11,2,4,7",,OTHER,WT,916,Qualification,TAKAHASHI Bruna (BRA),LOVET Idalys (CUB)
ITTF Pan American Championships Santiago 2018,2018-11-20,MORALES Judith,PERDOMO Maria,3,1,"11,6,12,11|4,11,10,7",,OTHER,WT,916,Qualification,PERDOMO Maria (COL),MORALES Judith (CHI)
ITTF Pan American Championships Santiago 2018,2018-11-20,MEDINA Paula,ORTEGA Daniela,3,1,"11,11,8,11|7,7,11,9",,OTHER,WT,916,Qualification,MEDINA Paula (COL),ORTEGA Daniela (CHI)
ITTF Pan American Championships Santiago 2018,2018-11-20,VEGA Paulina,TELLEZ Cory,3,2,"11,12,7,6,11|6,10,11,11,7",,OTHER,WT,916,Qualification,TELLEZ Cory (COL),VEGA Paulina (CHI)
ITTF Pan American Championships Santiago 2018,2018-11-20,MEDINA Paula,MORALES Judith,3,2,"9,11,9,11,12|11,7,11,9,10",,OTHER,WT,916,Qualification,MEDINA Paula (COL),MORALES Judith (CHI)
ITTF Pan American Championships Santiago 2018,2018-11-20,ORTEGA Daniela,PERDOMO Maria,3,1,"10,11,11,11|12,9,7,2",,OTHER,WT,916,Qualification,PERDOMO Maria (COL),ORTEGA Daniela (CHI)
ITTF Pan American Championships Santiago 2018,2018-11-20,WU Yue,CORDERO Lucia,3,0,"11,11,11|2,6,5",,OTHER,WT,916,Qualification,CORDERO Lucia (GUA),WU Yue (USA)
