tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Opatija Milenij Open Opatija 2018,2018-04-06,BAN Ivor,ZIJADIC Benjamin,3,0,"11,11,11|6,9,8",,WTT_CONTENDER,CBS,1004,Qualification,BAN Ivor (CRO),ZIJADIC Benjamin (BIH),BAN Ivor
Opatija Milenij Open Opatija 2018,2018-04-06,DELINCAK Filip,BENKO Leon,3,0,"11,12,11|7,10,7",,WTT_CONTENDER,CBS,1004,Qualification,DELINCAK Filip (SVK),BENKO Leon (CRO),DELINCAK Filip
Opatija Milenij Open Opatija 2018,2018-04-06,ZOVKO Lovro,SIMCIC Lukas,3,1,"11,11,9,11|1,4,11,7",,WTT_CONTENDER,CBS,1004,Qualification,ZOVKO Lovro (CRO),SIMCIC Lukas (CRO),ZOVKO Lovro
Opatija Milenij Open Opatija 2018,2018-04-06,BOROVNJAK Filip,KAMIN Jonas Maximilian,3,0,"11,11,11|3,5,6",,WTT_CONTENDER,CBS,1004,Qualification,BOROVNJAK Filip (CRO),KAMIN Jonas Maximilian (GER),BOROVNJAK Filip
Opatija Milenij Open Opatija 2018,2018-04-06,IVANCO Felix,ZIDARIC Dino,3,0,"11,11,11|9,8,5",,WTT_CONTENDER,CBS,1004,Qualification,IVANCO Felix (SVK),ZIDARIC Dino (CRO),IVANCO Felix
Opatija Milenij Open Opatija 2018,2018-04-06,MILAK Leon,GRZINIC Mateo,3,0,"11,11,11|4,5,7",,WTT_CONTENDER,CBS,1004,Qualification,MILAK Leon (CRO),GRZINIC Mateo (CRO),MILAK Leon
Opatija Milenij Open Opatija 2018,2018-04-06,TRUMPLER Bo Fredrik,CEPPA Luca,3,0,"11,11,12|7,2,10",,WTT_CONTENDER,CBS,1004,Qualification,TRUMPLER Bo Fredrik (GER),CEPPA Luca (ITA),TRUMPLER Bo Fredrik
Opatija Milenij Open Opatija 2018,2018-04-06,PETEK Bruno,WARNAKULASURIYA Jithara,3,0,"11,11,11|2,1,2",,WTT_CONTENDER,CBS,1004,Qualification,PETEK Bruno (CRO),WARNAKULASURIYA Jithara (SRI),PETEK Bruno
Opatija Milenij Open Opatija 2018,2018-04-06,VEKIC Leo,MUJICIC Anes,3,0,"11,11,11|6,5,9",,WTT_CONTENDER,CBS,1004,Qualification,VEKIC Leo (CRO),MUJICIC Anes (BIH),VEKIC Leo
Opatija Milenij Open Opatija 2018,2018-04-06,POSAVEC Mislav,MAX Westphal,3,1,"11,7,11,14|9,11,5,12",,WTT_CONTENDER,CBS,1004,Qualification,POSAVEC Mislav (CRO),MAX Westphal (GER),POSAVEC Mislav
Opatija Milenij Open Opatija 2018,2018-04-06,METER Roko,KAMIN Leon Nicolas,3,0,"11,11,11|4,3,3",,WTT_CONTENDER,CBS,1004,Qualification,METER Roko (CRO),KAMIN Leon Nicolas (GER),METER Roko
Opatija Milenij Open Opatija 2018,2018-04-06,LIU Jamie,STOCKO Matej,3,0,"11,11,11|3,6,1",,WTT_CONTENDER,CBS,1004,Qualification,LIU Jamie (ENG),STOCKO Matej (CRO),LIU Jamie
