tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Bulgarian Open Panagyurishte 2018,2018-08-16,LIND Anders,TODOROV Stefan,3,0,"11,11,11|4,5,9",R32,GRAND_SLAM,U21MS,876,Main Draw,LIND Anders (DEN),TODOROV Stefan (BUL)
World Tour Bulgarian Open Panagyurishte 2018,2018-08-16,PLETEA Cristian,KIM Daewoo,3,1,"11,6,11,11|6,11,8,5",R32,GRAND_SLAM,U21MS,876,Main Draw,PLETEA Cristian (ROU),KIM Daewoo (KOR)
World Tour Bulgarian Open Panagyurishte 2018,2018-08-16,MATSUYAMA Yuki,MLADENOVIC Luka,3,1,"8,11,13,11|11,6,11,5",R32,GRAND_SLAM,U21MS,876,Main Draw,MATSUYAMA Yuki (JPN),MLADENOVIC Luka (LUX)
World Tour Bulgarian Open Panagyurishte 2018,2018-08-16,KALUZNY Samuel,KOZUL Deni,3,1,"12,11,7,11|10,8,11,8",R32,GRAND_SLAM,U21MS,876,Main Draw,KALUZNY Samuel (SVK),KOZUL Deni (SLO)
World Tour Bulgarian Open Panagyurishte 2018,2018-08-16,LIN Yun-Ju,CHIRITA Cristian,3,0,"11,11,11|9,4,2",R32,GRAND_SLAM,U21MS,876,Main Draw,LIN Yun-Ju (TPE),CHIRITA Cristian (ROU)
World Tour Bulgarian Open Panagyurishte 2018,2018-08-16,CNUDDE Florian,YIGENLER Abdullah,3,1,"11,8,11,11|4,11,9,8",R32,GRAND_SLAM,U21MS,876,Main Draw,YIGENLER Abdullah (TUR),CNUDDE Florian (BEL)
World Tour Bulgarian Open Panagyurishte 2018,2018-08-16,MARTINKO Jiri,MANOLE Alexandru,3,1,"9,11,12,11|11,5,10,6",R32,GRAND_SLAM,U21MS,876,Main Draw,MARTINKO Jiri (CZE),MANOLE Alexandru (ROU)
World Tour Bulgarian Open Panagyurishte 2018,2018-08-16,KHANIN Aleksandr,BAEK Hogyun,3,1,"11,10,11,11|7,12,2,8",R32,GRAND_SLAM,U21MS,876,Main Draw,BAEK Hogyun (KOR),KHANIN Aleksandr (BLR)
World Tour Bulgarian Open Panagyurishte 2018,2018-08-16,SPANIK Tibor,GUNDUZ Ibrahim,3,1,"7,11,11,11|11,9,9,3",R32,GRAND_SLAM,U21MS,876,Main Draw,SPANIK Tibor (SVK),GUNDUZ Ibrahim (TUR)
World Tour Bulgarian Open Panagyurishte 2018,2018-08-16,LEVENKO Andreas,BRAT Adam,3,1,"11,9,11,11|8,11,2,5",R32,GRAND_SLAM,U21MS,876,Main Draw,BRAT Adam (SVK),LEVENKO Andreas (AUT)
