tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour China Open Shenzhen 2018,2018-05-31,LIN Po-Hsuan,DVORAK Galia,4,2,"11,13,6,5,13,12|8,11,11,11,11,10",QR128,GRAND_SLAM,WS,873,Qualification,DVORAK Galia (ESP),LIN Po-Hsuan (TPE),LIN Po-Hsuan
World Tour China Open Shenzhen 2018,2018-05-31,UMEMURA Yuka,STEFANSKA Kinga,4,0,"11,11,11,11|7,7,6,5",QR128,GRAND_SLAM,WS,873,Qualification,STEFANSKA Kinga (POL),UMEMURA Yuka (JPN),UMEMURA Yuka
World Tour China Open Shenzhen 2018,2018-05-31,LIU Fei,KIM Youjin,4,0,"11,11,11,11|5,8,5,4",QR128,GRAND_SLAM,WS,873,Qualification,KIM Youjin (KOR),LIU Fei (CHN),LIU Fei
World Tour China Open Shenzhen 2018,2018-05-31,SOLJA Amelie,SINTYA Rina,4,0,"11,11,11,11|2,9,6,3",QR128,GRAND_SLAM,WS,873,Qualification,SINTYA Rina (INA),SOLJA Amelie (AUT),SOLJA Amelie
World Tour China Open Shenzhen 2018,2018-05-31,INDRIANI Lilis,RAHAYU Atikah,4,1,"11,11,8,11,11|9,7,11,7,6",QR128,GRAND_SLAM,WS,873,Qualification,INDRIANI Lilis (INA),RAHAYU Atikah (INA),INDRIANI Lilis
World Tour China Open Shenzhen 2018,2018-05-31,KIM Hayeong,HAWWA Kharisma Nur,4,1,"11,12,11,11,11|5,14,8,2,5",QR128,GRAND_SLAM,WS,873,Qualification,KIM Hayeong (KOR),HAWWA Kharisma Nur (INA),KIM Hayeong
World Tour China Open Shenzhen 2018,2018-05-31,MATSUDAIRA Shiho,YANG Xiaoxin,4,3,"11,6,11,6,11,7,11|8,11,2,11,9,11,8",QR128,GRAND_SLAM,WS,873,Qualification,YANG Xiaoxin (MON),MATSUDAIRA Shiho (JPN),MATSUDAIRA Shiho
World Tour China Open Shenzhen 2018,2018-05-31,KUO Chia-Yun,LEE En-Chi,4,1,"11,10,11,11,11|8,12,3,5,3",QR128,GRAND_SLAM,WS,873,Qualification,KUO Chia-Yun (TPE),LEE En-Chi (TPE),KUO Chia-Yun
World Tour China Open Shenzhen 2018,2018-05-31,FANG Bo,STOYANOV Niagol,4,2,"7,11,6,11,14,11|11,6,11,8,12,8",QR128,GRAND_SLAM,MS,873,Qualification,STOYANOV Niagol (ITA),FANG Bo (KAZ),FANG Bo
World Tour China Open Shenzhen 2018,2018-05-31,SAMSONOV Vladimir,UDA Yukiya,4,1,"9,11,11,11,14|11,6,5,1,12",QR128,GRAND_SLAM,MS,873,Qualification,UDA Yukiya (JPN),SAMSONOV Vladimir (BLR),SAMSONOV Vladimir
World Tour China Open Shenzhen 2018,2018-05-31,TOKIC Bojan,HACHARD Antoine,4,0,"11,11,13,11|9,8,11,8",QR128,GRAND_SLAM,MS,873,Qualification,TOKIC Bojan (SLO),HACHARD Antoine (FRA),TOKIC Bojan
World Tour China Open Shenzhen 2018,2018-05-31,LIN Yun-Ju,RANEFUR Elias,4,2,"11,7,7,11,11,11|4,11,11,6,3,6",QR128,GRAND_SLAM,MS,873,Qualification,LIN Yun-Ju (TPE),RANEFUR Elias (SWE),LIN Yun-Ju
World Tour China Open Shenzhen 2018,2018-05-31,ZHAI Yujia,LANDRIEU Andrea,4,3,"7,6,11,11,9,11,11|11,11,4,9,11,8,9",QR128,GRAND_SLAM,MS,873,Qualification,ZHAI Yujia (DEN),LANDRIEU Andrea (FRA),ZHAI Yujia
World Tour China Open Shenzhen 2018,2018-05-31,APOLONIA Tiago,AJI Donny,4,0,"11,11,11,11|6,1,6,5",QR128,GRAND_SLAM,MS,873,Qualification,APOLONIA Tiago (POR),AJI Donny (INA),APOLONIA Tiago
World Tour China Open Shenzhen 2018,2018-05-31,LAMBIET Florent,DARMAWAN Dennis,4,0,"11,11,11,11|6,4,7,7",QR128,GRAND_SLAM,MS,873,Qualification,DARMAWAN Dennis (INA),LAMBIET Florent (BEL),LAMBIET Florent
World Tour China Open Shenzhen 2018,2018-05-31,MANTZ Chantal,JEE Minhyung,4,0,,QR128,GRAND_SLAM,WS,873,Qualification,JEE Minhyung (AUS),MANTZ Chantal (GER),MANTZ Chantal
World Tour China Open Shenzhen 2018,2018-05-31,ZHOU Kai,OIKAWA Mizuki,4,1,"9,11,11,11,13|11,8,3,8,11",QR128,GRAND_SLAM,MS,873,Qualification,OIKAWA Mizuki (JPN),ZHOU Kai (CHN),ZHOU Kai
World Tour China Open Shenzhen 2018,2018-05-31,OOSTWOUDER Ewout,LAM Siu Hang,4,2,"11,9,11,11,11,11|9,11,13,6,6,7",QR128,GRAND_SLAM,MS,873,Qualification,OOSTWOUDER Ewout (NED),LAM Siu Hang (HKG),OOSTWOUDER Ewout
World Tour China Open Shenzhen 2018,2018-05-31,MORIZONO Masataka,CHEN Chun-Hsiang,4,0,"11,11,11,11|3,6,4,3",QR128,GRAND_SLAM,MS,873,Qualification,MORIZONO Masataka (JPN),CHEN Chun-Hsiang (TPE),MORIZONO Masataka
World Tour China Open Shenzhen 2018,2018-05-31,WANG Chuqin,ALAMIYAN Noshad,4,1,"14,5,11,12,11|12,11,9,10,6",QR128,GRAND_SLAM,MS,873,Qualification,WANG Chuqin (CHN),ALAMIYAN Noshad (IRI),WANG Chuqin
World Tour China Open Shenzhen 2018,2018-05-31,LIANG Jingkun,NIU Guankai,4,3,"8,8,9,12,11,12,11|11,11,11,10,7,10,7",QR128,GRAND_SLAM,MS,873,Qualification,NIU Guankai (CHN),LIANG Jingkun (CHN),LIANG Jingkun
World Tour China Open Shenzhen 2018,2018-05-31,CASSIN Alexandre,SUN Chia-Hung,4,2,"5,11,11,11,6,11|11,3,3,5,11,7",QR128,GRAND_SLAM,MS,873,Qualification,SUN Chia-Hung (TPE),CASSIN Alexandre (FRA),CASSIN Alexandre
World Tour China Open Shenzhen 2018,2018-05-31,DUDA Benedikt,BROSSIER Benjamin,4,2,"12,11,8,11,9,11|10,5,11,7,11,7",QR128,GRAND_SLAM,MS,873,Qualification,BROSSIER Benjamin (FRA),DUDA Benedikt (GER),DUDA Benedikt
World Tour China Open Shenzhen 2018,2018-05-31,ZHANG Jike,ORT Kilian,4,1,"9,11,11,11,15|11,5,8,5,13",QR128,GRAND_SLAM,MS,873,Qualification,ORT Kilian (GER),ZHANG Jike (CHN),ZHANG Jike
World Tour China Open Shenzhen 2018,2018-05-31,ARUNA Quadri,SEYFRIED Joe,4,0,"11,12,11,11|8,10,7,8",QR128,GRAND_SLAM,MS,873,Qualification,SEYFRIED Joe (FRA),ARUNA Quadri (NGR),ARUNA Quadri
World Tour China Open Shenzhen 2018,2018-05-31,XUE Fei,YOSHIDA Masaki,4,2,"11,13,7,11,8,12|7,11,11,5,11,10",QR128,GRAND_SLAM,MS,873,Qualification,YOSHIDA Masaki (JPN),XUE Fei (CHN),XUE Fei
World Tour China Open Shenzhen 2018,2018-05-31,HWANG Minha,MONTEIRO Joao,4,2,"9,11,6,11,11,11|11,8,11,9,9,6",QR128,GRAND_SLAM,MS,873,Qualification,HWANG Minha (KOR),MONTEIRO Joao (POR),HWANG Minha
World Tour China Open Shenzhen 2018,2018-05-31,ALAMIAN Nima,SEO Junghwa,4,2,"6,11,8,12,11,11|11,7,11,10,3,8",QR128,GRAND_SLAM,MS,873,Qualification,ALAMIAN Nima (IRI),SEO Junghwa (KOR),ALAMIAN Nima
World Tour China Open Shenzhen 2018,2018-05-31,KIM Minhyeok,CHO Seungmin,4,1,"11,9,12,11,11|6,11,10,9,2",QR128,GRAND_SLAM,MS,873,Qualification,CHO Seungmin (KOR),KIM Minhyeok (KOR),KIM Minhyeok
World Tour China Open Shenzhen 2018,2018-05-31,NUYTINCK Cedric,SANTOSO Ficky,4,1,"12,11,11,10,11|10,7,4,12,2",QR128,GRAND_SLAM,MS,873,Qualification,SANTOSO Ficky (INA),NUYTINCK Cedric (BEL),NUYTINCK Cedric
World Tour China Open Shenzhen 2018,2018-05-31,PERSSON Jon,XU Haidong,4,3,"9,11,9,11,11,8,11|11,2,11,6,7,11,7",QR128,GRAND_SLAM,MS,873,Qualification,PERSSON Jon (SWE),XU Haidong (CHN),PERSSON Jon
World Tour China Open Shenzhen 2018,2018-05-31,JORGIC Darko,LI Ahmet,4,0,"11,11,11,11|8,6,4,9",QR128,GRAND_SLAM,MS,873,Qualification,LI Ahmet (TUR),JORGIC Darko (SLO),JORGIC Darko
World Tour China Open Shenzhen 2018,2018-05-31,JANG Woojin,PAIKOV Mikhail,4,3,"11,11,11,13,10,11,11|13,4,9,15,12,6,9",QR128,GRAND_SLAM,MS,873,Qualification,PAIKOV Mikhail (RUS),JANG Woojin (KOR),JANG Woojin
World Tour China Open Shenzhen 2018,2018-05-31,IONESCU Ovidiu,HOU Yingchao,4,0,,QR128,GRAND_SLAM,MS,873,Qualification,IONESCU Ovidiu (ROU),HOU Yingchao (CAN),IONESCU Ovidiu
World Tour China Open Shenzhen 2018,2018-05-31,SZOCS Hunor,FENG Yijun,4,0,"11,11,11,11|3,9,1,7",QR128,GRAND_SLAM,MS,873,Qualification,SZOCS Hunor (ROU),FENG Yijun (USA),SZOCS Hunor
World Tour China Open Shenzhen 2018,2018-05-31,PITCHFORD Liam,MA Jinbao,4,1,"12,11,11,3,11|10,3,6,11,4",QR128,GRAND_SLAM,MS,873,Qualification,MA Jinbao (USA),PITCHFORD Liam (ENG),PITCHFORD Liam
World Tour China Open Shenzhen 2018,2018-05-31,FEGERL Stefan,MUARIEF Gusti Aditya,4,0,"11,11,11,11|3,5,3,5",QR128,GRAND_SLAM,MS,873,Qualification,MUARIEF Gusti Aditya (INA),FEGERL Stefan (AUT),FEGERL Stefan
World Tour China Open Shenzhen 2018,2018-05-31,GERASSIMENKO Kirill,BHAGWANI Deepash,4,0,"11,11,11,11|4,6,3,5",QR128,GRAND_SLAM,MS,873,Qualification,GERASSIMENKO Kirill (KAZ),BHAGWANI Deepash (INA),GERASSIMENKO Kirill
World Tour China Open Shenzhen 2018,2018-05-31,ROBINOT Quentin,NOROOZI Afshin,4,0,"13,11,11,11|11,6,9,8",QR128,GRAND_SLAM,MS,873,Qualification,ROBINOT Quentin (FRA),NOROOZI Afshin (IRI),ROBINOT Quentin
World Tour China Open Shenzhen 2018,2018-05-31,JEOUNG Youngsik,LAI Chi-Chien,4,0,"11,11,11,11|6,8,3,9",QR128,GRAND_SLAM,MS,873,Qualification,JEOUNG Youngsik (KOR),LAI Chi-Chien (TPE),JEOUNG Youngsik
World Tour China Open Shenzhen 2018,2018-05-31,CHO Eonrae,HUNG Tzu-Hsiang,4,1,"11,11,9,11,12|9,7,11,7,10",QR128,GRAND_SLAM,MS,873,Qualification,CHO Eonrae (KOR),HUNG Tzu-Hsiang (TPE),CHO Eonrae
World Tour China Open Shenzhen 2018,2018-05-31,KOZUL Deni,NG Pak Nam,4,1,"10,12,11,14,11|12,10,7,12,5",QR128,GRAND_SLAM,MS,873,Qualification,NG Pak Nam (HKG),KOZUL Deni (SLO),KOZUL Deni
World Tour China Open Shenzhen 2018,2018-05-31,WALTHER Ricardo,ALLEGRO Martin,4,0,"11,11,12,12|8,8,10,10",QR128,GRAND_SLAM,MS,873,Qualification,ALLEGRO Martin (BEL),WALTHER Ricardo (GER),WALTHER Ricardo
World Tour China Open Shenzhen 2018,2018-05-31,ROBLES Alvaro,HUANG Chien-Tu,4,1,"13,13,3,11,11|11,11,11,7,8",QR128,GRAND_SLAM,MS,873,Qualification,ROBLES Alvaro (ESP),HUANG Chien-Tu (TPE),ROBLES Alvaro
World Tour China Open Shenzhen 2018,2018-05-31,JIANG Tianyi,TAO Wenzhang,4,1,"11,11,18,11,11|13,4,16,6,9",QR128,GRAND_SLAM,MS,873,Qualification,JIANG Tianyi (HKG),TAO Wenzhang (USA),JIANG Tianyi
World Tour China Open Shenzhen 2018,2018-05-31,LIM Jonghoon,KASHIWA Yutaka,4,1,"11,11,7,11,11|4,6,11,7,9",QR128,GRAND_SLAM,MS,873,Qualification,LIM Jonghoon (KOR),KASHIWA Yutaka (JPN),LIM Jonghoon
World Tour China Open Shenzhen 2018,2018-05-31,SALIFOU Abdel-Kader,LEE Chia-Sheng,4,1,"15,13,11,9,11|13,11,6,11,6",QR128,GRAND_SLAM,MS,873,Qualification,LEE Chia-Sheng (TPE),SALIFOU Abdel-Kader (BEN),SALIFOU Abdel-Kader
World Tour China Open Shenzhen 2018,2018-05-31,HABESOHN Daniel,WANG Tai-Wei,4,2,"3,11,11,11,10,11|11,7,5,6,12,5",QR128,GRAND_SLAM,MS,873,Qualification,HABESOHN Daniel (AUT),WANG Tai-Wei (TPE),HABESOHN Daniel
World Tour China Open Shenzhen 2018,2018-05-31,KOU Lei,ZHOU Qihao,4,2,"11,12,11,7,9,11|7,10,8,11,11,3",QR128,GRAND_SLAM,MS,873,Qualification,KOU Lei (UKR),ZHOU Qihao (CHN),KOU Lei
World Tour China Open Shenzhen 2018,2018-05-31,PENG Wang-Wei,PISTEJ Lubomir,4,3,"7,11,11,11,10,7,12|11,9,4,7,12,11,10",QR128,GRAND_SLAM,MS,873,Qualification,PISTEJ Lubomir (SVK),PENG Wang-Wei (TPE),PENG Wang-Wei
World Tour China Open Shenzhen 2018,2018-05-31,YANG Heng-Wei,TAZOE Kenta,4,2,"7,13,6,11,11,11|11,11,11,9,9,9",QR128,GRAND_SLAM,MS,873,Qualification,TAZOE Kenta (JPN),YANG Heng-Wei (TPE),YANG Heng-Wei
World Tour China Open Shenzhen 2018,2018-05-31,OLAH Benedek,TSAI Chun-Yu,4,2,"11,13,7,11,11,11|5,15,11,5,9,9",QR128,GRAND_SLAM,MS,873,Qualification,TSAI Chun-Yu (TPE),OLAH Benedek (FIN),OLAH Benedek
World Tour China Open Shenzhen 2018,2018-05-31,GARDOS Robert,TANAKA Yuta,4,1,"15,9,11,11,11|13,11,7,6,8",QR128,GRAND_SLAM,MS,873,Qualification,TANAKA Yuta (JPN),GARDOS Robert (AUT),GARDOS Robert
World Tour China Open Shenzhen 2018,2018-05-31,KALLBERG Anton,NEGARA Muhammad,4,0,"11,11,11,11|2,9,5,6",QR128,GRAND_SLAM,MS,873,Qualification,NEGARA Muhammad (INA),KALLBERG Anton (SWE),KALLBERG Anton
World Tour China Open Shenzhen 2018,2018-05-31,AN Jaehyun,DEVOS Robin,4,2,"8,11,11,13,7,11|11,7,5,11,11,7",QR128,GRAND_SLAM,MS,873,Qualification,AN Jaehyun (KOR),DEVOS Robin (BEL),AN Jaehyun
World Tour China Open Shenzhen 2018,2018-05-31,OSHIMA Yuya,TROMER Laurens,4,0,"11,11,11,11|9,7,5,4",QR128,GRAND_SLAM,MS,873,Qualification,OSHIMA Yuya (JPN),TROMER Laurens (NED),OSHIMA Yuya
World Tour China Open Shenzhen 2018,2018-05-31,YAN An,PURKANI Luki Muhammad,4,0,"11,11,11,11|8,6,1,5",QR128,GRAND_SLAM,MS,873,Qualification,YAN An (CHN),PURKANI Luki Muhammad (INA),YAN An
World Tour China Open Shenzhen 2018,2018-05-31,HO Kwan Kit,QIU Dang,4,0,"11,11,11,11|3,7,8,8",QR128,GRAND_SLAM,MS,873,Qualification,QIU Dang (GER),HO Kwan Kit (HKG),HO Kwan Kit
World Tour China Open Shenzhen 2018,2018-05-31,CHO Daeseong,KIM Donghyun,4,1,"11,11,11,7,11|3,3,5,11,6",QR128,GRAND_SLAM,MS,873,Qualification,KIM Donghyun (KOR),CHO Daeseong (KOR),CHO Daeseong
World Tour China Open Shenzhen 2018,2018-05-31,ROBINOT Alexandre,ZHANG Kai,4,0,"16,11,11,11|14,7,6,4",QR128,GRAND_SLAM,MS,873,Qualification,ZHANG Kai (USA),ROBINOT Alexandre (FRA),ROBINOT Alexandre
World Tour China Open Shenzhen 2018,2018-05-31,LIAO Cheng-Ting,ZHAO Anthony,4,0,"11,11,11,11|6,5,7,3",QR128,GRAND_SLAM,MS,873,Qualification,LIAO Cheng-Ting (TPE),ZHAO Anthony (AUS),LIAO Cheng-Ting
World Tour China Open Shenzhen 2018,2018-05-31,LEVENKO Andreas,AHMADIAN Amin,4,0,"11,11,11,11|1,9,8,8",QR128,GRAND_SLAM,MS,873,Qualification,AHMADIAN Amin (IRI),LEVENKO Andreas (AUT),LEVENKO Andreas
World Tour China Open Shenzhen 2018,2018-05-31,YU Mengyu,LIU Hsing-Yin,4,1,"11,10,11,15,12|2,12,6,13,10",QR64,GRAND_SLAM,WS,873,Qualification,LIU Hsing-Yin (TPE),YU Mengyu (SGP),YU Mengyu
World Tour China Open Shenzhen 2018,2018-05-31,GU Yuting,INDRIANI Lilis,4,0,"11,11,11,11|5,4,8,5",QR64,GRAND_SLAM,WS,873,Qualification,INDRIANI Lilis (INA),GU Yuting (CHN),GU Yuting
World Tour China Open Shenzhen 2018,2018-05-31,SHIBATA Saki,CHIU Ssu-Hua,4,2,"11,11,11,9,7,11|4,6,7,11,11,9",QR64,GRAND_SLAM,WS,873,Qualification,CHIU Ssu-Hua (TPE),SHIBATA Saki (JPN),SHIBATA Saki
World Tour China Open Shenzhen 2018,2018-05-31,JUNG Yumi,MITTELHAM Nina,4,0,"11,11,11,11|9,5,2,0",QR64,GRAND_SLAM,WS,873,Qualification,MITTELHAM Nina (GER),JUNG Yumi (KOR),JUNG Yumi
World Tour China Open Shenzhen 2018,2018-05-31,MAEDA Miyu,LIN Chia-Hui,4,0,"11,11,11,11|8,7,6,6",QR64,GRAND_SLAM,WS,873,Qualification,MAEDA Miyu (JPN),LIN Chia-Hui (TPE),MAEDA Miyu
World Tour China Open Shenzhen 2018,2018-05-31,NG Wing Nam,FANG Sih-Han,4,0,"11,11,11,11|9,5,6,6",QR64,GRAND_SLAM,WS,873,Qualification,FANG Sih-Han (TPE),NG Wing Nam (HKG),NG Wing Nam
World Tour China Open Shenzhen 2018,2018-05-31,KATO Miyu,VARADY Barbora,4,0,"12,11,11,11|10,6,8,9",QR64,GRAND_SLAM,WS,873,Qualification,KATO Miyu (JPN),VARADY Barbora (SVK),KATO Miyu
World Tour China Open Shenzhen 2018,2018-05-31,HAN Ying,KIM Hayeong,4,1,"11,13,11,13,11|7,11,13,11,6",QR64,GRAND_SLAM,WS,873,Qualification,HAN Ying (GER),KIM Hayeong (KOR),HAN Ying
