tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,WONG Chun Ting,HABESOHN Daniel,4,0,"11,13,14,12|7,11,12,10",R32,GRAND_SLAM,MS,872,Main Draw,WONG Chun Ting (HKG),HABESOHN Daniel (AUT)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,PERSSON Jon,LEBESSON Emmanuel,4,0,"11,11,11,11|8,3,4,9",R32,GRAND_SLAM,MS,872,Main Draw,PERSSON Jon (SWE),LEBESSON Emmanuel (FRA)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,FRANZISKA Patrick,JIANG Tianyi,4,3,"8,12,11,11,9,11,11|11,14,4,9,11,8,7",R32,GRAND_SLAM,MS,872,Main Draw,FRANZISKA Patrick (GER),JIANG Tianyi (HKG)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,ZHOU Qihao,GROTH Jonathan,4,0,"11,12,11,12|8,10,4,10",R32,GRAND_SLAM,MS,872,Main Draw,ZHOU Qihao (CHN),GROTH Jonathan (DEN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,ASSAR Omar,GAO Ning,4,1,"11,11,11,9,12|7,9,9,11,10",R32,GRAND_SLAM,MS,872,Main Draw,ASSAR Omar (EGY),GAO Ning (SGP)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,YOSHIMURA Maharu,ZHANG Jike,4,3,"11,8,13,13,6,11,11|9,11,11,15,11,8,9",R32,GRAND_SLAM,MS,872,Main Draw,ZHANG Jike (CHN),YOSHIMURA Maharu (JPN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,CHO Seungmin,STEGER Bastian,4,2,"7,11,13,11,10,11|11,6,11,8,12,4",R32,GRAND_SLAM,MS,872,Main Draw,STEGER Bastian (GER),CHO Seungmin (KOR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,JANG Woojin,MATSUDAIRA Kenta,4,0,"11,11,11,11|6,8,7,7",R32,GRAND_SLAM,MS,872,Main Draw,JANG Woojin (KOR),MATSUDAIRA Kenta (JPN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,FREITAS Marcos,DUDA Benedikt,4,1,"11,4,11,11,15|8,11,5,8,13",R32,GRAND_SLAM,MS,872,Main Draw,FREITAS Marcos (POR),DUDA Benedikt (GER)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,ARUNA Quadri,UDA Yukiya,4,3,"9,11,11,6,11,9,11|11,5,8,11,8,11,3",R32,GRAND_SLAM,MS,872,Main Draw,UDA Yukiya (JPN),ARUNA Quadri (NGR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,LIM Jonghoon,JEONG Sangeun,4,1,"11,11,5,11,12|8,8,11,4,10",R32,GRAND_SLAM,MS,872,Main Draw,JEONG Sangeun (KOR),LIM Jonghoon (KOR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,KIM Donghyun,CHUANG Chih-Yuan,4,2,"14,8,9,12,11,11|12,11,11,10,7,6",R32,GRAND_SLAM,MS,872,Main Draw,KIM Donghyun (KOR),CHUANG Chih-Yuan (TPE)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,FILUS Ruwen,GNANASEKARAN Sathiyan,4,0,"11,12,12,11|8,10,10,7",R32,GRAND_SLAM,MS,872,Main Draw,FILUS Ruwen (GER),GNANASEKARAN Sathiyan (IND)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,YOSHIMURA Kazuhiro,OSHIMA Yuya,4,1,"11,11,12,9,16|4,7,10,11,14",R32,GRAND_SLAM,MS,872,Main Draw,YOSHIMURA Kazuhiro (JPN),OSHIMA Yuya (JPN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,UEDA Jin,YOSHIDA Masaki,4,3,"12,7,8,8,11,11,13|10,11,11,11,9,5,11",R32,GRAND_SLAM,MS,872,Main Draw,UEDA Jin (JPN),YOSHIDA Masaki (JPN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,LEE Sang Su,ZHU Linfeng,4,3,"4,11,13,10,7,15,11|11,4,11,12,11,13,5",R32,GRAND_SLAM,MS,872,Main Draw,ZHU Linfeng (CHN),LEE Sang Su (KOR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,PERSSON Jon,WONG Chun Ting,4,2,"6,5,11,11,11,12|11,11,5,9,9,10",R16,GRAND_SLAM,MS,872,Main Draw,WONG Chun Ting (HKG),PERSSON Jon (SWE)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,ZHOU Qihao,FRANZISKA Patrick,4,1,"12,13,11,11,12|10,15,9,8,10",R16,GRAND_SLAM,MS,872,Main Draw,FRANZISKA Patrick (GER),ZHOU Qihao (CHN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,YOSHIMURA Maharu,ASSAR Omar,4,0,"11,11,11,11|3,9,6,7",R16,GRAND_SLAM,MS,872,Main Draw,ASSAR Omar (EGY),YOSHIMURA Maharu (JPN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,CHO Seungmin,JANG Woojin,4,1,"13,11,14,9,11|11,9,12,11,9",R16,GRAND_SLAM,MS,872,Main Draw,CHO Seungmin (KOR),JANG Woojin (KOR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,FREITAS Marcos,ARUNA Quadri,4,2,"13,9,11,13,10,11|11,11,7,11,12,6",R16,GRAND_SLAM,MS,872,Main Draw,FREITAS Marcos (POR),ARUNA Quadri (NGR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,LIM Jonghoon,KIM Donghyun,4,3,"8,12,11,11,13,8,11|11,14,4,8,11,11,7",R16,GRAND_SLAM,MS,872,Main Draw,LIM Jonghoon (KOR),KIM Donghyun (KOR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,YOSHIMURA Kazuhiro,FILUS Ruwen,4,1,"11,11,14,8,11|7,2,12,11,7",R16,GRAND_SLAM,MS,872,Main Draw,FILUS Ruwen (GER),YOSHIMURA Kazuhiro (JPN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,LEE Sang Su,UEDA Jin,4,1,"11,11,9,11,11|8,7,11,7,7",R16,GRAND_SLAM,MS,872,Main Draw,UEDA Jin (JPN),LEE Sang Su (KOR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,ZHOU Qihao,PERSSON Jon,4,1,"15,11,11,9,11|13,9,7,11,2",QuarterFinal,GRAND_SLAM,MS,872,Main Draw,PERSSON Jon (SWE),ZHOU Qihao (CHN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,CHO Seungmin,YOSHIMURA Maharu,4,3,"11,11,11,9,10,6,11|7,7,1,11,12,11,5",QuarterFinal,GRAND_SLAM,MS,872,Main Draw,YOSHIMURA Maharu (JPN),CHO Seungmin (KOR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,LIM Jonghoon,FREITAS Marcos,4,2,"11,11,10,11,7,11|9,3,12,8,11,9",QuarterFinal,GRAND_SLAM,MS,872,Main Draw,FREITAS Marcos (POR),LIM Jonghoon (KOR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,YOSHIMURA Kazuhiro,LEE Sang Su,4,0,"20,11,11,11|18,6,9,9",QuarterFinal,GRAND_SLAM,MS,872,Main Draw,YOSHIMURA Kazuhiro (JPN),LEE Sang Su (KOR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,CHO Seungmin,ZHOU Qihao,4,2,"11,3,11,11,6,11|9,11,4,9,11,9",SemiFinal,GRAND_SLAM,MS,872,Main Draw,ZHOU Qihao (CHN),CHO Seungmin (KOR)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,YOSHIMURA Kazuhiro,LIM Jonghoon,4,3,"11,9,11,7,14,10,12|5,11,6,11,12,12,10",SemiFinal,GRAND_SLAM,MS,872,Main Draw,LIM Jonghoon (KOR),YOSHIMURA Kazuhiro (JPN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,YOSHIMURA Kazuhiro,CHO Seungmin,4,1,"11,5,11,11,11|5,11,8,3,7",Final,GRAND_SLAM,MS,872,Main Draw,CHO Seungmin (KOR),YOSHIMURA Kazuhiro (JPN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,MA Te,ALAMIAN Nima,4,0,"11,11,11,11|6,3,8,5",QR128,GRAND_SLAM,MS,872,Qualification,ALAMIAN Nima (IRI),MA Te (CHN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,STOYANOV Niagol,ZHANG Kai,4,0,"11,11,11,11|8,6,9,4",QR128,GRAND_SLAM,MS,872,Qualification,ZHANG Kai (USA),STOYANOV Niagol (ITA)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,TOKIC Bojan,LANDRIEU Andrea,4,1,"14,7,11,11,11|12,11,4,3,8",QR128,GRAND_SLAM,MS,872,Qualification,LANDRIEU Andrea (FRA),TOKIC Bojan (SLO)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,ROBINOT Quentin,KEINATH Thomas,4,2,"11,11,10,7,11,11|2,9,12,11,7,7",QR128,GRAND_SLAM,MS,872,Qualification,KEINATH Thomas (SVK),ROBINOT Quentin (FRA)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,HOU Yingchao,LEE Chia-Sheng,4,3,"11,6,7,6,19,11,12|6,11,11,11,17,6,10",QR128,GRAND_SLAM,MS,872,Qualification,LEE Chia-Sheng (TPE),HOU Yingchao (CAN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,HACHARD Antoine,NOROOZI Afshin,4,2,"9,11,8,11,11,11|11,8,11,7,9,9",QR128,GRAND_SLAM,MS,872,Qualification,NOROOZI Afshin (IRI),HACHARD Antoine (FRA)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,JIANG Tianyi,SODERLUND Hampus,4,3,"11,12,11,2,11,7,12|4,14,7,11,4,11,10",QR128,GRAND_SLAM,MS,872,Qualification,SODERLUND Hampus (SWE),JIANG Tianyi (HKG)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,GERELL Par,ROBINOT Alexandre,4,1,"11,5,12,15,12|6,11,10,13,10",QR128,GRAND_SLAM,MS,872,Qualification,GERELL Par (SWE),ROBINOT Alexandre (FRA)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,JHA Kanak,SALIFOU Abdel-Kader,4,1,"12,11,11,9,11|10,6,7,11,5",QR128,GRAND_SLAM,MS,872,Qualification,JHA Kanak (USA),SALIFOU Abdel-Kader (BEN)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,WONG Kin Sing,CHEN Alexander,4,3,"6,7,11,11,12,9,11|11,11,9,8,10,11,8",QR128,GRAND_SLAM,MS,872,Qualification,CHEN Alexander (AUT),WONG Kin Sing (HKG)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,LI Hon Ming,CHERNOV Konstantin,4,1,"11,8,11,11,11|6,11,9,5,4",QR128,GRAND_SLAM,MS,872,Qualification,CHERNOV Konstantin (RUS),LI Hon Ming (HKG)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,LAM Siu Hang,LIN Xuqi,4,0,,QR128,GRAND_SLAM,MS,872,Qualification,LAM Siu Hang (HKG),LIN Xuqi (AUS)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,UDA Yukiya,BROSSIER Benjamin,4,1,"11,6,11,11,11|6,11,4,8,9",QR128,GRAND_SLAM,MS,872,Qualification,UDA Yukiya (JPN),BROSSIER Benjamin (FRA)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,RANEFUR Elias,ABUSEV Artur,4,1,"11,2,11,11,11|6,11,8,9,3",QR128,GRAND_SLAM,MS,872,Qualification,RANEFUR Elias (SWE),ABUSEV Artur (RUS)
World Tour Hong Kong Open Hong Kong 2018,2018-05-24,ALLEGRO Martin,FENG Yijun,4,2,"11,11,7,11,9,11|7,8,11,6,11,6",QR128,GRAND_SLAM,MS,872,Qualification,ALLEGRO Martin (BEL),FENG Yijun (USA)
