tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Japan Open Kitakyushu 2018,2018-06-07,ZHOU Kai,KIM Munsu,4,0,"11,11,11,11|2,4,7,5",QR128,GRAND_SLAM,MS,874,Qualification,ZHOU Kai (CHN),KIM Munsu (KOR),ZHOU Kai
World Tour Japan Open Kitakyushu 2018,2018-06-07,SON Suk Hyun,VERAKULTAWAN Purit,4,3,"11,13,6,11,7,7,11|8,11,11,7,11,11,1",QR128,GRAND_SLAM,MS,874,Qualification,VERAKULTAWAN Purit (THA),SON Suk Hyun (KOR),SON Suk Hyun
World Tour Japan Open Kitakyushu 2018,2018-06-07,KWAK Yu Bin,BAEK Hogyun,4,3,"5,11,9,9,11,11,11|11,8,11,11,8,7,6",QR128,GRAND_SLAM,MS,874,Qualification,BAEK Hogyun (KOR),KWAK Yu Bin (KOR),KWAK Yu Bin
World Tour Japan Open Kitakyushu 2018,2018-06-07,PENG Wang-Wei,KIM Byunghyeon,4,0,"11,11,11,13|8,6,8,11",QR128,GRAND_SLAM,MS,874,Qualification,KIM Byunghyeon (KOR),PENG Wang-Wei (TPE),PENG Wang-Wei
World Tour Japan Open Kitakyushu 2018,2018-06-07,TANAKA Yuta,AN Junyeong,4,2,"7,11,7,11,13,11|11,1,11,5,11,8",QR128,GRAND_SLAM,MS,874,Qualification,AN Junyeong (KOR),TANAKA Yuta (JPN),TANAKA Yuta
World Tour Japan Open Kitakyushu 2018,2018-06-07,CHOI Inhyeok,TANTAKOOL Tananan,4,2,"11,8,11,8,11,11|7,11,8,11,8,5",QR128,GRAND_SLAM,MS,874,Qualification,TANTAKOOL Tananan (THA),CHOI Inhyeok (KOR),CHOI Inhyeok
World Tour Japan Open Kitakyushu 2018,2018-06-07,YANG Tzu-Yi,KIM Heemang,4,0,"11,11,11,11|5,5,7,4",QR128,GRAND_SLAM,MS,874,Qualification,KIM Heemang (KOR),YANG Tzu-Yi (TPE),YANG Tzu-Yi
World Tour Japan Open Kitakyushu 2018,2018-06-07,TAGUCHI Emiko,DRAGOMAN Andreea,4,2,"9,6,11,11,11,11|11,11,8,4,6,8",QR128,GRAND_SLAM,WS,874,Qualification,TAGUCHI Emiko (JPN),DRAGOMAN Andreea (ROU),TAGUCHI Emiko
World Tour Japan Open Kitakyushu 2018,2018-06-07,LIU Hsing-Yin,KANG Eunji,4,3,"9,11,12,11,4,11,11|11,9,14,8,11,5,7",QR128,GRAND_SLAM,WS,874,Qualification,KANG Eunji (KOR),LIU Hsing-Yin (TPE),LIU Hsing-Yin
World Tour Japan Open Kitakyushu 2018,2018-06-07,SAWETTABUT Jinnipa,KIM Yealin,4,0,"13,11,12,11|11,6,10,5",QR128,GRAND_SLAM,WS,874,Qualification,SAWETTABUT Jinnipa (THA),KIM Yealin (KOR),SAWETTABUT Jinnipa
World Tour Japan Open Kitakyushu 2018,2018-06-07,HUANG Hsin,YOU Sowon,4,1,"7,11,11,13,11|11,6,7,11,8",QR128,GRAND_SLAM,WS,874,Qualification,YOU Sowon (KOR),HUANG Hsin (TPE),HUANG Hsin
World Tour Japan Open Kitakyushu 2018,2018-06-07,WEE Yeji,PHOMMA Thapanee,4,1,"8,11,11,12,11|11,8,4,10,7",QR128,GRAND_SLAM,WS,874,Qualification,WEE Yeji (KOR),PHOMMA Thapanee (THA),WEE Yeji
World Tour Japan Open Kitakyushu 2018,2018-06-07,CHEN Chien-An,TOGAMI Shunsuke,4,1,"11,11,11,10,11|6,5,7,12,6",QR64,GRAND_SLAM,MS,874,Qualification,CHEN Chien-An (TPE),TOGAMI Shunsuke (JPN),CHEN Chien-An
World Tour Japan Open Kitakyushu 2018,2018-06-07,ZHOU Yu,CHO Eonrae,4,0,"11,11,11,11|6,2,3,4",QR64,GRAND_SLAM,MS,874,Qualification,CHO Eonrae (KOR),ZHOU Yu (CHN),ZHOU Yu
World Tour Japan Open Kitakyushu 2018,2018-06-07,YOSHIMURA Kazuhiro,SON Suk Hyun,4,0,"11,13,11,11|1,11,5,5",QR64,GRAND_SLAM,MS,874,Qualification,SON Suk Hyun (KOR),YOSHIMURA Kazuhiro (JPN),YOSHIMURA Kazuhiro
World Tour Japan Open Kitakyushu 2018,2018-06-07,CHO Seungmin,KWAK Yu Bin,4,0,"11,11,11,11|8,9,7,6",QR64,GRAND_SLAM,MS,874,Qualification,KWAK Yu Bin (KOR),CHO Seungmin (KOR),CHO Seungmin
World Tour Japan Open Kitakyushu 2018,2018-06-07,CHIANG Hung-Chieh,SANGLERTSILPACHAI Thyme,4,0,"11,11,11,11|8,7,8,2",QR64,GRAND_SLAM,MS,874,Qualification,CHIANG Hung-Chieh (TPE),SANGLERTSILPACHAI Thyme (THA),CHIANG Hung-Chieh
World Tour Japan Open Kitakyushu 2018,2018-06-07,AN Jaehyun,PISTEJ Lubomir,4,2,"11,6,13,11,11,13|4,11,15,6,8,11",QR64,GRAND_SLAM,MS,874,Qualification,PISTEJ Lubomir (SVK),AN Jaehyun (KOR),AN Jaehyun
World Tour Japan Open Kitakyushu 2018,2018-06-07,HUNG Tzu-Hsiang,SZOCS Hunor,4,1,"11,6,11,11,11|6,11,8,6,4",QR64,GRAND_SLAM,MS,874,Qualification,SZOCS Hunor (ROU),HUNG Tzu-Hsiang (TPE),HUNG Tzu-Hsiang
World Tour Japan Open Kitakyushu 2018,2018-06-07,APOLONIA Tiago,PANKHAOYOY Supakron,4,0,"11,11,11,11|8,7,9,6",QR64,GRAND_SLAM,MS,874,Qualification,PANKHAOYOY Supakron (THA),APOLONIA Tiago (POR),APOLONIA Tiago
World Tour Japan Open Kitakyushu 2018,2018-06-07,ZHANG Jike,MATSUBARA Yutaka,4,0,"11,11,11,11|3,2,3,7",QR64,GRAND_SLAM,MS,874,Qualification,ZHANG Jike (CHN),MATSUBARA Yutaka (CHI),ZHANG Jike
World Tour Japan Open Kitakyushu 2018,2018-06-07,KIM Daewoo,TAZOE Kenta,4,1,"11,14,11,8,11|8,12,8,11,6",QR64,GRAND_SLAM,MS,874,Qualification,KIM Daewoo (KOR),TAZOE Kenta (JPN),KIM Daewoo
World Tour Japan Open Kitakyushu 2018,2018-06-07,LIU Dingshuo,CHOI Wonjin,4,0,"11,11,11,11|9,4,7,7",QR64,GRAND_SLAM,MS,874,Qualification,CHOI Wonjin (KOR),LIU Dingshuo (CHN),LIU Dingshuo
World Tour Japan Open Kitakyushu 2018,2018-06-07,DUDA Benedikt,PANAGITGUN Yanapong,4,0,"11,11,11,11|3,4,4,5",QR64,GRAND_SLAM,MS,874,Qualification,DUDA Benedikt (GER),PANAGITGUN Yanapong (THA),DUDA Benedikt
World Tour Japan Open Kitakyushu 2018,2018-06-07,LIN Yun-Ju,CHENG Hao-Huan,4,0,"11,11,11,11|6,9,4,7",QR64,GRAND_SLAM,MS,874,Qualification,CHENG Hao-Huan (TPE),LIN Yun-Ju (TPE),LIN Yun-Ju
World Tour Japan Open Kitakyushu 2018,2018-06-07,ROBLES Alvaro,LEE Chia-Sheng,4,1,"11,10,11,11,11|6,12,1,4,6",QR64,GRAND_SLAM,MS,874,Qualification,ROBLES Alvaro (ESP),LEE Chia-Sheng (TPE),ROBLES Alvaro
World Tour Japan Open Kitakyushu 2018,2018-06-07,LAM Siu Hang,PENG Wang-Wei,4,1,"14,7,11,11,14|12,11,4,6,12",QR64,GRAND_SLAM,MS,874,Qualification,LAM Siu Hang (HKG),PENG Wang-Wei (TPE),LAM Siu Hang
World Tour Japan Open Kitakyushu 2018,2018-06-07,JANG Woojin,SEO Junghwa,4,1,"11,11,11,9,11|8,3,9,11,8",QR64,GRAND_SLAM,MS,874,Qualification,SEO Junghwa (KOR),JANG Woojin (KOR),JANG Woojin
World Tour Japan Open Kitakyushu 2018,2018-06-07,MORIZONO Masataka,FENG Yi-Hsin,4,1,"11,9,11,11,11|3,11,8,6,4",QR64,GRAND_SLAM,MS,874,Qualification,FENG Yi-Hsin (TPE),MORIZONO Masataka (JPN),MORIZONO Masataka
World Tour Japan Open Kitakyushu 2018,2018-06-07,LIANG Jingkun,PUTHIKUNGASERN Veerapat,4,1,"11,8,11,11,11|7,11,3,1,4",QR64,GRAND_SLAM,MS,874,Qualification,PUTHIKUNGASERN Veerapat (THA),LIANG Jingkun (CHN),LIANG Jingkun
World Tour Japan Open Kitakyushu 2018,2018-06-07,CHOI Inhyeok,KIZUKURI Yuto,4,3,"7,14,2,10,13,11,11|11,12,11,12,11,9,4",QR64,GRAND_SLAM,MS,874,Qualification,CHOI Inhyeok (KOR),KIZUKURI Yuto (JPN),CHOI Inhyeok
World Tour Japan Open Kitakyushu 2018,2018-06-07,ZHOU Kai,NG Pak Nam,4,0,"11,12,11,11|4,10,1,2",QR64,GRAND_SLAM,MS,874,Qualification,ZHOU Kai (CHN),NG Pak Nam (HKG),ZHOU Kai
World Tour Japan Open Kitakyushu 2018,2018-06-07,LIM Jonghoon,CHO Daeseong,4,1,"6,11,11,11,11|11,6,8,6,8",QR64,GRAND_SLAM,MS,874,Qualification,LIM Jonghoon (KOR),CHO Daeseong (KOR),LIM Jonghoon
World Tour Japan Open Kitakyushu 2018,2018-06-07,KIM Donghyun,YANG Heng-Wei,4,1,"11,11,11,9,11|9,9,9,11,7",QR64,GRAND_SLAM,MS,874,Qualification,KIM Donghyun (KOR),YANG Heng-Wei (TPE),KIM Donghyun
World Tour Japan Open Kitakyushu 2018,2018-06-07,GAO Ning,TSAI Chun-Yu,4,0,"11,11,11,12|2,7,7,10",QR64,GRAND_SLAM,MS,874,Qualification,GAO Ning (SGP),TSAI Chun-Yu (TPE),GAO Ning
World Tour Japan Open Kitakyushu 2018,2018-06-07,TANAKA Yuta,GERALDO Joao,4,1,"11,11,5,11,11|6,7,11,6,7",QR64,GRAND_SLAM,MS,874,Qualification,GERALDO Joao (POR),TANAKA Yuta (JPN),TANAKA Yuta
World Tour Japan Open Kitakyushu 2018,2018-06-07,OIKAWA Mizuki,CHIN Mao-Cheng,4,0,"11,11,11,11|2,6,6,9",QR64,GRAND_SLAM,MS,874,Qualification,OIKAWA Mizuki (JPN),CHIN Mao-Cheng (TPE),OIKAWA Mizuki
World Tour Japan Open Kitakyushu 2018,2018-06-07,YU Ziyang,KALLBERG Anton,4,1,"11,8,11,11,11|3,11,3,7,8",QR64,GRAND_SLAM,MS,874,Qualification,YU Ziyang (CHN),KALLBERG Anton (SWE),YU Ziyang
World Tour Japan Open Kitakyushu 2018,2018-06-07,QIU Dang,UDA Yukiya,4,3,"11,11,11,8,7,7,11|4,8,8,11,11,11,9",QR64,GRAND_SLAM,MS,874,Qualification,QIU Dang (GER),UDA Yukiya (JPN),QIU Dang
World Tour Japan Open Kitakyushu 2018,2018-06-07,HO Kwan Kit,MATSUSHIMA Sora,4,0,"11,11,11,15|6,9,7,13",QR64,GRAND_SLAM,MS,874,Qualification,MATSUSHIMA Sora (JPN),HO Kwan Kit (HKG),HO Kwan Kit
World Tour Japan Open Kitakyushu 2018,2018-06-07,LIAO Cheng-Ting,TANVIRIYAVECHAKUL Padasak,4,1,"9,11,11,11,11|11,8,6,9,5",QR64,GRAND_SLAM,MS,874,Qualification,LIAO Cheng-Ting (TPE),TANVIRIYAVECHAKUL Padasak (THA),LIAO Cheng-Ting
World Tour Japan Open Kitakyushu 2018,2018-06-07,HWANG Minha,JIANG Tianyi,4,1,"7,11,11,11,12|11,2,2,8,10",QR64,GRAND_SLAM,MS,874,Qualification,HWANG Minha (KOR),JIANG Tianyi (HKG),HWANG Minha
World Tour Japan Open Kitakyushu 2018,2018-06-07,JEOUNG Youngsik,KIM Minhyeok,4,0,"11,11,11,11|4,6,9,4",QR64,GRAND_SLAM,MS,874,Qualification,JEOUNG Youngsik (KOR),KIM Minhyeok (KOR),JEOUNG Youngsik
World Tour Japan Open Kitakyushu 2018,2018-06-07,YANG Tzu-Yi,MAJOROS Bence,4,2,"11,16,17,11,10,12|13,14,15,7,12,10",QR64,GRAND_SLAM,MS,874,Qualification,MAJOROS Bence (HUN),YANG Tzu-Yi (TPE),YANG Tzu-Yi
World Tour Japan Open Kitakyushu 2018,2018-06-07,ODO Satsuki,LIU Hsing-Yin,4,2,"11,11,8,11,11,14|3,9,11,13,5,12",QR64,GRAND_SLAM,WS,874,Qualification,ODO Satsuki (JPN),LIU Hsing-Yin (TPE),ODO Satsuki
World Tour Japan Open Kitakyushu 2018,2018-06-07,MU Zi,CHE Xiaoxi,4,1,"11,13,12,9,11|5,11,10,11,8",QR64,GRAND_SLAM,WS,874,Qualification,CHE Xiaoxi (CHN),MU Zi (CHN),MU Zi
