tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
All Africa Games Rabat 2019,2019-08-20,KRICHEL Mohamed,NGEFUASSA Exauce,3,2,"8,11,13,14,15|11,8,11,16,13",R16,OTHER,MT,2012,Main Draw,KRICHEL Mohamed (MAR),NGEFUASSA Exauce (COD)
All Africa Games Rabat 2019,2019-08-20,TIRSELT Mounaim,DIAMUANGANA DIAWAKU Djo,3,0,"11,11,12|5,8,10",R16,OTHER,MT,2012,Main Draw,TIRSELT Mounaim (MAR),DIAMUANGANA DIAWAKU Djo (COD)
All Africa Games Rabat 2019,2019-08-20,KASSA Gedeon,KARAM Salim,3,1,"9,11,11,11|11,2,3,8",R16,OTHER,MT,2012,Main Draw,KARAM Salim (MAR),KASSA Gedeon (COD)
All Africa Games Rabat 2019,2019-08-20,TIRSELT Mounaim,NGEFUASSA Exauce,3,0,"11,11,11|9,9,7",R16,OTHER,MT,2012,Main Draw,TIRSELT Mounaim (MAR),NGEFUASSA Exauce (COD)
All Africa Games Rabat 2019,2019-08-20,ALASSANI Soudes,KHEROUF Sami,3,0,"11,13,11|3,11,7",R16,OTHER,MT,2012,Main Draw,KHEROUF Sami (ALG),ALASSANI Soudes (TOG)
All Africa Games Rabat 2019,2019-08-20,AGBETOGLO Mawussi,BOUDJADJA Sofiene,3,0,"11,11,11|8,5,3",R16,OTHER,MT,2012,Main Draw,BOUDJADJA Sofiene (ALG),AGBETOGLO Mawussi (TOG)
All Africa Games Rabat 2019,2019-08-20,BOURIAH Larbi,FANNY Kokou,3,2,"7,11,8,11,11|11,8,11,9,6",R16,OTHER,MT,2012,Main Draw,BOURIAH Larbi (ALG),FANNY Kokou (TOG)
All Africa Games Rabat 2019,2019-08-20,BOUDJADJA Sofiene,ALASSANI Soudes,3,0,"11,11,11|7,8,5",R16,OTHER,MT,2012,Main Draw,BOUDJADJA Sofiene (ALG),ALASSANI Soudes (TOG)
All Africa Games Rabat 2019,2019-08-20,AGBETOGLO Mawussi,KHEROUF Sami,3,2,"12,11,9,11,11|10,9,11,13,7",R16,OTHER,MT,2012,Main Draw,KHEROUF Sami (ALG),AGBETOGLO Mawussi (TOG)
All Africa Games Rabat 2019,2019-08-20,HMAM Adam,MANUEL Domingos,3,2,"11,8,11,7,12|7,11,1,11,10",R16,OTHER,MT,2012,Main Draw,MANUEL Domingos (ANG),HMAM Adam (TUN)
All Africa Games Rabat 2019,2019-08-20,AMMOUS Omar,ANTONIO Alessio,3,2,"11,5,11,12,11|8,11,5,14,7",R16,OTHER,MT,2012,Main Draw,ANTONIO Alessio (ANG),AMMOUS Omar (TUN)
