tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,XIANG Peng,SONE Kakeru,3,2,"11,9,7,11,11|7,11,11,5,8",R64,OLYMPICS,U21MS,2030,Main Draw,SONE Kakeru (JPN),XIANG Peng (CHN),XIANG Peng
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SAI Linwei,MASIP Joan,3,0,"11,11,11|5,1,4",R64,OLYMPICS,U21MS,2030,Main Draw,SAI Linwei (CHN),MASIP Joan (ESP),SAI Linwei
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ABUSEV Artur,PICIULIN Gabriele,3,0,"11,11,11|5,7,4",R64,OLYMPICS,U21MS,2030,Main Draw,PICIULIN Gabriele (ITA),ABUSEV Artur (RUS),ABUSEV Artur
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,MARTINKO Jiri,PIERAERT Valentin,3,2,"12,11,5,11,11|14,9,11,4,8",R64,OLYMPICS,U21MS,2030,Main Draw,MARTINKO Jiri (CZE),PIERAERT Valentin (BEL),MARTINKO Jiri
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ROSSI Carlo,SODERLUND Simon,3,1,"13,11,9,11|11,7,11,7",R64,OLYMPICS,U21MS,2030,Main Draw,ROSSI Carlo (ITA),SODERLUND Simon (SWE),ROSSI Carlo
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,REMBERT Bastien,HAUG Borgar,3,1,"11,11,11,11|8,6,13,8",R64,OLYMPICS,U21MS,2030,Main Draw,HAUG Borgar (NOR),REMBERT Bastien (FRA),REMBERT Bastien
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ENGEMANN Gerrit,AMORIM Vitor,3,0,"13,11,11|11,8,6",R64,OLYMPICS,U21MS,2030,Main Draw,ENGEMANN Gerrit (GER),AMORIM Vitor (POR),ENGEMANN Gerrit
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,MEISSNER Cedric,DARCIS Thibaut,3,1,"11,11,7,11|5,5,11,6",R64,OLYMPICS,U21MS,2030,Main Draw,DARCIS Thibaut (BEL),MEISSNER Cedric (GER),MEISSNER Cedric
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HOHMEIER Nils,FRIEDRICH Christian,3,0,"11,11,14|9,1,12",R64,OLYMPICS,U21MS,2030,Main Draw,FRIEDRICH Christian (AUT),HOHMEIER Nils (GER),HOHMEIER Nils
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,JARVIS Tom,SINGEORZAN Bogdan,3,0,"11,11,11|5,8,8",R64,OLYMPICS,U21MS,2030,Main Draw,JARVIS Tom (ENG),SINGEORZAN Bogdan (ROU),JARVIS Tom
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,AMATO Antonino,ZELINKA Jakub,3,1,"4,11,11,12|11,4,9,10",R64,OLYMPICS,U21MS,2030,Main Draw,ZELINKA Jakub (SVK),AMATO Antonino (ITA),AMATO Antonino
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ZENG Beixun,BERTRAND Irvin,3,2,"11,11,11,4,11|7,6,13,11,9",R64,OLYMPICS,U21MS,2030,Main Draw,ZENG Beixun (CHN),BERTRAND Irvin (FRA),ZENG Beixun
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HODAEI Amir Hossein,GRININGER Thomas,3,0,"14,11,11|12,9,6",R64,OLYMPICS,U21MS,2030,Main Draw,GRININGER Thomas (AUT),HODAEI Amir Hossein (IRI),HODAEI Amir Hossein
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,CNUDDE Florian,TIUTRIUMOV Aleksandr,3,1,"11,5,11,11|8,11,5,9",R64,OLYMPICS,U21MS,2030,Main Draw,TIUTRIUMOV Aleksandr (RUS),CNUDDE Florian (BEL),CNUDDE Florian
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,TOGAMI Shunsuke,LI Hsin-Yang,3,2,"11,7,11,2,11|7,11,4,11,5",R64,OLYMPICS,U21MS,2030,Main Draw,TOGAMI Shunsuke (JPN),LI Hsin-Yang (TPE),TOGAMI Shunsuke
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,KLOS Patrik,VALENZUELA David,3,1,"11,9,11,11|9,11,2,4",R64,OLYMPICS,U21MS,2030,Main Draw,VALENZUELA David (CHI),KLOS Patrik (CZE),KLOS Patrik
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,POLANSKY Tomas,FALANA Tobi,3,0,"11,11,11|1,4,5",R64,OLYMPICS,U21MS,2030,Main Draw,POLANSKY Tomas (CZE),FALANA Tobi (NGR),POLANSKY Tomas
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SPANIK Tibor,KNIGHT Tyrese,3,0,"11,11,11|6,6,9",R64,OLYMPICS,U21MS,2030,Main Draw,KNIGHT Tyrese (BAR),SPANIK Tibor (SVK),SPANIK Tibor
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SHINOZUKA Hiroto,HRIBAR Peter,3,0,"11,11,11|6,4,7",R64,OLYMPICS,U21MS,2030,Main Draw,HRIBAR Peter (SLO),SHINOZUKA Hiroto (JPN),SHINOZUKA Hiroto
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SIDORENKO Vladimir,CHEN Yung-Hsun,3,0,"14,11,11|12,5,6",R64,OLYMPICS,U21MS,2030,Main Draw,CHEN Yung-Hsun (TPE),SIDORENKO Vladimir (RUS),SIDORENKO Vladimir
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,IVONIN Denis,POSCH Lars,3,1,"11,11,6,11|5,1,11,7",R64,OLYMPICS,U21MS,2030,Main Draw,IVONIN Denis (RUS),POSCH Lars (SUI),IVONIN Denis
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,TIO Nicholas,FRANCISCO Jose Pedro,3,2,"11,11,6,11,12|9,5,11,13,10",R64,OLYMPICS,U21MS,2030,Main Draw,FRANCISCO Jose Pedro (POR),TIO Nicholas (USA),TIO Nicholas
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,DEVOS Laurens,TSCHANZ Cedric,3,2,"10,11,12,12,11|12,8,10,14,8",R64,OLYMPICS,U21MS,2030,Main Draw,DEVOS Laurens (BEL),TSCHANZ Cedric (SUI),DEVOS Laurens
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,WU Yangchen,HO Tin-Tin,3,1,"9,11,11,11|11,4,9,7",R64,OLYMPICS,U21WS,2030,Main Draw,WU Yangchen (CHN),HO Tin-Tin (ENG),WU Yangchen
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,CHEN Yi,SU Pei-Ling,3,0,"14,11,11|12,7,5",R64,OLYMPICS,U21WS,2030,Main Draw,SU Pei-Ling (TPE),CHEN Yi (CHN),CHEN Yi
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,KAZANTSEVA Kristina,FORT Nolwenn,3,0,"11,11,11|5,7,6",R64,OLYMPICS,U21WS,2030,Main Draw,KAZANTSEVA Kristina (RUS),FORT Nolwenn (FRA),KAZANTSEVA Kristina
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,FEHER Orsolya,FERNANDEZ Alba,3,0,"11,11,11|5,6,6",R64,OLYMPICS,U21WS,2030,Main Draw,FEHER Orsolya (HUN),FERNANDEZ Alba (ESP),FEHER Orsolya
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,GARCIA Ana,LUPULESKU Izabela,3,2,"11,11,6,8,11|6,8,11,11,6",R64,OLYMPICS,U21WS,2030,Main Draw,GARCIA Ana (ESP),LUPULESKU Izabela (SRB),GARCIA Ana
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,DIACONU Adina,PUCHOVANOVA Nikoleta,3,0,"11,11,11|3,8,6",R64,OLYMPICS,U21WS,2030,Main Draw,DIACONU Adina (ROU),PUCHOVANOVA Nikoleta (SVK),DIACONU Adina
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,DEGRAEF Margo,CARLSEN Rebekka,3,0,"12,11,11|10,7,5",R64,OLYMPICS,U21WS,2030,Main Draw,CARLSEN Rebekka (NOR),DEGRAEF Margo (BEL),DEGRAEF Margo
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,DOVAL Ilka,BOLTON Emily,3,2,"9,11,11,8,11|11,3,6,11,4",R64,OLYMPICS,U21WS,2030,Main Draw,DOVAL Ilka (NOR),BOLTON Emily (ENG),DOVAL Ilka
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,FRONT Erika,TERPOU Elisavet,3,0,"11,11,12|5,9,10",R64,OLYMPICS,U21WS,2030,Main Draw,TERPOU Elisavet (GRE),FRONT Erika (SWE),FRONT Erika
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,DRAGOMAN Andreea,SANTOS Marta,3,1,"11,11,8,11|7,7,11,4",R64,OLYMPICS,U21WS,2030,Main Draw,DRAGOMAN Andreea (ROU),SANTOS Marta (POR),DRAGOMAN Andreea
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,KUAI Man,OJIO Haruna,3,2,"9,11,6,11,11|11,4,11,8,7",R64,OLYMPICS,U21WS,2030,Main Draw,KUAI Man (CHN),OJIO Haruna (JPN),KUAI Man
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,CLAPA Andreea,FEREDJ Hiba,3,1,"5,11,11,11|11,6,8,2",R64,OLYMPICS,U21WS,2030,Main Draw,FEREDJ Hiba (ALG),CLAPA Andreea (ROU),CLAPA Andreea
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,FAN Siqi,LIU Yangzi,3,2,"7,9,11,11,11|11,11,6,8,6",R64,OLYMPICS,U21WS,2030,Main Draw,LIU Yangzi (AUS),FAN Siqi (CHN),FAN Siqi
