tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,HODAEI Amir Hossein,PENG Chih,3,0,"11,11,11|4,4,7",,OLYMPICS,U21MS,2037,Qualification,HODAEI Amir Hossein (IRI),PENG Chih (TPE),HODAEI Amir Hossein
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,HUANG Yan-Cheng,DANI Mudit,3,0,"11,11,12|5,9,10",,OLYMPICS,U21MS,2037,Qualification,DANI Mudit (IND),HUANG Yan-Cheng (TPE),HUANG Yan-Cheng
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,HAM Yu Song,RYU Kuk Bin,3,0,"11,11,11|9,8,7",,OLYMPICS,U21MS,2037,Qualification,HAM Yu Song (PRK),RYU Kuk Bin (PRK),HAM Yu Song
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,JON Hyo Jung,KIM Hak Yong,3,1,"11,7,11,12|9,11,7,10",,OLYMPICS,U21MS,2037,Qualification,JON Hyo Jung (PRK),KIM Hak Yong (PRK),JON Hyo Jung
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,FENG Yi-Hsin,TAI Ming-Wei,3,1,"11,18,8,11|9,16,11,9",,OLYMPICS,U21MS,2037,Qualification,FENG Yi-Hsin (TPE),TAI Ming-Wei (TPE),FENG Yi-Hsin
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,KIM Jon,PAE Se Hung,3,1,"9,11,12,12|11,7,10,10",,OLYMPICS,U21MS,2037,Qualification,KIM Jon (PRK),PAE Se Hung (PRK),KIM Jon
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,KIM Kum Yong,DOVAL Ilka,3,0,"11,11,11|4,3,5",,OLYMPICS,U21WS,2037,Qualification,DOVAL Ilka (NOR),KIM Kum Yong (PRK),KIM Kum Yong
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,AHMADIAN Amin,HUANG Yu-Jen,3,2,"7,11,9,11,11|11,8,11,5,6",,OLYMPICS,U21MS,2037,Qualification,AHMADIAN Amin (IRI),HUANG Yu-Jen (TPE),AHMADIAN Amin
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,RI Hyang,JU Hyang Hui,3,2,"11,4,11,2,11|9,11,3,11,4",,OLYMPICS,U21WS,2037,Qualification,JU Hyang Hui (PRK),RI Hyang (PRK),RI Hyang
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,KIM Mi Ra,CHIEN Tung-Chuan,3,0,"11,11,11|4,2,5",,OLYMPICS,U21WS,2037,Qualification,CHIEN Tung-Chuan (TPE),KIM Mi Ra (PRK),KIM Mi Ra
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,KU Jin Ryong,KIM Su Jin,3,2,"10,11,3,11,11|12,9,11,8,9",,OLYMPICS,U21MS,2037,Qualification,KIM Su Jin (PRK),KU Jin Ryong (PRK),KU Jin Ryong
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,CAI Fong-En,CHANG Ju-Chia,3,0,"13,11,11|11,5,9",,OLYMPICS,U21WS,2037,Qualification,CAI Fong-En (TPE),CHANG Ju-Chia (TPE),CAI Fong-En
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,PAK Su Gyong,KIM Un Song,3,0,"11,11,11|8,9,5",,OLYMPICS,U21WS,2037,Qualification,KIM Un Song (PRK),PAK Su Gyong (PRK),PAK Su Gyong
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,YU Hsiu-Ting,LEE Wan-Hsuan,3,1,"8,11,11,11|11,7,8,7",,OLYMPICS,U21WS,2037,Qualification,YU Hsiu-Ting (TPE),LEE Wan-Hsuan (TPE),YU Hsiu-Ting
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,CHA Su Yong,PYON Song Gyong,3,1,"9,11,11,11|11,8,7,7",,OLYMPICS,U21WS,2037,Qualification,CHA Su Yong (PRK),PYON Song Gyong (PRK),CHA Su Yong
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,HAM Yu Song,DANI Mudit,3,0,"11,11,11|8,5,2",,OLYMPICS,U21MS,2037,Qualification,HAM Yu Song (PRK),DANI Mudit (IND),HAM Yu Song
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,TAI Ming-Wei,PAE Se Hung,3,0,"11,11,11|9,6,8",,OLYMPICS,U21MS,2037,Qualification,TAI Ming-Wei (TPE),PAE Se Hung (PRK),TAI Ming-Wei
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,HODAEI Amir Hossein,JON Hyo Jung,3,1,"11,3,11,11|8,11,7,8",,OLYMPICS,U21MS,2037,Qualification,HODAEI Amir Hossein (IRI),JON Hyo Jung (PRK),HODAEI Amir Hossein
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,PENG Chih,KIM Hak Yong,3,0,"11,11,11|8,7,8",,OLYMPICS,U21MS,2037,Qualification,PENG Chih (TPE),KIM Hak Yong (PRK),PENG Chih
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,FENG Yi-Hsin,KIM Jon,3,2,"11,15,8,11,14|4,17,11,4,12",,OLYMPICS,U21MS,2037,Qualification,FENG Yi-Hsin (TPE),KIM Jon (PRK),FENG Yi-Hsin
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,HUANG Yan-Cheng,RYU Kuk Bin,3,0,"11,11,11|5,6,9",,OLYMPICS,U21MS,2037,Qualification,RYU Kuk Bin (PRK),HUANG Yan-Cheng (TPE),HUANG Yan-Cheng
ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019-07-24,AHMADIAN Amin,KIM Su Jin,3,0,"11,11,11|8,7,8",,OLYMPICS,U21MS,2037,Qualification,AHMADIAN Amin (IRI),KIM Su Jin (PRK),AHMADIAN Amin
