tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,TAKAHASHI Bruna,PAULIN Lea,3,0,"11,11,11|6,8,9",R64,OLYMPICS,U21WS,2034,Main Draw,PAULIN Lea (SLO),TAKAHASHI Bruna (BRA)
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,ZHANG Wenjing,VOVK Aleksandra,3,1,"9,11,11,11|11,6,3,8",R64,OLYMPICS,U21WS,2034,Main Draw,VOVK Aleksandra (SLO),ZHANG Wenjing (HKG)
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,PAVLOVIC Andrea,LIU Qi,3,2,"11,8,11,7,11|8,11,7,11,8",R64,OLYMPICS,U21WS,2034,Main Draw,PAVLOVIC Andrea (CRO),LIU Qi (HKG)
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,DEGRAEF Margo,BOLTON Emily,3,0,"11,11,11|4,8,7",R64,OLYMPICS,U21WS,2034,Main Draw,DEGRAEF Margo (BEL),BOLTON Emily (ENG)
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,SEVCIKOVA Marketa,SHADRINA Daria,3,2,"4,11,9,11,12|11,4,11,9,10",R64,OLYMPICS,U21WS,2034,Main Draw,SEVCIKOVA Marketa (CZE),SHADRINA Daria (RUS)
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,GARCIA Ana,PAREDES Nathaly,3,2,"11,11,8,8,15|7,3,11,11,13",R64,OLYMPICS,U21WS,2034,Main Draw,PAREDES Nathaly (ECU),GARCIA Ana (ESP)
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,JOKIC Tijana,DIACONU Adina,3,1,"7,11,11,11|11,8,4,9",R64,OLYMPICS,U21WS,2034,Main Draw,DIACONU Adina (ROU),JOKIC Tijana (SRB)
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,AKULA Sreeja,REYES Macarena,3,0,"11,11,11|0,4,6",R64,OLYMPICS,U21WS,2034,Main Draw,REYES Macarena (CHI),AKULA Sreeja (IND)
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,MAK Tze Wing,COTE Alicia,3,0,"11,11,11|6,6,6",R64,OLYMPICS,U21WS,2034,Main Draw,MAK Tze Wing (HKG),COTE Alicia (CAN)
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,OJIO Haruna,SAWETTABUT Jinnipa,3,0,"11,11,11|3,9,9",R64,OLYMPICS,U21WS,2034,Main Draw,SAWETTABUT Jinnipa (THA),OJIO Haruna (JPN)
ITTF Challenge Slovenia Open Otocec 2019,2019-05-08,KOLISH Anastasia,STRAZAR Katarina,3,1,"11,9,11,11|8,11,9,8",R64,OLYMPICS,U21WS,2034,Main Draw,KOLISH Anastasia (RUS),STRAZAR Katarina (SLO)
