tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge Thailand Open Bangkok 2019,2019-05-22,OH Minseo,HIPPLER Tobias,3,2,"11,6,2,12,11|7,11,11,10,7",R16,OLYMPICS,U21MS,2036,Main Draw,HIPPLER Tobias (GER),OH Minseo (KOR)
ITTF Challenge Thailand Open Bangkok 2019,2019-05-22,TAKAMI Masaki,TIAN Ye,3,1,"11,9,11,11|7,11,4,7",R16,OLYMPICS,U21MS,2036,Main Draw,TIAN Ye (USA),TAKAMI Masaki (JPN)
ITTF Challenge Thailand Open Bangkok 2019,2019-05-22,HUANG Yu-Jen,BEH Kun Ting,3,2,"5,11,11,5,11|11,6,7,11,9",R16,OLYMPICS,U21MS,2036,Main Draw,HUANG Yu-Jen (TPE),BEH Kun Ting (SGP)
ITTF Challenge Thailand Open Bangkok 2019,2019-05-22,LI Hsin-Yu,BHANJA Ronit,3,1,"11,11,11,11|13,7,3,9",R16,OLYMPICS,U21MS,2036,Main Draw,LI Hsin-Yu (TPE),BHANJA Ronit (IND)
ITTF Challenge Thailand Open Bangkok 2019,2019-05-22,RASSENFOSSE Adrien,CHANDRA Jeet,3,2,"9,11,11,11,11|11,8,13,7,7",R16,OLYMPICS,U21MS,2036,Main Draw,CHANDRA Jeet (IND),RASSENFOSSE Adrien (BEL)
ITTF Challenge Thailand Open Bangkok 2019,2019-05-22,TAI Ming-Wei,PANDE Siddhesh,3,2,"7,14,11,11,11|11,16,6,8,8",R16,OLYMPICS,U21MS,2036,Main Draw,TAI Ming-Wei (TPE),PANDE Siddhesh (IND)
ITTF Challenge Thailand Open Bangkok 2019,2019-05-22,PANG Koen,KWAK Yu Bin,3,1,"11,11,6,13|8,9,11,11",R16,OLYMPICS,U21MS,2036,Main Draw,PANG Koen (SGP),KWAK Yu Bin (KOR)
ITTF Challenge Thailand Open Bangkok 2019,2019-05-22,BAEK Hogyun,FENG Yi-Hsin,3,1,"11,6,13,11|5,11,11,9",R16,OLYMPICS,U21MS,2036,Main Draw,BAEK Hogyun (KOR),FENG Yi-Hsin (TPE)
ITTF Challenge Thailand Open Bangkok 2019,2019-05-22,SAWETTABUT Jinnipa,CHAU Wing Sze,3,0,"12,11,11|10,4,5",R16,OLYMPICS,U21WS,2036,Main Draw,SAWETTABUT Jinnipa (THA),CHAU Wing Sze (HKG)
ITTF Challenge Thailand Open Bangkok 2019,2019-05-22,PAVADE Prithika,KANG Dayeon,3,2,"11,15,5,11,11|7,17,11,9,9",R16,OLYMPICS,U21WS,2036,Main Draw,KANG Dayeon (KOR),PAVADE Prithika (FRA)
