tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF World Tour Hong Kong Open Hong Kong 2019,2019-06-04,WALKER Samuel,LI Hon Ming,4,2,"3,9,11,11,11,11|11,11,8,6,8,4",QR128,GRAND_SLAM,MS,2020,Qualification,LI Hon Ming (HKG),WALKER Samuel (ENG)
ITTF World Tour Hong Kong Open Hong Kong 2019,2019-06-04,WANG Chuqin,KIM Daewoo,4,0,"11,11,11,11|8,6,7,9",QR128,GRAND_SLAM,MS,2020,Qualification,WANG Chuqin (CHN),KIM Daewoo (KOR)
ITTF World Tour Hong Kong Open Hong Kong 2019,2019-06-04,MOREGARD Truls,HAZIN Jeremy,4,0,"11,11,11,11|6,2,8,8",QR128,GRAND_SLAM,MS,2020,Qualification,MOREGARD Truls (SWE),HAZIN Jeremy (CAN)
ITTF World Tour Hong Kong Open Hong Kong 2019,2019-06-04,ZHAI Yujia,TROMER Laurens,4,0,"11,11,11,11|7,3,5,6",QR128,GRAND_SLAM,MS,2020,Qualification,ZHAI Yujia (DEN),TROMER Laurens (NED)
ITTF World Tour Hong Kong Open Hong Kong 2019,2019-06-04,ANTHONY Amalraj,PAU Yik Man,4,1,"11,11,10,11,11|8,2,12,5,5",QR128,GRAND_SLAM,MS,2020,Qualification,PAU Yik Man (HKG),ANTHONY Amalraj (IND)
ITTF World Tour Hong Kong Open Hong Kong 2019,2019-06-04,SZUDI Adam,FEGERL Stefan,4,3,"5,11,11,18,9,4,17|11,7,7,16,11,11,15",QR128,GRAND_SLAM,MS,2020,Qualification,SZUDI Adam (HUN),FEGERL Stefan (AUT)
ITTF World Tour Hong Kong Open Hong Kong 2019,2019-06-04,GERASSIMENKO Kirill,LAKATOS Tamas,4,0,"11,11,11,14|5,8,9,12",QR128,GRAND_SLAM,MS,2020,Qualification,LAKATOS Tamas (HUN),GERASSIMENKO Kirill (KAZ)
ITTF World Tour Hong Kong Open Hong Kong 2019,2019-06-04,FILUS Ruwen,RASMUSSEN Tobias,4,3,"11,11,11,1,9,8,11|7,3,7,11,11,11,7",QR128,GRAND_SLAM,MS,2020,Qualification,RASMUSSEN Tobias (DEN),FILUS Ruwen (GER)
ITTF World Tour Hong Kong Open Hong Kong 2019,2019-06-04,LAM Siu Hang,VALUCH Alexander,4,2,"11,9,11,7,11,11|4,11,5,11,9,7",QR128,GRAND_SLAM,MS,2020,Qualification,VALUCH Alexander (SVK),LAM Siu Hang (HKG)
ITTF World Tour Hong Kong Open Hong Kong 2019,2019-06-04,KALLBERG Anton,KIM Donghyun,4,1,"7,11,11,11,11|11,9,7,8,8",QR128,GRAND_SLAM,MS,2020,Qualification,KALLBERG Anton (SWE),KIM Donghyun (KOR)
