tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF World Tour Korea Open Busan 2019,2019-07-02,SHIN Yubin,AKAE Kaho,4,2,"9,11,8,11,11,11|11,9,11,7,9,9",QR128,GRAND_SLAM,WS,2022,Qualification,SHIN Yubin (KOR),AKAE Kaho (JPN)
ITTF World Tour Korea Open Busan 2019,2019-07-02,SHI Xunyao,LEE Eunhye,4,1,"15,8,15,11,11|13,11,13,5,5",QR128,GRAND_SLAM,WS,2022,Qualification,SHI Xunyao (CHN),LEE Eunhye (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,LEE Zion,CHEN Ting-Ting,4,1,"11,7,11,11,11|6,11,9,3,8",QR128,GRAND_SLAM,WS,2022,Qualification,CHEN Ting-Ting (TPE),LEE Zion (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,MATSUDAIRA Shiho,KHALIKOVA Kamila,4,0,"11,11,11,11|8,9,9,3",QR128,GRAND_SLAM,WS,2022,Qualification,KHALIKOVA Kamila (UZB),MATSUDAIRA Shiho (JPN)
ITTF World Tour Korea Open Busan 2019,2019-07-02,MORI Sakura,KIM Nayeong,4,1,"11,11,5,11,11|3,2,11,5,5",QR128,GRAND_SLAM,WS,2022,Qualification,MORI Sakura (JPN),KIM Nayeong (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,ZARIF Audrey,RYU Hanna,4,1,"6,11,11,11,11|11,9,4,9,8",QR128,GRAND_SLAM,WS,2022,Qualification,RYU Hanna (KOR),ZARIF Audrey (FRA)
ITTF World Tour Korea Open Busan 2019,2019-07-02,OJIO Haruna,KIM Yeonryeong,4,1,"6,15,11,11,11|11,13,5,4,3",QR128,GRAND_SLAM,WS,2022,Qualification,OJIO Haruna (JPN),KIM Yeonryeong (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,SHAN Xiaona,KIM Yejin,4,0,"11,11,11,11|2,4,5,6",QR128,GRAND_SLAM,WS,2022,Qualification,SHAN Xiaona (GER),KIM Yejin (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,LIU Weishan,MA Wenting,4,0,"11,11,11,11|2,4,8,9",QR128,GRAND_SLAM,WS,2022,Qualification,LIU Weishan (CHN),MA Wenting (NOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,CHEN Ying-Chen,KIM Youjin,4,0,"0,0,0,0|0,0,0,0",QR128,GRAND_SLAM,WS,2022,Qualification,CHEN Ying-Chen (TPE),KIM Youjin (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,QIAN Tianyi,LEE Yeonhui,4,0,"11,11,11,11|8,6,8,7",QR128,GRAND_SLAM,WS,2022,Qualification,LEE Yeonhui (KOR),QIAN Tianyi (CHN)
ITTF World Tour Korea Open Busan 2019,2019-07-02,CHOI Haeeun,AKULA Sreeja,4,0,"11,12,11,11|9,10,8,8",QR128,GRAND_SLAM,WS,2022,Qualification,CHOI Haeeun (KOR),AKULA Sreeja (IND)
ITTF World Tour Korea Open Busan 2019,2019-07-02,HUANG Yu-Chiao,KIM Seoyun,4,2,"12,11,11,11,7,11|10,13,8,7,11,4",QR128,GRAND_SLAM,WS,2022,Qualification,HUANG Yu-Chiao (TPE),KIM Seoyun (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,KIM Jiho,NORKULOVA Mekhriniso,4,0,"13,11,13,11|11,5,11,6",QR128,GRAND_SLAM,WS,2022,Qualification,NORKULOVA Mekhriniso (UZB),KIM Jiho (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,KAMATH Archana,AN Soyeon,4,3,"11,11,13,8,11,14,11|9,7,15,11,9,16,6",QR128,GRAND_SLAM,WS,2022,Qualification,KAMATH Archana (IND),AN Soyeon (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,LEE Daeun,GUFRANOVA Rimma,4,0,"11,11,11,12|9,2,6,10",QR128,GRAND_SLAM,WS,2022,Qualification,LEE Daeun (KOR),GUFRANOVA Rimma (UZB)
ITTF World Tour Korea Open Busan 2019,2019-07-02,LEE Dasom,PATKAR Madhurika,4,0,"11,11,11,11|8,6,3,3",QR128,GRAND_SLAM,WS,2022,Qualification,PATKAR Madhurika (IND),LEE Dasom (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,CHOI Yejin,KHADJIEVA Rozalina,4,0,"11,11,11,11|7,8,8,9",QR128,GRAND_SLAM,WS,2022,Qualification,CHOI Yejin (KOR),KHADJIEVA Rozalina (UZB)
ITTF World Tour Korea Open Busan 2019,2019-07-02,SOMA Yumeno,BYUN Seoyoung,4,2,"11,12,11,7,6,11|6,10,8,11,11,6",QR128,GRAND_SLAM,WS,2022,Qualification,SOMA Yumeno (JPN),BYUN Seoyoung (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,NAKAMORI Honami,MAGDIEVA Markhabo,4,0,"11,11,11,11|8,6,4,3",QR128,GRAND_SLAM,WS,2022,Qualification,MAGDIEVA Markhabo (UZB),NAKAMORI Honami (JPN)
ITTF World Tour Korea Open Busan 2019,2019-07-02,KIM Donghyun,KWAN Man Ho,4,1,"2,11,11,11,11|11,9,8,8,4",QR128,GRAND_SLAM,MS,2022,Qualification,KIM Donghyun (KOR),KWAN Man Ho (HKG)
ITTF World Tour Korea Open Busan 2019,2019-07-02,LIU Xi,KIM Seongjin,4,1,"11,11,7,11,11|4,9,11,7,3",QR128,GRAND_SLAM,WS,2022,Qualification,KIM Seongjin (KOR),LIU Xi (CHN)
ITTF World Tour Korea Open Busan 2019,2019-07-02,AFANADOR Brian,CHIN Mao-Cheng,4,3,"12,9,7,14,11,8,11|10,11,11,12,8,11,7",QR128,GRAND_SLAM,MS,2022,Qualification,CHIN Mao-Cheng (TPE),AFANADOR Brian (PUR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,LEE Youngi,GOI Rui Xuan,4,1,"12,9,13,11,11|10,11,11,7,5",QR128,GRAND_SLAM,WS,2022,Qualification,GOI Rui Xuan (SGP),LEE Youngi (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,DESAI Harmeet,SUN Chia-Hung,4,2,"13,11,16,7,12,11|11,6,18,11,10,4",QR128,GRAND_SLAM,MS,2022,Qualification,SUN Chia-Hung (TPE),DESAI Harmeet (IND)
ITTF World Tour Korea Open Busan 2019,2019-07-02,PARK Ganghyeon,OLUYOMI Salako,4,0,"11,11,11,11|5,3,3,4",QR128,GRAND_SLAM,MS,2022,Qualification,OLUYOMI Salako (NGR),PARK Ganghyeon (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,WANG Yang,POH Ethan,4,1,"11,11,9,11,11|3,4,11,8,7",QR128,GRAND_SLAM,MS,2022,Qualification,WANG Yang (SVK),POH Ethan (SGP)
ITTF World Tour Korea Open Busan 2019,2019-07-02,KIM Byeolnim,MUKHERJEE Sutirtha,4,2,"14,12,9,11,11,11|16,10,11,8,9,9",QR128,GRAND_SLAM,WS,2022,Qualification,MUKHERJEE Sutirtha (IND),KIM Byeolnim (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,SEO Hyundeok,ALKHADRAWI Ali,4,0,"11,11,11,11|6,7,7,5",QR128,GRAND_SLAM,MS,2022,Qualification,ALKHADRAWI Ali (KSA),SEO Hyundeok (KOR)
ITTF World Tour Korea Open Busan 2019,2019-07-02,XIANG Peng,MAJOROS Bence,4,1,"11,8,11,11,11|2,11,6,6,6",QR128,GRAND_SLAM,MS,2022,Qualification,XIANG Peng (CHN),MAJOROS Bence (HUN)
ITTF World Tour Korea Open Busan 2019,2019-07-02,CHO Daeseong,CHENG Hao-Huan,4,0,"11,11,11,11|5,8,3,6",QR128,GRAND_SLAM,MS,2022,Qualification,CHO Daeseong (KOR),CHENG Hao-Huan (TPE)
