tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Pacific Games Apla 2019,2019-07-08,BELROSE Ocean,SOALABLAI Shawnessy Ngiraloi,3,0,"11,11,11|8,9,3",,OTHER,MS,2173,Qualification,BELROSE Ocean (PYF),SOALABLAI Shawnessy Ngiraloi (PLW),BELROSE Ocean
Pacific Games Apla 2019,2019-07-08,BELROSE Ocean,LULU Ham,3,0,"16,14,11|14,12,8",,OTHER,MS,2173,Qualification,BELROSE Ocean (PYF),LULU Ham (VAN),BELROSE Ocean
Pacific Games Apla 2019,2019-07-08,LULU Ham,SOALABLAI Shawnessy Ngiraloi,3,0,"11,11,11|7,6,4",,OTHER,MS,2173,Qualification,LULU Ham (VAN),SOALABLAI Shawnessy Ngiraloi (PLW),LULU Ham
Pacific Games Apla 2019,2019-07-08,SHING Yoshua,CAI Frankie,3,0,"11,11,11|1,6,3",,OTHER,MS,2173,Qualification,SHING Yoshua (VAN),CAI Frankie (SAM),SHING Yoshua
Pacific Games Apla 2019,2019-07-08,SHING Yoshua,WING Philip,3,0,"11,11,11|2,5,4",,OTHER,MS,2173,Qualification,SHING Yoshua (VAN),WING Philip (FIJ),SHING Yoshua
Pacific Games Apla 2019,2019-07-08,WING Philip,CAI Frankie,3,0,"12,11,11|10,7,5",,OTHER,MS,2173,Qualification,WING Philip (FIJ),CAI Frankie (SAM),WING Philip
Pacific Games Apla 2019,2019-07-08,SENS Laurent,GALE Ieremia,3,0,"11,11,11|5,3,5",,OTHER,MS,2173,Qualification,SENS Laurent (NCL),GALE Ieremia (SAM),SENS Laurent
Pacific Games Apla 2019,2019-07-08,SENS Laurent,JODI David,3,1,"12,11,11,11|10,13,2,4",,OTHER,MS,2173,Qualification,SENS Laurent (NCL),JODI David (PNG),SENS Laurent
Pacific Games Apla 2019,2019-07-08,JODI David,GALE Ieremia,3,1,"11,11,7,11|7,8,11,3",,OTHER,MS,2173,Qualification,JODI David (PNG),GALE Ieremia (SAM),JODI David
Pacific Games Apla 2019,2019-07-08,WANG Qi,AGUON Elias,3,0,"11,11,11|6,3,2",,OTHER,MS,2173,Qualification,WANG Qi (FIJ),AGUON Elias (PLW),WANG Qi
Pacific Games Apla 2019,2019-07-08,MAS Arthur,VEA Ata,3,0,"11,11,11|2,8,8",,OTHER,MS,2173,Qualification,MAS Arthur (NCL),VEA Ata (SAM),MAS Arthur
Pacific Games Apla 2019,2019-07-08,WANG Qi,MAS Arthur,3,1,"11,6,11,11|7,11,4,5",,OTHER,MS,2173,Qualification,WANG Qi (FIJ),MAS Arthur (NCL),WANG Qi
Pacific Games Apla 2019,2019-07-08,VEA Ata,AGUON Elias,3,1,"11,6,11,11|5,11,8,9",,OTHER,MS,2173,Qualification,AGUON Elias (PLW),VEA Ata (SAM),VEA Ata
Pacific Games Apla 2019,2019-07-08,WANG Qi,VEA Ata,3,0,"11,12,11|8,10,1",,OTHER,MS,2173,Qualification,WANG Qi (FIJ),VEA Ata (SAM),WANG Qi
Pacific Games Apla 2019,2019-07-08,MAS Arthur,AGUON Elias,3,0,"11,11,11|9,8,4",,OTHER,MS,2173,Qualification,MAS Arthur (NCL),AGUON Elias (PLW),MAS Arthur
Pacific Games Apla 2019,2019-07-08,WU Vicky,WILLIAM Randy,3,1,"9,11,11,11|11,5,5,4",,OTHER,MS,2173,Qualification,WU Vicky (FIJ),WILLIAM Randy (VAN),WU Vicky
Pacific Games Apla 2019,2019-07-08,PERROMAT Yvan,GALE Semo,3,0,"11,11,11|2,0,7",,OTHER,MS,2173,Qualification,PERROMAT Yvan (PYF),GALE Semo (SAM),PERROMAT Yvan
Pacific Games Apla 2019,2019-07-08,PERROMAT Yvan,WU Vicky,3,2,"8,11,23,11,11|11,7,25,8,9",,OTHER,MS,2173,Qualification,WU Vicky (FIJ),PERROMAT Yvan (PYF),PERROMAT Yvan
Pacific Games Apla 2019,2019-07-08,WILLIAM Randy,GALE Semo,3,1,"11,10,11,11|9,12,6,6",,OTHER,MS,2173,Qualification,WILLIAM Randy (VAN),GALE Semo (SAM),WILLIAM Randy
Pacific Games Apla 2019,2019-07-08,WU Vicky,GALE Semo,3,0,"11,11,11|3,7,3",,OTHER,MS,2173,Qualification,WU Vicky (FIJ),GALE Semo (SAM),WU Vicky
Pacific Games Apla 2019,2019-07-08,PERROMAT Yvan,WILLIAM Randy,3,0,"11,11,13|7,8,11",,OTHER,MS,2173,Qualification,PERROMAT Yvan (PYF),WILLIAM Randy (VAN),PERROMAT Yvan
Pacific Games Apla 2019,2019-07-08,AUBRY Ronan,LOI David,3,0,"11,11,11|8,3,8",,OTHER,MS,2173,Qualification,AUBRY Ronan (NCL),LOI David (PNG),AUBRY Ronan
Pacific Games Apla 2019,2019-07-08,NUOPULA Gary,LULU Edwin,3,0,"11,11,11|3,3,4",,OTHER,MS,2173,Qualification,NUOPULA Gary (SOL),LULU Edwin (VAN),NUOPULA Gary
Pacific Games Apla 2019,2019-07-08,AUBRY Ronan,NUOPULA Gary,3,0,"11,11,12|6,8,10",,OTHER,MS,2173,Qualification,AUBRY Ronan (NCL),NUOPULA Gary (SOL),AUBRY Ronan
Pacific Games Apla 2019,2019-07-08,LOI David,LULU Edwin,3,0,"11,11,11|9,3,4",,OTHER,MS,2173,Qualification,LOI David (PNG),LULU Edwin (VAN),LOI David
Pacific Games Apla 2019,2019-07-08,AUBRY Ronan,LULU Edwin,3,0,"11,11,11|3,8,4",,OTHER,MS,2173,Qualification,AUBRY Ronan (NCL),LULU Edwin (VAN),AUBRY Ronan
Pacific Games Apla 2019,2019-07-08,NUOPULA Gary,LOI David,3,1,"9,12,11,11|11,10,9,7",,OTHER,MS,2173,Qualification,NUOPULA Gary (SOL),LOI David (PNG),NUOPULA Gary
Pacific Games Apla 2019,2019-07-08,LOI Geoffrey,CHAUHAN Jai,3,0,"11,11,11|4,2,5",,OTHER,MS,2173,Qualification,LOI Geoffrey (PNG),CHAUHAN Jai (FIJ),LOI Geoffrey
Pacific Games Apla 2019,2019-07-08,CERVEAUX Adrien,TARANO Matahi Kewin,3,0,"11,11,11|8,8,9",,OTHER,MS,2173,Qualification,CERVEAUX Adrien (NCL),TARANO Matahi Kewin (PYF),CERVEAUX Adrien
Pacific Games Apla 2019,2019-07-08,LOI Geoffrey,CERVEAUX Adrien,3,0,"11,11,11|7,9,8",,OTHER,MS,2173,Qualification,LOI Geoffrey (PNG),CERVEAUX Adrien (NCL),LOI Geoffrey
Pacific Games Apla 2019,2019-07-08,TARANO Matahi Kewin,CHAUHAN Jai,3,0,"11,11,11|7,5,7",,OTHER,MS,2173,Qualification,CHAUHAN Jai (FIJ),TARANO Matahi Kewin (PYF),TARANO Matahi Kewin
Pacific Games Apla 2019,2019-07-08,LOI Geoffrey,TARANO Matahi Kewin,3,0,"11,11,11|8,4,6",,OTHER,MS,2173,Qualification,LOI Geoffrey (PNG),TARANO Matahi Kewin (PYF),LOI Geoffrey
Pacific Games Apla 2019,2019-07-08,CERVEAUX Adrien,CHAUHAN Jai,3,0,"11,11,11|7,4,5",,OTHER,MS,2173,Qualification,CERVEAUX Adrien (NCL),CHAUHAN Jai (FIJ),CERVEAUX Adrien
Pacific Games Apla 2019,2019-07-08,HOTAN Kenji,SAUNDERS Sam,3,0,"11,11,11|3,3,4",,OTHER,MS,2173,Qualification,HOTAN Kenji (PYF),SAUNDERS Sam (PLW),HOTAN Kenji
Pacific Games Apla 2019,2019-07-08,SEPA Gasika,DOROVOLOMO Rob,3,0,"11,11,11|5,3,8",,OTHER,MS,2173,Qualification,SEPA Gasika (PNG),DOROVOLOMO Rob (SOL),SEPA Gasika
Pacific Games Apla 2019,2019-07-08,HOTAN Kenji,SEPA Gasika,3,0,"11,11,11|2,4,6",,OTHER,MS,2173,Qualification,HOTAN Kenji (PYF),SEPA Gasika (PNG),HOTAN Kenji
Pacific Games Apla 2019,2019-07-08,SAUNDERS Sam,DOROVOLOMO Rob,3,0,"11,13,14|7,11,12",,OTHER,MS,2173,Qualification,SAUNDERS Sam (PLW),DOROVOLOMO Rob (SOL),SAUNDERS Sam
Pacific Games Apla 2019,2019-07-08,HOTAN Kenji,DOROVOLOMO Rob,3,0,"11,11,11|4,6,5",,OTHER,MS,2173,Qualification,HOTAN Kenji (PYF),DOROVOLOMO Rob (SOL),HOTAN Kenji
Pacific Games Apla 2019,2019-07-08,SEPA Gasika,SAUNDERS Sam,3,1,"11,11,8,11|7,2,11,5",,OTHER,MS,2173,Qualification,SEPA Gasika (PNG),SAUNDERS Sam (PLW),SEPA Gasika
Pacific Games Apla 2019,2019-07-08,TOMMY Priscilla,FERETI Paneta,3,0,"11,11,11|3,6,1",,OTHER,WS,2173,Qualification,TOMMY Priscilla (VAN),FERETI Paneta (SAM),TOMMY Priscilla
Pacific Games Apla 2019,2019-07-08,TOMMY Priscilla,WATANABE Jeramei,3,0,"11,11,11|1,2,5",,OTHER,WS,2173,Qualification,TOMMY Priscilla (VAN),WATANABE Jeramei (PLW),TOMMY Priscilla
Pacific Games Apla 2019,2019-07-08,WATANABE Jeramei,FERETI Paneta,3,0,"13,11,11|11,5,5",,OTHER,WS,2173,Qualification,WATANABE Jeramei (PLW),FERETI Paneta (SAM),WATANABE Jeramei
Pacific Games Apla 2019,2019-07-08,YEE Sally,MAASI Barbara,3,0,,,OTHER,WS,2173,Qualification,YEE Sally (FIJ),MAASI Barbara (TGA),YEE Sally
Pacific Games Apla 2019,2019-07-08,SIFI Connie,ELISARA Cedrella,3,0,"11,11,11|9,4,8",,OTHER,WS,2173,Qualification,SIFI Connie (SOL),ELISARA Cedrella (SAM),SIFI Connie
Pacific Games Apla 2019,2019-07-08,YEE Sally,SIFI Connie,3,0,"11,11,11|4,3,3",,OTHER,WS,2173,Qualification,YEE Sally (FIJ),SIFI Connie (SOL),YEE Sally
Pacific Games Apla 2019,2019-07-08,ELISARA Cedrella,MAASI Barbara,3,0,,,OTHER,WS,2173,Qualification,MAASI Barbara (TGA),ELISARA Cedrella (SAM),ELISARA Cedrella
Pacific Games Apla 2019,2019-07-08,YEE Sally,ELISARA Cedrella,3,0,"11,11,12|6,5,10",,OTHER,WS,2173,Qualification,YEE Sally (FIJ),ELISARA Cedrella (SAM),YEE Sally
Pacific Games Apla 2019,2019-07-08,SIFI Connie,MAASI Barbara,3,0,,,OTHER,WS,2173,Qualification,SIFI Connie (SOL),MAASI Barbara (TGA),SIFI Connie
Pacific Games Apla 2019,2019-07-08,YEE Grace Rosi,FUJIYAMA Naomi,3,0,"11,11,11|2,2,1",,OTHER,WS,2173,Qualification,YEE Grace Rosi (FIJ),FUJIYAMA Naomi (SOL),YEE Grace Rosi
Pacific Games Apla 2019,2019-07-08,LOHIA Geru Elizabeth,KATEPU Brenda,3,1,"8,11,11,11|11,4,6,3",,OTHER,WS,2173,Qualification,LOHIA Geru Elizabeth (PNG),KATEPU Brenda (TUV),LOHIA Geru Elizabeth
Pacific Games Apla 2019,2019-07-08,YEE Grace Rosi,LOHIA Geru Elizabeth,3,0,"11,12,11|5,10,5",,OTHER,WS,2173,Qualification,YEE Grace Rosi (FIJ),LOHIA Geru Elizabeth (PNG),YEE Grace Rosi
Pacific Games Apla 2019,2019-07-08,KATEPU Brenda,FUJIYAMA Naomi,3,0,"11,11,11|5,2,1",,OTHER,WS,2173,Qualification,FUJIYAMA Naomi (SOL),KATEPU Brenda (TUV),KATEPU Brenda
Pacific Games Apla 2019,2019-07-08,YEE Grace Rosi,KATEPU Brenda,3,0,"11,11,11|9,5,3",,OTHER,WS,2173,Qualification,YEE Grace Rosi (FIJ),KATEPU Brenda (TUV),YEE Grace Rosi
Pacific Games Apla 2019,2019-07-08,LOHIA Geru Elizabeth,FUJIYAMA Naomi,3,0,"11,11,11|5,5,1",,OTHER,WS,2173,Qualification,LOHIA Geru Elizabeth (PNG),FUJIYAMA Naomi (SOL),LOHIA Geru Elizabeth
Pacific Games Apla 2019,2019-07-08,LA Lorie,TARU Leah,3,1,"11,11,12,11|5,8,14,5",,OTHER,WS,2173,Qualification,LA Lorie (NCL),TARU Leah (PNG),LA Lorie
Pacific Games Apla 2019,2019-07-08,PEPA Luseane,OLO Noela,3,0,,,OTHER,WS,2173,Qualification,PEPA Luseane (TGA),OLO Noela (SOL),PEPA Luseane
Pacific Games Apla 2019,2019-07-08,LA Lorie,PEPA Luseane,3,2,"8,3,11,11,11|11,11,7,7,7",,OTHER,WS,2173,Qualification,LA Lorie (NCL),PEPA Luseane (TGA),LA Lorie
Pacific Games Apla 2019,2019-07-08,TARU Leah,OLO Noela,3,0,,,OTHER,WS,2173,Qualification,TARU Leah (PNG),OLO Noela (SOL),TARU Leah
Pacific Games Apla 2019,2019-07-08,LA Lorie,OLO Noela,3,0,,,OTHER,WS,2173,Qualification,LA Lorie (NCL),OLO Noela (SOL),LA Lorie
Pacific Games Apla 2019,2019-07-08,PEPA Luseane,TARU Leah,3,1,"6,11,11,11|11,8,7,9",,OTHER,WS,2173,Qualification,PEPA Luseane (TGA),TARU Leah (PNG),PEPA Luseane
Pacific Games Apla 2019,2019-07-08,DANGER Solenn,TE PING Tevaineheu,3,0,"11,11,11|8,8,6",,OTHER,WS,2173,Qualification,DANGER Solenn (NCL),TE PING Tevaineheu (PYF),DANGER Solenn
Pacific Games Apla 2019,2019-07-08,LI Carolyn,SEMEATU Grace Leone Savelina,3,0,"11,11,11|3,8,2",,OTHER,WS,2173,Qualification,LI Carolyn (FIJ),SEMEATU Grace Leone Savelina (SAM),LI Carolyn
Pacific Games Apla 2019,2019-07-08,DANGER Solenn,LI Carolyn,3,2,"11,9,4,11,11|9,11,11,9,8",,OTHER,WS,2173,Qualification,DANGER Solenn (NCL),LI Carolyn (FIJ),DANGER Solenn
Pacific Games Apla 2019,2019-07-08,TE PING Tevaineheu,SEMEATU Grace Leone Savelina,3,1,"11,7,11,11|5,11,1,6",,OTHER,WS,2173,Qualification,TE PING Tevaineheu (PYF),SEMEATU Grace Leone Savelina (SAM),TE PING Tevaineheu
Pacific Games Apla 2019,2019-07-08,DANGER Solenn,SEMEATU Grace Leone Savelina,3,0,"11,11,11|5,3,3",,OTHER,WS,2173,Qualification,DANGER Solenn (NCL),SEMEATU Grace Leone Savelina (SAM),DANGER Solenn
Pacific Games Apla 2019,2019-07-08,LI Carolyn,TE PING Tevaineheu,3,0,"11,11,11|2,4,4",,OTHER,WS,2173,Qualification,LI Carolyn (FIJ),TE PING Tevaineheu (PYF),LI Carolyn
Pacific Games Apla 2019,2019-07-08,SAM Cyrine,MAWA Tracey,3,1,"11,16,11,11|3,18,6,9",,OTHER,WS,2173,Qualification,SAM Cyrine (PYF),MAWA Tracey (VAN),SAM Cyrine
Pacific Games Apla 2019,2019-07-08,FAEHAU Fabiana,LEILUA Emma,3,1,"11,11,11,16|13,3,4,14",,OTHER,WS,2173,Qualification,FAEHAU Fabiana (NCL),LEILUA Emma (SAM),FAEHAU Fabiana
Pacific Games Apla 2019,2019-07-08,SAM Cyrine,FAEHAU Fabiana,3,2,"14,11,9,9,13|12,7,11,11,11",,OTHER,WS,2173,Qualification,SAM Cyrine (PYF),FAEHAU Fabiana (NCL),SAM Cyrine
Pacific Games Apla 2019,2019-07-08,LEILUA Emma,MAWA Tracey,3,2,"11,6,11,7,11|8,11,5,11,9",,OTHER,WS,2173,Qualification,MAWA Tracey (VAN),LEILUA Emma (SAM),LEILUA Emma
Pacific Games Apla 2019,2019-07-08,SAM Cyrine,LEILUA Emma,3,0,"11,11,11|5,8,8",,OTHER,WS,2173,Qualification,SAM Cyrine (PYF),LEILUA Emma (SAM),SAM Cyrine
Pacific Games Apla 2019,2019-07-08,FAEHAU Fabiana,MAWA Tracey,3,0,"11,11,11|3,8,4",,OTHER,WS,2173,Qualification,FAEHAU Fabiana (NCL),MAWA Tracey (VAN),FAEHAU Fabiana
Pacific Games Apla 2019,2019-07-08,LULU Anolyn,MAUI Manihei,3,0,"11,11,11|3,5,5",,OTHER,WS,2173,Qualification,LULU Anolyn (VAN),MAUI Manihei (PYF),LULU Anolyn
Pacific Games Apla 2019,2019-07-08,DUMORTIER Fleur,DUNCAN Loata,3,0,"11,11,11|3,3,1",,OTHER,WS,2173,Qualification,DUMORTIER Fleur (NCL),DUNCAN Loata (FIJ),DUMORTIER Fleur
Pacific Games Apla 2019,2019-07-08,LULU Anolyn,DUMORTIER Fleur,3,1,"9,11,11,11|11,8,5,7",,OTHER,WS,2173,Qualification,LULU Anolyn (VAN),DUMORTIER Fleur (NCL),LULU Anolyn
Pacific Games Apla 2019,2019-07-08,MAUI Manihei,DUNCAN Loata,3,1,"8,11,11,11|11,6,6,7",,OTHER,WS,2173,Qualification,MAUI Manihei (PYF),DUNCAN Loata (FIJ),MAUI Manihei
Pacific Games Apla 2019,2019-07-08,LULU Anolyn,DUNCAN Loata,3,0,"11,11,11|6,3,1",,OTHER,WS,2173,Qualification,LULU Anolyn (VAN),DUNCAN Loata (FIJ),LULU Anolyn
Pacific Games Apla 2019,2019-07-08,DUMORTIER Fleur,MAUI Manihei,3,1,"11,11,9,11|3,2,11,8",,OTHER,WS,2173,Qualification,DUMORTIER Fleur (NCL),MAUI Manihei (PYF),DUMORTIER Fleur
Pacific Games Apla 2019,2019-07-08,QWEA Stephanie,BARAGAMU May,3,1,"11,11,7,11|8,5,11,6",,OTHER,WS,2173,Qualification,QWEA Stephanie (VAN),BARAGAMU May (SOL),QWEA Stephanie
Pacific Games Apla 2019,2019-07-08,WONG Heimoe,RESTURE Betty,3,0,"11,11,11|2,2,4",,OTHER,WS,2173,Qualification,WONG Heimoe (PYF),RESTURE Betty (TUV),WONG Heimoe
Pacific Games Apla 2019,2019-07-08,QWEA Stephanie,WONG Heimoe,3,2,"6,8,11,11,11|11,11,8,8,8",,OTHER,WS,2173,Qualification,QWEA Stephanie (VAN),WONG Heimoe (PYF),QWEA Stephanie
Pacific Games Apla 2019,2019-07-08,RESTURE Betty,BARAGAMU May,3,1,"4,11,11,14|11,4,9,12",,OTHER,WS,2173,Qualification,BARAGAMU May (SOL),RESTURE Betty (TUV),RESTURE Betty
Pacific Games Apla 2019,2019-07-08,QWEA Stephanie,RESTURE Betty,3,0,"11,11,11|4,8,3",,OTHER,WS,2173,Qualification,QWEA Stephanie (VAN),RESTURE Betty (TUV),QWEA Stephanie
Pacific Games Apla 2019,2019-07-08,WONG Heimoe,BARAGAMU May,3,0,"11,11,11|3,3,7",,OTHER,WS,2173,Qualification,WONG Heimoe (PYF),BARAGAMU May (SOL),WONG Heimoe
Pacific Games Apla 2019,2019-07-08,BELROSE Ocean,MAS Arthur,4,2,"11,5,9,12,11,12|8,11,11,10,8,10",R16,OTHER,MS,2173,Main Draw,BELROSE Ocean (PYF),MAS Arthur (NCL),BELROSE Ocean
Pacific Games Apla 2019,2019-07-08,LOI Geoffrey,WU Vicky,4,1,"6,11,11,11,11|11,4,7,6,2",R16,OTHER,MS,2173,Main Draw,WU Vicky (FIJ),LOI Geoffrey (PNG),LOI Geoffrey
Pacific Games Apla 2019,2019-07-08,HOTAN Kenji,NUOPULA Gary,4,1,"11,6,11,11,11|6,11,5,8,4",R16,OTHER,MS,2173,Main Draw,HOTAN Kenji (PYF),NUOPULA Gary (SOL),HOTAN Kenji
Pacific Games Apla 2019,2019-07-08,SENS Laurent,WING Philip,4,0,"11,11,11,11|8,7,1,4",R16,OTHER,MS,2173,Main Draw,WING Philip (FIJ),SENS Laurent (NCL),SENS Laurent
Pacific Games Apla 2019,2019-07-08,LULU Ham,WANG Qi,4,3,"6,9,9,11,11,11,11|11,11,11,4,5,6,6",R16,OTHER,MS,2173,Main Draw,WANG Qi (FIJ),LULU Ham (VAN),LULU Ham
Pacific Games Apla 2019,2019-07-08,CERVEAUX Adrien,PERROMAT Yvan,4,2,"11,11,13,10,11,12|5,13,11,12,5,10",R16,OTHER,MS,2173,Main Draw,CERVEAUX Adrien (NCL),PERROMAT Yvan (PYF),CERVEAUX Adrien
Pacific Games Apla 2019,2019-07-08,AUBRY Ronan,SEPA Gasika,4,1,"11,11,11,11,11|13,5,8,4,3",R16,OTHER,MS,2173,Main Draw,AUBRY Ronan (NCL),SEPA Gasika (PNG),AUBRY Ronan
Pacific Games Apla 2019,2019-07-08,SHING Yoshua,JODI David,4,0,"12,11,11,11|10,5,4,7",R16,OTHER,MS,2173,Main Draw,JODI David (PNG),SHING Yoshua (VAN),SHING Yoshua
Pacific Games Apla 2019,2019-07-08,BELROSE Ocean,LOI Geoffrey,4,3,"11,11,8,8,9,12,11|5,8,11,11,11,10,8",QF,OTHER,MS,2173,Main Draw,BELROSE Ocean (PYF),LOI Geoffrey (PNG),BELROSE Ocean
Pacific Games Apla 2019,2019-07-08,HOTAN Kenji,SENS Laurent,4,1,"11,11,13,9,11|7,5,11,11,9",QF,OTHER,MS,2173,Main Draw,HOTAN Kenji (PYF),SENS Laurent (NCL),HOTAN Kenji
Pacific Games Apla 2019,2019-07-08,CERVEAUX Adrien,LULU Ham,4,3,"3,11,7,11,8,11,11|11,6,11,7,11,6,7",QF,OTHER,MS,2173,Main Draw,LULU Ham (VAN),CERVEAUX Adrien (NCL),CERVEAUX Adrien
Pacific Games Apla 2019,2019-07-08,SHING Yoshua,AUBRY Ronan,4,2,"7,8,11,11,11,11|11,11,6,7,9,5",QF,OTHER,MS,2173,Main Draw,AUBRY Ronan (NCL),SHING Yoshua (VAN),SHING Yoshua
Pacific Games Apla 2019,2019-07-08,HOTAN Kenji,BELROSE Ocean,4,2,"11,11,11,8,11,11|8,8,6,11,13,8",SF,OTHER,MS,2173,Main Draw,BELROSE Ocean (PYF),HOTAN Kenji (PYF),HOTAN Kenji
