tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
South Asian Games Kathmandu 2019,2019-12-04,DESAI Harmeet,AHMED Moosa,3,0,"11,11,11|5,5,4",QUAL,OTHER,MS,2187,Qualification,DESAI Harmeet (IND),AHMED Moosa (MDV),DESAI Harmeet
South Asian Games Kathmandu 2019,2019-12-04,ANTHONY Amalraj,KHAWAJA Fahad,3,0,"11,11,11|6,6,4",QUAL,OTHER,MS,2187,Qualification,ANTHONY Amalraj (IND),KHAWAJA Fahad (PAK),ANTHONY Amalraj
South Asian Games Kathmandu 2019,2019-12-04,SHRESTHA Santoo,AHMED Md Javed,3,0,"11,11,11|0,0,0",QUAL,OTHER,MS,2187,Qualification,SHRESTHA Santoo (NEP),AHMED Md Javed (BAN),SHRESTHA Santoo
South Asian Games Kathmandu 2019,2019-12-04,BAJRACHARYA Purshottam,PARAG Masud Rana,3,2,"11,11,7,11,11|13,5,11,8,5",QUAL,OTHER,MS,2187,Qualification,BAJRACHARYA Purshottam (NEP),PARAG Masud Rana (BAN),BAJRACHARYA Purshottam
South Asian Games Kathmandu 2019,2019-12-04,MUKHERJEE Ayhika,MOU Sadia,3,0,"11,11,11|2,2,2",QUAL,OTHER,WS,2187,Qualification,MUKHERJEE Ayhika (IND),MOU Sadia (BAN),MUKHERJEE Ayhika
South Asian Games Kathmandu 2019,2019-12-04,MUKHERJEE Sutirtha,MUZAFFAR Sana,3,0,"11,11,11|4,3,6",QUAL,OTHER,WS,2187,Qualification,MUKHERJEE Sutirtha (IND),MUZAFFAR Sana (PAK),MUKHERJEE Sutirtha
South Asian Games Kathmandu 2019,2019-12-04,MADURANGI Ishara,MAHARJAN Rabina,3,0,"11,12,11|6,10,6",QUAL,OTHER,WS,2187,Qualification,MADURANGI Ishara (SRI),MAHARJAN Rabina (NEP),MADURANGI Ishara
South Asian Games Kathmandu 2019,2019-12-04,YASIN Sanam,SOMA Sonam,3,0,"11,12,11|2,10,5",QUAL,OTHER,WS,2187,Qualification,YASIN Sanam (PAK),SOMA Sonam (BAN),YASIN Sanam
South Asian Games Kathmandu 2019,2019-12-04,DESAI Harmeet,RANASINGHA Imesh,3,1,"11,11,6,11|4,3,11,5",QUAL,OTHER,MS,2187,Qualification,DESAI Harmeet (IND),RANASINGHA Imesh (USA),DESAI Harmeet
South Asian Games Kathmandu 2019,2019-12-04,ANTHONY Amalraj,SHAFFAN Mohamed,3,0,"11,11,11|6,3,3",QUAL,OTHER,MS,2187,Qualification,ANTHONY Amalraj (IND),SHAFFAN Mohamed (MDV),ANTHONY Amalraj
South Asian Games Kathmandu 2019,2019-12-04,SHRESTHA Santoo,JAYASINGHA Nirmala,3,0,"11,11,11|6,7,7",QUAL,OTHER,MS,2187,Qualification,SHRESTHA Santoo (NEP),JAYASINGHA Nirmala (SRI),SHRESTHA Santoo
South Asian Games Kathmandu 2019,2019-12-04,RAMEEZ Muhammad,PARAG Masud Rana,3,1,"11,10,11,16|2,12,2,14",QUAL,OTHER,MS,2187,Qualification,RAMEEZ Muhammad (PAK),PARAG Masud Rana (BAN),RAMEEZ Muhammad
South Asian Games Kathmandu 2019,2019-12-04,MUKHERJEE Ayhika,NAZIM Aishath,3,0,"11,11,11|4,4,5",QUAL,OTHER,WS,2187,Qualification,MUKHERJEE Ayhika (IND),NAZIM Aishath (MDV),MUKHERJEE Ayhika
South Asian Games Kathmandu 2019,2019-12-04,MUKHERJEE Sutirtha,WARUSAWITHANA Erandi,3,0,"11,11,11|4,2,2",QUAL,OTHER,WS,2187,Qualification,MUKHERJEE Sutirtha (IND),WARUSAWITHANA Erandi (SRI),MUKHERJEE Sutirtha
South Asian Games Kathmandu 2019,2019-12-04,MADURANGI Ishara,ALI Fathimath,3,1,"11,11,11,11|13,8,4,2",QUAL,OTHER,WS,2187,Qualification,MADURANGI Ishara (SRI),ALI Fathimath (MDV),MADURANGI Ishara
South Asian Games Kathmandu 2019,2019-12-04,SHRESTHA Nabita,SOMA Sonam,3,2,"8,9,11,11,11|11,11,7,7,9",QUAL,OTHER,WS,2187,Qualification,SHRESTHA Nabita (NEP),SOMA Sonam (BAN),SHRESTHA Nabita
South Asian Games Kathmandu 2019,2019-12-04,RANASINGHA Imesh,AHMED Moosa,3,0,"11,11,11|3,4,9",QUAL,OTHER,MS,2187,Qualification,RANASINGHA Imesh (USA),AHMED Moosa (MDV),RANASINGHA Imesh
South Asian Games Kathmandu 2019,2019-12-04,KHAWAJA Fahad,SHAFFAN Mohamed,3,0,"11,11,11|8,8,8",QUAL,OTHER,MS,2187,Qualification,KHAWAJA Fahad (PAK),SHAFFAN Mohamed (MDV),KHAWAJA Fahad
South Asian Games Kathmandu 2019,2019-12-04,JAYASINGHA Nirmala,AHMED Md Javed,3,1,"11,10,11,11|7,12,8,4",QUAL,OTHER,MS,2187,Qualification,JAYASINGHA Nirmala (SRI),AHMED Md Javed (BAN),JAYASINGHA Nirmala
