tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
South East Asian Games Olongapo 2019,2019-12-06,NGUYEN Bach Thanh Thu,DAEL Emy Rose,3,2,"7,11,3,11,11|11,4,11,9,3",R16,OTHER,WD,2285,Main Draw,NGUYEN Bach Thanh Thu (VIE),DAEL Emy Rose (PHI)
South East Asian Games Olongapo 2019,2019-12-06,CRUZ Kheith,SOE Yanadar,3,0,"11,11,11|7,6,4",R16,OTHER,WD,2285,Main Draw,CRUZ Kheith (PHI),SOE Yanadar (MYA)
South East Asian Games Olongapo 2019,2019-12-06,CHOONG Javen,MYINT Kyi,3,1,"7,11,14,11|11,5,12,5",R16,OTHER,MD,2285,Main Draw,CHOONG Javen (MAS),MYINT Kyi (MYA)
South East Asian Games Olongapo 2019,2019-12-06,MAI Trang,CHANG Li Sian,3,0,"11,11,11|9,9,4",R16,OTHER,WD,2285,Main Draw,MAI Trang (VIE),CHANG Li Sian (MAS)
South East Asian Games Olongapo 2019,2019-12-06,PANAGITGUN Yanapong,MISAL John Russel,3,0,"11,11,11|6,9,8",R16,OTHER,MD,2285,Main Draw,PANAGITGUN Yanapong (THA),MISAL John Russel (PHI)
South East Asian Games Olongapo 2019,2019-12-06,DOAN Ba Tuan Anh,LAY Phakdey,3,0,"11,11,11|6,5,6",R16,OTHER,MD,2285,Main Draw,DOAN Ba Tuan Anh (VIE),LAY Phakdey (CAM)
South East Asian Games Olongapo 2019,2019-12-06,ADASA Japheth,DINH Anh Hoang,3,2,"6,8,11,11,11|11,11,5,9,1",R16,OTHER,MD,2285,Main Draw,ADASA Japheth (PHI),DINH Anh Hoang (VIE)
South East Asian Games Olongapo 2019,2019-12-06,HAIQAL Muhamad Ashraf,BUN Visal,3,0,"11,11,11|6,5,8",R16,OTHER,MD,2285,Main Draw,HAIQAL Muhamad Ashraf (MAS),BUN Visal (CAM)
South East Asian Games Olongapo 2019,2019-12-06,FENG Tianwei,HO Ying,3,1,"11,5,11,11|3,11,3,5",QF,OTHER,WD,2285,Main Draw,FENG Tianwei (SGP),HO Ying (MAS)
South East Asian Games Olongapo 2019,2019-12-06,KOMWONG Nanthana,NGUYEN Bach Thanh Thu,3,2,"11,14,10,8,11|3,12,12,11,6",QF,OTHER,WD,2285,Main Draw,KOMWONG Nanthana (THA),NGUYEN Bach Thanh Thu (VIE)
South East Asian Games Olongapo 2019,2019-12-06,GOI Rui Xuan,CRUZ Kheith,3,2,"11,11,8,4,12|3,7,11,11,10",QF,OTHER,WD,2285,Main Draw,GOI Rui Xuan (SGP),CRUZ Kheith (PHI)
South East Asian Games Olongapo 2019,2019-12-06,PARANANG Orawan,MAI Trang,3,0,"11,13,11|3,11,3",QF,OTHER,WD,2285,Main Draw,PARANANG Orawan (THA),MAI Trang (VIE)
South East Asian Games Olongapo 2019,2019-12-06,CHOONG Javen,CHEW Clarence,3,2,"8,12,11,11,11|11,10,13,9,7",QF,OTHER,MD,2285,Main Draw,CHOONG Javen (MAS),CHEW Clarence (SGP)
South East Asian Games Olongapo 2019,2019-12-06,DOAN Ba Tuan Anh,PANAGITGUN Yanapong,3,2,"7,11,9,12,11|11,7,11,10,9",QF,OTHER,MD,2285,Main Draw,DOAN Ba Tuan Anh (VIE),PANAGITGUN Yanapong (THA)
South East Asian Games Olongapo 2019,2019-12-06,CHUA Josh,ADASA Japheth,3,0,"11,11,11|8,5,1",QF,OTHER,MD,2285,Main Draw,CHUA Josh (SGP),ADASA Japheth (PHI)
South East Asian Games Olongapo 2019,2019-12-06,HAIQAL Muhamad Ashraf,TANVIRIYAVECHAKUL Padasak,3,2,"6,11,8,11,11|11,4,11,9,9",QF,OTHER,MD,2285,Main Draw,HAIQAL Muhamad Ashraf (MAS),TANVIRIYAVECHAKUL Padasak (THA)
South East Asian Games Olongapo 2019,2019-12-06,KOMWONG Nanthana,FENG Tianwei,3,2,"7,11,4,11,11|11,9,11,9,9",SF,OTHER,WD,2285,Main Draw,KOMWONG Nanthana (THA),FENG Tianwei (SGP)
South East Asian Games Olongapo 2019,2019-12-06,PARANANG Orawan,GOI Rui Xuan,3,2,"4,8,11,11,11|11,11,8,5,4",SF,OTHER,WD,2285,Main Draw,PARANANG Orawan (THA),GOI Rui Xuan (SGP)
South East Asian Games Olongapo 2019,2019-12-06,CHUA Josh,HAIQAL Muhamad Ashraf,3,2,"6,11,11,6,11|11,6,9,11,6",SF,OTHER,MD,2285,Main Draw,CHUA Josh (SGP),HAIQAL Muhamad Ashraf (MAS)
South East Asian Games Olongapo 2019,2019-12-06,DOAN Ba Tuan Anh,CHOONG Javen,3,1,"11,9,11,11|5,11,5,9",SF,OTHER,MD,2285,Main Draw,DOAN Ba Tuan Anh (VIE),CHOONG Javen (MAS)
South East Asian Games Olongapo 2019,2019-12-06,PARANANG Orawan,KOMWONG Nanthana,3,0,"11,11,11|6,2,9",F,OTHER,WD,2285,Main Draw,PARANANG Orawan (THA),KOMWONG Nanthana (THA)
South East Asian Games Olongapo 2019,2019-12-06,DOAN Ba Tuan Anh,CHUA Josh,3,1,"11,12,10,11|6,10,12,4",F,OTHER,MD,2285,Main Draw,DOAN Ba Tuan Anh (VIE),CHUA Josh (SGP)
South East Asian Games Olongapo 2019,2019-12-06,NAYRE Jann Mari,WONG Qi Shen,4,1,"11,11,11,11,11|8,6,6,13,7",QUAL,OTHER,MS,2285,Qualification,NAYRE Jann Mari (PHI),WONG Qi Shen (MAS)
South East Asian Games Olongapo 2019,2019-12-06,DOAN Ba Tuan Anh,HAIQAL Muhamad Ashraf,4,0,"11,11,11,11|5,4,9,6",QUAL,OTHER,MS,2285,Qualification,DOAN Ba Tuan Anh (VIE),HAIQAL Muhamad Ashraf (MAS)
South East Asian Games Olongapo 2019,2019-12-06,GONZALES Richard,OO Soe Min,4,1,"11,11,11,6,11|7,3,9,11,9",QUAL,OTHER,MS,2285,Qualification,GONZALES Richard (PHI),OO Soe Min (MYA)
South East Asian Games Olongapo 2019,2019-12-06,NGUYEN Anh Tu,LAY Phakdey,4,0,"11,11,11,11|1,4,7,6",QUAL,OTHER,MS,2285,Qualification,NGUYEN Anh Tu (VIE),LAY Phakdey (CAM)
