tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Women's World Cup Chengdu 2019,2019-10-18,JEON Jihee,PARTYKA Natalia,4,0,"11,11,11,11|5,8,1,3",,WORLD_CUP,WS,2014,Qualification,JEON Jihee (KOR),PARTYKA Natalia (POL)
Women's World Cup Chengdu 2019,2019-10-18,SZOCS Bernadette,ZHANG Lily,4,1,"11,8,12,11,11|9,11,10,7,3",,WORLD_CUP,WS,2014,Qualification,SZOCS Bernadette (ROU),ZHANG Lily (USA)
Women's World Cup Chengdu 2019,2019-10-18,WU Yue,SAMARA Elizabeta,4,0,"11,11,11,18|8,9,6,16",,WORLD_CUP,WS,2014,Qualification,SAMARA Elizabeta (ROU),WU Yue (USA)
Women's World Cup Chengdu 2019,2019-10-18,SOLJA Petrissa,LAY Jian Fang,4,3,"11,8,11,8,11,10,11|8,11,8,11,7,12,4",,WORLD_CUP,WS,2014,Qualification,SOLJA Petrissa (GER),LAY Jian Fang (AUS)
Women's World Cup Chengdu 2019,2019-10-18,SZOCS Bernadette,DIAZ Adriana,4,2,"11,11,8,11,7,11|3,9,11,7,11,2",,WORLD_CUP,WS,2014,Qualification,SZOCS Bernadette (ROU),DIAZ Adriana (PUR)
Women's World Cup Chengdu 2019,2019-10-18,JEON Jihee,MESHREF Dina,4,1,"11,11,8,11,11|4,8,11,7,9",,WORLD_CUP,WS,2014,Qualification,JEON Jihee (KOR),MESHREF Dina (EGY)
Women's World Cup Chengdu 2019,2019-10-18,SOLJA Petrissa,CHEN Szu-Yu,4,1,"11,12,9,11,11|7,10,11,7,4",,WORLD_CUP,WS,2014,Qualification,SOLJA Petrissa (GER),CHEN Szu-Yu (TPE)
Women's World Cup Chengdu 2019,2019-10-18,ZHANG Mo,SAMARA Elizabeta,4,3,"5,11,11,3,11,1,11|11,4,9,11,9,11,9",,WORLD_CUP,WS,2014,Qualification,SAMARA Elizabeta (ROU),ZHANG Mo (CAN)
Women's World Cup Chengdu 2019,2019-10-18,MESHREF Dina,PARTYKA Natalia,4,2,"11,11,12,8,11,11|7,5,14,11,6,5",,WORLD_CUP,WS,2014,Qualification,MESHREF Dina (EGY),PARTYKA Natalia (POL)
Women's World Cup Chengdu 2019,2019-10-18,ZHANG Lily,DIAZ Adriana,4,1,"12,11,9,11,13|10,8,11,7,11",,WORLD_CUP,WS,2014,Qualification,DIAZ Adriana (PUR),ZHANG Lily (USA)
Women's World Cup Chengdu 2019,2019-10-18,WU Yue,ZHANG Mo,4,1,"11,11,11,8,11|6,4,5,11,5",,WORLD_CUP,WS,2014,Qualification,ZHANG Mo (CAN),WU Yue (USA)
Women's World Cup Chengdu 2019,2019-10-18,CHEN Szu-Yu,LAY Jian Fang,4,1,"11,11,9,11,11|9,3,11,5,8",,WORLD_CUP,WS,2014,Qualification,CHEN Szu-Yu (TPE),LAY Jian Fang (AUS)
Women's World Cup Chengdu 2019,2019-10-18,ZHU Yuling,ZHANG Mo,4,0,"11,11,11,11|2,3,3,4",R16,WORLD_CUP,WS,2014,Main Draw,ZHU Yuling (MAC),ZHANG Mo (CAN)
Women's World Cup Chengdu 2019,2019-10-18,SOLJA Petrissa,DOO Hoi Kem,4,2,"6,11,11,11,11,11|11,13,8,9,5,7",R16,WORLD_CUP,WS,2014,Main Draw,SOLJA Petrissa (GER),DOO Hoi Kem (HKG)
