tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,ASSAR Omar,TORIOLA Segun,4,0,"11,11,11,11|6,6,7,2",F,OLYMPICS,XD,2252,Main Draw,ASSAR Omar (EGY),TORIOLA Segun (NGR)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,MAMIA Thameur,KHEROUF Sami,4,0,"0,0,0,0|0,0,0,0",F,OLYMPICS,XD,2252,Main Draw,MAMIA Thameur (TUN),KHEROUF Sami (ALG)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,HAJ SALAH Abir,JALIM Nandeshwaree,4,0,"11,11,11,11|6,5,8,8",F,OLYMPICS,WS,2252,Main Draw,HAJ SALAH Abir (TUN),JALIM Nandeshwaree (MRI)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,LOGHRAIBI Lynda,GULTI Marta,4,0,"0,0,0,0|0,0,0,0",2,OLYMPICS,WS,2252,Position Draw,LOGHRAIBI Lynda (ALG),GULTI Marta (ETH)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,ARUNA Quadri,BEN YAHIA Kerem,4,0,"0,0,0,0|0,0,0,0",2,OLYMPICS,MS,2252,Position Draw,ARUNA Quadri (NGR),BEN YAHIA Kerem (TUN)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,OBA Oba Kizito,FANNY Kokou,4,0,"11,11,11,11|5,0,0,0",F,OLYMPICS,MS,2252,Main Draw,OBA Oba Kizito (CIV),FANNY Kokou (TOG)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,KHEROUF Sami,TORIOLA Segun,4,0,"11,13,11,11|5,11,6,1",SF,OLYMPICS,XD,2252,Main Draw,KHEROUF Sami (ALG),TORIOLA Segun (NGR)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,ASSAR Omar,MAMIA Thameur,4,0,"11,11,11,11|8,6,8,2",SF,OLYMPICS,XD,2252,Main Draw,ASSAR Omar (EGY),MAMIA Thameur (TUN)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,ARUNA Quadri,OBA Oba Kizito,4,0,"0,0,0,0|0,0,0,0",SF,OLYMPICS,MS,2252,Main Draw,ARUNA Quadri (NGR),OBA Oba Kizito (CIV)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,HAJ SALAH Abir,LOGHRAIBI Lynda,4,0,"0,0,0,0|0,0,0,0",SF,OLYMPICS,WS,2252,Main Draw,HAJ SALAH Abir (TUN),LOGHRAIBI Lynda (ALG)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,FANNY Kokou,BEN YAHIA Kerem,4,0,"11,11,11,12|6,8,7,10",SF,OLYMPICS,MS,2252,Main Draw,FANNY Kokou (TOG),BEN YAHIA Kerem (TUN)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,GULTI Marta,JALIM Nandeshwaree,4,3,"9,11,13,11,5,13,11|11,8,15,6,11,11,3",SF,OLYMPICS,WS,2252,Main Draw,GULTI Marta (ETH),JALIM Nandeshwaree (MRI)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,MUTUA Brian,TORIOLA Segun,4,0,"11,11,11,11|4,6,7,4",QF,OLYMPICS,XD,2252,Main Draw,MUTUA Brian (KEN),TORIOLA Segun (NGR)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,ASSAR Omar,DJAMAL Ahmed,4,0,"11,11,11,11|4,2,2,2",QF,OLYMPICS,XD,2252,Main Draw,ASSAR Omar (EGY),DJAMAL Ahmed (DJI)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,KHEROUF Sami,SULTAN Godfrey,4,0,"0,0,0,0|0,0,0,0",QF,OLYMPICS,XD,2252,Main Draw,KHEROUF Sami (ALG),SULTAN Godfrey (SEY)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,KASSA Gedeon,MAMIA Thameur,4,1,"7,11,11,15,11|11,8,8,13,6",QF,OLYMPICS,XD,2252,Main Draw,KASSA Gedeon (COD),MAMIA Thameur (TUN)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,OMOTAYO Olajide,BEN YAHIA Kerem,4,0,"11,11,11,11|6,9,9,7",QUAL,OLYMPICS,MS,2252,Qualification,OMOTAYO Olajide (NGR),BEN YAHIA Kerem (TUN)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,BOURIAH Larbi,OBA Oba Kizito,4,0,"11,11,11,11|9,6,8,7",QUAL,OLYMPICS,MS,2252,Qualification,BOURIAH Larbi (ALG),OBA Oba Kizito (CIV)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,ARUNA Quadri,HMAM Adam,4,0,"0,0,0,0|0,0,0,0",QUAL,OLYMPICS,MS,2252,Qualification,ARUNA Quadri (NGR),HMAM Adam (TUN)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,DIAW Ibrahima,FANNY Kokou,4,0,"0,0,0,0|0,0,0,0",QUAL,OLYMPICS,MS,2252,Qualification,DIAW Ibrahima (DEN),FANNY Kokou (TOG)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,HANFFOU Sarah,LOGHRAIBI Lynda,4,0,"0,0,0,0|0,0,0,0",QUAL,OLYMPICS,WS,2252,Qualification,HANFFOU Sarah (CMR),LOGHRAIBI Lynda (ALG)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,OSHONAIKE Olufunke,JALIM Nandeshwaree,4,1,"11,6,11,11,11|7,11,5,8,7",QUAL,OLYMPICS,WS,2252,Qualification,OSHONAIKE Olufunke (NGR),JALIM Nandeshwaree (MRI)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,EDEM Offiong,HAJ SALAH Abir,4,0,"18,11,16,11|16,8,14,5",QUAL,OLYMPICS,WS,2252,Qualification,EDEM Offiong (NGR),HAJ SALAH Abir (TUN)
African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020-02-27,GARCI Fadwa,GULTI Marta,4,2,"11,11,8,11,5,11|8,4,11,6,11,4",QUAL,OLYMPICS,WS,2252,Qualification,GARCI Fadwa (TUN),GULTI Marta (ETH)
