tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,SALEH Ahmed,ARUNA Quadri,4,3,"11,5,11,6,11,9,11|6,11,9,11,9,11,3",F,OTHER,MS,2250,Main Draw,SALEH Ahmed (EGY),ARUNA Quadri (NGR)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,MESHREF Dina,EDEM Offiong,4,1,"11,11,8,11,11|2,8,11,5,6",F,OTHER,WS,2250,Main Draw,MESHREF Dina (EGY),EDEM Offiong (NGR)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,ASSAR Omar,DIAW Ibrahima,3,0,"11,11,12|6,8,10",2,OTHER,MS,2250,Position Draw,ASSAR Omar (EGY),DIAW Ibrahima (DEN)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,HANFFOU Sarah,HELMY Yousra,3,1,"11,5,11,12|8,11,6,10",2,OTHER,WS,2250,Position Draw,HANFFOU Sarah (CMR),HELMY Yousra (EGY)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,LOGHRAIBI Lynda,KESSACI Katia,3,0,"15,11,11|13,7,4",2,OTHER,WS,2250,Position Draw,LOGHRAIBI Lynda (ALG),KESSACI Katia (ALG)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,HMAM Adam,FANNY Kokou,3,0,"11,11,11|6,8,3",2,OTHER,MS,2250,Position Draw,HMAM Adam (TUN),FANNY Kokou (TOG)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,GARCI Fadwa,SAIDANI Safa,3,0,"11,11,11|6,8,5",2,OTHER,WS,2250,Position Draw,GARCI Fadwa (TUN),SAIDANI Safa (TUN)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,OMOTAYO Olajide,IDOWU Saheed,3,2,"11,17,12,10,11|5,15,14,12,2",2,OTHER,MS,2250,Position Draw,OMOTAYO Olajide (NGR),IDOWU Saheed (CGO)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,OLABIYI Monday,MUTUA Brian,3,0,"11,11,11|3,5,7",2,OTHER,MS,2250,Position Draw,OLABIYI Monday (BEN),MUTUA Brian (KEN)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,COGILL Theo,OVERMEYER Shane,3,2,"4,11,11,3,12|11,8,6,11,10",2,OTHER,MS,2250,Position Draw,COGILL Theo (RSA),OVERMEYER Shane (RSA)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,OBA Oba Kizito,KHEROUF Sami,3,0,"0,0,0|0,0,0",2,OTHER,MS,2250,Position Draw,OBA Oba Kizito (CIV),KHEROUF Sami (ALG)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,BOURIAH Larbi,KASSA Gedeon,3,1,"14,11,9,11|12,8,11,4",2,OTHER,MS,2250,Position Draw,BOURIAH Larbi (ALG),KASSA Gedeon (COD)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,BELLO Fatimo,JALIM Nandeshwaree,3,2,"11,6,11,6,11|7,11,6,11,7",2,OTHER,WS,2250,Position Draw,BELLO Fatimo (NGR),JALIM Nandeshwaree (MRI)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,KALAM Musfiquh,MOOKREY Simeen,3,1,"9,11,11,11|11,5,7,5",2,OTHER,WS,2250,Position Draw,KALAM Musfiquh (RSA),MOOKREY Simeen (RSA)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,SALEH Ahmed,DIAW Ibrahima,4,1,"14,11,3,11,11|12,7,11,9,7",SF,OTHER,MS,2250,Main Draw,SALEH Ahmed (EGY),DIAW Ibrahima (DEN)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,ARUNA Quadri,ASSAR Omar,4,3,"5,6,11,14,7,11,12|11,11,4,12,11,5,10",SF,OTHER,MS,2250,Main Draw,ARUNA Quadri (NGR),ASSAR Omar (EGY)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,EDEM Offiong,HELMY Yousra,4,2,"6,14,11,11,11,11|11,16,8,7,7,6",SF,OTHER,WS,2250,Main Draw,EDEM Offiong (NGR),HELMY Yousra (EGY)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,MESHREF Dina,HANFFOU Sarah,4,2,"11,11,11,9,11,11|6,1,13,11,7,4",SF,OTHER,WS,2250,Main Draw,MESHREF Dina (EGY),HANFFOU Sarah (CMR)
ITTF Africa Top 16 Cup Tunisia 2020,2020-02-24,IDOWU Saheed,HMAM Adam,3,2,"11,11,6,9,11|4,7,11,11,8",4,OTHER,MS,2250,Position Draw,IDOWU Saheed (CGO),HMAM Adam (TUN)
