tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Spanish Open Granada 2020,2020-02-04,FERNANDEZ Alba,WANG Amy,3,0,"0,0,0|0,0,0",R64,OLYMPICS,U21WS,2241,Main Draw,FERNANDEZ Alba (ESP),WANG Amy (USA),FERNANDEZ Alba
ITTF Challenge Spanish Open Granada 2020,2020-02-04,ENRIQUEZ Yolanda,GARCI Fadwa,3,2,"12,3,11,8,11|10,11,9,11,7",R64,OLYMPICS,U21WS,2241,Main Draw,ENRIQUEZ Yolanda (ESP),GARCI Fadwa (TUN),ENRIQUEZ Yolanda
ITTF Challenge Spanish Open Granada 2020,2020-02-04,VERTIZ Ana Maria,STEPANOVA Gabriela,3,1,"11,7,11,11|6,11,9,9",R64,OLYMPICS,U21WS,2241,Main Draw,VERTIZ Ana Maria (ESP),STEPANOVA Gabriela (CZE),VERTIZ Ana Maria
ITTF Challenge Spanish Open Granada 2020,2020-02-04,YOVKOVA Maria,COBAS Judith,3,0,"11,11,11|2,3,4",R64,OLYMPICS,U21WS,2241,Main Draw,COBAS Judith (ESP),YOVKOVA Maria (BUL),YOVKOVA Maria
ITTF Challenge Spanish Open Granada 2020,2020-02-04,YUMOTO Fuwa,KISEL Darya,3,0,"11,11,11|5,9,9",R64,OLYMPICS,U21WS,2241,Main Draw,KISEL Darya (BLR),YUMOTO Fuwa (JPN),YUMOTO Fuwa
ITTF Challenge Spanish Open Granada 2020,2020-02-04,AKASHEVA Zauresh,MARTINS Raquel,3,0,"11,11,11|6,8,5",R64,OLYMPICS,U21WS,2241,Main Draw,MARTINS Raquel (POR),AKASHEVA Zauresh (KAZ),AKASHEVA Zauresh
ITTF Challenge Spanish Open Granada 2020,2020-02-04,VISHNIAKOVA Olga,CHAKAVAYA Tatsiana,3,0,"11,11,11|8,7,7",R64,OLYMPICS,U21WS,2241,Main Draw,VISHNIAKOVA Olga (RUS),CHAKAVAYA Tatsiana (BLR),VISHNIAKOVA Olga
ITTF Challenge Spanish Open Granada 2020,2020-02-04,LABOSOVA Ema,KOSZULAP Natacha,3,0,"11,13,11|4,11,9",R64,OLYMPICS,U21WS,2241,Main Draw,LABOSOVA Ema (SVK),KOSZULAP Natacha (BEL),LABOSOVA Ema
ITTF Challenge Spanish Open Granada 2020,2020-02-04,ZAHARIA Elena,SHINOHARA Yura,3,2,"10,7,11,14,11|12,11,9,12,7",R64,OLYMPICS,U21WS,2241,Main Draw,ZAHARIA Elena (ROU),SHINOHARA Yura (JPN),ZAHARIA Elena
ITTF Challenge Spanish Open Granada 2020,2020-02-04,MONFARDINI Gaia,BLASKOVA Zdena,3,2,"9,11,13,9,11|11,9,11,11,6",R64,OLYMPICS,U21WS,2241,Main Draw,MONFARDINI Gaia (ITA),BLASKOVA Zdena (CZE),MONFARDINI Gaia
ITTF Challenge Spanish Open Granada 2020,2020-02-04,GAUTHIER Lucie,PAPADIMITRIOU Malamatenia,3,0,"11,11,11|4,7,8",R64,OLYMPICS,U21WS,2241,Main Draw,GAUTHIER Lucie (FRA),PAPADIMITRIOU Malamatenia (GRE),GAUTHIER Lucie
ITTF Challenge Spanish Open Granada 2020,2020-02-04,KATSMAN Lev,SORIA Javier,3,0,"14,11,11|12,6,3",R64,OLYMPICS,U21MS,2241,Main Draw,SORIA Javier (ESP),KATSMAN Lev (RUS),KATSMAN Lev
ITTF Challenge Spanish Open Granada 2020,2020-02-04,ANORBOEV Abdulaziz,CNUDDE Florian,3,1,"11,7,11,11|4,11,9,7",R64,OLYMPICS,U21MS,2241,Main Draw,CNUDDE Florian (BEL),ANORBOEV Abdulaziz (UZB),ANORBOEV Abdulaziz
ITTF Challenge Spanish Open Granada 2020,2020-02-04,GREBNEV Maksim,YOKOTANI Jo,3,2,"8,8,11,11,11|11,11,8,4,9",R64,OLYMPICS,U21MS,2241,Main Draw,GREBNEV Maksim (RUS),YOKOTANI Jo (JPN),GREBNEV Maksim
ITTF Challenge Spanish Open Granada 2020,2020-02-04,GACEV Aleksa,MONGIUSTI Mattias,3,0,"11,11,11|6,7,2",R64,OLYMPICS,U21MS,2241,Main Draw,GACEV Aleksa (SRB),MONGIUSTI Mattias (SMR),GACEV Aleksa
ITTF Challenge Spanish Open Granada 2020,2020-02-04,SPANIK Tibor,PEREZ Gabriel,3,0,"11,11,11|8,9,7",R64,OLYMPICS,U21MS,2241,Main Draw,SPANIK Tibor (SVK),PEREZ Gabriel (PUR),SPANIK Tibor
ITTF Challenge Spanish Open Granada 2020,2020-02-04,COMELIAU David,DAISH Matthew,3,1,"11,8,12,11|7,11,10,4",R64,OLYMPICS,U21MS,2241,Main Draw,COMELIAU David (BEL),DAISH Matthew (ENG),COMELIAU David
ITTF Challenge Spanish Open Granada 2020,2020-02-04,WYKES Jordan,ROSSI Carlo,3,2,"13,6,11,9,11|11,11,4,11,9",R64,OLYMPICS,U21MS,2241,Main Draw,ROSSI Carlo (ITA),WYKES Jordan (JEY),WYKES Jordan
