tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Olympic Games Tokyo 2020,2021-07-25,WANG Yang,POWELL David,4,0,"11,11,11,11|4,4,3,3",R64,OLYMPICS,MS,2345,Main Draw,WANG Yang (SVK),POWELL David (AUS),WANG Yang
Olympic Games Tokyo 2020,2021-07-25,GROTH Jonathan,MAJOROS Bence,4,1,"12,12,11,3,12|10,10,4,11,10",R64,OLYMPICS,MS,2345,Main Draw,GROTH Jonathan (DEN),MAJOROS Bence (HUN),GROTH Jonathan
Olympic Games Tokyo 2020,2021-07-25,SKACHKOV Kirill,JHA Kanak,4,2,"11,9,11,0,11,11|9,11,9,11,7,4",R64,OLYMPICS,MS,2345,Main Draw,SKACHKOV Kirill (RUS),JHA Kanak (USA),SKACHKOV Kirill
Olympic Games Tokyo 2020,2021-07-25,TOKIC Bojan,PUCAR Tomislav,4,0,"11,11,11,12|9,8,9,10",R64,OLYMPICS,MS,2345,Main Draw,TOKIC Bojan (SLO),PUCAR Tomislav (CRO),TOKIC Bojan
Olympic Games Tokyo 2020,2021-07-25,KALLBERG Anton,KUMAR Nikhil,4,0,"11,11,11,11|7,5,6,5",R64,OLYMPICS,MS,2345,Main Draw,KALLBERG Anton (SWE),KUMAR Nikhil (USA),KALLBERG Anton
Olympic Games Tokyo 2020,2021-07-25,GERASSIMENKO Kirill,JANCARIK Lubomir,4,3,"3,6,11,11,2,11,11|11,11,7,8,11,9,4",R64,OLYMPICS,MS,2345,Main Draw,GERASSIMENKO Kirill (KAZ),JANCARIK Lubomir (CZE),GERASSIMENKO Kirill
Olympic Games Tokyo 2020,2021-07-25,JORGIC Darko,ROBLES Alvaro,4,3,"11,12,5,9,5,15,11|2,10,11,11,11,13,8",R64,OLYMPICS,MS,2345,Main Draw,JORGIC Darko (SLO),ROBLES Alvaro (ESP),JORGIC Darko
Olympic Games Tokyo 2020,2021-07-26,BOLL Timo,GERASSIMENKO Kirill,4,1,"7,11,11,11,11|11,6,7,2,1",R32,OLYMPICS,MS,2345,Main Draw,BOLL Timo (GER),GERASSIMENKO Kirill (KAZ),BOLL Timo
Olympic Games Tokyo 2020,2021-07-26,FREITAS Marcos,HABESOHN Daniel,4,3,"11,3,11,11,11,2,11|7,11,7,6,13,11,3",R32,OLYMPICS,MS,2345,Main Draw,FREITAS Marcos (POR),HABESOHN Daniel (AUT),FREITAS Marcos
Olympic Games Tokyo 2020,2021-07-26,JEOUNG Youngsik,GIONIS Panagiotis,4,3,"7,11,8,10,12,11,14|11,7,11,12,10,6,12",R32,OLYMPICS,MS,2345,Main Draw,JEOUNG Youngsik (KOR),GIONIS Panagiotis (GRE),JEOUNG Youngsik
Olympic Games Tokyo 2020,2021-07-26,MA Long,ACHANTA Sharath,4,1,"11,8,13,11,11|7,11,11,4,4",R32,OLYMPICS,MS,2345,Main Draw,MA Long (CHN),ACHANTA Sharath (IND),MA Long
Olympic Games Tokyo 2020,2021-07-26,OVTCHAROV Dimitrij,SKACHKOV Kirill,4,0,"13,11,13,11|11,3,11,4",R32,OLYMPICS,MS,2345,Main Draw,OVTCHAROV Dimitrij (GER),SKACHKOV Kirill (RUS),OVTCHAROV Dimitrij
Olympic Games Tokyo 2020,2021-07-26,NIWA Koki,WANG Yang,4,0,"11,11,11,12|6,8,3,10",R32,OLYMPICS,MS,2345,Main Draw,NIWA Koki (JPN),WANG Yang (SVK),NIWA Koki
Olympic Games Tokyo 2020,2021-07-26,GAUZY Simon,GROTH Jonathan,4,0,"12,11,11,11|10,9,9,5",R32,OLYMPICS,MS,2345,Main Draw,GAUZY Simon (FRA),GROTH Jonathan (DEN),GAUZY Simon
Olympic Games Tokyo 2020,2021-07-26,ASSAR Omar,KARLSSON Mattias,4,3,"11,6,8,13,4,11,11|5,11,11,11,11,6,8",R32,OLYMPICS,MS,2345,Main Draw,ASSAR Omar (EGY),KARLSSON Mattias (SWE),ASSAR Omar
Olympic Games Tokyo 2020,2021-07-26,TSUBOI Gustavo,ARUNA Quadri,4,2,"13,11,11,7,11,11|15,9,6,11,7,6",R32,OLYMPICS,MS,2345,Main Draw,TSUBOI Gustavo (BRA),ARUNA Quadri (NGR),TSUBOI Gustavo
Olympic Games Tokyo 2020,2021-07-26,JORGIC Darko,PITCHFORD Liam,4,2,"11,7,12,11,11,12|8,11,10,13,9,10",R32,OLYMPICS,MS,2345,Main Draw,JORGIC Darko (SLO),PITCHFORD Liam (ENG),JORGIC Darko
Olympic Games Tokyo 2020,2021-07-26,CHUANG Chih-Yuan,WONG Chun Ting,4,1,"9,11,11,11,11|11,5,2,2,8",R32,OLYMPICS,MS,2345,Main Draw,CHUANG Chih-Yuan (TPE),WONG Chun Ting (HKG),CHUANG Chih-Yuan
Olympic Games Tokyo 2020,2021-07-26,JANG Woojin,DRINKHALL Paul,4,1,"7,12,11,11,11|11,10,8,8,7",R32,OLYMPICS,MS,2345,Main Draw,JANG Woojin (KOR),DRINKHALL Paul (ENG),JANG Woojin
