tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Central American Championships San Jose 2021,2021-05-14,CASTRO SALAS Victoria Sofia,ORANTES Cecilia,3,0,"11,11,11|9,6,7",R16,OTHER,WD,2214,Main Draw,CASTRO SALAS Victoria Sofia (CRC),ORANTES Cecilia (ESA)
Central American Championships San Jose 2021,2021-05-14,DIAZ Sharon,AYESTAS Rebecca,3,1,"9,11,11,11|11,8,6,7",R16,OTHER,WD,2214,Main Draw,DIAZ Sharon (CRC),AYESTAS Rebecca (HON)
Central American Championships San Jose 2021,2021-05-14,FERNANDEZ Kevin,GATICA Hector,3,2,"4,12,5,11,11|11,10,11,9,9",R16,OTHER,MD,2214,Main Draw,FERNANDEZ Kevin (CRC),GATICA Hector (GUA)
Central American Championships San Jose 2021,2021-05-14,ARAYA Daniel,MORAZAN Alfredo,3,0,"12,11,11|10,6,5",R16,OTHER,MD,2214,Main Draw,ARAYA Daniel (CRC),MORAZAN Alfredo (HON)
Central American Championships San Jose 2021,2021-05-14,MARTINEZ Job,CASTILLO HERRERA Leonardo Alberto,3,1,"11,5,12,11|5,11,10,8",R16,OTHER,MD,2214,Main Draw,MARTINEZ Job (ESA),CASTILLO HERRERA Leonardo Alberto (PAN)
Central American Championships San Jose 2021,2021-05-14,GUTIERREZ Allan,AZOFEIFA Ricardo,3,0,"11,13,11|9,11,9",R16,OTHER,MD,2214,Main Draw,GUTIERREZ Allan (GUA),AZOFEIFA Ricardo (CRC)
Central American Championships San Jose 2021,2021-05-14,MARTINEZ ESCOBAR Porfirio Alexander,CASTRO Gary,3,1,"13,11,9,11|11,7,11,6",R16,OTHER,MD,2214,Main Draw,MARTINEZ ESCOBAR Porfirio Alexander (HON),CASTRO Gary (NCA)
Central American Championships San Jose 2021,2021-05-14,CASTRO Rogelio,CALVO Allan,3,0,"0,0,0|0,0,0",R16,OTHER,MD,2214,Main Draw,CASTRO Rogelio (MEX),CALVO Allan (CRC)
Central American Championships San Jose 2021,2021-05-14,SHI Calvin,GALEANO Jaime,3,0,"11,11,11|9,7,4",R16,OTHER,MD,2214,Main Draw,SHI Calvin (PAN),GALEANO Jaime (ESA)
Central American Championships San Jose 2021,2021-05-14,MONTOYA Alejandro,GALEANO Jaime,3,1,"11,11,9,11|7,9,11,5",R16,OTHER,XD,2214,Main Draw,MONTOYA Alejandro (CRC),GALEANO Jaime (ESA)
Central American Championships San Jose 2021,2021-05-14,AZOFEIFA Ricardo,MUNOZ Guillermo,3,2,"11,7,11,8,11|9,11,6,11,3",R16,OTHER,XD,2214,Main Draw,AZOFEIFA Ricardo (CRC),MUNOZ Guillermo (HON)
Central American Championships San Jose 2021,2021-05-14,MARTINEZ Jeison,ORANTES Diego,3,0,"0,0,0|0,0,0",R16,OTHER,XD,2214,Main Draw,MARTINEZ Jeison (CRC),ORANTES Diego (ESA)
Central American Championships San Jose 2021,2021-05-14,BARCENAS Clio,MAROTO Paola,3,2,"11,11,9,10,11|6,8,11,12,7",QUAL,OTHER,WS,2214,Qualification,BARCENAS Clio (MEX),MAROTO Paola (CRC)
Central American Championships San Jose 2021,2021-05-14,MUNOZ Monica,SUAREZ Gabriela,3,2,"10,8,11,17,11|12,11,6,15,6",QUAL,OTHER,WS,2214,Qualification,MUNOZ Monica (MEX),SUAREZ Gabriela (ESA)
Central American Championships San Jose 2021,2021-05-14,CORDERO Lucia,COSSIO Arantxa,3,1,"11,10,12,11|8,12,10,3",QUAL,OTHER,WS,2214,Qualification,CORDERO Lucia (GUA),COSSIO Arantxa (MEX)
Central American Championships San Jose 2021,2021-05-14,DIAZ Sharon,ROJAS Sol,3,1,"5,11,12,13|11,6,10,11",QUAL,OTHER,WS,2214,Qualification,DIAZ Sharon (CRC),ROJAS Sol (CRC)
Central American Championships San Jose 2021,2021-05-14,ACEVES Marbella,AYESTAS Rebecca,3,1,"11,11,8,11|9,8,11,7",QUAL,OTHER,WS,2214,Qualification,ACEVES Marbella (MEX),AYESTAS Rebecca (HON)
Central American Championships San Jose 2021,2021-05-14,ORANTES Cecilia,GRANADOS Nicole,3,1,"11,7,11,16|5,11,6,14",QUAL,OTHER,WS,2214,Qualification,ORANTES Cecilia (ESA),GRANADOS Nicole (CRC)
Central American Championships San Jose 2021,2021-05-14,MONTUFAR Andrea,PEREZ Sofia,3,2,"11,9,6,11,11|4,11,11,7,9",QUAL,OTHER,WS,2214,Qualification,MONTUFAR Andrea (GUA),PEREZ Sofia (CRC)
Central American Championships San Jose 2021,2021-05-14,ROJAS Stefanny,CASTRO SALAS Victoria Sofia,3,0,"0,0,0|0,0,0",QUAL,OTHER,WS,2214,Qualification,ROJAS Stefanny (CRC),CASTRO SALAS Victoria Sofia (CRC)
Central American Championships San Jose 2021,2021-05-14,MACHADO Cristina,SOLIS Reina,3,0,"11,11,11|3,6,5",QUAL,OTHER,WS,2214,Qualification,MACHADO Cristina (ESA),SOLIS Reina (HON)
Central American Championships San Jose 2021,2021-05-14,ZAPATA Hidalynn,CONSTANZA Keren,3,1,"11,10,11,11|7,12,5,4",QUAL,OTHER,WS,2214,Qualification,ZAPATA Hidalynn (GUA),CONSTANZA Keren (ESA)
Central American Championships San Jose 2021,2021-05-14,ROUSTAN Genaro,MONTOYA Alejandro,3,1,"9,11,11,11|11,7,9,4",QUAL,OTHER,MS,2214,Qualification,ROUSTAN Genaro (NCA),MONTOYA Alejandro (CRC)
Central American Championships San Jose 2021,2021-05-14,MONTUFAR Kevin,MUNOZ Guillermo,3,1,"8,11,11,11|11,4,8,2",QUAL,OTHER,MS,2214,Qualification,MONTUFAR Kevin (GUA),MUNOZ Guillermo (HON)
Central American Championships San Jose 2021,2021-05-14,VILLA Ricardo,SANCHEZ Alfredo,3,1,"11,13,10,11|9,11,12,6",QUAL,OTHER,MS,2214,Qualification,VILLA Ricardo (MEX),SANCHEZ Alfredo (CRC)
Central American Championships San Jose 2021,2021-05-14,LARA Miguel,CASTELLON Denilson,3,1,"11,9,11,11|6,11,7,9",QUAL,OTHER,MS,2214,Qualification,LARA Miguel (MEX),CASTELLON Denilson (NCA)
Central American Championships San Jose 2021,2021-05-14,GATICA Hector,CALVO Allan,3,0,"15,13,14|13,11,12",QUAL,OTHER,MS,2214,Qualification,GATICA Hector (GUA),CALVO Allan (CRC)
Central American Championships San Jose 2021,2021-05-14,MARTINEZ Jeison,SHI Calvin,3,0,"0,0,0|0,0,0",QUAL,OTHER,MS,2214,Qualification,MARTINEZ Jeison (CRC),SHI Calvin (PAN)
Central American Championships San Jose 2021,2021-05-14,GALEANO Jaime,MARTINEZ ESCOBAR Porfirio Alexander,3,1,"12,11,11,12|10,8,13,10",QUAL,OTHER,MS,2214,Qualification,GALEANO Jaime (ESA),MARTINEZ ESCOBAR Porfirio Alexander (HON)
Central American Championships San Jose 2021,2021-05-14,MOSCOSO Heber,MARTINEZ Job,3,1,"9,11,11,11|11,8,9,8",QUAL,OTHER,MS,2214,Qualification,MOSCOSO Heber (GUA),MARTINEZ Job (ESA)
Central American Championships San Jose 2021,2021-05-14,PEREZ Jose,TUNON Jean Carlos,3,0,"11,11,11|3,5,5",QUAL,OTHER,MS,2214,Qualification,PEREZ Jose (CRC),TUNON Jean Carlos (PAN)
Central American Championships San Jose 2021,2021-05-14,ZAMORA Carlos,FERNANDEZ Kevin,3,0,"11,11,11|9,9,4",QUAL,OTHER,MS,2214,Qualification,ZAMORA Carlos (MEX),FERNANDEZ Kevin (CRC)
Central American Championships San Jose 2021,2021-05-14,ORANTES Diego,REYES Cesar,3,0,"12,11,11|10,4,9",QUAL,OTHER,MS,2214,Qualification,ORANTES Diego (ESA),REYES Cesar (HON)
Central American Championships San Jose 2021,2021-05-14,CASTRO Gary,WONG Emilio,3,1,"11,12,4,11|9,10,11,6",QUAL,OTHER,MS,2214,Qualification,CASTRO Gary (NCA),WONG Emilio (PAN)
Central American Championships San Jose 2021,2021-05-14,ARAYA Daniel,CASTRO Rogelio,3,2,"11,12,7,8,11|8,10,11,11,9",QUAL,OTHER,MS,2214,Qualification,ARAYA Daniel (CRC),CASTRO Rogelio (MEX)
Central American Championships San Jose 2021,2021-05-14,CASTILLO HERRERA Leonardo Alberto,SANCHEZ Edgardo,3,0,"11,11,11|7,9,9",QUAL,OTHER,MS,2214,Qualification,CASTILLO HERRERA Leonardo Alberto (PAN),SANCHEZ Edgardo (ESA)
