tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,AKKUZU Can,KONSTANTINOPOULOS Giorgos,3,0,"11,11,11|8,5,4",QR32,OTHER,MD,2219,Qualification,AKKUZU Can (FRA),KONSTANTINOPOULOS Giorgos (GRE)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,REINHOLDS Arturs,GIONIS Panagiotis,3,1,"6,11,11,11|11,9,8,8",QR32,OTHER,MD,2219,Qualification,REINHOLDS Arturs (LAT),GIONIS Panagiotis (GRE)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,JORGIC Darko,LUSIN Aleksandr,3,2,"9,11,11,11,11|11,2,7,13,6",QR32,OTHER,MD,2219,Qualification,JORGIC Darko (SLO),LUSIN Aleksandr (EST)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,BADOWSKI Marek,UDRA Alfredas,3,2,"11,10,11,7,11|8,12,4,11,6",QR32,OTHER,MD,2219,Qualification,BADOWSKI Marek (POL),UDRA Alfredas (LTU)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,PRYSHCHEPA Ievgen,ALEXANDROV Teodor,3,1,"6,12,11,12|11,10,9,10",QR32,OTHER,MD,2219,Qualification,PRYSHCHEPA Ievgen (UKR),ALEXANDROV Teodor (BUL)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,KHANIN Aleksandr,MAHMUTI Kreshnik,3,0,"11,11,11|6,7,4",QR32,OTHER,MD,2219,Qualification,KHANIN Aleksandr (BLR),MAHMUTI Kreshnik (KOS)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,PISTEJ Lubomir,YIANGOU Marios,3,0,"11,11,11|4,2,6",QR32,OTHER,MD,2219,Qualification,PISTEJ Lubomir (SVK),YIANGOU Marios (CYP)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,PLATONOV Pavel,IONESCU Eduard,3,2,"11,6,4,11,11|5,11,11,3,5",QR32,OTHER,MD,2219,Qualification,PLATONOV Pavel (BLR),IONESCU Eduard (ROU)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,PUTUNTICA Andrei,TOKIC Bojan,3,0,"11,11,11|0,0,0",QR32,OTHER,MD,2219,Qualification,PUTUNTICA Andrei (MDA),TOKIC Bojan (SLO)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,GUNDUZ Ibrahim,RECH DALDOSSO Marco,3,1,"11,9,11,13|9,11,8,11",QR32,OTHER,MD,2219,Qualification,GUNDUZ Ibrahim (TUR),RECH DALDOSSO Marco (ITA)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,LEBESSON Emmanuel,BUCH Martin,3,0,"11,11,11|4,6,3",QR32,OTHER,MD,2219,Qualification,LEBESSON Emmanuel (FRA),BUCH Martin (DEN)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,ZELJKO Filip,TAUBER Michael,3,0,"11,11,11|7,5,3",QR32,OTHER,MD,2219,Qualification,ZELJKO Filip (CRO),TAUBER Michael (ISR)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,LAKATOS Tamas,LINDHOLM Eskil,3,0,"11,11,11|3,3,7",QR32,OTHER,MD,2219,Qualification,LAKATOS Tamas (HUN),LINDHOLM Eskil (NOR)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,SZOCS Hunor,SERDAROGLU David,3,2,"11,10,5,11,11|9,12,11,8,8",QR32,OTHER,MD,2219,Qualification,SZOCS Hunor (ROU),SERDAROGLU David (AUT)
LIEBHERR ITTF European Championships Warsaw 2021,2021-06-22,DUDA Benedikt,PUTUNTICA Andrei,3,1,"11,11,9,11|5,7,11,7",R32,OTHER,MD,2219,Main Draw,DUDA Benedikt (GER),PUTUNTICA Andrei (MDA)
