tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,SANTOS Emil,KNIGHT Tyrese,4,1,"13,11,9,11,11|11,3,11,7,9",R32,OTHER,MS,2202,Main Draw,SANTOS Emil (DOM),KNIGHT Tyrese (BAR),SANTOS Emil
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,CAMPOS Jorge,WATSON Kane,4,0,"11,11,11,11|3,2,7,6",R32,OTHER,MS,2202,Main Draw,CAMPOS Jorge (CUB),WATSON Kane (JAM),CAMPOS Jorge
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,ECHAVARRIA Alexander,GATICA Hector,4,1,"12,11,11,13,11|14,5,7,11,7",R32,OTHER,MS,2202,Main Draw,ECHAVARRIA Alexander (COL),GATICA Hector (GUA),ECHAVARRIA Alexander
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,TORANZOS Alejandro,BRITTON Shemar,4,2,"11,8,11,8,11,11|5,11,2,11,3,3",R32,OTHER,MS,2202,Main Draw,TORANZOS Alejandro (PAR),BRITTON Shemar (GUY),TORANZOS Alejandro
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,TOMLINSON Simon,CORREA Cecilio,4,3,"11,11,7,12,8,11,14|8,6,11,14,11,9,12",R32,OTHER,MS,2202,Main Draw,TOMLINSON Simon (JAM),CORREA Cecilio (VEN),TOMLINSON Simon
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,PEREIRA Andy,PALOU Pablo,4,0,"11,11,11,11|2,2,3,5",R32,OTHER,MS,2202,Main Draw,PEREIRA Andy (CUB),PALOU Pablo (URU),PEREIRA Andy
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,WU Jiaji,GUTIERREZ Allan,4,0,"11,11,11,11|2,6,6,4",R32,OTHER,MS,2202,Main Draw,WU Jiaji (DOM),GUTIERREZ Allan (GUA),WU Jiaji
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,GOMEZ Gustavo,ALLEYNE Joel,4,0,"11,11,11,11|6,5,8,2",R32,OTHER,MS,2202,Main Draw,GOMEZ Gustavo (CHI),ALLEYNE Joel (GUY),GOMEZ Gustavo
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,ALTO Gaston,SANTOS Emil,4,1,"11,11,11,8,11|8,8,8,11,1",R16,OTHER,MS,2202,Main Draw,ALTO Gaston (ARG),SANTOS Emil (DOM),ALTO Gaston
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,CAMPOS Jorge,AGUIRRE Marcelo,4,0,"11,11,11,11|8,5,6,7",R16,OTHER,MS,2202,Main Draw,CAMPOS Jorge (CUB),AGUIRRE Marcelo (PAR),CAMPOS Jorge
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,LAMADRID Juan,TORANZOS Alejandro,4,2,"9,11,11,11,12,11|11,5,7,13,10,4",R16,OTHER,MS,2202,Main Draw,LAMADRID Juan (CHI),TORANZOS Alejandro (PAR),LAMADRID Juan
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,CIFUENTES Horacio,PEREIRA Andy,4,0,"11,11,11,11|9,3,2,8",R16,OTHER,MS,2202,Main Draw,CIFUENTES Horacio (ARG),PEREIRA Andy (CUB),CIFUENTES Horacio
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,WU Jiaji,GONZALEZ Daniel,4,1,"9,11,13,11,11|11,8,11,1,6",R16,OTHER,MS,2202,Main Draw,WU Jiaji (DOM),GONZALEZ Daniel (PUR),WU Jiaji
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,MINO Alberto,TOMLINSON Simon,4,1,"10,11,11,11,11|12,8,5,3,5",R16,OTHER,MS,2202,Main Draw,MINO Alberto (ECU),TOMLINSON Simon (JAM),MINO Alberto
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,AFANADOR Brian,GOMEZ Gustavo,4,2,"6,11,11,11,14,11|11,13,8,6,12,7",R16,OTHER,MS,2202,Main Draw,AFANADOR Brian (PUR),GOMEZ Gustavo (CHI),AFANADOR Brian
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,MADRID Marcos,ECHAVARRIA Alexander,4,0,"11,11,11,11|5,6,5,9",R16,OTHER,MS,2202,Main Draw,MADRID Marcos (MEX),ECHAVARRIA Alexander (COL),MADRID Marcos
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,MEDINA Paula,GOMEZ Leyla,4,2,"11,6,11,5,11,11|5,11,3,11,3,3",R32,OTHER,WS,2202,Main Draw,MEDINA Paula (COL),GOMEZ Leyla (PAR),MEDINA Paula
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,MUNOZ Monica,EDGHILL Chelsea,4,3,"11,11,9,4,11,8,11|5,8,11,11,6,11,9",R32,OTHER,WS,2202,Main Draw,MUNOZ Monica (MEX),EDGHILL Chelsea (GUY),MUNOZ Monica
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,CORDERO Lucia,CUMMINGS Natalie,4,0,"11,11,11,11|9,6,7,8",R32,OTHER,WS,2202,Main Draw,CORDERO Lucia (GUA),CUMMINGS Natalie (GUY),CORDERO Lucia
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,OVELAR Lucero,CHUNG Rheann,4,1,"12,5,13,11,11|10,11,11,5,6",R32,OTHER,WS,2202,Main Draw,OVELAR Lucero (PAR),CHUNG Rheann (TTO),OVELAR Lucero
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,NINO Neridee,LOVET Idalys,4,1,"11,11,11,8,13|6,8,5,11,11",R32,OTHER,WS,2202,Main Draw,NINO Neridee (VEN),LOVET Idalys (CUB),NINO Neridee
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,VEGA Paulina,CORDERO Lucia,4,1,"10,11,11,11,11|12,6,4,5,7",R16,OTHER,WS,2202,Main Draw,VEGA Paulina (CHI),CORDERO Lucia (GUA),VEGA Paulina
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,ENRIQUEZ Mabelyn,OVELAR Lucero,4,1,"11,11,11,7,13|2,8,2,11,11",R16,OTHER,WS,2202,Main Draw,ENRIQUEZ Mabelyn (GUA),OVELAR Lucero (PAR),ENRIQUEZ Mabelyn
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,FONSECA Daniela,ORTEGA Daniela,4,3,"9,6,7,14,11,11,11|11,11,11,12,9,4,7",R16,OTHER,WS,2202,Main Draw,FONSECA Daniela (CUB),ORTEGA Daniela (CHI),FONSECA Daniela
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,SILVA Yadira,PAREDES Nathaly,4,1,"11,11,9,11,14|6,9,11,5,12",R16,OTHER,WS,2202,Main Draw,SILVA Yadira (MEX),PAREDES Nathaly (ECU),SILVA Yadira
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,MUNOZ Monica,MOLERO Candela,4,1,"12,9,11,15,11|10,11,3,13,8",R16,OTHER,WS,2202,Main Draw,MUNOZ Monica (MEX),MOLERO Candela (ARG),MUNOZ Monica
Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021-04-13,DIAZ Melanie,CASTRO Esmerlyn,4,0,"12,13,11,11|10,11,9,3",R16,OTHER,WS,2202,Main Draw,DIAZ Melanie (PUR),CASTRO Esmerlyn (DOM),DIAZ Melanie
