tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Eastern Africa WTTC Finals Qualification,2022-05-05,NAPOOKOLI Phillip,SULTAN Godfrey,3,1,"11,10,12,11|9,12,10,4",,OTHER,MT,2578,Qualification,SULTAN Godfrey (SEY),NAPOOKOLI Phillip (UGA),NAPOOKOLI Phillip
Eastern Africa WTTC Finals Qualification,2022-05-05,ACHUMA Benjamin Ebenezer,CREA Mick,3,1,"5,11,12,11|11,4,10,3",,OTHER,MT,2578,Qualification,CREA Mick (SEY),ACHUMA Benjamin Ebenezer (UGA),ACHUMA Benjamin Ebenezer
Eastern Africa WTTC Finals Qualification,2022-05-05,KASOMA Desire,BANANE Dorian,3,1,"11,11,10,11|5,5,12,5",,OTHER,MT,2578,Qualification,BANANE Dorian (SEY),KASOMA Desire (UGA),KASOMA Desire
Eastern Africa WTTC Finals Qualification,2022-05-05,NIYONIZIGIYE Eric,DEBRU Denden,3,0,"11,11,11|5,3,8",,OTHER,MT,2578,Qualification,DEBRU Denden (ERI),NIYONIZIGIYE Eric (RWA),NIYONIZIGIYE Eric
Eastern Africa WTTC Finals Qualification,2022-05-05,HAHIRWABASENGA Didier,GHEBREIGZIABHER Sofanyas,3,0,"11,11,11|8,6,6",,OTHER,MT,2578,Qualification,GHEBREIGZIABHER Sofanyas (ERI),HAHIRWABASENGA Didier (RWA),HAHIRWABASENGA Didier
Eastern Africa WTTC Finals Qualification,2022-05-05,ISHIMWE Francois,ELIAS Andemariam Okbu,3,1,"11,9,11,11|3,11,6,5",,OTHER,MT,2578,Qualification,ELIAS Andemariam Okbu (ERI),ISHIMWE Francois (RWA),ISHIMWE Francois
Eastern Africa WTTC Finals Qualification,2022-05-05,ABEJE Eyob Sissay,BOURHAN Abdourazak Abdallah,3,0,"11,11,11|5,6,7",,OTHER,MT,2578,Qualification,ABEJE Eyob Sissay (ETH),BOURHAN Abdourazak Abdallah (DJI),ABEJE Eyob Sissay
Eastern Africa WTTC Finals Qualification,2022-05-05,DUFERA Darara,MOHAMED Houmed Saido,3,0,"16,11,11|14,4,3",,OTHER,MT,2578,Qualification,DUFERA Darara (ETH),MOHAMED Houmed Saido (DJI),DUFERA Darara
Eastern Africa WTTC Finals Qualification,2022-05-05,FARIS Aden,HOUD Abdourahman,3,0,"11,11,11|3,7,6",,OTHER,MT,2578,Qualification,FARIS Aden (ETH),HOUD Abdourahman (DJI),FARIS Aden
Eastern Africa WTTC Finals Qualification,2022-05-05,DESSCANN Ryan,MZEMBABA Ali,3,0,"11,11,11|8,6,3",,OTHER,MT,2578,Qualification,DESSCANN Ryan (MRI),MZEMBABA Ali (COM),DESSCANN Ryan
