tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF-Oceania Senior Championships 2022,2022-09-05,HUANG Cecilia,PAUL Anais,3,0,"11,11,11|6,4,4",GROUP,OTHER,WT,2615,Main Draw,HUANG Cecilia (NZL),PAUL Anais (NCL),HUANG Cecilia
ITTF-Oceania Senior Championships 2022,2022-09-05,YANG Joanna,WANEGUI Julie,3,0,"11,11,11|6,9,3",GROUP,OTHER,WT,2615,Main Draw,YANG Joanna (NZL),WANEGUI Julie (NCL),YANG Joanna
ITTF-Oceania Senior Championships 2022,2022-09-05,WEBB Abbey,SIFI Connie,3,0,"11,14,11|7,12,5",GROUP,OTHER,WT,2615,Main Draw,WEBB Abbey (NZL),SIFI Connie (SOL),WEBB Abbey
ITTF-Oceania Senior Championships 2022,2022-09-05,WU Vicky,LULU Ham,3,1,"7,11,11,11|11,5,5,8",GROUP,OTHER,MT,2615,Main Draw,WU Vicky (FIJ),LULU Ham (VAN),WU Vicky
ITTF-Oceania Senior Championships 2022,2022-09-05,YEE Joshua,LULU Edwin,3,0,"11,11,11|5,1,4",GROUP,OTHER,MT,2615,Main Draw,YEE Joshua (FIJ),LULU Edwin (VAN),YEE Joshua
ITTF-Oceania Senior Championships 2022,2022-09-05,ZHANG Bei Yan,CARLOT Brendan,3,0,"11,11,11|1,6,5",GROUP,OTHER,MT,2615,Main Draw,ZHANG Bei Yan (FIJ),CARLOT Brendan (VAN),ZHANG Bei Yan
ITTF-Oceania Senior Championships 2022,2022-09-05,YEE Grace Rosi,VI Eseta,3,1,"11,11,7,11|6,3,11,2",GROUP,OTHER,WT,2615,Main Draw,YEE Grace Rosi (FIJ),VI Eseta (TGA),YEE Grace Rosi
ITTF-Oceania Senior Championships 2022,2022-09-05,LI Carolyn,FUNGAVAI Melekaufusi,3,0,"11,11,11|3,5,2",GROUP,OTHER,WT,2615,Main Draw,LI Carolyn (FIJ),FUNGAVAI Melekaufusi (TGA),LI Carolyn
ITTF-Oceania Senior Championships 2022,2022-09-05,TITANA Touea,FIFITA Tupou,3,0,"11,11,11|6,2,5",GROUP,OTHER,WT,2615,Main Draw,TITANA Touea (FIJ),FIFITA Tupou (TGA),TITANA Touea
ITTF-Oceania Senior Championships 2022,2022-09-05,DIXON Xavier,DEY Jeremy,3,0,"11,11,11|4,4,2",GROUP,OTHER,MT,2615,Main Draw,DIXON Xavier (AUS),DEY Jeremy (NCL),DIXON Xavier
