tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2022 South American Championships,2022-07-21,PAREDES Nathaly,ECHEVERRY Manuela,3,1,"11,8,11,11|6,11,9,8",QF,OTHER,WT,2608,Main Draw,PAREDES Nathaly (ECU),ECHEVERRY Manuela (COL)
2022 South American Championships,2022-07-21,TELLEZ Cory,SALAZAR Astrid,3,1,"11,11,10,11|3,3,12,5",QF,OTHER,WT,2608,Main Draw,TELLEZ Cory (COL),SALAZAR Astrid (ECU)
2022 South American Championships,2022-07-21,CASAS Marta,PLAZA Mylena,3,0,"11,11,11|7,6,9",QF,OTHER,WT,2608,Main Draw,CASAS Marta (COL),PLAZA Mylena (ECU)
2022 South American Championships,2022-07-21,PAREDES Nathaly,TELLEZ Cory,3,2,"4,11,11,4,11|11,5,8,11,8",QF,OTHER,WT,2608,Main Draw,PAREDES Nathaly (ECU),TELLEZ Cory (COL)
2022 South American Championships,2022-07-21,ECHEVERRY Manuela,SALAZAR Astrid,3,0,"11,11,11|7,9,5",QF,OTHER,WT,2608,Main Draw,ECHEVERRY Manuela (COL),SALAZAR Astrid (ECU)
2022 South American Championships,2022-07-21,ARGUELLES Camila,GOMEZ Cristina,3,0,"11,11,12|4,9,10",QF,OTHER,WT,2608,Main Draw,ARGUELLES Camila (ARG),GOMEZ Cristina (VEN)
2022 South American Championships,2022-07-21,KAIZOJI Camila,OBANDO Camila,3,1,"11,8,11,11|8,11,5,9",QF,OTHER,WT,2608,Main Draw,KAIZOJI Camila (ARG),OBANDO Camila (VEN)
2022 South American Championships,2022-07-21,MOLERO Candela,CARDENAS MALLIOTAKIS Isaleym Mariam,3,0,"11,11,11|2,4,3",QF,OTHER,WT,2608,Main Draw,MOLERO Candela (ARG),CARDENAS MALLIOTAKIS Isaleym Mariam (VEN)
2022 South American Championships,2022-07-21,OTALVARO Federico,RIOFRIO Emiliano,3,0,"11,11,11|8,6,8",QF,OTHER,MT,2608,Main Draw,OTALVARO Federico (COL),RIOFRIO Emiliano (ECU)
2022 South American Championships,2022-07-21,RAMOS Julian,PIGUAVE Diego,3,1,"12,15,11,14|14,13,7,12",QF,OTHER,MT,2608,Main Draw,RAMOS Julian (COL),PIGUAVE Diego (ECU)
