tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Champions European Summer Series 2022,2022-07-18,PESOTSKA Margaryta,TAKAHASHI Bruna,3,0,"11,11,11|7,9,6",R32,WTT_CHAMPIONS,WS,2593,Main Draw,PESOTSKA Margaryta (UKR),TAKAHASHI Bruna (BRA),PESOTSKA Margaryta
WTT Champions European Summer Series 2022,2022-07-18,CALDERANO Hugo,ASSAR Omar,3,1,"9,11,11,11|11,4,9,0",R32,WTT_CHAMPIONS,MS,2593,Main Draw,CALDERANO Hugo (BRA),ASSAR Omar (EGY),CALDERANO Hugo
WTT Champions European Summer Series 2022,2022-07-18,ZHANG Lily,SOLJA Petrissa,3,2,"10,11,4,11,11|12,5,11,5,8",R32,WTT_CHAMPIONS,WS,2593,Main Draw,ZHANG Lily (USA),SOLJA Petrissa (GER),ZHANG Lily
WTT Champions European Summer Series 2022,2022-07-18,QIU Dang,KALLBERG Anton,3,1,"11,11,11,11|6,5,13,4",R32,WTT_CHAMPIONS,MS,2593,Main Draw,QIU Dang (GER),KALLBERG Anton (SWE),QIU Dang
WTT Champions European Summer Series 2022,2022-07-18,POLCANOVA Sofia,POTA Georgina,3,0,"11,12,11|2,10,4",R32,WTT_CHAMPIONS,WS,2593,Main Draw,POLCANOVA Sofia (AUT),POTA Georgina (HUN),POLCANOVA Sofia
WTT Champions European Summer Series 2022,2022-07-18,JORGIC Darko,GACINA Andrej,3,0,"11,11,11|5,5,8",R32,WTT_CHAMPIONS,MS,2593,Main Draw,JORGIC Darko (SLO),GACINA Andrej (CRO),JORGIC Darko
WTT Champions European Summer Series 2022,2022-07-18,GERASSIMENKO Kirill,GNANASEKARAN Sathiyan,3,2,"11,11,7,11,11|8,13,11,7,9",R32,WTT_CHAMPIONS,MS,2593,Main Draw,GERASSIMENKO Kirill (KAZ),GNANASEKARAN Sathiyan (IND),GERASSIMENKO Kirill
WTT Champions European Summer Series 2022,2022-07-18,SZOCS Bernadette,GODA Hana,3,0,"11,11,11|7,5,6",R32,WTT_CHAMPIONS,WS,2593,Main Draw,SZOCS Bernadette (ROU),GODA Hana (EGY),SZOCS Bernadette
WTT Champions European Summer Series 2022,2022-07-18,HARIMOTO Tomokazu,WONG Chun Ting,3,1,"11,8,11,11|2,11,6,9",R32,WTT_CHAMPIONS,MS,2593,Main Draw,HARIMOTO Tomokazu (JPN),WONG Chun Ting (HKG),HARIMOTO Tomokazu
WTT Champions European Summer Series 2022,2022-07-18,SHAN Xiaona,YUAN Jia Nan,3,0,"11,11,11|7,8,8",R32,WTT_CHAMPIONS,WS,2593,Main Draw,SHAN Xiaona (GER),YUAN Jia Nan (FRA),SHAN Xiaona
WTT Champions European Summer Series 2022,2022-07-18,LIM Jonghoon,ARUNA Quadri,3,2,"7,13,11,12,11|11,11,8,14,9",R32,WTT_CHAMPIONS,MS,2593,Main Draw,LIM Jonghoon (KOR),ARUNA Quadri (NGR),LIM Jonghoon
WTT Champions European Summer Series 2022,2022-07-18,DOO Hoi Kem,SAMARA Elizabeta,3,0,"11,11,11|6,7,3",R32,WTT_CHAMPIONS,WS,2593,Main Draw,DOO Hoi Kem (HKG),SAMARA Elizabeta (ROU),DOO Hoi Kem
WTT Champions European Summer Series 2022,2022-07-18,UDA Yukiya,GAUZY Simon,3,1,"8,11,11,11|11,7,8,9",R32,WTT_CHAMPIONS,MS,2593,Main Draw,UDA Yukiya (JPN),GAUZY Simon (FRA),UDA Yukiya
WTT Champions European Summer Series 2022,2022-07-18,KIHARA Miyuu,HAN Ying,3,1,"11,8,11,11|7,11,6,8",R32,WTT_CHAMPIONS,WS,2593,Main Draw,KIHARA Miyuu (JPN),HAN Ying (GER),KIHARA Miyuu
WTT Champions European Summer Series 2022,2022-07-18,MA Long,GARDOS Robert,3,0,"11,11,12|4,8,10",R32,WTT_CHAMPIONS,MS,2593,Main Draw,MA Long (CHN),GARDOS Robert (AUT),MA Long
WTT Champions European Summer Series 2022,2022-07-18,CHEN Meng,YANG Xiaoxin,3,2,"8,9,11,11,11|11,11,3,7,3",R32,WTT_CHAMPIONS,WS,2593,Main Draw,CHEN Meng (CHN),YANG Xiaoxin (MON),CHEN Meng
WTT Champions European Summer Series 2022,2022-07-19,WANG Manyu,DIAZ Adriana,3,1,"8,11,11,11|11,9,5,7",R32,WTT_CHAMPIONS,WS,2593,Main Draw,WANG Manyu (CHN),DIAZ Adriana (PUR),WANG Manyu
WTT Champions European Summer Series 2022,2022-07-19,FRANZISKA Patrick,PITCHFORD Liam,3,1,"12,11,13,11|10,6,15,8",R32,WTT_CHAMPIONS,MS,2593,Main Draw,FRANZISKA Patrick (GER),PITCHFORD Liam (ENG),FRANZISKA Patrick
WTT Champions European Summer Series 2022,2022-07-19,YU Fu,MATELOVA Hana,3,0,"11,12,11|4,10,6",R32,WTT_CHAMPIONS,WS,2593,Main Draw,YU Fu (POR),MATELOVA Hana (CZE),YU Fu
WTT Champions European Summer Series 2022,2022-07-19,BOLL Timo,JHA Kanak,3,2,"3,7,11,11,11|11,11,3,9,8",R32,WTT_CHAMPIONS,MS,2593,Main Draw,BOLL Timo (GER),JHA Kanak (USA),BOLL Timo
WTT Champions European Summer Series 2022,2022-07-19,ITO Mima,CHEN Szu-Yu,3,0,"11,11,11|6,5,9",R32,WTT_CHAMPIONS,WS,2593,Main Draw,ITO Mima (JPN),CHEN Szu-Yu (TPE),ITO Mima
WTT Champions European Summer Series 2022,2022-07-19,CHUANG Chih-Yuan,MAJOROS Bence,3,1,"5,12,11,11|11,10,9,7",R32,WTT_CHAMPIONS,MS,2593,Main Draw,CHUANG Chih-Yuan (TPE),MAJOROS Bence (HUN),CHUANG Chih-Yuan
WTT Champions European Summer Series 2022,2022-07-19,FREITAS Marcos,MOREGARD Truls,3,2,"7,13,7,13,11|11,11,11,11,8",R32,WTT_CHAMPIONS,MS,2593,Main Draw,FREITAS Marcos (POR),MOREGARD Truls (SWE),FREITAS Marcos
WTT Champions European Summer Series 2022,2022-07-19,ISHIKAWA Kasumi,SAWETTABUT Suthasini,3,0,"11,12,11|6,10,7",R32,WTT_CHAMPIONS,WS,2593,Main Draw,ISHIKAWA Kasumi (JPN),SAWETTABUT Suthasini (THA),ISHIKAWA Kasumi
WTT Champions European Summer Series 2022,2022-07-19,LIANG Jingkun,LEE Sangsu,3,0,"11,11,11|6,5,3",R32,WTT_CHAMPIONS,MS,2593,Main Draw,LIANG Jingkun (CHN),LEE Sangsu (KOR),LIANG Jingkun
WTT Champions European Summer Series 2022,2022-07-19,HAYATA Hina,SUH Hyowon,3,1,"11,15,12,11|5,13,14,9",R32,WTT_CHAMPIONS,WS,2593,Main Draw,HAYATA Hina (JPN),SUH Hyowon (KOR),HAYATA Hina
WTT Champions European Summer Series 2022,2022-07-19,LEBRUN Alexis,OVTCHAROV Dimitrij,3,2,"11,6,11,8,11|7,11,5,11,7",R32,WTT_CHAMPIONS,MS,2593,Main Draw,LEBRUN Alexis (FRA),OVTCHAROV Dimitrij (GER),LEBRUN Alexis
WTT Champions European Summer Series 2022,2022-07-19,WANG Yidi,JEON Jihee,3,0,"11,11,11|7,4,3",R32,WTT_CHAMPIONS,WS,2593,Main Draw,WANG Yidi (CHN),JEON Jihee (KOR),WANG Yidi
WTT Champions European Summer Series 2022,2022-07-19,LIN Gaoyuan,LIN Yun-Ju,3,2,"4,7,11,11,11|11,11,7,6,5",R32,WTT_CHAMPIONS,MS,2593,Main Draw,LIN Gaoyuan (CHN),LIN Yun-Ju (TPE),LIN Gaoyuan
WTT Champions European Summer Series 2022,2022-07-19,CHEN Xingtong,CHENG I-Ching,3,0,"13,11,11|11,8,4",R32,WTT_CHAMPIONS,WS,2593,Main Draw,CHEN Xingtong (CHN),CHENG I-Ching (TPE),CHEN Xingtong
WTT Champions European Summer Series 2022,2022-07-19,KARLSSON Kristian,WANG Chuqin,3,2,"11,11,13,5,11|13,7,11,11,9",R32,WTT_CHAMPIONS,MS,2593,Main Draw,KARLSSON Kristian (SWE),WANG Chuqin (CHN),KARLSSON Kristian
WTT Champions European Summer Series 2022,2022-07-19,SUN Yingsha,MITTELHAM Nina,3,0,"11,12,11|8,10,2",R32,WTT_CHAMPIONS,WS,2593,Main Draw,SUN Yingsha (CHN),MITTELHAM Nina (GER),SUN Yingsha
WTT Champions European Summer Series 2022,2022-07-20,LIM Jonghoon,CALDERANO Hugo,3,0,"12,12,11|10,10,3",R16,WTT_CHAMPIONS,MS,2593,Main Draw,LIM Jonghoon (KOR),CALDERANO Hugo (BRA),LIM Jonghoon
WTT Champions European Summer Series 2022,2022-07-20,KIHARA Miyuu,SZOCS Bernadette,3,1,"11,4,11,11|6,11,8,9",R16,WTT_CHAMPIONS,WS,2593,Main Draw,KIHARA Miyuu (JPN),SZOCS Bernadette (ROU),KIHARA Miyuu
WTT Champions European Summer Series 2022,2022-07-20,FRANZISKA Patrick,MA Long,3,2,"11,7,11,4,12|7,11,6,11,10",R16,WTT_CHAMPIONS,MS,2593,Main Draw,FRANZISKA Patrick (GER),MA Long (CHN),FRANZISKA Patrick
WTT Champions European Summer Series 2022,2022-07-20,WANG Manyu,POLCANOVA Sofia,3,1,"11,11,9,11|6,4,11,7",R16,WTT_CHAMPIONS,WS,2593,Main Draw,WANG Manyu (CHN),POLCANOVA Sofia (AUT),WANG Manyu
WTT Champions European Summer Series 2022,2022-07-20,LIN Gaoyuan,BOLL Timo,3,0,"11,11,11|8,6,3",R16,WTT_CHAMPIONS,MS,2593,Main Draw,LIN Gaoyuan (CHN),BOLL Timo (GER),LIN Gaoyuan
WTT Champions European Summer Series 2022,2022-07-20,SUN Yingsha,YU Fu,3,0,"11,11,11|4,5,4",R16,WTT_CHAMPIONS,WS,2593,Main Draw,SUN Yingsha (CHN),YU Fu (POR),SUN Yingsha
WTT Champions European Summer Series 2022,2022-07-20,JORGIC Darko,GERASSIMENKO Kirill,3,1,"11,9,11,11|5,11,9,2",R16,WTT_CHAMPIONS,MS,2593,Main Draw,JORGIC Darko (SLO),GERASSIMENKO Kirill (KAZ),JORGIC Darko
WTT Champions European Summer Series 2022,2022-07-20,WANG Yidi,CHEN Xingtong,3,1,"11,11,9,11|9,3,11,3",R16,WTT_CHAMPIONS,WS,2593,Main Draw,WANG Yidi (CHN),CHEN Xingtong (CHN),WANG Yidi
WTT Champions European Summer Series 2022,2022-07-20,LIANG Jingkun,KARLSSON Kristian,3,0,"12,11,11|10,6,6",R16,WTT_CHAMPIONS,MS,2593,Main Draw,LIANG Jingkun (CHN),KARLSSON Kristian (SWE),LIANG Jingkun
WTT Champions European Summer Series 2022,2022-07-20,DOO Hoi Kem,ZHANG Lily,3,1,"11,6,11,12|6,11,9,10",R16,WTT_CHAMPIONS,WS,2593,Main Draw,DOO Hoi Kem (HKG),ZHANG Lily (USA),DOO Hoi Kem
WTT Champions European Summer Series 2022,2022-07-20,CHUANG Chih-Yuan,LEBRUN Alexis,3,2,"6,11,10,11,11|11,7,12,9,9",R16,WTT_CHAMPIONS,MS,2593,Main Draw,CHUANG Chih-Yuan (TPE),LEBRUN Alexis (FRA),CHUANG Chih-Yuan
WTT Champions European Summer Series 2022,2022-07-20,ITO Mima,SHAN Xiaona,3,0,"11,11,11|8,7,2",R16,WTT_CHAMPIONS,WS,2593,Main Draw,ITO Mima (JPN),SHAN Xiaona (GER),ITO Mima
WTT Champions European Summer Series 2022,2022-07-20,HARIMOTO Tomokazu,QIU Dang,3,0,"11,11,11|8,4,4",R16,WTT_CHAMPIONS,MS,2593,Main Draw,HARIMOTO Tomokazu (JPN),QIU Dang (GER),HARIMOTO Tomokazu
WTT Champions European Summer Series 2022,2022-07-20,HAYATA Hina,ISHIKAWA Kasumi,3,1,"4,11,11,11|11,6,5,8",R16,WTT_CHAMPIONS,WS,2593,Main Draw,HAYATA Hina (JPN),ISHIKAWA Kasumi (JPN),HAYATA Hina
