tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Zagreb 2022,2022-06-13,KOZUL Deni,ROSSI Carlo,3,1,"10,11,11,11|12,9,6,8",QR2,WTT_CONTENDER,MS,2539,Qualification,KOZUL Deni (SLO),ROSSI Carlo (ITA)
WTT Contender Zagreb 2022,2022-06-13,JANCARIK Lubomir,SGOUROPOULOS Ioannis,3,2,"11,12,9,11,11|6,14,11,6,7",QR2,WTT_CONTENDER,MS,2539,Qualification,JANCARIK Lubomir (CZE),SGOUROPOULOS Ioannis (GRE)
WTT Contender Zagreb 2022,2022-06-13,ALAMIYAN Noshad,NG Pak Nam,3,1,"12,11,8,11|10,8,11,6",QR2,WTT_CONTENDER,MS,2539,Qualification,ALAMIYAN Noshad (IRI),NG Pak Nam (HKG)
WTT Contender Zagreb 2022,2022-06-13,WANG Chen Ce,LEBRUN Felix,3,0,"11,11,13|8,8,11",QR2,WTT_CONTENDER,MS,2539,Qualification,WANG Chen Ce (CHN),LEBRUN Felix (FRA)
WTT Contender Zagreb 2022,2022-06-13,WANG Tingyu,HAUG Borgar,3,1,"7,11,11,11|11,9,5,6",QR2,WTT_CONTENDER,MS,2539,Qualification,WANG Tingyu (CHN),HAUG Borgar (NOR)
WTT Contender Zagreb 2022,2022-06-13,PRYSHCHEPA Yevhen,KURMANGALIYEV Alan,3,1,"11,6,11,11|7,11,8,8",QR2,WTT_CONTENDER,MS,2539,Qualification,PRYSHCHEPA Yevhen (UKR),KURMANGALIYEV Alan (KAZ)
WTT Contender Zagreb 2022,2022-06-13,ZHMUDENKO Yaroslav,BAN Ivor,3,0,"11,11,11|8,8,9",QR2,WTT_CONTENDER,MS,2539,Qualification,ZHMUDENKO Yaroslav (UKR),BAN Ivor (CRO)
WTT Contender Zagreb 2022,2022-06-13,SERDAROGLU David,XIONG Mengyang,3,2,"9,12,11,6,11|11,10,9,11,5",QR2,WTT_CONTENDER,MS,2539,Qualification,SERDAROGLU David (AUT),XIONG Mengyang (CHN)
WTT Contender Zagreb 2022,2022-06-13,LIANG Guodong,DYJAS Jakub,3,2,"5,6,11,12,11|11,11,9,10,5",QR2,WTT_CONTENDER,MS,2539,Qualification,LIANG Guodong (CHN),DYJAS Jakub (POL)
WTT Contender Zagreb 2022,2022-06-13,OIKAWA Mizuki,CHANDRA Jeet,3,2,"11,11,11,4,11|3,8,13,11,7",QR2,WTT_CONTENDER,MS,2539,Qualification,OIKAWA Mizuki (JPN),CHANDRA Jeet (IND)
WTT Contender Zagreb 2022,2022-06-13,HUANG Yan-Cheng,SHAH Manush Utpalbhai,3,0,"11,11,11|7,7,9",QR2,WTT_CONTENDER,MS,2539,Qualification,HUANG Yan-Cheng (TPE),SHAH Manush Utpalbhai (IND)
WTT Contender Zagreb 2022,2022-06-13,CHEN Yuanyu,MENG Fanbo,3,0,"11,11,11|7,5,8",QR2,WTT_CONTENDER,MS,2539,Qualification,CHEN Yuanyu (CHN),MENG Fanbo (GER)
WTT Contender Zagreb 2022,2022-06-13,CHEN Yi,ZAHARIA Elena,3,1,"11,14,9,11|8,12,11,5",QR2,WTT_CONTENDER,WS,2539,Qualification,CHEN Yi (CHN),ZAHARIA Elena (ROU)
WTT Contender Zagreb 2022,2022-06-13,NG Wing Nam,LAM Yee Lok,3,2,"8,11,11,9,11|11,7,9,11,7",QR2,WTT_CONTENDER,WS,2539,Qualification,NG Wing Nam (HKG),LAM Yee Lok (HKG)
WTT Contender Zagreb 2022,2022-06-13,LI Ching Wan,GOI Rui Xuan,3,1,"12,5,11,11|10,11,8,9",QR2,WTT_CONTENDER,WS,2539,Qualification,LI Ching Wan (HKG),GOI Rui Xuan (SGP)
WTT Contender Zagreb 2022,2022-06-13,CHASSELIN Pauline,NG Wing Lam,3,1,"14,6,11,11|12,11,6,8",QR2,WTT_CONTENDER,WS,2539,Qualification,CHASSELIN Pauline (FRA),NG Wing Lam (HKG)
WTT Contender Zagreb 2022,2022-06-13,ZARIF Audrey,JAZBEC Ida,3,0,"11,11,11|6,9,9",QR2,WTT_CONTENDER,WS,2539,Qualification,ZARIF Audrey (FRA),JAZBEC Ida (CRO)
WTT Contender Zagreb 2022,2022-06-13,CIOBANU Irina,SURJAN Sabina,3,1,"11,11,10,11|9,8,12,9",QR2,WTT_CONTENDER,WS,2539,Qualification,CIOBANU Irina (ROU),SURJAN Sabina (SRB)
WTT Contender Zagreb 2022,2022-06-13,ARAPOVIC Hana,HELMY Yousra,3,0,"11,11,11|4,3,8",QR2,WTT_CONTENDER,WS,2539,Qualification,ARAPOVIC Hana (CRO),HELMY Yousra (EGY)
WTT Contender Zagreb 2022,2022-06-13,ARLIA Nicole,MOSTAFAVI Leili,3,1,"12,11,9,11|10,9,11,8",QR2,WTT_CONTENDER,WS,2539,Qualification,ARLIA Nicole (ITA),MOSTAFAVI Leili (FRA)
WTT Contender Zagreb 2022,2022-06-13,VIGNJEVIC Dragana,HARTBRICH Leonie,3,1,"22,9,11,11|20,11,6,5",QR2,WTT_CONTENDER,WS,2539,Qualification,VIGNJEVIC Dragana (SRB),HARTBRICH Leonie (HUN)
WTT Contender Zagreb 2022,2022-06-13,YOON Hyobin,MORET Rachel,3,1,"6,11,11,11|11,4,8,6",QR2,WTT_CONTENDER,WS,2539,Qualification,YOON Hyobin (KOR),MORET Rachel (SUI)
WTT Contender Zagreb 2022,2022-06-13,KIM Hayeong,MIRKADIROVA Sarvinoz,3,0,"11,11,11|8,4,7",QR2,WTT_CONTENDER,WS,2539,Qualification,KIM Hayeong (KOR),MIRKADIROVA Sarvinoz (KAZ)
WTT Contender Zagreb 2022,2022-06-13,XU Yi,AKULA Sreeja,3,0,"11,11,11|6,7,4",QR2,WTT_CONTENDER,WS,2539,Qualification,XU Yi (CHN),AKULA Sreeja (IND)
WTT Contender Zagreb 2022,2022-06-13,KULCZYCKI Samuel,KENZHIGULOV Aidos,3,0,"11,11,14|9,9,12",QR2,WTT_CONTENDER,MS,2539,Qualification,KULCZYCKI Samuel (POL),KENZHIGULOV Aidos (KAZ)
WTT Contender Zagreb 2022,2022-06-13,SIPOS Rares,HODAEI Amir Hossein,3,1,"11,10,11,11|4,12,9,6",QR2,WTT_CONTENDER,MS,2539,Qualification,SIPOS Rares (ROU),HODAEI Amir Hossein (IRI)
WTT Contender Zagreb 2022,2022-06-13,KUBIK Maciej,CHOY Chun Kit,3,0,"11,11,11|4,7,1",QR2,WTT_CONTENDER,MS,2539,Qualification,KUBIK Maciej (POL),CHOY Chun Kit (HKG)
WTT Contender Zagreb 2022,2022-06-13,LIAO Cheng-Ting,LEVAJAC Dimitrije,3,0,"11,11,11|9,6,9",QR2,WTT_CONTENDER,MS,2539,Qualification,LIAO Cheng-Ting (TPE),LEVAJAC Dimitrije (SRB)
WTT Contender Zagreb 2022,2022-06-13,DIAW Ibrahima,STAMATOUROS Georgios,3,0,"11,11,11|7,2,3",QR2,WTT_CONTENDER,MS,2539,Qualification,DIAW Ibrahima (SEN),STAMATOUROS Georgios (GRE)
WTT Contender Zagreb 2022,2022-06-13,LENG Yutong,MALOBABIC Ivana,3,0,"13,13,11|11,11,4",QR2,WTT_CONTENDER,WS,2539,Qualification,LENG Yutong (CHN),MALOBABIC Ivana (CRO)
WTT Contender Zagreb 2022,2022-06-13,PENG Wang-Wei,SURAVAJJULA Snehit,3,0,"12,11,11|10,4,5",QR2,WTT_CONTENDER,MS,2539,Qualification,PENG Wang-Wei (TPE),SURAVAJJULA Snehit (IND)
WTT Contender Zagreb 2022,2022-06-13,BLASKOVA Zdena,LIU Hsing-Yin,3,1,"11,11,8,11|9,8,11,4",QR2,WTT_CONTENDER,WS,2539,Qualification,BLASKOVA Zdena (CZE),LIU Hsing-Yin (TPE)
WTT Contender Zagreb 2022,2022-06-13,KAUFMANN Annett,DARI Helga,3,2,"8,11,7,11,12|11,7,11,6,10",QR2,WTT_CONTENDER,WS,2539,Qualification,KAUFMANN Annett (GER),DARI Helga (HUN)
WTT Contender Zagreb 2022,2022-06-13,BAJOR Natalia,PLAIAN Tania,3,0,"11,11,11|7,2,7",QR2,WTT_CONTENDER,WS,2539,Qualification,BAJOR Natalia (POL),PLAIAN Tania (ROU)
WTT Contender Zagreb 2022,2022-06-13,GUISNEL Oceane,WONG Xin Ru,3,1,"9,11,12,18|11,6,10,16",QR1,WTT_CONTENDER,WS,2539,Qualification,GUISNEL Oceane (FRA),WONG Xin Ru (SGP)
WTT Contender Zagreb 2022,2022-06-13,QIN Yuxuan,LUPULESKU Izabela,3,0,"11,11,11|6,3,9",QR2,WTT_CONTENDER,WS,2539,Qualification,QIN Yuxuan (CHN),LUPULESKU Izabela (SRB)
WTT Contender Zagreb 2022,2022-06-13,LEE Zion,TOKIC Sara,3,0,"11,11,11|3,5,7",QR2,WTT_CONTENDER,WS,2539,Qualification,LEE Zion (KOR),TOKIC Sara (SLO)
WTT Contender Zagreb 2022,2022-06-13,LAMBIET Florent,KONSTANTINOPOULOS Konstantinos,3,0,"11,11,11|7,9,9",QR1,WTT_CONTENDER,MS,2539,Qualification,LAMBIET Florent (BEL),KONSTANTINOPOULOS Konstantinos (GRE)
WTT Contender Zagreb 2022,2022-06-13,KONSTANTINOPOULOS Giorgos,PINTO Daniele,3,1,"11,11,11,11|13,8,2,8",QR1,WTT_CONTENDER,MS,2539,Qualification,KONSTANTINOPOULOS Giorgos (GRE),PINTO Daniele (ITA)
WTT Contender Zagreb 2022,2022-06-13,KIM Nayeong,PAVLOVIC Andrea,3,0,"11,11,12|8,7,10",QR1,WTT_CONTENDER,WS,2539,Qualification,KIM Nayeong (KOR),PAVLOVIC Andrea (CRO)
WTT Contender Zagreb 2022,2022-06-13,MEISSNER Cedric,MARTINKO Jiri,3,2,"11,11,11,4,11|9,6,13,11,4",QR1,WTT_CONTENDER,MS,2539,Qualification,MEISSNER Cedric (GER),MARTINKO Jiri (CZE)
WTT Contender Zagreb 2022,2022-06-13,CABALLERO Carlos,MOULLET Barish,3,1,"11,10,11,11|6,12,7,8",QR1,WTT_CONTENDER,MS,2539,Qualification,CABALLERO Carlos (ESP),MOULLET Barish (SUI)
WTT Contender Zagreb 2022,2022-06-13,BOBOCICA Mihai,LI Hsin-Yu,3,1,"11,12,11,11|5,10,13,5",QR1,WTT_CONTENDER,MS,2539,Qualification,BOBOCICA Mihai (ITA),LI Hsin-Yu (TPE)
WTT Contender Zagreb 2022,2022-06-13,AHMADIAN Amin,QUEK Izaac,3,1,"11,11,7,12|7,8,11,10",QR1,WTT_CONTENDER,MS,2539,Qualification,AHMADIAN Amin (IRI),QUEK Izaac (SGP)
WTT Contender Zagreb 2022,2022-06-13,ZENG Beixun,KHARKI Iskender,3,0,"11,11,11|7,4,3",QR1,WTT_CONTENDER,MS,2539,Qualification,ZENG Beixun (CHN),KHARKI Iskender (KAZ)
WTT Contender Zagreb 2022,2022-06-13,KENJAEV Zokhid,ALMUTAIRI Turki,3,0,"11,11,11|3,6,4",QR1,WTT_CONTENDER,MS,2539,Qualification,KENJAEV Zokhid (UZB),ALMUTAIRI Turki (KSA)
WTT Contender Zagreb 2022,2022-06-13,GHOSH Swastika,TOLIOU Aikaterini,3,2,"12,0,11,11,11|14,11,9,2,8",QR1,WTT_CONTENDER,WS,2539,Qualification,GHOSH Swastika (IND),TOLIOU Aikaterini (GRE)
WTT Contender Zagreb 2022,2022-06-13,ZONG Geman,LEE Hoi Man Karen,3,2,"9,11,7,11,11|11,9,11,5,9",QR1,WTT_CONTENDER,WS,2539,Qualification,ZONG Geman (CHN),LEE Hoi Man Karen (HKG)
WTT Contender Zagreb 2022,2022-06-13,HUANG Yu-Jie,TOFANT Ana,3,2,"10,7,11,11,11|12,11,6,4,8",QR1,WTT_CONTENDER,WS,2539,Qualification,HUANG Yu-Jie (TPE),TOFANT Ana (SLO)
WTT Contender Zagreb 2022,2022-06-13,HAN Feier,FRONT Erika,3,0,"11,11,11|8,6,9",QR1,WTT_CONTENDER,WS,2539,Qualification,HAN Feier (CHN),FRONT Erika (SWE)
WTT Contender Zagreb 2022,2022-06-13,LI Yuqi,KONG Tsz Lam,3,0,"11,11,11|5,9,5",QR1,WTT_CONTENDER,WS,2539,Qualification,LI Yuqi (CHN),KONG Tsz Lam (HKG)
WTT Contender Zagreb 2022,2022-06-13,TOMANOVSKA Katerina,WEGRZYN Katarzyna,3,0,"11,11,11|6,9,8",QR1,WTT_CONTENDER,WS,2539,Qualification,TOMANOVSKA Katerina (CZE),WEGRZYN Katarzyna (POL)
WTT Contender Zagreb 2022,2022-06-13,HUANG Youzheng,PUPPO Andrea,3,0,"11,11,11|3,6,7",QR1,WTT_CONTENDER,MS,2539,Qualification,HUANG Youzheng (CHN),PUPPO Andrea (ITA)
WTT Contender Zagreb 2022,2022-06-13,DEVOS Robin,PAU Yik Man,3,0,"11,11,11|5,7,6",QR1,WTT_CONTENDER,MS,2539,Qualification,DEVOS Robin (BEL),PAU Yik Man (HKG)
WTT Contender Zagreb 2022,2022-06-13,KOJIC Frane,WYKES Jordan,3,0,"11,11,11|8,4,9",QR1,WTT_CONTENDER,MS,2539,Qualification,KOJIC Frane (CRO),WYKES Jordan (JEY)
WTT Contender Zagreb 2022,2022-06-13,CHAN Baldwin Ho Wah,VALENTA Jan,3,0,"11,11,11|5,6,1",QR1,WTT_CONTENDER,MS,2539,Qualification,CHAN Baldwin Ho Wah (HKG),VALENTA Jan (CZE)
WTT Contender Zagreb 2022,2022-06-13,DE NODREST Leo,HELMY Mahmoud,3,0,"11,11,11|4,8,6",QR1,WTT_CONTENDER,MS,2539,Qualification,DE NODREST Leo (FRA),HELMY Mahmoud (EGY)
WTT Contender Zagreb 2022,2022-06-13,BADOWSKI Marek,CVETKO Tilen,3,0,"11,11,11|9,7,3",QR1,WTT_CONTENDER,MS,2539,Qualification,BADOWSKI Marek (POL),CVETKO Tilen (SLO)
WTT Contender Zagreb 2022,2022-06-13,WANG Chen Ce,PETEK Borna,3,1,"11,11,8,11|6,2,11,3",QR1,WTT_CONTENDER,MS,2539,Qualification,WANG Chen Ce (CHN),PETEK Borna (CRO)
WTT Contender Zagreb 2022,2022-06-13,NG Pak Nam,ANDRAS Csaba,3,2,"8,8,12,11,11|11,11,10,6,8",QR1,WTT_CONTENDER,MS,2539,Qualification,NG Pak Nam (HKG),ANDRAS Csaba (HUN)
