tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Fremont 2022,2022-05-05,RANEFUR Elias,JU  Mingwei,4,3,"11,8,6,5,11,11,12|2,11,11,11,8,8,10",R64,WTT_FEEDER,MS,2569,Main Draw,RANEFUR Elias (SWE),JU  Mingwei (USA)
WTT Feeder Fremont 2022,2022-05-05,TOGAMI Shunsuke,LIU  Dan,4,0,"11,11,11,11|7,8,8,7",R64,WTT_FEEDER,MS,2569,Main Draw,TOGAMI Shunsuke (JPN),LIU  Dan (USA)
WTT Feeder Fremont 2022,2022-05-05,GONZALEZ Daniel,CHEN Alexander,4,1,"8,11,11,11,11|11,8,7,8,8",R64,WTT_FEEDER,MS,2569,Main Draw,GONZALEZ Daniel (PUR),CHEN Alexander (AUT)
WTT Feeder Fremont 2022,2022-05-05,MEISSNER Cedric,PARK Ganghyeon,4,3,"8,8,11,11,12,9,11|11,11,9,6,10,11,7",R64,WTT_FEEDER,MS,2569,Main Draw,MEISSNER Cedric (GER),PARK Ganghyeon (KOR)
WTT Feeder Fremont 2022,2022-05-05,FENG Jensen,DANI Mudit,4,0,"11,11,11,11|6,8,9,8",R64,WTT_FEEDER,MS,2569,Main Draw,FENG Jensen (USA),DANI Mudit (IND)
WTT Feeder Fremont 2022,2022-05-05,ROSSI Carlo,JI Max,4,0,"11,11,11,11|7,4,5,8",R64,WTT_FEEDER,MS,2569,Main Draw,ROSSI Carlo (ITA),JI Max (CAN)
WTT Feeder Fremont 2022,2022-05-05,SHINOZUKA Hiroto,TSAO Darryl,4,0,"13,11,11,11|11,4,2,6",R64,WTT_FEEDER,MS,2569,Main Draw,SHINOZUKA Hiroto (JPN),TSAO Darryl (USA)
WTT Feeder Fremont 2022,2022-05-05,DUDA Benedikt,ZHANG Kai,4,0,"11,11,11,11|7,5,5,6",R64,WTT_FEEDER,MS,2569,Main Draw,DUDA Benedikt (GER),ZHANG Kai (USA)
WTT Feeder Fremont 2022,2022-05-05,CHUANG Chih-Yuan,TAO  Wenzhang,4,1,"12,11,11,14,11|10,13,5,12,6",R64,WTT_FEEDER,MS,2569,Main Draw,CHUANG Chih-Yuan (TPE),TAO  Wenzhang (USA)
WTT Feeder Fremont 2022,2022-05-05,PICCOLIN Jordy,MCBEATH David,4,2,"11,11,6,11,11,11|7,13,11,9,9,8",R64,WTT_FEEDER,MS,2569,Main Draw,PICCOLIN Jordy (ITA),MCBEATH David (ENG)
WTT Feeder Fremont 2022,2022-05-05,HAZIN Jeremy,SI Zhigao,4,0,"11,11,11,11|7,8,8,4",R64,WTT_FEEDER,MS,2569,Main Draw,HAZIN Jeremy (CAN),SI Zhigao (USA)
WTT Feeder Fremont 2022,2022-05-05,ROBLES Alvaro,ALVAREZ SANCHEZ Mario,4,0,"11,11,11,11|4,0,2,2",R64,WTT_FEEDER,MS,2569,Main Draw,ROBLES Alvaro (ESP),ALVAREZ SANCHEZ Mario (NCA)
WTT Feeder Fremont 2022,2022-05-05,SUNG Rachel/SUNG Joanna,LI  Yue/SHU Linda,3,0,"11,11,11|7,9,7",R16,WTT_FEEDER,WD,2569,Main Draw,SUNG Rachel/SUNG Joanna (USA),LI  Yue/SHU Linda (USA)
WTT Feeder Fremont 2022,2022-05-05,MOSTAFAVI Leili/LUTZ Camille,ZHANG Lily/LI  Rui Ni,3,0,"11,12,13|8,10,11",R16,WTT_FEEDER,WD,2569,Main Draw,MOSTAFAVI Leili/LUTZ Camille (FRA),ZHANG Lily/LI  Rui Ni (USA)
WTT Feeder Fremont 2022,2022-05-05,ROY Krittwika/MUKHERJEE Ayhika,LAURENTI Jamila/SCHOLZ Vivien,3,2,"11,8,11,12,11|7,11,8,14,9",R16,WTT_FEEDER,WD,2569,Main Draw,ROY Krittwika/MUKHERJEE Ayhika (IND),LAURENTI Jamila/SCHOLZ Vivien (ITA/LUX)
WTT Feeder Fremont 2022,2022-05-05,LI Xin/WANG  Ying,KASHYAP Stuti/GOODWIN Kayla,3,0,"11,11,11|6,5,7",R16,WTT_FEEDER,WD,2569,Main Draw,LI Xin/WANG  Ying (USA),KASHYAP Stuti/GOODWIN Kayla (USA)
WTT Feeder Fremont 2022,2022-05-05,MORI Sakura/SASAO Asuka,WANG Yixiao/KE Tiffany,3,0,"11,11,11|7,6,6",R16,WTT_FEEDER,WD,2569,Main Draw,MORI Sakura/SASAO Asuka (JPN),WANG Yixiao/KE Tiffany (USA)
WTT Feeder Fremont 2022,2022-05-05,TANAKA Yuta/SHINOZUKA Hiroto,ROLLAND Jules/DORR Esteban,3,2,"6,9,12,12,11|11,11,10,10,6",R16,WTT_FEEDER,MD,2569,Main Draw,TANAKA Yuta/SHINOZUKA Hiroto (JPN),ROLLAND Jules/DORR Esteban (FRA)
WTT Feeder Fremont 2022,2022-05-05,PICARD Vincent/DE NODREST Leo,CHUANG Chih-Yuan/KAO Cheng-Jui,3,1,"10,16,11,11|12,14,8,6",R16,WTT_FEEDER,MD,2569,Main Draw,PICARD Vincent/DE NODREST Leo (FRA),CHUANG Chih-Yuan/KAO Cheng-Jui (TPE)
WTT Feeder Fremont 2022,2022-05-05,HIPPLER Tobias/RANEFUR Elias,KNIGHT Tyrese/MAXWELL Ramon,3,0,"11,11,11|6,3,7",R16,WTT_FEEDER,MD,2569,Main Draw,HIPPLER Tobias/RANEFUR Elias (GER/SWE),KNIGHT Tyrese/MAXWELL Ramon (BAR)
WTT Feeder Fremont 2022,2022-05-05,DESAI Harmeet/THAKKAR Manav Vikash,ZHANG Kai/LIANG  Jishan,3,0,"14,11,12|12,7,10",R16,WTT_FEEDER,MD,2569,Main Draw,DESAI Harmeet/THAKKAR Manav Vikash (IND),ZHANG Kai/LIANG  Jishan (USA)
WTT Feeder Fremont 2022,2022-05-05,UDA Yukiya/TOGAMI Shunsuke,SIPOS Rares/PLETEA Cristian,3,2,"9,11,11,8,11|11,4,9,11,7",R16,WTT_FEEDER,MD,2569,Main Draw,UDA Yukiya/TOGAMI Shunsuke (JPN),SIPOS Rares/PLETEA Cristian (ROU)
WTT Feeder Fremont 2022,2022-05-05,AFANADOR Brian/GONZALEZ Daniel,ZHANG Tianrui/TSAO Darryl,3,1,"9,11,11,11|11,7,9,8",R16,WTT_FEEDER,MD,2569,Main Draw,AFANADOR Brian/GONZALEZ Daniel (PUR),ZHANG Tianrui/TSAO Darryl (USA)
WTT Feeder Fremont 2022,2022-05-05,DANI Mudit/SHAH Manush Utpalbhai,JU  Mingwei/SI Zhigao,3,0,"11,13,11|8,11,7",R16,WTT_FEEDER,MD,2569,Main Draw,DANI Mudit/SHAH Manush Utpalbhai (IND),JU  Mingwei/SI Zhigao (USA)
WTT Feeder Fremont 2022,2022-05-05,OIKAWA Mizuki/YOKOTANI Jo,OYEBODE John/PICCOLIN Jordy,3,1,"11,11,11,11|5,13,4,6",R16,WTT_FEEDER,MD,2569,Main Draw,OIKAWA Mizuki/YOKOTANI Jo (JPN),OYEBODE John/PICCOLIN Jordy (ITA)
WTT Feeder Fremont 2022,2022-05-05,LIU  Dan/SUNG Rachel,LIANG  Jishan/SUNG Joanna,3,2,"11,11,2,6,11|9,5,11,11,9",R16,WTT_FEEDER,XD,2569,Main Draw,LIU  Dan/SUNG Rachel (USA),LIANG  Jishan/SUNG Joanna (USA)
WTT Feeder Fremont 2022,2022-05-05,GONZALEZ Daniel/DIAZ Melanie,CHEN Alexander/GUAN Angela,3,0,"12,20,11|10,18,1",R16,WTT_FEEDER,XD,2569,Main Draw,GONZALEZ Daniel/DIAZ Melanie (PUR),CHEN Alexander/GUAN Angela (AUT/USA)
WTT Feeder Fremont 2022,2022-05-05,CHUANG Chih-Yuan/CHEN Szu-Yu,ZHANG Tianrui/WANG  Ying,3,0,"11,11,11|7,8,6",R16,WTT_FEEDER,XD,2569,Main Draw,CHUANG Chih-Yuan/CHEN Szu-Yu (TPE),ZHANG Tianrui/WANG  Ying (USA)
WTT Feeder Fremont 2022,2022-05-05,KOU Lei/ZHANG Lily,SI Zhigao/KE Tiffany,3,0,"13,11,11|11,7,5",R16,WTT_FEEDER,XD,2569,Main Draw,KOU Lei/ZHANG Lily (UKR/USA),SI Zhigao/KE Tiffany (USA)
WTT Feeder Fremont 2022,2022-05-05,PICCOLIN Jordy/LAURENTI Jamila,DESAI Harmeet/AKULA Sreeja,3,1,"12,11,5,12|10,8,11,10",R16,WTT_FEEDER,XD,2569,Main Draw,PICCOLIN Jordy/LAURENTI Jamila (ITA),DESAI Harmeet/AKULA Sreeja (IND)
WTT Feeder Fremont 2022,2022-05-05,PICARD Vincent/MOSTAFAVI Leili,WANG Jihai/WANG Yixiao,3,0,"11,11,11|5,9,6",R16,WTT_FEEDER,XD,2569,Main Draw,PICARD Vincent/MOSTAFAVI Leili (FRA),WANG Jihai/WANG Yixiao (USA)
WTT Feeder Fremont 2022,2022-05-05,ROSSI Carlo/PICCOLIN Giorgia,DE NODREST Leo/LUTZ Camille,3,0,"11,12,11|9,10,9",R16,WTT_FEEDER,XD,2569,Main Draw,ROSSI Carlo/PICCOLIN Giorgia (ITA),DE NODREST Leo/LUTZ Camille (FRA)
