tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,HANSSON Matilda/DONNER Marina,ALIMBAYEVA Aiya/LAVROVA Anastassiya,3,2,"7,11,11,8,11|11,7,6,11,9",QR1,WTT_FEEDER,WD,2542,Qualification,HANSSON Matilda/DONNER Marina (SWE/FIN),ALIMBAYEVA Aiya/LAVROVA Anastassiya (KAZ)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,COK Isa/CHASSELIN Pauline,HARAC Ece/YILMAZ Ozge,3,1,"11,11,8,11|7,8,11,9",QR1,WTT_FEEDER,WD,2542,Qualification,COK Isa/CHASSELIN Pauline (FRA),HARAC Ece/YILMAZ Ozge (TUR)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,KONSTANTINOPOULOS Konstantinos,DE LAS HERAS Rafael,3,1,"11,11,10,14|5,4,12,12",QR1,WTT_FEEDER,MS,2542,Qualification,KONSTANTINOPOULOS Konstantinos (GRE),DE LAS HERAS Rafael (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,PAVADE Prithika/LUTZ Camille,KAUFMANN Annett/SCHREINER Franziska,3,0,"11,11,13|8,5,11",QR1,WTT_FEEDER,WD,2542,Qualification,PAVADE Prithika/LUTZ Camille (FRA),KAUFMANN Annett/SCHREINER Franziska (GER)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,WANG Yiduo/CHU Hanwen,BARANI Arianna/LE Thi Hong Loan,3,1,"11,11,3,11|6,9,11,2",QR1,WTT_FEEDER,WD,2542,Qualification,WANG Yiduo/CHU Hanwen (CHN),BARANI Arianna/LE Thi Hong Loan (ITA)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,KULAKCEKEN Simay/ALTINKAYA Sibel,CAREY Charlotte/ZHANG Sofia-Xuan,3,0,"11,11,11|8,6,9",QR1,WTT_FEEDER,WD,2542,Qualification,KULAKCEKEN Simay/ALTINKAYA Sibel (TUR),CAREY Charlotte/ZHANG Sofia-Xuan (WAL/ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,LI Yuqi/LENG Yutong,RONCALLO Valentina/MONFARDINI Gaia,3,0,"11,11,11|0,0,0",QR1,WTT_FEEDER,WD,2542,Qualification,LI Yuqi/LENG Yutong (CHN),RONCALLO Valentina/MONFARDINI Gaia (ITA)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,LILLO Alberto,REN Hao,3,2,"11,7,11,4,11|7,11,7,11,7",QR1,WTT_FEEDER,MS,2542,Qualification,LILLO Alberto (ESP),REN Hao (CHN)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,MUTTI Matteo,QUAN Kaiyuan,3,1,"11,7,11,11|8,11,8,9",QR1,WTT_FEEDER,MS,2542,Qualification,MUTTI Matteo (ITA),QUAN Kaiyuan (CHN)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,LIU Yebo,YAN Sheng,3,1,"11,11,5,11|8,7,11,2",QR1,WTT_FEEDER,MS,2542,Qualification,LIU Yebo (CHN),YAN Sheng (CHN)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,SAI Linwei,RINIOTIS Anastasios,3,0,"11,11,11|9,6,7",QR1,WTT_FEEDER,MS,2542,Qualification,SAI Linwei (CHN),RINIOTIS Anastasios (GRE)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,URSU Vladislav,PEREZ Juan,3,1,"11,13,11,12|9,15,7,10",QR1,WTT_FEEDER,MS,2542,Qualification,URSU Vladislav (MDA),PEREZ Juan (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,NIU Guankai,KONSTANTINOPOULOS Giorgos,3,0,"11,11,11|6,5,8",QR1,WTT_FEEDER,MS,2542,Qualification,NIU Guankai (CHN),KONSTANTINOPOULOS Giorgos (GRE)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,MATSUYAMA Yuki,GAO Yang,3,2,"11,13,11,8,11|9,15,8,11,3",QR1,WTT_FEEDER,MS,2542,Qualification,MATSUYAMA Yuki (JPN),GAO Yang (CHN)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,PARK Gyeongtae,LIANG Yanning,3,1,"11,11,3,11|9,7,11,9",QR1,WTT_FEEDER,MS,2542,Qualification,PARK Gyeongtae (KOR),LIANG Yanning (CHN)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,VELICHKOV Yoan,PETKOV Vladimir,3,0,"11,11,11|7,6,4",QR1,WTT_FEEDER,MS,2542,Qualification,VELICHKOV Yoan (BUL),PETKOV Vladimir (BUL)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,GUTIERREZ Marc,VAFAEI Mohammad Pouya,3,2,"11,11,11,13,11|13,4,8,15,3",QR1,WTT_FEEDER,MS,2542,Qualification,GUTIERREZ Marc (ESP),VAFAEI Mohammad Pouya (IRI)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,TAHARA Shogo,YIANGOU Marios,3,1,"11,13,12,11|9,11,14,6",QR1,WTT_FEEDER,MS,2542,Qualification,TAHARA Shogo (JPN),YIANGOU Marios (CYP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,GRELA Artur,RUIZ Francisco Miguel,3,0,"11,11,11|3,7,9",QR1,WTT_FEEDER,MS,2542,Qualification,GRELA Artur (POL),RUIZ Francisco Miguel (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,PARK Ganghyeon,PARK Chan-Hyeok,3,0,"11,11,11|6,6,6",QR1,WTT_FEEDER,MS,2542,Qualification,PARK Ganghyeon (KOR),PARK Chan-Hyeok (KOR)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,KODJABASHEV Denislav,GAINZA Alvaro,3,0,"11,11,11|8,7,7",QR1,WTT_FEEDER,MS,2542,Qualification,KODJABASHEV Denislav (BUL),GAINZA Alvaro (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,BAEK Kwangil,GOMBOS Ludovic,3,1,"11,8,11,11|3,11,8,6",QR1,WTT_FEEDER,MS,2542,Qualification,BAEK Kwangil (KOR),GOMBOS Ludovic (USA)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-30,ZHOU Kai,CANTERO Jesus,3,0,"11,11,11|6,3,5",QR1,WTT_FEEDER,MS,2542,Qualification,ZHOU Kai (CHN),CANTERO Jesus (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,SAI Linwei,WOO Hyeonggyu,3,1,"11,11,10,11|6,7,12,7",QR2,WTT_FEEDER,MS,2542,Qualification,SAI Linwei (CHN),WOO Hyeonggyu (KOR)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,LIU Yebo,OSIRO Pedro,3,1,"11,6,11,11|6,11,5,8",QR2,WTT_FEEDER,MS,2542,Qualification,LIU Yebo (CHN),OSIRO Pedro (SUI)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,KONSTANTINOPOULOS Konstantinos,NUNEZ Miguel,3,0,"11,11,11|6,9,4",QR2,WTT_FEEDER,MS,2542,Qualification,KONSTANTINOPOULOS Konstantinos (GRE),NUNEZ Miguel (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,LANDRIEU Andrea,LILLO Alberto,3,0,"11,11,11|4,4,4",QR2,WTT_FEEDER,MS,2542,Qualification,LANDRIEU Andrea (FRA),LILLO Alberto (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,BOURRASSAUD Florian,VELICHKOV Yoan,3,1,"11,11,9,11|5,5,11,2",QR2,WTT_FEEDER,MS,2542,Qualification,BOURRASSAUD Florian (FRA),VELICHKOV Yoan (BUL)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,MATSUYAMA Yuki,NIU Guankai,3,1,"12,5,11,11|10,11,8,6",QR2,WTT_FEEDER,MS,2542,Qualification,MATSUYAMA Yuki (JPN),NIU Guankai (CHN)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,PUTUNTICA Andrei,PARK Gyeongtae,3,0,"11,11,13|6,7,11",QR2,WTT_FEEDER,MS,2542,Qualification,PUTUNTICA Andrei (MDA),PARK Gyeongtae (KOR)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,KODJABASHEV Denislav,HUANG Yu-Jen,3,2,"13,4,13,9,11|11,11,11,11,8",QR2,WTT_FEEDER,MS,2542,Qualification,KODJABASHEV Denislav (BUL),HUANG Yu-Jen (TPE)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,ZHOU Kai,KHOLIKOV Elmurod,3,0,"11,11,11|3,5,2",QR2,WTT_FEEDER,MS,2542,Qualification,ZHOU Kai (CHN),KHOLIKOV Elmurod (UZB)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,GRELA Artur,VILARDELL Albert,3,1,"13,11,12,11|11,5,14,6",QR2,WTT_FEEDER,MS,2542,Qualification,GRELA Artur (POL),VILARDELL Albert (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,BAEK Kwangil,HARDMEIER Elias,3,1,"9,11,14,11|11,6,12,5",QR2,WTT_FEEDER,MS,2542,Qualification,BAEK Kwangil (KOR),HARDMEIER Elias (SUI)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,PARK Ganghyeon,BEH Kun Ting,3,0,"11,11,11|8,5,4",QR2,WTT_FEEDER,MS,2542,Qualification,PARK Ganghyeon (KOR),BEH Kun Ting (SGP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,GUTIERREZ Marc,NEUMANN Layan,3,1,"5,11,11,11|11,1,5,3",QR2,WTT_FEEDER,MS,2542,Qualification,GUTIERREZ Marc (ESP),NEUMANN Layan (MEX)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,TAHARA Shogo,TAN Lucas,3,1,"11,8,11,11|9,11,3,9",QR2,WTT_FEEDER,MS,2542,Qualification,TAHARA Shogo (JPN),TAN Lucas (SGP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,URSU Vladislav,AYUSO Angel,3,1,"11,7,12,11|9,11,10,5",QR2,WTT_FEEDER,MS,2542,Qualification,URSU Vladislav (MDA),AYUSO Angel (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,CAO Wei,MUTTI Matteo,3,0,"11,11,11|6,6,4",QR2,WTT_FEEDER,MS,2542,Qualification,CAO Wei (CHN),MUTTI Matteo (ITA)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,LE Thi Hong Loan,FORT Nolwenn,3,1,"11,12,13,12|6,10,15,10",QR1,WTT_FEEDER,WS,2542,Qualification,LE Thi Hong Loan (ITA),FORT Nolwenn (FRA)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,LI Yuqi,KRZYSIEK Paulina,3,0,"11,11,15|8,5,13",QR1,WTT_FEEDER,WS,2542,Qualification,LI Yuqi (CHN),KRZYSIEK Paulina (POL)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,OSIRO Pedro/NUNEZ Miguel,AHMADIAN Amin/VAFAEI Mohammad Pouya,3,0,"11,11,11|0,0,0",QR1,WTT_FEEDER,MD,2542,Qualification,OSIRO Pedro/NUNEZ Miguel (SUI/ESP),AHMADIAN Amin/VAFAEI Mohammad Pouya (IRI)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,SCHARRER Mauro/HARDMEIER Elias,CABALLERO Carlos/VILARDELL Albert,3,0,"11,11,12|7,4,10",QR1,WTT_FEEDER,MD,2542,Qualification,SCHARRER Mauro/HARDMEIER Elias (SUI),CABALLERO Carlos/VILARDELL Albert (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,ZHOU Kai/REN Hao,HUANG Yu-Jen/CHEN Chien-An,3,1,"12,7,11,11|10,11,9,7",QR1,WTT_FEEDER,MD,2542,Qualification,ZHOU Kai/REN Hao (CHN),HUANG Yu-Jen/CHEN Chien-An (TPE)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,PARK Gyeongtae/CHO Seungmin,RINIOTIS Anastasios/KONSTANTINOPOULOS Konstantinos,3,0,"11,11,11|7,8,4",QR1,WTT_FEEDER,MD,2542,Qualification,PARK Gyeongtae/CHO Seungmin (KOR),RINIOTIS Anastasios/KONSTANTINOPOULOS Konstantinos (GRE)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,GAINZA Alvaro/PEREZ Juan,KONSTANTINOPOULOS Giorgos/SGOUROPOULOS Ioannis,3,2,"10,12,13,9,13|12,10,11,11,11",QR1,WTT_FEEDER,MD,2542,Qualification,GAINZA Alvaro/PEREZ Juan (ESP),KONSTANTINOPOULOS Giorgos/SGOUROPOULOS Ioannis (GRE)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,CHUA Josh Shao Han/TAN Lucas,NIU Guankai/QUAN Kaiyuan,3,2,"8,9,11,11,13|11,11,6,6,11",QR1,WTT_FEEDER,MD,2542,Qualification,CHUA Josh Shao Han/TAN Lucas (SGP),NIU Guankai/QUAN Kaiyuan (CHN)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,URSU Vladislav/PUTUNTICA Andrei,PARK Ganghyeon/KANG Dongsoo,3,2,"5,11,11,3,11|11,6,9,11,5",QR1,WTT_FEEDER,MD,2542,Qualification,URSU Vladislav/PUTUNTICA Andrei (MDA),PARK Ganghyeon/KANG Dongsoo (KOR)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,QUEK Izaac/PANG Yew En Koen,KENJAEV Zokhid/KHOLIKOV Elmurod,3,0,"11,11,11|8,7,6",QR1,WTT_FEEDER,MD,2542,Qualification,QUEK Izaac/PANG Yew En Koen (SGP),KENJAEV Zokhid/KHOLIKOV Elmurod (UZB)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,DONNER Marina,TERPOU Elisavet,3,1,"12,7,11,11|10,11,7,2",QR1,WTT_FEEDER,WS,2542,Qualification,DONNER Marina (FIN),TERPOU Elisavet (GRE)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,BARANI Arianna,GEORGIEVA Tsvetelina,3,2,"11,7,11,6,11|6,11,8,11,7",QR1,WTT_FEEDER,WS,2542,Qualification,BARANI Arianna (ITA),GEORGIEVA Tsvetelina (BUL)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,CHU Hanwen,ZHU Ziyu,3,0,"11,11,11|5,6,4",QR1,WTT_FEEDER,WS,2542,Qualification,CHU Hanwen (CHN),ZHU Ziyu (CHN)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,WANG Yiduo,MUTLU Sidelya,3,0,"11,11,11|3,3,3",QR1,WTT_FEEDER,WS,2542,Qualification,WANG Yiduo (CHN),MUTLU Sidelya (BUL)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,CHO Seungmin/LEE Eunhye,CABALLERO Carlos/ZHANG Sofia-Xuan,3,2,"6,11,14,11,11|11,13,12,5,3",QR1,WTT_FEEDER,XD,2542,Qualification,CHO Seungmin/LEE Eunhye (KOR),CABALLERO Carlos/ZHANG Sofia-Xuan (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,LIANG Yanning/LENG Yutong,HUANG Yu-Jen/SU Pei-Ling,3,1,"11,11,6,11|6,8,11,8",QR1,WTT_FEEDER,XD,2542,Qualification,LIANG Yanning/LENG Yutong (CHN),HUANG Yu-Jen/SU Pei-Ling (TPE)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,REDZIMSKI Milosz/WEGRZYN Anna,HARDMEIER Elias/MORET Rachel,3,0,"11,11,11|4,6,8",QR1,WTT_FEEDER,XD,2542,Qualification,REDZIMSKI Milosz/WEGRZYN Anna (POL),HARDMEIER Elias/MORET Rachel (SUI)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,KULCZYCKI Samuel/WEGRZYN Katarzyna,BOURRASSAUD Florian/COK Isa,3,1,"9,11,11,11|11,4,6,8",QR1,WTT_FEEDER,XD,2542,Qualification,KULCZYCKI Samuel/WEGRZYN Katarzyna (POL),BOURRASSAUD Florian/COK Isa (FRA)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,XU Haidong/WU Yangchen,PARK Ganghyeon/KIM Nayeong,3,2,"11,5,13,5,11|3,11,11,11,6",QR1,WTT_FEEDER,XD,2542,Qualification,XU Haidong/WU Yangchen (CHN),PARK Ganghyeon/KIM Nayeong (KOR)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,DORR Esteban/CHASSELIN Pauline,QUEK Izaac/ZHOU Jingyi,3,2,"11,11,2,10,11|9,7,11,12,7",QR1,WTT_FEEDER,XD,2542,Qualification,DORR Esteban/CHASSELIN Pauline (FRA),QUEK Izaac/ZHOU Jingyi (SGP)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,LEE Daeun,KHADJIEVA Rozalina,3,0,"11,11,11|0,0,0",QR1,WTT_FEEDER,WS,2542,Qualification,LEE Daeun (KOR),KHADJIEVA Rozalina (UZB)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,LIU Yebo/LI Yuqi,KONSTANTINOPOULOS Konstantinos/TERPOU Elisavet,3,0,"11,11,11|6,8,3",QR1,WTT_FEEDER,XD,2542,Qualification,LIU Yebo/LI Yuqi (CHN),KONSTANTINOPOULOS Konstantinos/TERPOU Elisavet (GRE)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,KODJABASHEV Denislav/ALTINKAYA Sibel,KENJAEV Zokhid/KHADJIEVA Rozalina,3,0,"11,11,11|0,0,0",QR1,WTT_FEEDER,XD,2542,Qualification,KODJABASHEV Denislav/ALTINKAYA Sibel (BUL/TUR),KENJAEV Zokhid/KHADJIEVA Rozalina (UZB)
WTT Feeder Panagyurishte Presented by Asarel,2022-08-31,JOKIC Tijana,RONCALLO Valentina,3,0,"11,11,11|0,0,0",QR1,WTT_FEEDER,WS,2542,Qualification,JOKIC Tijana (SRB),RONCALLO Valentina (ITA)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,MATSUYAMA Yuki,CAO Wei,3,2,"9,11,3,11,11|11,7,11,9,6",QR3,WTT_FEEDER,MS,2542,Qualification,MATSUYAMA Yuki (JPN),CAO Wei (CHN)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,PUTUNTICA Andrei,BOURRASSAUD Florian,3,0,"11,11,11|0,6,1",QR3,WTT_FEEDER,MS,2542,Qualification,PUTUNTICA Andrei (MDA),BOURRASSAUD Florian (FRA)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,TAHARA Shogo,GRELA Artur,3,0,"11,11,11|6,3,5",QR3,WTT_FEEDER,MS,2542,Qualification,TAHARA Shogo (JPN),GRELA Artur (POL)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,URSU Vladislav,GUTIERREZ Marc,3,0,"11,11,11|4,8,6",QR3,WTT_FEEDER,MS,2542,Qualification,URSU Vladislav (MDA),GUTIERREZ Marc (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,PARK Ganghyeon,KODJABASHEV Denislav,3,1,"16,11,11,11|14,13,7,4",QR3,WTT_FEEDER,MS,2542,Qualification,PARK Ganghyeon (KOR),KODJABASHEV Denislav (BUL)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,SAI Linwei,LANDRIEU Andrea,3,0,"11,11,11|9,6,7",QR3,WTT_FEEDER,MS,2542,Qualification,SAI Linwei (CHN),LANDRIEU Andrea (FRA)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,LIU Yebo,KONSTANTINOPOULOS Konstantinos,3,0,"14,11,14|12,6,12",QR3,WTT_FEEDER,MS,2542,Qualification,LIU Yebo (CHN),KONSTANTINOPOULOS Konstantinos (GRE)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,ZHOU Kai,BAEK Kwangil,3,0,"11,11,11|7,4,6",QR3,WTT_FEEDER,MS,2542,Qualification,ZHOU Kai (CHN),BAEK Kwangil (KOR)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,COK Isa,LE Thi Hong Loan,3,0,"11,11,11|7,5,8",QR2,WTT_FEEDER,WS,2542,Qualification,COK Isa (FRA),LE Thi Hong Loan (ITA)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,LENG Yutong,JOKIC Tijana,3,0,"11,11,11|9,9,5",QR2,WTT_FEEDER,WS,2542,Qualification,LENG Yutong (CHN),JOKIC Tijana (SRB)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,LI Yuqi,HANSSON Matilda,3,0,"11,11,11|5,6,2",QR2,WTT_FEEDER,WS,2542,Qualification,LI Yuqi (CHN),HANSSON Matilda (SWE)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,WU Yangchen,DONNER Marina,3,0,"11,11,11|3,6,4",QR2,WTT_FEEDER,WS,2542,Qualification,WU Yangchen (CHN),DONNER Marina (FIN)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,LEE Daeun,MONFARDINI Gaia,3,2,"11,9,8,12,11|4,11,11,10,4",QR2,WTT_FEEDER,WS,2542,Qualification,LEE Daeun (KOR),MONFARDINI Gaia (ITA)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,LIANG Yanning/LENG Yutong,LIU Yebo/LI Yuqi,3,1,"11,9,11,15|6,11,8,13",QR2,WTT_FEEDER,XD,2542,Qualification,LIANG Yanning/LENG Yutong (CHN),LIU Yebo/LI Yuqi (CHN)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,CHU Hanwen,WEGRZYN Katarzyna,3,1,"8,11,11,12|11,6,7,10",QR2,WTT_FEEDER,WS,2542,Qualification,CHU Hanwen (CHN),WEGRZYN Katarzyna (POL)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,WANG Yiduo,ZHANG Wanling,3,1,"11,12,11,11|4,14,7,2",QR2,WTT_FEEDER,WS,2542,Qualification,WANG Yiduo (CHN),ZHANG Wanling (SGP)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,CHUA Josh Shao Han/TAN Lucas,GAINZA Alvaro/PEREZ Juan,3,1,"11,11,10,11|9,7,12,6",QR2,WTT_FEEDER,MD,2542,Qualification,CHUA Josh Shao Han/TAN Lucas (SGP),GAINZA Alvaro/PEREZ Juan (ESP)
WTT Feeder Panagyurishte Presented by Asarel,2022-09-01,URSU Vladislav/PUTUNTICA Andrei,QUEK Izaac/PANG Yew En Koen,3,0,"11,11,12|6,8,10",QR2,WTT_FEEDER,MD,2542,Qualification,URSU Vladislav/PUTUNTICA Andrei (MDA),QUEK Izaac/PANG Yew En Koen (SGP)
