tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Star Contender European Summer Series 2022,2022-07-11,CHENG Hsien-Tzu,DE NUTTE Sarah,3,2,"9,11,4,11,11|11,3,11,6,4",QR2,WTT_STAR_CONTENDER,WS,2591,Qualification,CHENG Hsien-Tzu (TPE),DE NUTTE Sarah (LUX),CHENG Hsien-Tzu
WTT Star Contender European Summer Series 2022,2022-07-11,LEBRUN Alexis,NUYTINCK Cedric,3,2,"12,6,11,11,11|10,11,13,2,8",QR2,WTT_STAR_CONTENDER,MS,2591,Qualification,LEBRUN Alexis (FRA),NUYTINCK Cedric (BEL),LEBRUN Alexis
WTT Star Contender European Summer Series 2022,2022-07-11,ZHU Chengzhu,XIAO Maria,3,1,"12,11,5,11|10,7,11,7",QR2,WTT_STAR_CONTENDER,WS,2591,Qualification,ZHU Chengzhu (HKG),XIAO Maria (ESP),ZHU Chengzhu
WTT Star Contender European Summer Series 2022,2022-07-11,AN Jaehyun,SHAH Manush Utpalbhai,3,2,"7,8,15,11,11|11,11,13,5,8",QR2,WTT_STAR_CONTENDER,MS,2591,Qualification,AN Jaehyun (KOR),SHAH Manush Utpalbhai (IND),AN Jaehyun
WTT Star Contender European Summer Series 2022,2022-07-11,LEE Zion,BRATEYKO Solomiya,3,2,"11,11,8,13,11|7,3,11,15,9",QR2,WTT_STAR_CONTENDER,WS,2591,Qualification,LEE Zion (KOR),BRATEYKO Solomiya (UKR),LEE Zion
WTT Star Contender European Summer Series 2022,2022-07-11,ZELJKO Filip,ROBLES Alvaro,3,0,"11,11,11|6,8,9",QR2,WTT_STAR_CONTENDER,MS,2591,Qualification,ZELJKO Filip (CRO),ROBLES Alvaro (ESP),ZELJKO Filip
WTT Star Contender European Summer Series 2022,2022-07-11,JANG Woojin,DYJAS Jakub,3,2,"11,4,11,9,11|9,11,9,11,5",QR2,WTT_STAR_CONTENDER,MS,2591,Qualification,JANG Woojin (KOR),DYJAS Jakub (POL),JANG Woojin
WTT Star Contender European Summer Series 2022,2022-07-11,APOLONIA Tiago,PERSSON Jon,3,0,"11,13,11|9,11,6",QR2,WTT_STAR_CONTENDER,MS,2591,Qualification,APOLONIA Tiago (POR),PERSSON Jon (SWE),APOLONIA Tiago
WTT Star Contender European Summer Series 2022,2022-07-11,PAVADE Prithika,HELMY Yousra,3,0,"11,11,11|9,1,8",QR2,WTT_STAR_CONTENDER,WS,2591,Qualification,PAVADE Prithika (FRA),HELMY Yousra (EGY),PAVADE Prithika
WTT Star Contender European Summer Series 2022,2022-07-11,JEGER Mateja,AKULA Sreeja,3,2,"16,12,11,8,11|14,10,13,11,7",QR2,WTT_STAR_CONTENDER,WS,2591,Qualification,JEGER Mateja (CRO),AKULA Sreeja (IND),JEGER Mateja
WTT Star Contender European Summer Series 2022,2022-07-11,KIM Hayeong,LI Yu-Jhun,3,1,"15,11,8,11|13,8,11,6",QR2,WTT_STAR_CONTENDER,WS,2591,Qualification,KIM Hayeong (KOR),LI Yu-Jhun (TPE),KIM Hayeong
WTT Star Contender European Summer Series 2022,2022-07-11,STOYANOV Niagol,HABESOHN Daniel,3,2,"11,11,2,4,11|7,1,11,11,8",QR2,WTT_STAR_CONTENDER,MS,2591,Qualification,STOYANOV Niagol (ITA),HABESOHN Daniel (AUT),STOYANOV Niagol
WTT Star Contender European Summer Series 2022,2022-07-11,DRINKHALL Paul,JANCARIK Lubomir,3,2,"11,2,11,9,11|6,11,6,11,9",QR1,WTT_STAR_CONTENDER,MS,2591,Qualification,DRINKHALL Paul (ENG),JANCARIK Lubomir (CZE),DRINKHALL Paul
WTT Star Contender European Summer Series 2022,2022-07-11,DRAGOMAN Andreea,PICCOLIN Giorgia,3,0,"11,11,11|7,6,7",QR1,WTT_STAR_CONTENDER,WS,2591,Qualification,DRAGOMAN Andreea (ROU),PICCOLIN Giorgia (ITA),DRAGOMAN Andreea
WTT Star Contender European Summer Series 2022,2022-07-11,NAGYVARADI Mercedes,MANTZ Chantal,3,2,"11,11,7,11,11|13,7,11,6,9",QR1,WTT_STAR_CONTENDER,WS,2591,Qualification,NAGYVARADI Mercedes (HUN),MANTZ Chantal (GER),NAGYVARADI Mercedes
WTT Star Contender European Summer Series 2022,2022-07-11,DIACONU Adina,ALTINKAYA Sibel,3,1,"11,11,6,12|5,9,11,10",QR1,WTT_STAR_CONTENDER,WS,2591,Qualification,DIACONU Adina (ROU),ALTINKAYA Sibel (TUR),DIACONU Adina
WTT Star Contender European Summer Series 2022,2022-07-11,LI Hon Ming,POLANSKY Tomas,3,0,"11,11,11|7,8,7",QR1,WTT_STAR_CONTENDER,MS,2591,Qualification,LI Hon Ming (HKG),POLANSKY Tomas (CZE),LI Hon Ming
WTT Star Contender European Summer Series 2022,2022-07-11,BAJOR Natalia,DIAZ Melanie,3,0,"11,11,11|5,4,1",QR1,WTT_STAR_CONTENDER,WS,2591,Qualification,BAJOR Natalia (POL),DIAZ Melanie (PUR),BAJOR Natalia
WTT Star Contender European Summer Series 2022,2022-07-11,ANGLES Enzo,GONZALEZ Daniel,3,0,"11,12,11|5,10,6",QR1,WTT_STAR_CONTENDER,MS,2591,Qualification,ANGLES Enzo (FRA),GONZALEZ Daniel (PUR),ANGLES Enzo
WTT Star Contender European Summer Series 2022,2022-07-11,WALKER Samuel,KISHEGYI Akos,3,0,"11,15,11|4,13,4",QR1,WTT_STAR_CONTENDER,MS,2591,Qualification,WALKER Samuel (ENG),KISHEGYI Akos (HUN),WALKER Samuel
WTT Star Contender European Summer Series 2022,2022-07-11,SHAH Manush Utpalbhai,CHO Seungmin,3,2,"6,13,10,11,14|11,11,12,8,12",QR1,WTT_STAR_CONTENDER,MS,2591,Qualification,SHAH Manush Utpalbhai (IND),CHO Seungmin (KOR),SHAH Manush Utpalbhai
WTT Star Contender European Summer Series 2022,2022-07-11,FEJOS Anna,VIVARELLI Debora,3,2,"14,3,11,6,11|12,11,7,11,8",QR1,WTT_STAR_CONTENDER,WS,2591,Qualification,FEJOS Anna (HUN),VIVARELLI Debora (ITA),FEJOS Anna
WTT Star Contender European Summer Series 2022,2022-07-11,MUKHERJEE Ayhika,HO Tin-Tin,3,0,"11,11,11|8,8,4",QR1,WTT_STAR_CONTENDER,WS,2591,Qualification,MUKHERJEE Ayhika (IND),HO Tin-Tin (ENG),MUKHERJEE Ayhika
WTT Star Contender European Summer Series 2022,2022-07-11,SAWETTABUT Jinnipa,MORET Rachel,3,2,"11,11,4,10,12|6,7,11,12,10",QR1,WTT_STAR_CONTENDER,WS,2591,Qualification,SAWETTABUT Jinnipa (THA),MORET Rachel (SUI),SAWETTABUT Jinnipa
