tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Central American & Caribbean Games 2023,2023-06-21,AFANADOR Brian,SANCHEZ Edgardo,3,0,"11,11,11|9,7,4",GROUP,OTHER,MT,2770,Main Draw,SANCHEZ Edgardo (ESA),AFANADOR Brian (PUR),AFANADOR Brian
Central American & Caribbean Games 2023,2023-06-21,NARANJO Angel,ORANTES Diego,3,1,"3,11,11,11|11,9,5,7",GROUP,OTHER,MT,2770,Main Draw,ORANTES Diego (ESA),NARANJO Angel (PUR),NARANJO Angel
Central American & Caribbean Games 2023,2023-06-21,GONZALEZ Daniel,GALEANO Jaime,3,0,"11,11,11|7,7,8",GROUP,OTHER,MT,2770,Main Draw,GALEANO Jaime (ESA),GONZALEZ Daniel (PUR),GONZALEZ Daniel
Central American & Caribbean Games 2023,2023-06-21,CAMPOS Jorge,DOOKRAM Yuvraaj,3,0,"11,11,11|6,6,7",GROUP,OTHER,MT,2770,Main Draw,CAMPOS Jorge (CUB),DOOKRAM Yuvraaj (TTO),CAMPOS Jorge
Central American & Caribbean Games 2023,2023-06-21,PEREZ Adrian,WILSON Aaron,3,1,"7,11,11,11|11,9,4,4",GROUP,OTHER,MT,2770,Main Draw,PEREZ Adrian (CUB),WILSON Aaron (TTO),PEREZ Adrian
Central American & Caribbean Games 2023,2023-06-21,MARTINEZ Livan,ASGARALI Khaleel,3,1,"11,11,9,11|5,1,11,8",GROUP,OTHER,MT,2770,Main Draw,MARTINEZ Livan (CUB),ASGARALI Khaleel (TTO),MARTINEZ Livan
Central American & Caribbean Games 2023,2023-06-21,VILA Isaac,NEPOSIANO MONTEIRO Rafael,3,0,"11,11,11|8,9,5",GROUP,OTHER,MT,2770,Main Draw,VILA Isaac (DOM),NEPOSIANO MONTEIRO Rafael (HAI),VILA Isaac
Central American & Caribbean Games 2023,2023-06-21,WU Jiaji,ST-FLEUR Donika,3,0,"11,11,11|5,4,9",GROUP,OTHER,MT,2770,Main Draw,WU Jiaji (DOM),ST-FLEUR Donika (HAI),WU Jiaji
Central American & Caribbean Games 2023,2023-06-21,TEJADA Abit,GUERRIER Olivier,3,0,"11,14,11|2,12,9",GROUP,OTHER,MT,2770,Main Draw,TEJADA Abit (DOM),GUERRIER Olivier (HAI),TEJADA Abit
Central American & Caribbean Games 2023,2023-06-21,FARLEY Kevin,MUNOZ Guillermo,3,0,"13,11,11|11,7,9",GROUP,OTHER,MT,2770,Main Draw,FARLEY Kevin (BAR),MUNOZ Guillermo (HON),FARLEY Kevin
Central American & Caribbean Games 2023,2023-06-21,KNIGHT Tyrese,YOU Jose,3,1,"11,9,13,15|4,11,11,13",GROUP,OTHER,MT,2770,Main Draw,KNIGHT Tyrese (BAR),YOU Jose (HON),KNIGHT Tyrese
Central American & Caribbean Games 2023,2023-06-21,DOWELL Mark,LOPEZ Helton,3,0,"11,11,11|9,8,7",GROUP,OTHER,MT,2770,Main Draw,DOWELL Mark (BAR),LOPEZ Helton (HON),DOWELL Mark
Central American & Caribbean Games 2023,2023-06-21,DIAZ Melanie,OBANDO Camila,3,2,"11,9,9,11,11|4,11,11,6,8",GROUP,OTHER,WT,2770,Main Draw,DIAZ Melanie (PUR),OBANDO Camila (VEN),DIAZ Melanie
Central American & Caribbean Games 2023,2023-06-21,DIAZ Adriana,DIAZ Mariangel,3,0,"11,12,11|7,10,9",GROUP,OTHER,WT,2770,Main Draw,DIAZ Adriana (PUR),DIAZ Mariangel (VEN),DIAZ Adriana
Central American & Caribbean Games 2023,2023-06-21,BURGOS Brianna,GONZALEZ Roxy,3,2,"11,11,12,10,12|13,6,10,12,10",GROUP,OTHER,WT,2770,Main Draw,BURGOS Brianna (PUR),GONZALEZ Roxy (VEN),BURGOS Brianna
Central American & Caribbean Games 2023,2023-06-21,BARCENAS Clio,PEREZ Sofia,3,0,"11,11,11|3,3,6",GROUP,OTHER,WT,2770,Main Draw,PEREZ Sofia (CRC),BARCENAS Clio (MEX),BARCENAS Clio
Central American & Caribbean Games 2023,2023-06-21,SILVA Yadira,ZAVALETA Lucia,3,1,"11,7,11,11|6,11,6,2",GROUP,OTHER,WT,2770,Main Draw,ZAVALETA Lucia (CRC),SILVA Yadira (MEX),SILVA Yadira
Central American & Caribbean Games 2023,2023-06-21,COSSIO Arantxa,CASTRO SALAS Victoria Sofia,3,0,"11,11,11|7,3,5",GROUP,OTHER,WT,2770,Main Draw,CASTRO SALAS Victoria Sofia (CRC),COSSIO Arantxa (MEX),COSSIO Arantxa
Central American & Caribbean Games 2023,2023-06-21,RODRIGUEZ Lizdainet,REID Angela,3,0,"11,11,11|4,5,7",GROUP,OTHER,WT,2770,Main Draw,RODRIGUEZ Lizdainet (CUB),REID Angela (BAR),RODRIGUEZ Lizdainet
Central American & Caribbean Games 2023,2023-06-21,FONSECA Daniela,RILEY Anthonette,3,0,"11,11,11|7,5,3",GROUP,OTHER,WT,2770,Main Draw,FONSECA Daniela (CUB),RILEY Anthonette (BAR),FONSECA Daniela
Central American & Caribbean Games 2023,2023-06-21,LOVET Idalys,HARVEY Krystle,3,0,"11,11,11|4,3,2",GROUP,OTHER,WT,2770,Main Draw,LOVET Idalys (CUB),HARVEY Krystle (BAR),LOVET Idalys
Central American & Caribbean Games 2023,2023-06-21,CASTRO Esmerlyn,EDWARDS-TAYLOR Imani,3,0,"11,11,16|7,6,14",GROUP,OTHER,WT,2770,Main Draw,CASTRO Esmerlyn (DOM),EDWARDS-TAYLOR Imani (TTO),CASTRO Esmerlyn
Central American & Caribbean Games 2023,2023-06-21,BRITO Eva,CHUNG Rheann,3,2,"6,11,11,4,15|11,5,9,11,13",GROUP,OTHER,WT,2770,Main Draw,BRITO Eva (DOM),CHUNG Rheann (TTO),BRITO Eva
Central American & Caribbean Games 2023,2023-06-21,ORTIZ Yasiris,FRASER Chloe,3,0,"11,11,12|5,1,10",GROUP,OTHER,WT,2770,Main Draw,ORTIZ Yasiris (DOM),FRASER Chloe (TTO),ORTIZ Yasiris
Central American & Caribbean Games 2023,2023-06-21,GONZALEZ Daniel,MEDINA Raymundo,3,0,"11,11,11|6,6,7",GROUP,OTHER,MT,2770,Main Draw,MEDINA Raymundo (VEN),GONZALEZ Daniel (PUR),GONZALEZ Daniel
Central American & Caribbean Games 2023,2023-06-21,NARANJO Angel,RIOS Carlos,3,0,"11,11,11|4,8,6",GROUP,OTHER,MT,2770,Main Draw,RIOS Carlos (VEN),NARANJO Angel (PUR),NARANJO Angel
Central American & Caribbean Games 2023,2023-06-21,AFANADOR Brian,CASTILLO Cesar,3,0,"15,11,11|13,9,9",GROUP,OTHER,MT,2770,Main Draw,CASTILLO Cesar (VEN),AFANADOR Brian (PUR),AFANADOR Brian
Central American & Caribbean Games 2023,2023-06-21,PEREIRA Andy,MONTOYA Alejandro,3,0,"11,11,11|6,3,4",GROUP,OTHER,MT,2770,Main Draw,MONTOYA Alejandro (CRC),PEREIRA Andy (CUB),PEREIRA Andy
Central American & Caribbean Games 2023,2023-06-21,CAMPOS Jorge,ARAYA Daniel,3,1,"11,11,9,11|9,4,11,4",GROUP,OTHER,MT,2770,Main Draw,ARAYA Daniel (CRC),CAMPOS Jorge (CUB),CAMPOS Jorge
Central American & Caribbean Games 2023,2023-06-21,MARTINEZ Livan,MARTINEZ Jeison,3,1,"11,11,6,11|2,5,11,7",GROUP,OTHER,MT,2770,Main Draw,MARTINEZ Jeison (CRC),MARTINEZ Livan (CUB),MARTINEZ Livan
Central American & Caribbean Games 2023,2023-06-21,VAN LANGE Jonathan,TEJADA Abit,3,0,"11,11,12|7,8,10",GROUP,OTHER,MT,2770,Main Draw,TEJADA Abit (DOM),VAN LANGE Jonathan (GUY),VAN LANGE Jonathan
Central American & Caribbean Games 2023,2023-06-21,WU Jiaji,FRANKLIN Christopher,3,0,"11,11,11|5,1,3",GROUP,OTHER,MT,2770,Main Draw,WU Jiaji (DOM),FRANKLIN Christopher (GUY),WU Jiaji
Central American & Caribbean Games 2023,2023-06-21,BRITTON Shemar,VILA Isaac,3,2,"11,8,9,11,13|6,11,11,7,11",GROUP,OTHER,MT,2770,Main Draw,VILA Isaac (DOM),BRITTON Shemar (GUY),BRITTON Shemar
Central American & Caribbean Games 2023,2023-06-21,WU Jiaji,VAN LANGE Jonathan,3,0,"11,11,11|8,1,5",GROUP,OTHER,MT,2770,Main Draw,WU Jiaji (DOM),VAN LANGE Jonathan (GUY),WU Jiaji
Central American & Caribbean Games 2023,2023-06-21,TEJADA Abit,FRANKLIN Christopher,3,0,"11,11,11|7,5,8",GROUP,OTHER,MT,2770,Main Draw,TEJADA Abit (DOM),FRANKLIN Christopher (GUY),TEJADA Abit
Central American & Caribbean Games 2023,2023-06-21,GATICA Hector,FARLEY Kevin,3,0,"11,11,11|4,6,9",GROUP,OTHER,MT,2770,Main Draw,FARLEY Kevin (BAR),GATICA Hector (GUA),GATICA Hector
Central American & Caribbean Games 2023,2023-06-21,CARRILLO Sergio,KNIGHT Tyrese,3,2,"11,7,4,11,11|8,11,11,7,6",GROUP,OTHER,MT,2770,Main Draw,KNIGHT Tyrese (BAR),CARRILLO Sergio (GUA),CARRILLO Sergio
Central American & Caribbean Games 2023,2023-06-21,MOSCOSO Heber,DOWELL Mark,3,0,"11,11,11|6,9,5",GROUP,OTHER,MT,2770,Main Draw,DOWELL Mark (BAR),MOSCOSO Heber (GUA),MOSCOSO Heber
Central American & Caribbean Games 2023,2023-06-21,DIAZ Melanie,GREAVES Priscilla,3,1,"12,11,9,11|10,5,11,7",GROUP,OTHER,WT,2770,Main Draw,GREAVES Priscilla (GUY),DIAZ Melanie (PUR),DIAZ Melanie
Central American & Caribbean Games 2023,2023-06-21,DIAZ Adriana,EDGHILL Chelsea,3,0,"11,11,11|2,4,5",GROUP,OTHER,WT,2770,Main Draw,EDGHILL Chelsea (GUY),DIAZ Adriana (PUR),DIAZ Adriana
Central American & Caribbean Games 2023,2023-06-21,RODRIGUEZ Alondra,CUMMINGS Natalie,3,0,"11,11,11|7,9,7",GROUP,OTHER,WT,2770,Main Draw,CUMMINGS Natalie (GUY),RODRIGUEZ Alondra (PUR),RODRIGUEZ Alondra
Central American & Caribbean Games 2023,2023-06-21,COSSIO Arantxa,CONSTANZA Keren,3,1,"7,11,11,11|11,2,1,3",GROUP,OTHER,WT,2770,Main Draw,COSSIO Arantxa (MEX),CONSTANZA Keren (ESA),COSSIO Arantxa
Central American & Caribbean Games 2023,2023-06-21,SILVA Yadira,SUAREZ Gabriela,3,0,"13,11,11|11,6,1",GROUP,OTHER,WT,2770,Main Draw,SILVA Yadira (MEX),SUAREZ Gabriela (ESA),SILVA Yadira
Central American & Caribbean Games 2023,2023-06-21,BARCENAS Clio,ARIAS Emme,3,1,"7,11,11,11|11,6,7,8",GROUP,OTHER,WT,2770,Main Draw,BARCENAS Clio (MEX),ARIAS Emme (ESA),BARCENAS Clio
Central American & Caribbean Games 2023,2023-06-21,ZAPATA Hidalynn,RODRIGUEZ Lizdainet,3,1,"6,11,11,11|11,9,9,8",GROUP,OTHER,WT,2770,Main Draw,ZAPATA Hidalynn (GUA),RODRIGUEZ Lizdainet (CUB),ZAPATA Hidalynn
Central American & Caribbean Games 2023,2023-06-21,FONSECA Daniela,ENRIQUEZ Mabelyn,3,2,"11,11,6,9,12|3,9,11,11,10",GROUP,OTHER,WT,2770,Main Draw,ENRIQUEZ Mabelyn (GUA),FONSECA Daniela (CUB),FONSECA Daniela
Central American & Caribbean Games 2023,2023-06-21,LOVET Idalys,CORDERO Lucia,3,0,"11,11,11|9,8,6",GROUP,OTHER,WT,2770,Main Draw,CORDERO Lucia (GUA),LOVET Idalys (CUB),LOVET Idalys
Central American & Caribbean Games 2023,2023-06-21,ENRIQUEZ Mabelyn,RODRIGUEZ Lizdainet,3,0,"13,12,11|11,10,7",GROUP,OTHER,WT,2770,Main Draw,ENRIQUEZ Mabelyn (GUA),RODRIGUEZ Lizdainet (CUB),ENRIQUEZ Mabelyn
Central American & Caribbean Games 2023,2023-06-21,FONSECA Daniela,ZAPATA Hidalynn,3,1,"11,12,9,11|5,10,11,8",GROUP,OTHER,WT,2770,Main Draw,ZAPATA Hidalynn (GUA),FONSECA Daniela (CUB),FONSECA Daniela
Central American & Caribbean Games 2023,2023-06-21,CASTRO Esmerlyn,LOZADA Juliana,3,2,"11,11,8,11,14|7,13,11,7,12",GROUP,OTHER,WT,2770,Main Draw,CASTRO Esmerlyn (DOM),LOZADA Juliana (COL),CASTRO Esmerlyn
Central American & Caribbean Games 2023,2023-06-21,BRITO Eva,ISAZA Ana,3,2,"8,3,11,11,11|11,11,8,9,7",GROUP,OTHER,WT,2770,Main Draw,BRITO Eva (DOM),ISAZA Ana (COL),BRITO Eva
Central American & Caribbean Games 2023,2023-06-21,TELLEZ Cory,ORTIZ Yasiris,3,1,"11,11,7,11|8,6,11,9",GROUP,OTHER,WT,2770,Main Draw,ORTIZ Yasiris (DOM),TELLEZ Cory (COL),TELLEZ Cory
Central American & Caribbean Games 2023,2023-06-21,BRITO Eva,LOZADA Juliana,3,2,"11,8,10,11,12|4,11,12,3,10",GROUP,OTHER,WT,2770,Main Draw,BRITO Eva (DOM),LOZADA Juliana (COL),BRITO Eva
Central American & Caribbean Games 2023,2023-06-21,VANEGAS Luis,LEIVA Enzo,3,2,"7,11,11,3,11|11,7,7,11,8",GROUP,OTHER,MT,2770,Main Draw,VANEGAS Luis (VEN),LEIVA Enzo (ESA),VANEGAS Luis
Central American & Caribbean Games 2023,2023-06-21,CASTILLO Cesar,ORANTES Diego,3,2,"5,11,11,11,11|11,6,13,6,9",GROUP,OTHER,MT,2770,Main Draw,CASTILLO Cesar (VEN),ORANTES Diego (ESA),CASTILLO Cesar
Central American & Caribbean Games 2023,2023-06-21,RIOS Carlos,SANCHEZ Edgardo,3,0,"11,11,11|8,7,9",GROUP,OTHER,MT,2770,Main Draw,RIOS Carlos (VEN),SANCHEZ Edgardo (ESA),RIOS Carlos
Central American & Caribbean Games 2023,2023-06-21,MONTOYA Alejandro,ASGARALI Khaleel,3,2,"7,13,10,11,12|11,11,12,6,10",GROUP,OTHER,MT,2770,Main Draw,MONTOYA Alejandro (CRC),ASGARALI Khaleel (TTO),MONTOYA Alejandro
Central American & Caribbean Games 2023,2023-06-21,ARAYA Daniel,WILSON Aaron,3,0,"11,11,11|5,6,5",GROUP,OTHER,MT,2770,Main Draw,ARAYA Daniel (CRC),WILSON Aaron (TTO),ARAYA Daniel
Central American & Caribbean Games 2023,2023-06-21,MARTINEZ Jeison,DOUGLAS Derron,3,1,"11,7,11,11|5,11,4,7",GROUP,OTHER,MT,2770,Main Draw,MARTINEZ Jeison (CRC),DOUGLAS Derron (TTO),MARTINEZ Jeison
Central American & Caribbean Games 2023,2023-06-21,FRANKLIN Christopher,NEPOSIANO MONTEIRO Rafael,3,2,"8,11,9,11,11|11,8,11,6,4",GROUP,OTHER,MT,2770,Main Draw,FRANKLIN Christopher (GUY),NEPOSIANO MONTEIRO Rafael (HAI),FRANKLIN Christopher
Central American & Caribbean Games 2023,2023-06-21,ST-FLEUR Donika,BRITTON Shemar,3,2,"8,9,11,14,11|11,11,8,12,8",GROUP,OTHER,MT,2770,Main Draw,BRITTON Shemar (GUY),ST-FLEUR Donika (HAI),ST-FLEUR Donika
Central American & Caribbean Games 2023,2023-06-21,GUERRIER Olivier,VAN LANGE Jonathan,3,1,"6,11,12,11|11,3,10,9",GROUP,OTHER,MT,2770,Main Draw,VAN LANGE Jonathan (GUY),GUERRIER Olivier (HAI),GUERRIER Olivier
Central American & Caribbean Games 2023,2023-06-21,BRITTON Shemar,NEPOSIANO MONTEIRO Rafael,3,2,"11,11,10,5,11|5,5,12,11,9",GROUP,OTHER,MT,2770,Main Draw,BRITTON Shemar (GUY),NEPOSIANO MONTEIRO Rafael (HAI),BRITTON Shemar
Central American & Caribbean Games 2023,2023-06-21,FRANKLIN Christopher,ST-FLEUR Donika,3,2,"11,6,10,15,11|8,11,12,13,9",GROUP,OTHER,MT,2770,Main Draw,FRANKLIN Christopher (GUY),ST-FLEUR Donika (HAI),FRANKLIN Christopher
Central American & Caribbean Games 2023,2023-06-21,GATICA Hector,LOPEZ Helton,3,0,"11,11,11|2,7,8",GROUP,OTHER,MT,2770,Main Draw,LOPEZ Helton (HON),GATICA Hector (GUA),GATICA Hector
Central American & Caribbean Games 2023,2023-06-21,YOU Jose,MOSCOSO Heber,3,1,"5,11,11,11|11,6,6,4",GROUP,OTHER,MT,2770,Main Draw,YOU Jose (HON),MOSCOSO Heber (GUA),YOU Jose
Central American & Caribbean Games 2023,2023-06-21,DE LA CRUZ Diego,MUNOZ Guillermo,3,0,"11,11,11|8,3,8",GROUP,OTHER,MT,2770,Main Draw,MUNOZ Guillermo (HON),DE LA CRUZ Diego (GUA),DE LA CRUZ Diego
Central American & Caribbean Games 2023,2023-06-21,GATICA Hector,YOU Jose,3,2,"6,9,11,13,11|11,11,9,11,4",GROUP,OTHER,MT,2770,Main Draw,YOU Jose (HON),GATICA Hector (GUA),GATICA Hector
Central American & Caribbean Games 2023,2023-06-21,OBANDO Camila,BILLINGY Jasmine,3,1,"13,10,11,11|11,12,6,6",GROUP,OTHER,WT,2770,Main Draw,OBANDO Camila (VEN),BILLINGY Jasmine (GUY),OBANDO Camila
Central American & Caribbean Games 2023,2023-06-21,DIAZ Mariangel,EDGHILL Chelsea,3,1,"9,11,12,11|11,5,10,2",GROUP,OTHER,WT,2770,Main Draw,DIAZ Mariangel (VEN),EDGHILL Chelsea (GUY),DIAZ Mariangel
Central American & Caribbean Games 2023,2023-06-21,GONZALEZ Roxy,CUMMINGS Natalie,3,0,"11,11,11|5,5,6",GROUP,OTHER,WT,2770,Main Draw,GONZALEZ Roxy (VEN),CUMMINGS Natalie (GUY),GONZALEZ Roxy
Central American & Caribbean Games 2023,2023-06-21,ORANTES Cecilia,CASTRO SALAS Victoria Sofia,3,0,"11,11,11|9,6,9",GROUP,OTHER,WT,2770,Main Draw,ORANTES Cecilia (ESA),CASTRO SALAS Victoria Sofia (CRC),ORANTES Cecilia
Central American & Caribbean Games 2023,2023-06-21,SUAREZ Gabriela,ZAVALETA Lucia,3,2,"6,11,9,14,11|11,9,11,12,8",GROUP,OTHER,WT,2770,Main Draw,SUAREZ Gabriela (ESA),ZAVALETA Lucia (CRC),SUAREZ Gabriela
Central American & Caribbean Games 2023,2023-06-21,ARIAS Emme,PEREZ Sofia,3,0,"11,11,11|5,3,8",GROUP,OTHER,WT,2770,Main Draw,ARIAS Emme (ESA),PEREZ Sofia (CRC),ARIAS Emme
Central American & Caribbean Games 2023,2023-06-21,ENRIQUEZ Mabelyn,KING Kenady,3,0,"11,11,11|3,6,6",GROUP,OTHER,WT,2770,Main Draw,KING Kenady (BAR),ENRIQUEZ Mabelyn (GUA),ENRIQUEZ Mabelyn
Central American & Caribbean Games 2023,2023-06-21,HARVEY Krystle,CUX Jenny,3,1,"5,11,11,11|11,4,5,8",GROUP,OTHER,WT,2770,Main Draw,HARVEY Krystle (BAR),CUX Jenny (GUA),HARVEY Krystle
Central American & Caribbean Games 2023,2023-06-21,CORDERO Lucia,RILEY Anthonette,3,0,"11,11,11|3,7,7",GROUP,OTHER,WT,2770,Main Draw,RILEY Anthonette (BAR),CORDERO Lucia (GUA),CORDERO Lucia
Central American & Caribbean Games 2023,2023-06-21,ENRIQUEZ Mabelyn,HARVEY Krystle,3,0,"11,11,11|3,6,7",GROUP,OTHER,WT,2770,Main Draw,HARVEY Krystle (BAR),ENRIQUEZ Mabelyn (GUA),ENRIQUEZ Mabelyn
Central American & Caribbean Games 2023,2023-06-21,ISAZA Ana,FRASER Chloe,3,0,"11,11,11|6,4,9",GROUP,OTHER,WT,2770,Main Draw,ISAZA Ana (COL),FRASER Chloe (TTO),ISAZA Ana
Central American & Caribbean Games 2023,2023-06-21,TELLEZ Cory,CHUNG Rheann,3,0,"11,11,11|3,8,4",GROUP,OTHER,WT,2770,Main Draw,TELLEZ Cory (COL),CHUNG Rheann (TTO),TELLEZ Cory
Central American & Caribbean Games 2023,2023-06-21,LOZADA Juliana,EDWARDS-TAYLOR Imani,3,0,"11,11,11|5,4,8",GROUP,OTHER,WT,2770,Main Draw,LOZADA Juliana (COL),EDWARDS-TAYLOR Imani (TTO),LOZADA Juliana
Central American & Caribbean Games 2023,2023-06-21,GONZALEZ Daniel,MONTOYA Alejandro,3,1,"9,12,11,11|11,10,3,3",QF,OTHER,MT,2770,Main Draw,MONTOYA Alejandro (CRC),GONZALEZ Daniel (PUR),GONZALEZ Daniel
Central American & Caribbean Games 2023,2023-06-21,NARANJO Angel,ARAYA Daniel,3,1,"11,11,8,11|7,4,11,4",QF,OTHER,MT,2770,Main Draw,ARAYA Daniel (CRC),NARANJO Angel (PUR),NARANJO Angel
