tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
European Team Championships 2023,2023-09-10,BOLL Timo,NAUMI Alex,3,0,"13,11,11|11,6,8",GROUP,OTHER,MT,2919,Main Draw,BOLL Timo (GER),NAUMI Alex (FIN),BOLL Timo
European Team Championships 2023,2023-09-10,DUDA Benedikt,OLAH Benedek,3,1,"11,11,7,11|8,5,11,8",GROUP,OTHER,MT,2919,Main Draw,DUDA Benedikt (GER),OLAH Benedek (FIN),DUDA Benedikt
European Team Championships 2023,2023-09-10,WALTHER Ricardo,KHOSRAVI Sam,3,0,"11,11,11|2,8,6",GROUP,OTHER,MT,2919,Main Draw,WALTHER Ricardo (GER),KHOSRAVI Sam (FIN),WALTHER Ricardo
European Team Championships 2023,2023-09-10,DUDA Benedikt,KULCZYCKI Samuel,3,2,"5,11,11,6,11|11,5,7,11,5",GROUP,OTHER,MT,2919,Main Draw,DUDA Benedikt (GER),KULCZYCKI Samuel (POL),DUDA Benedikt
European Team Championships 2023,2023-09-10,REDZIMSKI Milosz,BOLL Timo,3,1,"12,11,4,11|10,9,11,4",GROUP,OTHER,MT,2919,Main Draw,REDZIMSKI Milosz (POL),BOLL Timo (GER),REDZIMSKI Milosz
European Team Championships 2023,2023-09-10,WALTHER Ricardo,DYJAS Jakub,3,0,"11,11,11|2,7,9",GROUP,OTHER,MT,2919,Main Draw,WALTHER Ricardo (GER),DYJAS Jakub (POL),WALTHER Ricardo
European Team Championships 2023,2023-09-10,BOLL Timo,KULCZYCKI Samuel,3,1,"11,11,8,13|7,6,11,11",GROUP,OTHER,MT,2919,Main Draw,BOLL Timo (GER),KULCZYCKI Samuel (POL),BOLL Timo
European Team Championships 2023,2023-09-10,NAUMI Alex,KULCZYCKI Samuel,3,2,"6,11,3,11,16|11,5,11,8,14",GROUP,OTHER,MT,2919,Main Draw,NAUMI Alex (FIN),KULCZYCKI Samuel (POL),NAUMI Alex
European Team Championships 2023,2023-09-10,OLAH Benedek,REDZIMSKI Milosz,3,0,"11,14,11|6,12,9",GROUP,OTHER,MT,2919,Main Draw,OLAH Benedek (FIN),REDZIMSKI Milosz (POL),OLAH Benedek
European Team Championships 2023,2023-09-10,KUBIK Maciej,RASANEN Aleksi,3,0,"11,11,11|5,1,2",GROUP,OTHER,MT,2919,Main Draw,KUBIK Maciej (POL),RASANEN Aleksi (FIN),KUBIK Maciej
European Team Championships 2023,2023-09-10,KULCZYCKI Samuel,OLAH Benedek,3,1,"3,11,11,11|11,6,8,5",GROUP,OTHER,MT,2919,Main Draw,KULCZYCKI Samuel (POL),OLAH Benedek (FIN),KULCZYCKI Samuel
European Team Championships 2023,2023-09-10,REDZIMSKI Milosz,NAUMI Alex,3,0,"12,12,11|10,10,6",GROUP,OTHER,MT,2919,Main Draw,REDZIMSKI Milosz (POL),NAUMI Alex (FIN),REDZIMSKI Milosz
European Team Championships 2023,2023-09-10,MOREGARD Truls,OYEBODE John,3,0,"11,11,11|7,8,5",GROUP,OTHER,MT,2919,Main Draw,MOREGARD Truls (SWE),OYEBODE John (ITA),MOREGARD Truls
European Team Championships 2023,2023-09-10,KARLSSON Mattias,MUTTI Matteo,3,0,"11,11,11|6,4,6",GROUP,OTHER,MT,2919,Main Draw,KARLSSON Mattias (SWE),MUTTI Matteo (ITA),KARLSSON Mattias
European Team Championships 2023,2023-09-10,KALLBERG Anton,PUPPO Andrea,3,2,"7,11,9,11,11|11,8,11,7,5",GROUP,OTHER,MT,2919,Main Draw,KALLBERG Anton (SWE),PUPPO Andrea (ITA),KALLBERG Anton
European Team Championships 2023,2023-09-10,JANCARIK Lubomir,KARLSSON Mattias,3,2,"11,10,11,10,11|9,12,8,12,5",GROUP,OTHER,MT,2919,Main Draw,JANCARIK Lubomir (CZE),KARLSSON Mattias (SWE),JANCARIK Lubomir
