tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF-Africa Cup 2023,2023-05-04,ARUNA Quadri,MUTURI Peter,3,0,"11,11,11|9,5,9",,OTHER,MS,2745,Qualification,ARUNA Quadri (NGR),MUTURI Peter (KEN)
ITTF-Africa Cup 2023,2023-05-04,ASSAR Omar,MOHAMED Houmed Saido,3,0,"11,11,11|1,2,3",,OTHER,MS,2745,Qualification,ASSAR Omar (EGY),MOHAMED Houmed Saido (DJI)
ITTF-Africa Cup 2023,2023-05-04,BOULOUSSA Mehdi,MUTUA Brian,3,0,"11,11,11|7,4,6",,OTHER,MS,2745,Qualification,BOULOUSSA Mehdi (ALG),MUTUA Brian (KEN)
ITTF-Africa Cup 2023,2023-05-04,MATI Taiwo,NIYONIZIGIYE Eric,3,0,"11,11,11|4,6,7",,OTHER,MS,2745,Qualification,MATI Taiwo (NGR),NIYONIZIGIYE Eric (RWA)
ITTF-Africa Cup 2023,2023-05-04,OBA Don Ange Cedric,BOURHAN Abdourazak Abdallah,3,1,"11,9,11,11|9,11,5,7",,OTHER,MS,2745,Qualification,OBA Don Ange Cedric (CIV),BOURHAN Abdourazak Abdallah (DJI)
ITTF-Africa Cup 2023,2023-05-04,RAKOTOARIMANANA Fabio,DIAW Ibrahima,3,1,"11,11,2,11|4,8,11,7",,OTHER,MS,2745,Qualification,DIAW Ibrahima (DEN),RAKOTOARIMANANA Fabio (MAD)
ITTF-Africa Cup 2023,2023-05-04,BATIX Ylane,HAHIRWABASENGA Didier,3,0,"11,11,11|2,4,8",,OTHER,MS,2745,Qualification,BATIX Ylane (CMR),HAHIRWABASENGA Didier (RWA)
ITTF-Africa Cup 2023,2023-05-04,ELBEIALI Mohamed,RAZAFINARIVO Antoine,3,1,"11,11,11,11|9,13,4,6",,OTHER,MS,2745,Qualification,ELBEIALI Mohamed (EGY),RAZAFINARIVO Antoine (MAD)
ITTF-Africa Cup 2023,2023-05-04,ANKUNDA Samuel,MUSYOKI Boniface,3,1,"11,9,11,11|5,11,7,5",,OTHER,MS,2745,Qualification,ANKUNDA Samuel (UGA),MUSYOKI Boniface (KEN)
ITTF-Africa Cup 2023,2023-05-04,OBA Oba Kizito,SEBATINDIRA Joseph,3,1,"11,11,6,11|2,1,11,7",,OTHER,MS,2745,Qualification,OBA Oba Kizito (CIV),SEBATINDIRA Joseph (UGA)
ITTF-Africa Cup 2023,2023-05-04,BEN ATTIA Youssef,NZEYIMANA Tresor,3,0,"11,11,11|5,4,3",,OTHER,MS,2745,Qualification,BEN ATTIA Youssef (TUN),NZEYIMANA Tresor (BDI)
ITTF-Africa Cup 2023,2023-05-04,KHEROUF Sami,WANDERA Josiah,3,0,"11,11,11|6,6,7",,OTHER,MS,2745,Qualification,KHEROUF Sami (ALG),WANDERA Josiah (KEN)
ITTF-Africa Cup 2023,2023-05-04,ABDELAZIZ Youssef,HADSH Amanual,3,0,"11,11,11|3,2,7",,OTHER,MS,2745,Qualification,ABDELAZIZ Youssef (EGY),HADSH Amanual (ETH)
ITTF-Africa Cup 2023,2023-05-04,MESHREF Dina,LISA Nasimuyu,3,0,"11,11,11|6,6,2",,OTHER,WS,2745,Qualification,MESHREF Dina (EGY),LISA Nasimuyu (KEN)
ITTF-Africa Cup 2023,2023-05-04,GODA Hana,KINFU Feven,3,0,"11,11,11|4,6,4",,OTHER,WS,2745,Qualification,GODA Hana (EGY),KINFU Feven (ETH)
ITTF-Africa Cup 2023,2023-05-04,JALIM Nandeshwaree,NANGONZI Judith,3,0,"11,11,11|7,5,2",,OTHER,WS,2745,Qualification,JALIM Nandeshwaree (MRI),NANGONZI Judith (UGA)
ITTF-Africa Cup 2023,2023-05-04,BELLO Fatimo,KINUTHIA Mary,3,0,"11,11,11|3,4,4",,OTHER,WS,2745,Qualification,BELLO Fatimo (NGR),KINUTHIA Mary (KEN)
ITTF-Africa Cup 2023,2023-05-04,ALHODABY Marwa,TUMUKUNDE Elevine,3,0,"11,11,11|5,4,6",,OTHER,WS,2745,Qualification,ALHODABY Marwa (EGY),TUMUKUNDE Elevine (RWA)
ITTF-Africa Cup 2023,2023-05-04,HANFFOU Sarah,TWIZERANE Mbabazi,3,0,"11,11,11|7,4,3",,OTHER,WS,2745,Qualification,HANFFOU Sarah (CMR),TWIZERANE Mbabazi (RWA)
ITTF-Africa Cup 2023,2023-05-04,ORIBAMISE Esther,DIMBIMIARILANITRA Harena,3,0,"11,11,11|8,7,2",,OTHER,WS,2745,Qualification,ORIBAMISE Esther (NGR),DIMBIMIARILANITRA Harena (MAD)
ITTF-Africa Cup 2023,2023-05-04,LOGHRAIBI Lynda,SETEY Lydia,3,0,"11,11,11|3,2,2",,OTHER,WS,2745,Qualification,LOGHRAIBI Lynda (ALG),SETEY Lydia (KEN)
ITTF-Africa Cup 2023,2023-05-04,ZOGHLAMI Maram,HOUSSEIN Rahma,3,0,"11,11,11|7,8,6",,OTHER,WS,2745,Qualification,ZOGHLAMI Maram (TUN),HOUSSEIN Rahma (DJI)
ITTF-Africa Cup 2023,2023-05-04,KINOO Ruqayyah,THAKKAR Sejal,3,0,"11,11,11|0,0,0",,OTHER,WS,2745,Qualification,KINOO Ruqayyah (MRI),THAKKAR Sejal (KEN)
ITTF-Africa Cup 2023,2023-05-04,NASRI Malissa,RAHARIMANANA Hanitra,3,0,"11,11,16|4,6,14",,OTHER,WS,2745,Qualification,NASRI Malissa (ALG),RAHARIMANANA Hanitra (MAD)
ITTF-Africa Cup 2023,2023-05-04,BOURHAN Abdourazak Abdallah,NIYONIZIGIYE Eric,3,1,"9,12,11,12|11,10,7,10",,OTHER,MS,2745,Qualification,NIYONIZIGIYE Eric (RWA),BOURHAN Abdourazak Abdallah (DJI)
ITTF-Africa Cup 2023,2023-05-04,ASSAR Omar,ESSID Wassim,3,0,"11,12,11|9,10,7",,OTHER,MS,2745,Qualification,ASSAR Omar (EGY),ESSID Wassim (TUN)
ITTF-Africa Cup 2023,2023-05-04,BOULOUSSA Mehdi,IDOWU Saheed,3,0,"11,11,11|0,0,0",,OTHER,MS,2745,Qualification,BOULOUSSA Mehdi (ALG),IDOWU Saheed (CGO)
ITTF-Africa Cup 2023,2023-05-04,MATI Taiwo,OBA Don Ange Cedric,3,1,"7,11,14,11|11,4,12,4",,OTHER,MS,2745,Qualification,MATI Taiwo (NGR),OBA Don Ange Cedric (CIV)
ITTF-Africa Cup 2023,2023-05-04,ARUNA Quadri,NYOH OFON Derek,3,0,"11,11,11|0,0,0",,OTHER,MS,2745,Qualification,ARUNA Quadri (NGR),NYOH OFON Derek (CMR)
ITTF-Africa Cup 2023,2023-05-04,ELBEIALI Mohamed,BATIX Ylane,3,0,"11,11,11|8,5,3",,OTHER,MS,2745,Qualification,ELBEIALI Mohamed (EGY),BATIX Ylane (CMR)
ITTF-Africa Cup 2023,2023-05-04,RAZAFINARIVO Antoine,HAHIRWABASENGA Didier,3,0,"11,11,11|3,3,6",,OTHER,MS,2745,Qualification,RAZAFINARIVO Antoine (MAD),HAHIRWABASENGA Didier (RWA)
ITTF-Africa Cup 2023,2023-05-04,DIAW Ibrahima,ANKUNDA Samuel,3,1,"11,9,11,11|7,11,7,3",,OTHER,MS,2745,Qualification,DIAW Ibrahima (DEN),ANKUNDA Samuel (UGA)
ITTF-Africa Cup 2023,2023-05-04,RAKOTOARIMANANA Fabio,MUSYOKI Boniface,3,0,"11,11,11|5,5,5",,OTHER,MS,2745,Qualification,RAKOTOARIMANANA Fabio (MAD),MUSYOKI Boniface (KEN)
ITTF-Africa Cup 2023,2023-05-04,OBA Oba Kizito,BEN ATTIA Youssef,3,1,"11,6,11,11|7,11,6,5",,OTHER,MS,2745,Qualification,OBA Oba Kizito (CIV),BEN ATTIA Youssef (TUN)
ITTF-Africa Cup 2023,2023-05-04,ABDELAZIZ Youssef,KHEROUF Sami,3,0,"11,11,11|7,5,7",,OTHER,MS,2745,Qualification,KHEROUF Sami (ALG),ABDELAZIZ Youssef (EGY)
ITTF-Africa Cup 2023,2023-05-04,SEBATINDIRA Joseph,NZEYIMANA Tresor,3,0,"11,11,11|9,6,6",,OTHER,MS,2745,Qualification,SEBATINDIRA Joseph (UGA),NZEYIMANA Tresor (BDI)
ITTF-Africa Cup 2023,2023-05-04,HADSH Amanual,WANDERA Josiah,3,0,"11,11,11|9,5,5",,OTHER,MS,2745,Qualification,WANDERA Josiah (KEN),HADSH Amanual (ETH)
ITTF-Africa Cup 2023,2023-05-04,MESHREF Dina,NAKAWALA Jemimah,3,0,"11,11,11|1,8,6",,OTHER,WS,2745,Qualification,MESHREF Dina (EGY),NAKAWALA Jemimah (UGA)
ITTF-Africa Cup 2023,2023-05-04,GODA Hana,JALIM Nandeshwaree,3,0,"11,11,11|1,4,7",,OTHER,WS,2745,Qualification,GODA Hana (EGY),JALIM Nandeshwaree (MRI)
ITTF-Africa Cup 2023,2023-05-04,ALHODABY Marwa,BELLO Fatimo,3,1,"11,8,11,11|6,11,9,2",,OTHER,WS,2745,Qualification,BELLO Fatimo (NGR),ALHODABY Marwa (EGY)
ITTF-Africa Cup 2023,2023-05-04,NANGONZI Judith,KINFU Feven,3,0,"11,11,11|4,3,2",,OTHER,WS,2745,Qualification,KINFU Feven (ETH),NANGONZI Judith (UGA)
ITTF-Africa Cup 2023,2023-05-04,KINUTHIA Mary,TUMUKUNDE Elevine,3,2,"11,10,11,9,11|8,12,6,11,6",,OTHER,WS,2745,Qualification,KINUTHIA Mary (KEN),TUMUKUNDE Elevine (RWA)
