tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Pan American Championships 2023,2023-09-10,LORENZO Santiago,CASTRO Rogelio,3,2,"4,11,9,12,11|11,9,11,10,8",R32,OTHER,XD,2789,Main Draw,LORENZO Santiago (ARG),CASTRO Rogelio (MEX)
ITTF Pan American Championships 2023,2023-09-10,LY Edward,CAMPOS Jorge,3,2,"11,11,7,6,11|9,5,11,11,7",R32,OTHER,XD,2789,Main Draw,LY Edward (CAN),CAMPOS Jorge (CUB)
ITTF Pan American Championships 2023,2023-09-10,GATICA Hector,BRITTON Shemar,3,1,"8,11,11,11|11,5,7,6",R32,OTHER,XD,2789,Main Draw,GATICA Hector (GUA),BRITTON Shemar (GUY)
ITTF Pan American Championships 2023,2023-09-10,PEREIRA Andy,AFANADOR Brian,3,0,"13,12,11|11,10,5",R32,OTHER,XD,2789,Main Draw,PEREIRA Andy (CUB),AFANADOR Brian (PUR)
ITTF Pan American Championships 2023,2023-09-10,BENTANCOR Martin,TSAO Darryl,3,1,"11,10,11,12|7,12,6,10",R32,OTHER,XD,2789,Main Draw,BENTANCOR Martin (ARG),TSAO Darryl (USA)
ITTF Pan American Championships 2023,2023-09-10,MOSCOSO Heber,AGUIRRE Marcelo,3,0,"11,13,11|7,11,5",R32,OTHER,XD,2789,Main Draw,MOSCOSO Heber (GUA),AGUIRRE Marcelo (PAR)
ITTF Pan American Championships 2023,2023-09-10,CASTRO Rogelio,NARANJO Angel,4,2,"11,7,11,7,11,11|5,11,9,11,7,8",R64,OTHER,MS,2789,Main Draw,CASTRO Rogelio (MEX),NARANJO Angel (PUR)
ITTF Pan American Championships 2023,2023-09-10,OLAVE Alfonso,PIGUAVE Diego,4,1,"11,11,5,11,11|8,7,11,2,9",R64,OTHER,MS,2789,Main Draw,OLAVE Alfonso (CHI),PIGUAVE Diego (ECU)
ITTF Pan American Championships 2023,2023-09-10,VILLA Ricardo,ARAYA Daniel,4,2,"8,11,11,11,8,11|11,5,4,5,11,5",R64,OTHER,MS,2789,Main Draw,VILLA Ricardo (MEX),ARAYA Daniel (CRC)
ITTF Pan American Championships 2023,2023-09-10,BURGOS Nicolas,BERTOLO Axel,4,0,"11,11,11,11|5,8,7,6",R64,OTHER,MS,2789,Main Draw,BURGOS Nicolas (CHI),BERTOLO Axel (PAR)
