tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Singapore Smash 2023,2023-03-07,ALAMIYAN Noshad,TSUBOI Gustavo,3,1,"11,7,11,11|5,11,6,6",QR1,GRAND_SLAM,MS,2629,Qualification,ALAMIYAN Noshad (IRI),TSUBOI Gustavo (BRA)
Singapore Smash 2023,2023-03-07,DIACONU Adina,DRAGOMAN Andreea,3,2,"11,14,11,8,11|3,16,8,11,7",QR1,GRAND_SLAM,WS,2629,Qualification,DIACONU Adina (ROU),DRAGOMAN Andreea (ROU)
Singapore Smash 2023,2023-03-07,AKKUZU Can,RASSENFOSSE Adrien,3,2,"11,11,7,8,11|6,5,11,11,5",QR1,GRAND_SLAM,MS,2629,Qualification,AKKUZU Can (FRA),RASSENFOSSE Adrien (BEL)
Singapore Smash 2023,2023-03-07,GONZALEZ Daniel,AFANADOR Brian,3,0,"11,14,11|9,12,9",QR1,GRAND_SLAM,MS,2629,Qualification,GONZALEZ Daniel (PUR),AFANADOR Brian (PUR)
Singapore Smash 2023,2023-03-07,PARANANG Orawan,KALLBERG Christina,3,0,"11,12,11|4,10,5",QR1,GRAND_SLAM,WS,2629,Qualification,PARANANG Orawan (THA),KALLBERG Christina (SWE)
Singapore Smash 2023,2023-03-07,LEE Zion,HO Tin-Tin,3,1,"11,11,8,11|8,4,11,5",QR1,GRAND_SLAM,WS,2629,Qualification,LEE Zion (KOR),HO Tin-Tin (ENG)
Singapore Smash 2023,2023-03-07,HABESOHN Daniel,ALTO Gaston,3,0,"11,11,11|8,9,8",QR1,GRAND_SLAM,MS,2629,Qualification,HABESOHN Daniel (AUT),ALTO Gaston (ARG)
Singapore Smash 2023,2023-03-07,NUYTINCK Cedric,CHEN Chien-An,3,2,"11,4,8,12,11|7,11,11,10,5",QR1,GRAND_SLAM,MS,2629,Qualification,NUYTINCK Cedric (BEL),CHEN Chien-An (TPE)
Singapore Smash 2023,2023-03-07,CHIEN Tung-Chuan,COSSIO ACEVES Arantxa,3,1,"8,13,11,11|11,11,6,4",QR1,GRAND_SLAM,WS,2629,Qualification,CHIEN Tung-Chuan (TPE),COSSIO ACEVES Arantxa (MEX)
Singapore Smash 2023,2023-03-07,GIONIS Panagiotis,ZHMUDENKO Yaroslav,3,2,"11,9,11,7,11|6,11,7,11,7",QR1,GRAND_SLAM,MS,2629,Qualification,GIONIS Panagiotis (GRE),ZHMUDENKO Yaroslav (UKR)
Singapore Smash 2023,2023-03-07,JOO Cheonhui,LAI Chloe,3,0,"11,12,11|3,10,1",QR1,GRAND_SLAM,WS,2629,Qualification,JOO Cheonhui (KOR),LAI Chloe (SGP)
Singapore Smash 2023,2023-03-07,OIKAWA Mizuki,TAN Lucas,3,1,"14,11,11,11|16,3,8,4",QR1,GRAND_SLAM,MS,2629,Qualification,OIKAWA Mizuki (JPN),TAN Lucas (SGP)
Singapore Smash 2023,2023-03-07,CHITALE Diya Parag,HARTBRICH Leonie,3,0,"11,11,11|3,4,7",QR1,GRAND_SLAM,WS,2629,Qualification,CHITALE Diya Parag (IND),HARTBRICH Leonie (HUN)
Singapore Smash 2023,2023-03-07,BOULOUSSA Mehdi,LAM Siu Hang,3,2,"6,11,11,7,11|11,5,4,11,9",QR1,GRAND_SLAM,MS,2629,Qualification,BOULOUSSA Mehdi (ALG),LAM Siu Hang (HKG)
Singapore Smash 2023,2023-03-07,AKASHEVA Zauresh,TAN Zhao Yun,3,0,"11,11,11|9,5,7",QR1,GRAND_SLAM,WS,2629,Qualification,AKASHEVA Zauresh (KAZ),TAN Zhao Yun (SGP)
Singapore Smash 2023,2023-03-07,CHUA Josh Shao Han,IONESCU Eduard,3,2,"11,6,12,12,11|9,11,14,10,9",QR1,GRAND_SLAM,MS,2629,Qualification,CHUA Josh Shao Han (SGP),IONESCU Eduard (ROU)
Singapore Smash 2023,2023-03-07,LAY Jian Fang,KUKULKOVA Tatiana,3,1,"11,9,11,11|8,11,7,3",QR1,GRAND_SLAM,WS,2629,Qualification,LAY Jian Fang (AUS),KUKULKOVA Tatiana (SVK)
Singapore Smash 2023,2023-03-07,FENG Yi-Hsin,DESAI Harmeet,3,0,"11,13,11|6,11,3",QR1,GRAND_SLAM,MS,2629,Qualification,FENG Yi-Hsin (TPE),DESAI Harmeet (IND)
Singapore Smash 2023,2023-03-07,LIU Hsing-Yin,SER Lin Qian,3,0,"11,11,11|8,7,7",QR1,GRAND_SLAM,WS,2629,Qualification,LIU Hsing-Yin (TPE),SER Lin Qian (SGP)
