tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Amman 2023,2023-02-06,HO Kwan Kit,PAU Yik Man,3,0,"11,11,11|4,3,5",QR1,WTT_CONTENDER,MS,2697,Qualification,HO Kwan Kit (HKG),PAU Yik Man (HKG)
WTT Contender Amman 2023,2023-02-06,ISHIY Vitor,BOBOCICA Mihai,3,1,"8,11,11,11|11,7,8,7",QR1,WTT_CONTENDER,MS,2697,Qualification,ISHIY Vitor (BRA),BOBOCICA Mihai (ITA)
WTT Contender Amman 2023,2023-02-06,ROLLAND Jules,ALIM Azzam,3,2,"9,11,8,11,11|11,6,11,7,7",QR1,WTT_CONTENDER,MS,2697,Qualification,ROLLAND Jules (FRA),ALIM Azzam (KSA)
WTT Contender Amman 2023,2023-02-06,ALAMIYAN Noshad,KWAN Man Ho,3,0,"11,11,11|9,8,7",QR1,WTT_CONTENDER,MS,2697,Qualification,ALAMIYAN Noshad (IRI),KWAN Man Ho (HKG)
WTT Contender Amman 2023,2023-02-06,HABESOHN Daniel,CHOY Chun Kit,3,1,"11,6,11,11|7,11,9,6",QR1,WTT_CONTENDER,MS,2697,Qualification,HABESOHN Daniel (AUT),CHOY Chun Kit (HKG)
WTT Contender Amman 2023,2023-02-06,HAN Feier,LEE Hoi Man Karen,3,0,"12,11,13|10,8,11",QR1,WTT_CONTENDER,WS,2697,Qualification,HAN Feier (CHN),LEE Hoi Man Karen (HKG)
WTT Contender Amman 2023,2023-02-06,IMRE Leila,TODOROVIC Andrea,3,0,"11,11,11|9,5,6",QR1,WTT_CONTENDER,WS,2697,Qualification,IMRE Leila (HUN),TODOROVIC Andrea (SRB)
WTT Contender Amman 2023,2023-02-06,ABUYAMAN Sewar,EL-HASANI Rinad,3,0,"11,11,11|9,6,6",QR1,WTT_CONTENDER,WS,2697,Qualification,ABUYAMAN Sewar (JOR),EL-HASANI Rinad (JOR)
WTT Contender Amman 2023,2023-02-06,LAM Siu Hang,LIU Yebo,3,1,"11,9,11,11|7,11,9,9",QR1,WTT_CONTENDER,MS,2697,Qualification,LAM Siu Hang (HKG),LIU Yebo (CHN)
WTT Contender Amman 2023,2023-02-06,SHAH Manush Utpalbhai,ZENG Beixun,3,1,"11,13,11,11|13,11,8,7",QR1,WTT_CONTENDER,MS,2697,Qualification,SHAH Manush Utpalbhai (IND),ZENG Beixun (CHN)
WTT Contender Amman 2023,2023-02-06,MADRID Marcos,KHADER Khaled,3,0,"13,12,11|11,10,7",QR1,WTT_CONTENDER,MS,2697,Qualification,MADRID Marcos (MEX),KHADER Khaled (JOR)
WTT Contender Amman 2023,2023-02-06,ALSHARIF Mohammed,KASWAL Hamadeh,3,0,"11,11,11|4,2,7",QR1,WTT_CONTENDER,MS,2697,Qualification,ALSHARIF Mohammed (KSA),KASWAL Hamadeh (JOR)
WTT Contender Amman 2023,2023-02-06,DORR Esteban,DE NODREST Leo,3,2,"11,7,9,11,15|6,11,11,9,13",QR1,WTT_CONTENDER,MS,2697,Qualification,DORR Esteban (FRA),DE NODREST Leo (FRA)
WTT Contender Amman 2023,2023-02-06,ALKHADRAWI Ali,LEVENKO Andreas,3,2,"11,7,11,9,11|5,11,3,11,9",QR1,WTT_CONTENDER,MS,2697,Qualification,ALKHADRAWI Ali (KSA),LEVENKO Andreas (AUT)
WTT Contender Amman 2023,2023-02-06,YAN Sheng,DEVOS Laurens,3,1,"11,7,11,13|7,11,7,11",QR1,WTT_CONTENDER,MS,2697,Qualification,YAN Sheng (CHN),DEVOS Laurens (BEL)
WTT Contender Amman 2023,2023-02-06,AKKUZU Can,SALAMEH Mohammad,3,0,"11,11,11|3,7,4",QR1,WTT_CONTENDER,MS,2697,Qualification,AKKUZU Can (FRA),SALAMEH Mohammad (JOR)
WTT Contender Amman 2023,2023-02-06,WANG Tingyu,PISTEJ Lubomir,3,1,"6,11,14,11|11,8,12,3",QR1,WTT_CONTENDER,MS,2697,Qualification,WANG Tingyu (CHN),PISTEJ Lubomir (SVK)
WTT Contender Amman 2023,2023-02-06,YOSHIYAMA Ryoichi,SERDAROGLU David,3,1,"11,14,8,11|4,12,11,9",QR1,WTT_CONTENDER,MS,2697,Qualification,YOSHIYAMA Ryoichi (JPN),SERDAROGLU David (AUT)
WTT Contender Amman 2023,2023-02-06,MAJOROS Bence,SHULAYBI Abdulaziz BU,3,1,"11,6,14,12|6,11,12,10",QR1,WTT_CONTENDER,MS,2697,Qualification,MAJOROS Bence (HUN),SHULAYBI Abdulaziz BU (KSA)
WTT Contender Amman 2023,2023-02-06,ALDMAISY Raed,SHALTOUNI Kareem,3,1,"11,11,8,11|9,6,11,7",QR1,WTT_CONTENDER,MS,2697,Qualification,ALDMAISY Raed (JOR),SHALTOUNI Kareem (JOR)
WTT Contender Amman 2023,2023-02-06,MISCHEK Karoline,HARAC Ece,3,1,"11,9,11,11|7,11,8,7",QR1,WTT_CONTENDER,WS,2697,Qualification,MISCHEK Karoline (AUT),HARAC Ece (TUR)
WTT Contender Amman 2023,2023-02-06,VIVARELLI Debora,KHADER Batool,3,0,"11,11,11|8,3,2",QR1,WTT_CONTENDER,WS,2697,Qualification,VIVARELLI Debora (ITA),KHADER Batool (JOR)
WTT Contender Amman 2023,2023-02-06,TOFANT Ana,ABO-YAMAN Taimmaa,3,2,"9,11,9,11,11|11,3,11,8,7",QR1,WTT_CONTENDER,WS,2697,Qualification,TOFANT Ana (SLO),ABO-YAMAN Taimmaa (JOR)
WTT Contender Amman 2023,2023-02-06,NG Wing Lam,HARTBRICH Leonie,3,2,"11,6,11,5,11|9,11,9,11,3",QR1,WTT_CONTENDER,WS,2697,Qualification,NG Wing Lam (HKG),HARTBRICH Leonie (HUN)
WTT Contender Amman 2023,2023-02-06,SOLJA Amelie,FAN Shuhan,3,1,"11,11,10,11|7,9,12,4",QR1,WTT_CONTENDER,WS,2697,Qualification,SOLJA Amelie (AUT),FAN Shuhan (CHN)
WTT Contender Amman 2023,2023-02-06,LUTZ Camille,CHENG Hsien-Tzu,3,1,"9,11,11,11|11,8,7,5",QR1,WTT_CONTENDER,WS,2697,Qualification,LUTZ Camille (FRA),CHENG Hsien-Tzu (TPE)
WTT Contender Amman 2023,2023-02-06,HUANG Youzheng,REMBERT Bastien,3,0,"11,11,11|9,9,9",QR1,WTT_CONTENDER,MS,2697,Qualification,HUANG Youzheng (CHN),REMBERT Bastien (FRA)
WTT Contender Amman 2023,2023-02-06,LI Hsin-Yang,AHMADIAN Amin,3,1,"12,11,11,14|10,8,13,12",QR1,WTT_CONTENDER,MS,2697,Qualification,LI Hsin-Yang (TPE),AHMADIAN Amin (IRI)
WTT Contender Amman 2023,2023-02-06,WANG Chen Ce,ECSEKI Nandor,3,0,"11,11,11|5,6,7",QR1,WTT_CONTENDER,MS,2697,Qualification,WANG Chen Ce (CHN),ECSEKI Nandor (HUN)
WTT Contender Amman 2023,2023-02-06,LI Hon Ming,AL-NAJADAT Taqi Al-Din,3,0,"11,11,11|3,4,4",QR1,WTT_CONTENDER,MS,2697,Qualification,LI Hon Ming (HKG),AL-NAJADAT Taqi Al-Din (JOR)
WTT Contender Amman 2023,2023-02-06,THAKKAR Manav Vikash,CAO Wei,3,1,"11,9,11,11|4,11,8,9",QR1,WTT_CONTENDER,MS,2697,Qualification,THAKKAR Manav Vikash (IND),CAO Wei (CHN)
WTT Contender Amman 2023,2023-02-06,NIU Guankai,SAI Linwei,3,1,"15,11,7,11|13,8,11,8",QR1,WTT_CONTENDER,MS,2697,Qualification,NIU Guankai (CHN),SAI Linwei (CHN)
WTT Contender Amman 2023,2023-02-06,KOJIC Frane,HODAEI Amir Hossein,3,2,"7,9,11,12,11|11,11,7,10,8",QR1,WTT_CONTENDER,MS,2697,Qualification,KOJIC Frane (CRO),HODAEI Amir Hossein (IRI)
WTT Contender Amman 2023,2023-02-06,XU Yingbin,MUTTI Leonardo,3,0,"11,11,11|4,7,8",QR1,WTT_CONTENDER,MS,2697,Qualification,XU Yingbin (CHN),MUTTI Leonardo (ITA)
WTT Contender Amman 2023,2023-02-06,SHETTY Sanil,CHEN Yuanyu,3,2,"11,8,11,6,11|9,11,9,11,4",QR1,WTT_CONTENDER,MS,2697,Qualification,SHETTY Sanil (IND),CHEN Yuanyu (CHN)
WTT Contender Amman 2023,2023-02-06,MENG Fanbo,ALHOURANI Hasan,3,0,"11,11,11|3,4,4",QR1,WTT_CONTENDER,MS,2697,Qualification,MENG Fanbo (GER),ALHOURANI Hasan (JOR)
WTT Contender Amman 2023,2023-02-06,XU Haidong,KOLODZIEJCZYK Maciej,3,0,"11,11,11|8,6,8",QR1,WTT_CONTENDER,MS,2697,Qualification,XU Haidong (CHN),KOLODZIEJCZYK Maciej (AUT)
WTT Contender Amman 2023,2023-02-06,KAO Cheng-Jui,CIFUENTES Horacio,3,2,"11,10,6,12,11|8,12,11,10,9",QR1,WTT_CONTENDER,MS,2697,Qualification,KAO Cheng-Jui (TPE),CIFUENTES Horacio (ARG)
WTT Contender Amman 2023,2023-02-06,DESAI Harmeet,ALAMIAN Nima,3,2,"12,3,11,7,11|10,11,9,11,6",QR1,WTT_CONTENDER,MS,2697,Qualification,DESAI Harmeet (IND),ALAMIAN Nima (IRI)
WTT Contender Amman 2023,2023-02-06,JAIN Payas,ALDMAISY Zeyad,3,0,"11,11,12|9,8,10",QR1,WTT_CONTENDER,MS,2697,Qualification,JAIN Payas (IND),ALDMAISY Zeyad (JOR)
WTT Contender Amman 2023,2023-02-06,LIANG Guodong,LEE Chia-Sheng,3,0,"11,11,11|4,5,3",QR1,WTT_CONTENDER,MS,2697,Qualification,LIANG Guodong (CHN),LEE Chia-Sheng (TPE)
WTT Contender Amman 2023,2023-02-06,CHASSELIN Pauline,HUANG Yu-Jie,3,2,"9,12,11,11,11|11,10,8,13,9",QR1,WTT_CONTENDER,WS,2697,Qualification,CHASSELIN Pauline (FRA),HUANG Yu-Jie (TPE)
WTT Contender Amman 2023,2023-02-06,MONFARDINI Gaia,YILMAZ Ozge,3,1,"9,11,11,11|11,8,5,4",QR1,WTT_CONTENDER,WS,2697,Qualification,MONFARDINI Gaia (ITA),YILMAZ Ozge (TUR)
WTT Contender Amman 2023,2023-02-06,HO Tin-Tin,HANFFOU Sarah,3,1,"6,11,11,11|11,8,9,1",QR1,WTT_CONTENDER,WS,2697,Qualification,HO Tin-Tin (ENG),HANFFOU Sarah (CMR)
WTT Contender Amman 2023,2023-02-06,ZONG Geman,BERGAND Filippa,3,1,"11,11,6,11|6,6,11,6",QR1,WTT_CONTENDER,WS,2697,Qualification,ZONG Geman (CHN),BERGAND Filippa (SWE)
WTT Contender Amman 2023,2023-02-06,MADURANGI Ishara,SADAQA Zeina,3,1,"11,10,13,11|8,12,11,7",QR1,WTT_CONTENDER,WS,2697,Qualification,MADURANGI Ishara (SRI),SADAQA Zeina (JOR)
WTT Contender Amman 2023,2023-02-06,DARI Helga,ZHANG Xiangyu,3,0,"11,11,14|8,7,12",QR1,WTT_CONTENDER,WS,2697,Qualification,DARI Helga (HUN),ZHANG Xiangyu (CHN)
WTT Contender Amman 2023,2023-02-06,QIN Yuxuan,ALHAJ HASHEM Mira,3,0,"11,11,11|4,5,4",QR1,WTT_CONTENDER,WS,2697,Qualification,QIN Yuxuan (CHN),ALHAJ HASHEM Mira (JOR)
WTT Contender Amman 2023,2023-02-07,QIN Yuxuan/HAN Feier,MONFARDINI Gaia/TOFANT Ana,3,0,"11,11,11|6,6,4",QR1,WTT_CONTENDER,WD,2697,Qualification,QIN Yuxuan/HAN Feier (CHN),MONFARDINI Gaia/TOFANT Ana (ITA/SLO)
WTT Contender Amman 2023,2023-02-07,MAJOROS Bence,ALKHADRAWI Ali,3,2,"11,14,9,7,11|9,12,11,11,4",QR2,WTT_CONTENDER,MS,2697,Qualification,MAJOROS Bence (HUN),ALKHADRAWI Ali (KSA)
WTT Contender Amman 2023,2023-02-07,YOSHIYAMA Ryoichi,WANG Tingyu,3,1,"11,9,11,11|8,11,4,7",QR2,WTT_CONTENDER,MS,2697,Qualification,YOSHIYAMA Ryoichi (JPN),WANG Tingyu (CHN)
WTT Contender Amman 2023,2023-02-07,LIANG Guodong,ISHIY Vitor,3,1,"5,11,11,11|11,8,7,2",QR2,WTT_CONTENDER,MS,2697,Qualification,LIANG Guodong (CHN),ISHIY Vitor (BRA)
WTT Contender Amman 2023,2023-02-07,NG Wing Lam,LOEUILLETTE Stephanie,3,0,"11,11,15|9,4,13",QR2,WTT_CONTENDER,WS,2697,Qualification,NG Wing Lam (HKG),LOEUILLETTE Stephanie (FRA)
WTT Contender Amman 2023,2023-02-07,MISCHEK Karoline,SOLJA Amelie,3,1,"12,6,12,11|10,11,10,8",QR2,WTT_CONTENDER,WS,2697,Qualification,MISCHEK Karoline (AUT),SOLJA Amelie (AUT)
WTT Contender Amman 2023,2023-02-07,LIU Hsing-Yin,ABUYAMAN Sewar,3,0,"11,11,11|7,3,5",QR2,WTT_CONTENDER,WS,2697,Qualification,LIU Hsing-Yin (TPE),ABUYAMAN Sewar (JOR)
WTT Contender Amman 2023,2023-02-07,KUAI Man/ZONG Geman,NG Wing Lam/LEE Hoi Man Karen,3,0,"11,11,11|7,8,9",QR1,WTT_CONTENDER,WD,2697,Qualification,KUAI Man/ZONG Geman (CHN),NG Wing Lam/LEE Hoi Man Karen (HKG)
WTT Contender Amman 2023,2023-02-07,MADRID Marcos,ALDMAISY Raed,3,0,"11,11,11|5,8,2",QR2,WTT_CONTENDER,MS,2697,Qualification,MADRID Marcos (MEX),ALDMAISY Raed (JOR)
WTT Contender Amman 2023,2023-02-07,ROLLAND Jules,DESAI Harmeet,3,2,"11,9,4,11,11|6,11,11,6,6",QR2,WTT_CONTENDER,MS,2697,Qualification,ROLLAND Jules (FRA),DESAI Harmeet (IND)
WTT Contender Amman 2023,2023-02-07,LUTZ Camille,KUKULKOVA Tatiana,3,1,"11,11,10,11|8,9,12,7",QR2,WTT_CONTENDER,WS,2697,Qualification,LUTZ Camille (FRA),KUKULKOVA Tatiana (SVK)
WTT Contender Amman 2023,2023-02-07,XIAO Maria,TOFANT Ana,3,0,"11,11,11|7,7,6",QR2,WTT_CONTENDER,WS,2697,Qualification,XIAO Maria (ESP),TOFANT Ana (SLO)
WTT Contender Amman 2023,2023-02-07,HAN Feier,MORET Rachel,3,1,"11,9,11,11|3,11,9,2",QR2,WTT_CONTENDER,WS,2697,Qualification,HAN Feier (CHN),MORET Rachel (SUI)
WTT Contender Amman 2023,2023-02-07,YAN Sheng,LAM Siu Hang,3,2,"3,11,13,6,11|11,9,11,11,9",QR2,WTT_CONTENDER,MS,2697,Qualification,YAN Sheng (CHN),LAM Siu Hang (HKG)
WTT Contender Amman 2023,2023-02-07,TENNISON Reeth,IMRE Leila,3,0,"11,11,11|7,6,7",QR2,WTT_CONTENDER,WS,2697,Qualification,TENNISON Reeth (IND),IMRE Leila (HUN)
WTT Contender Amman 2023,2023-02-07,SHAH Manush Utpalbhai,ALSHARIF Mohammed,3,0,"11,11,11|7,5,6",QR2,WTT_CONTENDER,MS,2697,Qualification,SHAH Manush Utpalbhai (IND),ALSHARIF Mohammed (KSA)
WTT Contender Amman 2023,2023-02-07,HABESOHN Daniel,JAIN Payas,3,0,"12,11,11|10,8,9",QR2,WTT_CONTENDER,MS,2697,Qualification,HABESOHN Daniel (AUT),JAIN Payas (IND)
WTT Contender Amman 2023,2023-02-07,HARTBRICH Leonie/DARI Helga,HO Tin-Tin/CAREY Charlotte,3,1,"11,6,11,11|5,11,9,7",QR1,WTT_CONTENDER,WD,2697,Qualification,HARTBRICH Leonie/DARI Helga (HUN),HO Tin-Tin/CAREY Charlotte (ENG/WAL)
WTT Contender Amman 2023,2023-02-07,AKULA Sreeja,VIVARELLI Debora,3,0,"14,11,11|12,8,8",QR2,WTT_CONTENDER,WS,2697,Qualification,AKULA Sreeja (IND),VIVARELLI Debora (ITA)
WTT Contender Amman 2023,2023-02-07,HUANG Youzheng,ALAMIYAN Noshad,3,2,"11,6,14,11,11|5,11,16,8,3",QR2,WTT_CONTENDER,MS,2697,Qualification,HUANG Youzheng (CHN),ALAMIYAN Noshad (IRI)
WTT Contender Amman 2023,2023-02-07,ZHANG Xiangyu/FAN Shuhan,HARAC Ece/YILMAZ Ozge,3,0,"11,11,11|5,4,3",QR1,WTT_CONTENDER,WD,2697,Qualification,ZHANG Xiangyu/FAN Shuhan (CHN),HARAC Ece/YILMAZ Ozge (TUR)
WTT Contender Amman 2023,2023-02-07,MADARASZ Dora/IMRE Leila,ALHAJ HASHEM Mira/EL-HASANI Rinad,3,0,"11,11,11|2,6,6",QR1,WTT_CONTENDER,WD,2697,Qualification,MADARASZ Dora/IMRE Leila (HUN),ALHAJ HASHEM Mira/EL-HASANI Rinad (JOR)
WTT Contender Amman 2023,2023-02-07,THAKKAR Manav Vikash,LI Hsin-Yang,3,2,"11,12,8,11,11|6,14,11,9,4",QR2,WTT_CONTENDER,MS,2697,Qualification,THAKKAR Manav Vikash (IND),LI Hsin-Yang (TPE)
WTT Contender Amman 2023,2023-02-07,HO Kwan Kit,WANG Chen Ce,3,2,"11,7,11,11,11|9,11,6,13,8",QR2,WTT_CONTENDER,MS,2697,Qualification,HO Kwan Kit (HKG),WANG Chen Ce (CHN)
WTT Contender Amman 2023,2023-02-07,DORR Esteban,AKKUZU Can,3,1,"11,11,6,11|4,5,11,7",QR2,WTT_CONTENDER,MS,2697,Qualification,DORR Esteban (FRA),AKKUZU Can (FRA)
WTT Contender Amman 2023,2023-02-07,XU Haidong,MENG Fanbo,3,1,"11,8,11,11|4,11,8,6",QR2,WTT_CONTENDER,MS,2697,Qualification,XU Haidong (CHN),MENG Fanbo (GER)
WTT Contender Amman 2023,2023-02-07,XU Yingbin,NIU Guankai,3,0,"11,11,11|7,6,9",QR2,WTT_CONTENDER,MS,2697,Qualification,XU Yingbin (CHN),NIU Guankai (CHN)
WTT Contender Amman 2023,2023-02-07,KOJIC Frane,SHETTY Sanil,3,0,"11,11,11|6,5,5",QR2,WTT_CONTENDER,MS,2697,Qualification,KOJIC Frane (CRO),SHETTY Sanil (IND)
WTT Contender Amman 2023,2023-02-07,KAO Cheng-Jui,LI Hon Ming,3,0,"11,11,11|5,6,6",QR2,WTT_CONTENDER,MS,2697,Qualification,KAO Cheng-Jui (TPE),LI Hon Ming (HKG)
WTT Contender Amman 2023,2023-02-07,CAREY Charlotte,ALTINKAYA Sibel,3,1,"12,9,12,11|10,11,10,6",QR2,WTT_CONTENDER,WS,2697,Qualification,CAREY Charlotte (WAL),ALTINKAYA Sibel (TUR)
WTT Contender Amman 2023,2023-02-07,CHASSELIN Pauline,LI Yu-Jhun,3,1,"5,11,12,11|11,5,10,6",QR2,WTT_CONTENDER,WS,2697,Qualification,CHASSELIN Pauline (FRA),LI Yu-Jhun (TPE)
WTT Contender Amman 2023,2023-02-07,ZHU Chengzhu,HO Tin-Tin,3,1,"11,11,9,12|8,7,11,10",QR2,WTT_CONTENDER,WS,2697,Qualification,ZHU Chengzhu (HKG),HO Tin-Tin (ENG)
WTT Contender Amman 2023,2023-02-07,DIACONU Adina,MONFARDINI Gaia,3,0,"11,11,11|8,4,7",QR2,WTT_CONTENDER,WS,2697,Qualification,DIACONU Adina (ROU),MONFARDINI Gaia (ITA)
WTT Contender Amman 2023,2023-02-07,ZONG Geman,DE NUTTE Sarah,3,2,"9,6,11,11,11|11,11,9,1,9",QR2,WTT_CONTENDER,WS,2697,Qualification,ZONG Geman (CHN),DE NUTTE Sarah (LUX)
WTT Contender Amman 2023,2023-02-07,QIN Yuxuan,CHITALE Diya Parag,3,1,"11,6,11,11|9,11,8,7",QR2,WTT_CONTENDER,WS,2697,Qualification,QIN Yuxuan (CHN),CHITALE Diya Parag (IND)
WTT Contender Amman 2023,2023-02-07,MADARASZ Dora,MADURANGI Ishara,3,0,"11,11,12|4,9,10",QR2,WTT_CONTENDER,WS,2697,Qualification,MADARASZ Dora (HUN),MADURANGI Ishara (SRI)
WTT Contender Amman 2023,2023-02-07,WAN Yuan,DARI Helga,3,0,"11,11,11|5,5,1",QR2,WTT_CONTENDER,WS,2697,Qualification,WAN Yuan (GER),DARI Helga (HUN)
WTT Contender Amman 2023,2023-02-08,ZHANG Xiangyu/FAN Shuhan,KUKULKOVA Tatiana/TENNISON Reeth,3,0,"11,12,11|5,10,8",QR2,WTT_CONTENDER,WD,2697,Qualification,ZHANG Xiangyu/FAN Shuhan (CHN),KUKULKOVA Tatiana/TENNISON Reeth (SVK/IND)
WTT Contender Amman 2023,2023-02-08,MADRID Marcos,DORR Esteban,3,1,"11,9,11,11|7,11,8,8",QR3,WTT_CONTENDER,MS,2697,Qualification,MADRID Marcos (MEX),DORR Esteban (FRA)
WTT Contender Amman 2023,2023-02-08,HAN Feier,LIU Hsing-Yin,3,0,"11,11,11|4,3,4",QR3,WTT_CONTENDER,WS,2697,Qualification,HAN Feier (CHN),LIU Hsing-Yin (TPE)
WTT Contender Amman 2023,2023-02-08,ZONG Geman,WAN Yuan,3,1,"12,5,11,11|10,11,7,4",QR3,WTT_CONTENDER,WS,2697,Qualification,ZONG Geman (CHN),WAN Yuan (GER)
WTT Contender Amman 2023,2023-02-08,KAO Cheng-Jui,YOSHIYAMA Ryoichi,3,2,"12,9,9,12,11|10,11,11,10,3",QR3,WTT_CONTENDER,MS,2697,Qualification,KAO Cheng-Jui (TPE),YOSHIYAMA Ryoichi (JPN)
WTT Contender Amman 2023,2023-02-08,AKULA Sreeja,NG Wing Lam,3,2,"6,11,7,11,11|11,7,11,3,5",QR3,WTT_CONTENDER,WS,2697,Qualification,AKULA Sreeja (IND),NG Wing Lam (HKG)
WTT Contender Amman 2023,2023-02-08,ROLLAND Jules,HABESOHN Daniel,3,2,"11,11,9,4,11|6,5,11,11,8",QR3,WTT_CONTENDER,MS,2697,Qualification,ROLLAND Jules (FRA),HABESOHN Daniel (AUT)
WTT Contender Amman 2023,2023-02-08,QIN Yuxuan/HAN Feier,AKULA Sreeja/CHITALE Diya Parag,3,1,"8,15,11,11|11,13,9,7",QR2,WTT_CONTENDER,WD,2697,Qualification,QIN Yuxuan/HAN Feier (CHN),AKULA Sreeja/CHITALE Diya Parag (IND)
WTT Contender Amman 2023,2023-02-08,KUAI Man/ZONG Geman,MADARASZ Dora/IMRE Leila,3,1,"11,8,11,11|5,11,5,9",QR2,WTT_CONTENDER,WD,2697,Qualification,KUAI Man/ZONG Geman (CHN),MADARASZ Dora/IMRE Leila (HUN)
WTT Contender Amman 2023,2023-02-08,HARTBRICH Leonie/DARI Helga,ALTINKAYA Sibel/SOLJA Amelie,3,0,"11,11,13|9,7,11",QR2,WTT_CONTENDER,WD,2697,Qualification,HARTBRICH Leonie/DARI Helga (HUN),ALTINKAYA Sibel/SOLJA Amelie (TUR/AUT)
