tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Contender Antalya 2023,2023-10-16,ZELJKO Filip,JANCARIK Lubomir,3,2,"12,7,11,4,11|10,11,5,11,9",QR2,WTT_CONTENDER,MS,2742,Qualification,ZELJKO Filip (CRO),JANCARIK Lubomir (CZE),ZELJKO Filip
WTT Contender Antalya 2023,2023-10-16,BARDET Lilian,HAUG Borgar,3,2,"11,8,12,4,11|4,11,10,11,9",QR2,WTT_CONTENDER,MS,2742,Qualification,BARDET Lilian (FRA),HAUG Borgar (NOR),BARDET Lilian
WTT Contender Antalya 2023,2023-10-16,MADRID Marcos,PICARD Vincent,3,2,"7,14,4,11,11|11,12,11,9,5",QR2,WTT_CONTENDER,MS,2742,Qualification,MADRID Marcos (MEX),PICARD Vincent (FRA),MADRID Marcos
WTT Contender Antalya 2023,2023-10-16,TEODORO Guilherme,CIFUENTES Horacio,3,1,"11,11,7,11|8,9,11,6",QR2,WTT_CONTENDER,MS,2742,Qualification,TEODORO Guilherme (BRA),CIFUENTES Horacio (ARG),TEODORO Guilherme
WTT Contender Antalya 2023,2023-10-16,ROLLAND Jules,GUNDUZ Ibrahim,3,0,"11,11,11|6,8,7",QR2,WTT_CONTENDER,MS,2742,Qualification,ROLLAND Jules (FRA),GUNDUZ Ibrahim (TUR),ROLLAND Jules
WTT Contender Antalya 2023,2023-10-16,GNANASEKARAN Sathiyan,ECSEKI Nandor,3,2,"11,8,11,8,11|7,11,6,11,6",QR2,WTT_CONTENDER,MS,2742,Qualification,GNANASEKARAN Sathiyan (IND),ECSEKI Nandor (HUN),GNANASEKARAN Sathiyan
WTT Contender Antalya 2023,2023-10-16,SAWETTABUT Jinnipa,HARAC Ece,3,2,"13,9,12,6,14|11,11,10,11,12",QR1,WTT_CONTENDER,WS,2742,Qualification,SAWETTABUT Jinnipa (THA),HARAC Ece (TUR),SAWETTABUT Jinnipa
WTT Contender Antalya 2023,2023-10-16,QUEK Izaac,YIGENLER Abdullah,3,1,"11,12,11,11|4,14,6,4",QR2,WTT_CONTENDER,MS,2742,Qualification,QUEK Izaac (SGP),YIGENLER Abdullah (TUR),QUEK Izaac
WTT Contender Antalya 2023,2023-10-16,MAJOROS Bence,WETZEL Felix,3,0,"13,11,12|11,9,10",QR2,WTT_CONTENDER,MS,2742,Qualification,MAJOROS Bence (HUN),WETZEL Felix (MLT),MAJOROS Bence
WTT Contender Antalya 2023,2023-10-16,MORET Rachel,HANFFOU Sarah,3,1,"11,11,7,11|8,5,11,7",QR1,WTT_CONTENDER,WS,2742,Qualification,MORET Rachel (SUI),HANFFOU Sarah (CMR),MORET Rachel
