tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Lima 2023,2023-07-31,HAUG Borgar/OH Junsung,OLAVE Alfonso/MARTINEZ Andres,3,0,"18,11,13|16,6,11",QR1,WTT_CONTENDER,MD,2721,Qualification,HAUG Borgar/OH Junsung (NOR/KOR),OLAVE Alfonso/MARTINEZ Andres (CHI)
WTT Contender Lima 2023,2023-07-31,GOMBOS Ludovic/PEREZ Juan,LAU CIGUENAS Pablo/VILLAR SOLANO Julio Andre,3,0,"11,12,11|8,10,8",QR1,WTT_CONTENDER,MD,2721,Qualification,GOMBOS Ludovic/PEREZ Juan (USA/ESP),LAU CIGUENAS Pablo/VILLAR SOLANO Julio Andre (PER)
WTT Contender Lima 2023,2023-07-31,LIANG Jishan/MA Jinbao,ROSSI Carlo/OYEBODE John,3,2,"11,11,5,3,11|4,5,11,11,6",QR1,WTT_CONTENDER,MD,2721,Qualification,LIANG Jishan/MA Jinbao (USA),ROSSI Carlo/OYEBODE John (ITA)
WTT Contender Lima 2023,2023-07-31,CHEN Ying-Chen/CHENG Hsien-Tzu,HARTBRICH Leonie/DARI Helga,3,0,"11,11,11|5,2,9",QR1,WTT_CONTENDER,WD,2721,Qualification,CHEN Ying-Chen/CHENG Hsien-Tzu (TPE),HARTBRICH Leonie/DARI Helga (HUN)
WTT Contender Lima 2023,2023-07-31,ALTO Gaston,BURGOS Nicolas,3,0,"14,11,11|12,9,4",QR1,WTT_CONTENDER,MS,2721,Qualification,ALTO Gaston (ARG),BURGOS Nicolas (CHI)
WTT Contender Lima 2023,2023-07-31,MATSUSHIMA Sora,HIDALGO Rodrigo,3,1,"11,11,7,11|9,5,11,9",QR1,WTT_CONTENDER,MS,2721,Qualification,MATSUSHIMA Sora (JPN),HIDALGO Rodrigo (PER)
WTT Contender Lima 2023,2023-07-31,PEREZ Juan,OLAVE Alfonso,3,2,"6,11,5,11,11|11,6,11,9,9",QR1,WTT_CONTENDER,MS,2721,Qualification,PEREZ Juan (ESP),OLAVE Alfonso (CHI)
WTT Contender Lima 2023,2023-07-31,DUFFOO Felipe,VILLAR SOLANO Julio Andre,3,0,"13,11,11|11,6,4",QR1,WTT_CONTENDER,MS,2721,Qualification,DUFFOO Felipe (PER),VILLAR SOLANO Julio Andre (PER)
WTT Contender Lima 2023,2023-07-31,KARLSSON Kristian/KALLBERG Christina,LEBRUN Alexis/PAVADE Prithika,3,1,"11,11,12,11|13,6,10,7",QR1,WTT_CONTENDER,XD,2721,Qualification,KARLSSON Kristian/KALLBERG Christina (SWE),LEBRUN Alexis/PAVADE Prithika (FRA)
WTT Contender Lima 2023,2023-07-31,ROSSI Carlo/VIVARELLI Debora,AN Jaehyun/CHOI Hyojoo,3,0,"11,11,11|0,0,0",QR1,WTT_CONTENDER,XD,2721,Qualification,ROSSI Carlo/VIVARELLI Debora (ITA),AN Jaehyun/CHOI Hyojoo (KOR)
