tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Contender Zagreb 2023,2023-06-26,LAM Siu Hang,KOLODZIEJCZYK Maciej,3,1,"11,8,11,12|3,11,6,10",QR2,WTT_CONTENDER,MS,2692,Qualification,LAM Siu Hang (HKG),KOLODZIEJCZYK Maciej (AUT),LAM Siu Hang
WTT Contender Zagreb 2023,2023-06-26,KANG Dongsoo,LEI Balazs,3,1,"16,11,12,11|18,5,10,6",QR2,WTT_CONTENDER,MS,2692,Qualification,KANG Dongsoo (KOR),LEI Balazs (HUN),KANG Dongsoo
WTT Contender Zagreb 2023,2023-06-26,THAKKAR Manav Vikash,PICCOLIN Jordy,3,0,"11,11,11|9,9,5",QR2,WTT_CONTENDER,MS,2692,Qualification,THAKKAR Manav Vikash (IND),PICCOLIN Jordy (ITA),THAKKAR Manav Vikash
WTT Contender Zagreb 2023,2023-06-26,ROLLAND Jules,OSIRO Pedro,3,0,"11,11,11|7,7,7",QR2,WTT_CONTENDER,MS,2692,Qualification,ROLLAND Jules (FRA),OSIRO Pedro (SUI),ROLLAND Jules
WTT Contender Zagreb 2023,2023-06-26,OH Junsung,BADOWSKI Marek,3,1,"11,11,7,11|7,8,11,1",QR2,WTT_CONTENDER,MS,2692,Qualification,OH Junsung (KOR),BADOWSKI Marek (POL),OH Junsung
WTT Contender Zagreb 2023,2023-06-26,YOSHIYAMA Ryoichi,REMBERT Bastien,3,1,"5,11,11,11|11,8,5,7",QR2,WTT_CONTENDER,MS,2692,Qualification,YOSHIYAMA Ryoichi (JPN),REMBERT Bastien (FRA),YOSHIYAMA Ryoichi
WTT Contender Zagreb 2023,2023-06-26,SHAH Manush Utpalbhai,WETZEL Felix,3,1,"11,11,7,11|6,5,11,4",QR2,WTT_CONTENDER,MS,2692,Qualification,SHAH Manush Utpalbhai (IND),WETZEL Felix (MLT),SHAH Manush Utpalbhai
WTT Contender Zagreb 2023,2023-06-26,LIU Dingshuo,LI Hon Ming,3,0,"11,11,11|3,4,6",QR2,WTT_CONTENDER,MS,2692,Qualification,LIU Dingshuo (CHN),LI Hon Ming (HKG),LIU Dingshuo
WTT Contender Zagreb 2023,2023-06-26,HODAEI Amir Hossein,CHUA Josh Shao Han,3,1,"13,11,11,11|15,9,7,5",QR2,WTT_CONTENDER,MS,2692,Qualification,HODAEI Amir Hossein (IRI),CHUA Josh Shao Han (SGP),HODAEI Amir Hossein
WTT Contender Zagreb 2023,2023-06-26,LAKATOS Tamas,PANG Yew En Koen,3,1,"9,11,12,11|11,3,10,6",QR2,WTT_CONTENDER,MS,2692,Qualification,LAKATOS Tamas (HUN),PANG Yew En Koen (SGP),LAKATOS Tamas
