tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Feeder Doha II 2023,2023-10-17,ALLEGRO Martin,WEN Ruibo,3,2,"11,6,5,11,11|9,11,11,9,9",R32,WTT_FEEDER,MS,2734,Main Draw,ALLEGRO Martin (BEL),WEN Ruibo (CHN),ALLEGRO Martin
WTT Feeder Doha II 2023,2023-10-17,GERASSIMENKO Kirill,ABDALLA Yousif,3,0,"11,11,11|5,9,4",R32,WTT_FEEDER,MS,2734,Main Draw,GERASSIMENKO Kirill (KAZ),ABDALLA Yousif (QAT),GERASSIMENKO Kirill
WTT Feeder Doha II 2023,2023-10-17,MONTEIRO Joao,GUBRAN Ebrahim,3,0,"11,11,11|3,1,2",R32,WTT_FEEDER,MS,2734,Main Draw,MONTEIRO Joao (POR),GUBRAN Ebrahim (YEM),MONTEIRO Joao
WTT Feeder Doha II 2023,2023-10-17,WANG Yang,KHARKI Iskender,3,0,"11,11,11|2,7,6",R32,WTT_FEEDER,MS,2734,Main Draw,WANG Yang (SVK),KHARKI Iskender (KAZ),WANG Yang
WTT Feeder Doha II 2023,2023-10-17,THAKKAR Manav Vikash,SHAH Manush Utpalbhai,3,2,"6,11,11,10,11|11,6,8,12,8",R32,WTT_FEEDER,MS,2734,Main Draw,THAKKAR Manav Vikash (IND),SHAH Manush Utpalbhai (IND),THAKKAR Manav Vikash
WTT Feeder Doha II 2023,2023-10-17,DYJAS Jakub,KURMANGALIYEV Alan,3,0,"11,11,11|5,4,2",R32,WTT_FEEDER,MS,2734,Main Draw,DYJAS Jakub (POL),KURMANGALIYEV Alan (KAZ),DYJAS Jakub
WTT Feeder Doha II 2023,2023-10-17,GROTH Jonathan,LI Hechen,3,0,"11,11,11|9,7,7",R32,WTT_FEEDER,MS,2734,Main Draw,GROTH Jonathan (DEN),LI Hechen (CHN),GROTH Jonathan
WTT Feeder Doha II 2023,2023-10-17,LEE Seungsoo,HABESOHN Daniel,3,2,"2,8,13,12,11|11,11,11,10,3",R32,WTT_FEEDER,MS,2734,Main Draw,LEE Seungsoo (KOR),HABESOHN Daniel (AUT),LEE Seungsoo
WTT Feeder Doha II 2023,2023-10-17,LEVENKO Andreas,COTON Flavien,3,0,"11,11,11|6,7,7",R32,WTT_FEEDER,MS,2734,Main Draw,LEVENKO Andreas (AUT),COTON Flavien (FRA),LEVENKO Andreas
WTT Feeder Doha II 2023,2023-10-17,ISTRATE Andrei,KUBIK Maciej,3,2,"13,5,11,12,12|11,11,7,14,10",R32,WTT_FEEDER,MS,2734,Main Draw,ISTRATE Andrei (ROU),KUBIK Maciej (POL),ISTRATE Andrei
WTT Feeder Doha II 2023,2023-10-17,LAM Siu Hang,CHEW Zhe Yu Clarence,3,0,"11,11,11|6,7,2",R32,WTT_FEEDER,MS,2734,Main Draw,LAM Siu Hang (HKG),CHEW Zhe Yu Clarence (SGP),LAM Siu Hang
WTT Feeder Doha II 2023,2023-10-17,YOSHIYAMA Ryoichi,NUYTINCK Cedric,3,1,"11,10,11,11|7,12,2,5",R32,WTT_FEEDER,MS,2734,Main Draw,YOSHIYAMA Ryoichi (JPN),NUYTINCK Cedric (BEL),YOSHIYAMA Ryoichi
WTT Feeder Doha II 2023,2023-10-17,PANG Yew En Koen,KENZHIGULOV Aidos,3,1,"14,11,11,11|16,4,5,3",R32,WTT_FEEDER,MS,2734,Main Draw,PANG Yew En Koen (SGP),KENZHIGULOV Aidos (KAZ),PANG Yew En Koen
WTT Feeder Doha II 2023,2023-10-17,CHEN Chien-An,LIND Anders,3,1,"12,11,8,11|10,4,11,7",R32,WTT_FEEDER,MS,2734,Main Draw,CHEN Chien-An (TPE),LIND Anders (DEN),CHEN Chien-An
WTT Feeder Doha II 2023,2023-10-17,ACHANTA Sharath Kamal,CHAN Baldwin,3,0,"11,12,11|9,10,1",R32,WTT_FEEDER,MS,2734,Main Draw,ACHANTA Sharath Kamal (IND),CHAN Baldwin (HKG),ACHANTA Sharath Kamal
WTT Feeder Doha II 2023,2023-10-17,HUANG Yan-Cheng,ZHUBANOV Sanzhar,3,0,"11,11,11|4,3,5",R32,WTT_FEEDER,MS,2734,Main Draw,HUANG Yan-Cheng (TPE),ZHUBANOV Sanzhar (KAZ),HUANG Yan-Cheng
WTT Feeder Doha II 2023,2023-10-17,HURSEY Anna,LIU Hsing-Yin,3,2,"12,12,7,11,11|10,14,11,8,7",R32,WTT_FEEDER,WS,2734,Main Draw,HURSEY Anna (WAL),LIU Hsing-Yin (TPE),HURSEY Anna
