tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Düsseldorf II 2023,2023-02-21,ARGUELLES Camila/TOFANT Ana,SCHOLZ Vivien/SOLJA Amelie,3,1,"8,13,11,11|11,11,7,7",QR1,WTT_FEEDER,WD,2703,Qualification,ARGUELLES Camila/TOFANT Ana (ARG/SLO),SCHOLZ Vivien/SOLJA Amelie (LUX/AUT)
WTT Feeder Düsseldorf II 2023,2023-02-21,KUMAHARA Luca/TAKAHASHI Giulia,ARAPOVIC Hana/LUPULESKU Izabela,3,2,"11,11,5,7,11|8,8,11,11,9",QR1,WTT_FEEDER,WD,2703,Qualification,KUMAHARA Luca/TAKAHASHI Giulia (BRA),ARAPOVIC Hana/LUPULESKU Izabela (CRO/SRB)
WTT Feeder Düsseldorf II 2023,2023-02-21,PARK Ganghyeon,KULCZYCKI Samuel,3,0,"11,11,11|8,7,4",QR3,WTT_FEEDER,MS,2703,Qualification,PARK Ganghyeon (KOR),KULCZYCKI Samuel (POL)
WTT Feeder Düsseldorf II 2023,2023-02-21,NIU Guankai,WANG Chen Ce,3,1,"11,9,12,11|5,11,10,3",QR3,WTT_FEEDER,MS,2703,Qualification,NIU Guankai (CHN),WANG Chen Ce (CHN)
WTT Feeder Düsseldorf II 2023,2023-02-21,MARTINKO Jiri,PICARD Vincent,3,0,"11,11,11|5,8,2",QR3,WTT_FEEDER,MS,2703,Qualification,MARTINKO Jiri (CZE),PICARD Vincent (FRA)
WTT Feeder Düsseldorf II 2023,2023-02-21,CAO Wei,VALENTA Jan,3,0,"11,11,11|7,4,3",QR3,WTT_FEEDER,MS,2703,Qualification,CAO Wei (CHN),VALENTA Jan (CZE)
WTT Feeder Düsseldorf II 2023,2023-02-21,MUTTI Matteo,LEVENKO Andreas,3,1,"11,11,8,11|8,9,11,9",QR3,WTT_FEEDER,MS,2703,Qualification,MUTTI Matteo (ITA),LEVENKO Andreas (AUT)
WTT Feeder Düsseldorf II 2023,2023-02-21,ZENG Beixun,SANCHI Francisco,3,0,"11,11,11|7,9,6",QR3,WTT_FEEDER,MS,2703,Qualification,ZENG Beixun (CHN),SANCHI Francisco (ARG)
WTT Feeder Düsseldorf II 2023,2023-02-21,VILARDELL Albert,COTON Flavien,3,0,"11,15,11|7,13,6",QR3,WTT_FEEDER,MS,2703,Qualification,VILARDELL Albert (ESP),COTON Flavien (FRA)
WTT Feeder Düsseldorf II 2023,2023-02-21,LEVAJAC Dimitrije,SHOUMAN Mohamed,3,0,"11,11,11|8,2,4",QR3,WTT_FEEDER,MS,2703,Qualification,LEVAJAC Dimitrije (SRB),SHOUMAN Mohamed (EGY)
