tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,AKHYAR Ahmed,ALNASER Rawad,3,2,"2,14,11,3,17|11,12,9,11,15",GROUP,OTHER,MT,2994,Main Draw,AKHYAR Ahmed (MDV),ALNASER Rawad (QAT),AKHYAR Ahmed
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,KORANI Ahmed,AHMED Moosa,3,0,"11,11,11|8,4,2",GROUP,OTHER,MT,2994,Main Draw,KORANI Ahmed (QAT),AHMED Moosa (MDV),KORANI Ahmed
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,AL-KUWARI Sultan,SHAFFAN Mohamed,3,0,"11,11,11|8,7,6",GROUP,OTHER,MT,2994,Main Draw,AL-KUWARI Sultan (QAT),SHAFFAN Mohamed (MDV),AL-KUWARI Sultan
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,KORANI Ahmed,AKHYAR Ahmed,3,0,"11,14,11|8,12,6",GROUP,OTHER,MT,2994,Main Draw,KORANI Ahmed (QAT),AKHYAR Ahmed (MDV),KORANI Ahmed
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,HAM Yu Song,KHAN Muhammad,3,0,"11,11,11|5,6,3",GROUP,OTHER,MT,2994,Main Draw,HAM Yu Song (PRK),KHAN Muhammad (PAK),HAM Yu Song
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,RI Jong Sik,SHAH Syed,3,0,"11,11,11|1,2,4",GROUP,OTHER,MT,2994,Main Draw,RI Jong Sik (PRK),SHAH Syed (PAK),RI Jong Sik
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,YU Jon,KHAN Taimur,3,0,"11,11,11|3,5,3",GROUP,OTHER,MT,2994,Main Draw,YU Jon (PRK),KHAN Taimur (PAK),YU Jon
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,MISAL John Russel,GANKHUYAG Ser-Od,3,1,"11,13,10,11|7,11,12,6",GROUP,OTHER,MT,2994,Main Draw,MISAL John Russel (PHI),GANKHUYAG Ser-Od (MGL),MISAL John Russel
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,NAYRE Jann Mari,MYANDAL Temuulen,3,0,"11,11,11|7,6,4",GROUP,OTHER,MT,2994,Main Draw,NAYRE Jann Mari (PHI),MYANDAL Temuulen (MGL),NAYRE Jann Mari
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,VALENET Edouard,MUNKH-OCHIR Manlaijargal,3,0,"11,11,12|4,5,10",GROUP,OTHER,MT,2994,Main Draw,VALENET Edouard (PHI),MUNKH-OCHIR Manlaijargal (MGL),VALENET Edouard
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,SALEH Mohamed,SAGYNDYKOV Talgat,3,0,"11,11,11|3,3,5",GROUP,OTHER,MT,2994,Main Draw,SALEH Mohamed (BRN),SAGYNDYKOV Talgat (KGZ),SALEH Mohamed
