tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2024 Caribbean Championships,2024-04-16,BIRRIEL Oscar,XIE Shaofeng,3,0,"11,11,11|5,7,6",,OTHER,MT,2930,Qualification,XIE Shaofeng (ARU),BIRRIEL Oscar (PUR)
2024 Caribbean Championships,2024-04-16,NARANJO Angel,RAGA Ruddy,3,0,"11,11,11|9,6,3",,OTHER,MT,2930,Qualification,RAGA Ruddy (ARU),NARANJO Angel (PUR)
2024 Caribbean Championships,2024-04-16,PEREZ Gabriel,LOPES Bryan,3,0,"11,11,11|6,6,4",,OTHER,MT,2930,Qualification,LOPES Bryan (ARU),PEREZ Gabriel (PUR)
2024 Caribbean Championships,2024-04-16,PEREZ Adrian,CALDERON De Andre,3,0,"11,12,11|9,10,6",,OTHER,MT,2930,Qualification,CALDERON De Andre (LCA),PEREZ Adrian (CUB)
2024 Caribbean Championships,2024-04-16,MARTINEZ Livan,NURSE Dawitt,3,0,"11,11,11|5,7,6",,OTHER,MT,2930,Qualification,NURSE Dawitt (LCA),MARTINEZ Livan (CUB)
2024 Caribbean Championships,2024-04-16,MENDEZ Rene,LUBIN Joshua,3,0,"11,11,11|5,7,5",,OTHER,MT,2930,Qualification,LUBIN Joshua (LCA),MENDEZ Rene (CUB)
2024 Caribbean Championships,2024-04-16,DOWELL Mark,PHILLIPS Mark,3,1,"6,11,11,11|11,5,6,4",,OTHER,MT,2930,Qualification,PHILLIPS Mark (JAM),DOWELL Mark (BAR)
2024 Caribbean Championships,2024-04-16,KNIGHT Tyrese,MCPHERSON Emani,3,0,"11,11,11|9,6,7",,OTHER,MT,2930,Qualification,MCPHERSON Emani (JAM),KNIGHT Tyrese (BAR)
2024 Caribbean Championships,2024-04-16,RILEY Tre,LEWIS Rohan,3,2,"14,11,7,9,11|12,7,11,11,8",,OTHER,MT,2930,Qualification,LEWIS Rohan (JAM),RILEY Tre (BAR)
2024 Caribbean Championships,2024-04-16,BURGOS Brianna,KING Kenady,3,0,"11,11,11|1,3,4",,OTHER,WT,2930,Qualification,BURGOS Brianna (PUR),KING Kenady (BAR)
2024 Caribbean Championships,2024-04-16,DIAZ Fabiola,RILEY Anthonette,3,0,"11,11,11|6,7,8",,OTHER,WT,2930,Qualification,DIAZ Fabiola (PUR),RILEY Anthonette (BAR)
2024 Caribbean Championships,2024-04-16,LEON Edmarie,WEEKES Qodesh,3,0,"11,11,11|5,7,1",,OTHER,WT,2930,Qualification,LEON Edmarie (PUR),WEEKES Qodesh (BAR)
2024 Caribbean Championships,2024-04-16,CRESPO Estela,FRASER Chloe,3,2,"4,7,11,11,11|11,11,6,6,9",,OTHER,WT,2930,Qualification,CRESPO Estela (CUB),FRASER Chloe (TTO)
2024 Caribbean Championships,2024-04-16,AGUIAR Rosalba,CHUNG Rheann,3,1,"14,11,9,11|12,6,11,7",,OTHER,WT,2930,Qualification,AGUIAR Rosalba (CUB),CHUNG Rheann (TTO)
2024 Caribbean Championships,2024-04-16,PEREZ GONZALEZ Karla,EDWARDS-TAYLOR Imani,3,1,"7,11,11,11|11,5,4,6",,OTHER,WT,2930,Qualification,PEREZ GONZALEZ Karla (CUB),EDWARDS-TAYLOR Imani (TTO)
2024 Caribbean Championships,2024-04-16,PEREZ Adrian,VILA Ramon,3,0,"14,11,11|12,8,7",,OTHER,MT,2930,Qualification,PEREZ Adrian (CUB),VILA Ramon (DOM)
2024 Caribbean Championships,2024-04-16,MARTINEZ Livan,CABRERA Rafael,3,1,"7,11,11,11|11,8,3,7",,OTHER,MT,2930,Qualification,MARTINEZ Livan (CUB),CABRERA Rafael (DOM)
2024 Caribbean Championships,2024-04-16,TEJADA Abit,MENDEZ Rene,3,1,"11,11,8,12|7,8,11,10",,OTHER,MT,2930,Qualification,MENDEZ Rene (CUB),TEJADA Abit (DOM)
2024 Caribbean Championships,2024-04-16,PEREZ Adrian,CABRERA Rafael,3,2,"8,4,11,14,12|11,11,8,12,10",,OTHER,MT,2930,Qualification,PEREZ Adrian (CUB),CABRERA Rafael (DOM)
2024 Caribbean Championships,2024-04-16,NARANJO Angel,ALLEYNE Joel,3,0,"11,11,11|5,4,2",,OTHER,MT,2930,Qualification,NARANJO Angel (PUR),ALLEYNE Joel (GUY)
2024 Caribbean Championships,2024-04-16,BIRRIEL Oscar,BRITTON Shemar,3,1,"9,11,11,11|11,9,6,6",,OTHER,MT,2930,Qualification,BIRRIEL Oscar (PUR),BRITTON Shemar (GUY)
2024 Caribbean Championships,2024-04-16,TORRES Jabdiel,JOHNSON Elishaba,3,0,"11,14,12|5,12,10",,OTHER,MT,2930,Qualification,TORRES Jabdiel (PUR),JOHNSON Elishaba (GUY)
2024 Caribbean Championships,2024-04-16,WILSON Aaron,DOWELL Mark,3,0,"11,11,11|9,9,7",,OTHER,MT,2930,Qualification,WILSON Aaron (TTO),DOWELL Mark (BAR)
2024 Caribbean Championships,2024-04-16,KNIGHT Tyrese,ROOPNARINE Arun,3,0,"11,11,16|3,7,14",,OTHER,MT,2930,Qualification,ROOPNARINE Arun (TTO),KNIGHT Tyrese (BAR)
2024 Caribbean Championships,2024-04-16,O'YOUNG Luc,RILEY Tre,3,1,"8,11,11,11|11,3,4,4",,OTHER,MT,2930,Qualification,O'YOUNG Luc (TTO),RILEY Tre (BAR)
2024 Caribbean Championships,2024-04-16,KNIGHT Tyrese,WILSON Aaron,3,0,"11,11,11|6,6,8",,OTHER,MT,2930,Qualification,WILSON Aaron (TTO),KNIGHT Tyrese (BAR)
2024 Caribbean Championships,2024-04-16,DOWELL Mark,ROOPNARINE Arun,3,0,"11,11,14|4,8,12",,OTHER,MT,2930,Qualification,ROOPNARINE Arun (TTO),DOWELL Mark (BAR)
2024 Caribbean Championships,2024-04-16,ORTIZ Yasiris,CRESPO Estela,3,1,"11,12,12,11|8,10,14,9",,OTHER,WT,2930,Qualification,CRESPO Estela (CUB),ORTIZ Yasiris (DOM)
2024 Caribbean Championships,2024-04-16,BRITO Eva,AGUIAR Rosalba,3,1,"11,2,11,11|6,11,7,5",,OTHER,WT,2930,Qualification,AGUIAR Rosalba (CUB),BRITO Eva (DOM)
2024 Caribbean Championships,2024-04-16,PEREZ GONZALEZ Karla,MUNOZ Shary,3,1,"7,13,11,11|11,11,8,6",,OTHER,WT,2930,Qualification,PEREZ GONZALEZ Karla (CUB),MUNOZ Shary (DOM)
2024 Caribbean Championships,2024-04-16,CRESPO Estela,BRITO Eva,3,2,"10,9,11,11,11|12,11,6,5,6",,OTHER,WT,2930,Qualification,CRESPO Estela (CUB),BRITO Eva (DOM)
2024 Caribbean Championships,2024-04-16,AGUIAR Rosalba,ORTIZ Yasiris,3,0,"11,12,11|7,10,9",,OTHER,WT,2930,Qualification,AGUIAR Rosalba (CUB),ORTIZ Yasiris (DOM)
2024 Caribbean Championships,2024-04-16,BURGOS Brianna,CUMMINGS Natalie,3,0,"11,11,11|7,7,4",,OTHER,WT,2930,Qualification,BURGOS Brianna (PUR),CUMMINGS Natalie (GUY)
2024 Caribbean Championships,2024-04-16,EDGHILL Chelsea,DIAZ Fabiola,3,1,"5,11,11,11|11,9,4,9",,OTHER,WT,2930,Qualification,DIAZ Fabiola (PUR),EDGHILL Chelsea (GUY)
2024 Caribbean Championships,2024-04-16,RODRIGUEZ Alondra,THOMAS Thuraia,3,0,"11,11,11|4,7,2",,OTHER,WT,2930,Qualification,RODRIGUEZ Alondra (PUR),THOMAS Thuraia (GUY)
2024 Caribbean Championships,2024-04-16,BURGOS Brianna,EDGHILL Chelsea,3,0,"11,12,11|5,10,8",,OTHER,WT,2930,Qualification,BURGOS Brianna (PUR),EDGHILL Chelsea (GUY)
2024 Caribbean Championships,2024-04-16,WILSON Aaron,PHILLIPS Mark,3,0,"11,11,11|4,7,9",,OTHER,MT,2930,Qualification,WILSON Aaron (TTO),PHILLIPS Mark (JAM)
2024 Caribbean Championships,2024-04-16,O'YOUNG Luc,MCPHERSON Emani,3,0,"11,16,11|9,14,9",,OTHER,MT,2930,Qualification,O'YOUNG Luc (TTO),MCPHERSON Emani (JAM)
2024 Caribbean Championships,2024-04-16,ROOPNARINE Arun,LEWIS Rohan,3,2,"11,9,11,8,11|7,11,4,11,8",,OTHER,MT,2930,Qualification,ROOPNARINE Arun (TTO),LEWIS Rohan (JAM)
2024 Caribbean Championships,2024-04-16,RAGA Ruddy,ALLEYNE Joel,3,2,"7,4,12,11,12|11,11,10,9,10",,OTHER,MT,2930,Qualification,RAGA Ruddy (ARU),ALLEYNE Joel (GUY)
2024 Caribbean Championships,2024-04-16,BRITTON Shemar,XIE Shaofeng,3,0,"11,11,11|7,5,2",,OTHER,MT,2930,Qualification,XIE Shaofeng (ARU),BRITTON Shemar (GUY)
2024 Caribbean Championships,2024-04-16,JOHNSON Elishaba,LOPES Bryan,3,0,"11,11,11|2,9,5",,OTHER,MT,2930,Qualification,LOPES Bryan (ARU),JOHNSON Elishaba (GUY)
2024 Caribbean Championships,2024-04-16,BRITTON Shemar,RAGA Ruddy,3,0,"11,11,12|6,4,10",,OTHER,MT,2930,Qualification,RAGA Ruddy (ARU),BRITTON Shemar (GUY)
2024 Caribbean Championships,2024-04-16,CABRERA Rafael,ELEUTHERE Manie,3,0,"11,11,11|4,6,7",,OTHER,MT,2930,Qualification,CABRERA Rafael (DOM),ELEUTHERE Manie (LCA)
2024 Caribbean Championships,2024-04-16,VILA Ramon,CALDERON De Andre,3,0,"11,11,11|3,5,4",,OTHER,MT,2930,Qualification,VILA Ramon (DOM),CALDERON De Andre (LCA)
2024 Caribbean Championships,2024-04-16,VILA Isaac,LUBIN Joshua,3,0,"11,11,11|7,5,4",,OTHER,MT,2930,Qualification,VILA Isaac (DOM),LUBIN Joshua (LCA)
2024 Caribbean Championships,2024-04-16,BRITO Eva,FRASER Chloe,3,1,"11,11,3,11|6,7,11,7",,OTHER,WT,2930,Qualification,BRITO Eva (DOM),FRASER Chloe (TTO)
2024 Caribbean Championships,2024-04-16,CHUNG Rheann,CASTRO Esmerlyn,3,1,"11,12,8,11|7,10,11,7",,OTHER,WT,2930,Qualification,CASTRO Esmerlyn (DOM),CHUNG Rheann (TTO)
2024 Caribbean Championships,2024-04-16,ORTIZ Yasiris,EDWARDS-TAYLOR Imani,3,0,"11,11,11|4,2,6",,OTHER,WT,2930,Qualification,ORTIZ Yasiris (DOM),EDWARDS-TAYLOR Imani (TTO)
2024 Caribbean Championships,2024-04-16,CHUNG Rheann,BRITO Eva,3,0,"11,11,11|9,8,7",,OTHER,WT,2930,Qualification,BRITO Eva (DOM),CHUNG Rheann (TTO)
2024 Caribbean Championships,2024-04-16,FRASER Chloe,CASTRO Esmerlyn,3,1,"11,7,11,11|5,11,9,6",,OTHER,WT,2930,Qualification,CASTRO Esmerlyn (DOM),FRASER Chloe (TTO)
2024 Caribbean Championships,2024-04-16,CUMMINGS Natalie,RILEY Anthonette,3,0,"11,11,11|8,6,6",,OTHER,WT,2930,Qualification,RILEY Anthonette (BAR),CUMMINGS Natalie (GUY)
2024 Caribbean Championships,2024-04-16,EDGHILL Chelsea,KING Kenady,3,0,"11,11,11|4,2,3",,OTHER,WT,2930,Qualification,KING Kenady (BAR),EDGHILL Chelsea (GUY)
2024 Caribbean Championships,2024-04-16,BILLINGY Jasmine,WEEKES Qodesh,3,0,"12,11,11|10,8,8",,OTHER,WT,2930,Qualification,WEEKES Qodesh (BAR),BILLINGY Jasmine (GUY)
2024 Caribbean Championships,2024-04-16,CABRERA Rafael,WILSON Aaron,3,0,"11,11,12|5,8,10",QF,OTHER,MT,2930,Main Draw,WILSON Aaron (TTO),CABRERA Rafael (DOM)
2024 Caribbean Championships,2024-04-16,VILA Isaac,ROOPNARINE Arun,3,1,"9,11,11,14|11,7,4,12",QF,OTHER,MT,2930,Main Draw,ROOPNARINE Arun (TTO),VILA Isaac (DOM)
2024 Caribbean Championships,2024-04-16,TEJADA Abit,O'YOUNG Luc,3,0,"11,11,11|4,2,6",QF,OTHER,MT,2930,Main Draw,O'YOUNG Luc (TTO),TEJADA Abit (DOM)
