tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
European Championships 2024,2024-10-15,PETKOV Vladimir,NIELSEN Ivik,3,0,"11,11,11|2,6,3",QR64,OTHER,MD,3101,Qualification,PETKOV Vladimir (BUL),NIELSEN Ivik (GRL)
European Championships 2024,2024-10-15,GUNDUZ Ibrahim,APOLONIA Tiago,3,1,"11,14,11,11|4,16,6,7",QR64,OTHER,MD,3101,Qualification,GUNDUZ Ibrahim (TUR),APOLONIA Tiago (POR)
European Championships 2024,2024-10-15,LEHTLAAN Pert,BAJWA Danny,3,0,"11,11,11|8,1,3",QR64,OTHER,MD,3101,Qualification,LEHTLAAN Pert (EST),BAJWA Danny (SCO)
European Championships 2024,2024-10-15,GIARDI Federico,KARTUZOVS Olegs,3,2,"11,5,2,11,11|6,11,11,5,6",QR64,OTHER,MD,3101,Qualification,GIARDI Federico (SMR),KARTUZOVS Olegs (LAT)
European Championships 2024,2024-10-15,HASANOV Hilal,AVIVI Itay,3,0,"11,11,12|4,6,10",QR64,OTHER,MD,3101,Qualification,HASANOV Hilal (AZE),AVIVI Itay (ISR)
European Championships 2024,2024-10-15,GREBENIUK Andrii,RODRIGUEZ Ingi Darvis,3,1,"9,11,11,11|11,7,3,6",QR64,OTHER,MD,3101,Qualification,GREBENIUK Andrii (UKR),RODRIGUEZ Ingi Darvis (ISL)
European Championships 2024,2024-10-15,SGOUROPOULOS Ioannis,KOGANS Daniels,3,1,"11,11,11,11|9,13,2,5",QR64,OTHER,MD,3101,Qualification,SGOUROPOULOS Ioannis (GRE),KOGANS Daniels (LAT)
European Championships 2024,2024-10-15,MLADENOVIC Luka,SPALIS Arturs,3,1,"11,11,7,11|6,6,11,8",QR64,OTHER,MD,3101,Qualification,MLADENOVIC Luka (LUX),SPALIS Arturs  (LAT)
European Championships 2024,2024-10-15,VOVK PETROVSKI Brin,CAMARA Gabrielius,3,2,"7,11,8,11,11|11,7,11,4,9",QR64,OTHER,MD,3101,Qualification,VOVK PETROVSKI Brin (SLO),CAMARA Gabrielius (NED)
European Championships 2024,2024-10-15,ANGELAKIS Konstantinos,FROSETH Martin,3,1,"11,8,11,11|6,11,7,6",QR32,OTHER,MD,3101,Qualification,ANGELAKIS Konstantinos (GRE),FROSETH Martin (NOR)
European Championships 2024,2024-10-15,PETKOV Vladimir,DE LAS HERAS Rafael,3,0,"11,12,11|8,10,7",QR32,OTHER,MD,3101,Qualification,PETKOV Vladimir (BUL),DE LAS HERAS Rafael (ESP)
European Championships 2024,2024-10-15,APOLONIA Tiago,KUNATS Heorhi,3,1,"11,9,11,11|1,11,9,8",QR32,OTHER,MD,3101,Qualification,APOLONIA Tiago (POR),KUNATS Heorhi (AIN)
European Championships 2024,2024-10-15,LEHTLAAN Pert,GREEN Connor,3,0,"11,11,11|6,4,9",QR32,OTHER,MD,3101,Qualification,LEHTLAAN Pert (EST),GREEN Connor (ENG)
European Championships 2024,2024-10-15,PUTUNTICA Andrei,YIANGOU Marios,3,1,"11,11,6,11|6,8,11,5",QR32,OTHER,MD,3101,Qualification,PUTUNTICA Andrei (MDA),YIANGOU Marios (CYP)
European Championships 2024,2024-10-15,KARTUZOVS Olegs,MUTTI Matteo,3,0,"11,11,11|6,3,2",QR32,OTHER,MD,3101,Qualification,KARTUZOVS Olegs (LAT),MUTTI Matteo (ITA)
European Championships 2024,2024-10-15,BERTELSMEIER Andre,KVETON Ondrej,3,2,"11,11,10,13,12|3,4,12,15,10",QR32,OTHER,MD,3101,Qualification,BERTELSMEIER Andre (GER),KVETON Ondrej (CZE)
European Championships 2024,2024-10-15,KOLODZIEJCZYK Maciej,BAN Ivor,3,2,"8,11,11,8,11|11,3,5,11,2",QR32,OTHER,MD,3101,Qualification,KOLODZIEJCZYK Maciej (AUT),BAN Ivor (CRO)
European Championships 2024,2024-10-15,LIU Zhenlong,JANCARIK Lubomir,3,1,"11,9,11,11|9,11,9,9",QR32,OTHER,MD,3101,Qualification,LIU Zhenlong (AUT),JANCARIK Lubomir (CZE)
European Championships 2024,2024-10-15,AVIVI Itay,ROBLES Alvaro,3,0,"11,11,11|4,7,8",QR32,OTHER,MD,3101,Qualification,AVIVI Itay (ISR),ROBLES Alvaro (ESP)
