tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2024/25 German League,2024-08-23,GERASSIMENKO Kirill,NUYTINCK Cedric,3,1,"8,11,11,11|11,6,9,6",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-23,LIND Anders,AGUIRRE Marcelo,3,0,"11,11,11|4,7,5",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-23,FALCK Mattias,LI Yongyin,3,0,"11,11,17|9,5,15",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-23,GERASSIMENKO Kirill,LIND Anders,3,2,"12,9,11,11,14|10,11,13,7,12",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,KARLSSON Kristian,MEISSNER Cedric,3,1,"9,12,11,11|11,10,9,7",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,MURAMATSU Yuto,ANDRAS Csaba,3,2,"12,6,9,11,12|10,11,11,7,10",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,IONESCU Eduard,TSUBOI Yuma,3,2,"9,5,11,13,11|11,11,7,11,7",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,KARLSSON Kristian,MURAMATSU Yuto,3,1,"11,14,9,11|7,12,11,6",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,MEISSNER Cedric/IONESCU Eduard,TSUBOI Yuma/ANDRAS Csaba,3,0,"11,12,11|9,10,8",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,STEGER Bastian,IONESCU Ovidiu,3,0,"11,12,11|5,10,4",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,ZELJKO Filip,MENGEL Steffen,3,1,"11,11,9,11|9,5,11,6",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,UEDA Jin,BERTRAND Irvin,3,0,"12,11,11|10,4,3",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,KÄLLBERG Anton,TEODORO Guilherme,3,2,"11,11,6,9,11|9,6,11,11,1",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,BOLL Timo,WALTHER Ricardo,3,2,"5,11,11,7,11|11,2,5,11,9",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,QIU Dang,DE NODREST Leo,3,2,"10,10,11,11,11|12,12,7,8,8",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-26,TOGAMI Shunsuke,MENG Fanbo,3,0,"11,11,11|8,6,8",GROUP,EURO_LEAGUE
2024/25 German League,2024-08-26,OVTCHAROV Dimitrij,PUGNA Bogdan,3,0,"11,11,11|1,0,0",GROUP,EURO_LEAGUE
