tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Americas Olympic Qualification event,2024-05-14,BRITO Eva,ZAPATA Hidalynn,4,1,"11,11,11,12,11|8,13,4,10,8",R16,OLYMPICS,WS,2935,Main Draw,BRITO Eva (DOM),ZAPATA Hidalynn (GUA),BRITO Eva
ITTF Americas Olympic Qualification event,2024-05-14,ZENG Zhiying,DUFFOO Isabel,4,0,"11,11,11,11|5,8,4,6",R16,OLYMPICS,WS,2935,Main Draw,ZENG Zhiying (CHI),DUFFOO Isabel (PER),ZENG Zhiying
ITTF Americas Olympic Qualification event,2024-05-14,CHUNG Rheann,CRESPO Estela,4,2,"10,6,11,14,11,11|12,11,9,12,8,5",R16,OLYMPICS,WS,2935,Main Draw,CRESPO Estela (CUB),CHUNG Rheann (TTO),CHUNG Rheann
ITTF Americas Olympic Qualification event,2024-05-14,CAMPOS Jorge,CASTILLO Cesar,4,0,"11,11,11,12|9,7,9,10",R16,OLYMPICS,MS,2935,Main Draw,CASTILLO Cesar (VEN),CAMPOS Jorge (CUB),CAMPOS Jorge
ITTF Americas Olympic Qualification event,2024-05-14,WU Jiaji,FERNANDEZ Favert,4,0,"11,11,11,11|5,7,3,5",R16,OLYMPICS,MS,2935,Main Draw,WU Jiaji (DOM),FERNANDEZ Favert (COL),WU Jiaji
ITTF Americas Olympic Qualification event,2024-05-14,MINO Alberto,DUFFOO Felipe,4,0,"11,11,16,11|6,2,14,5",R16,OLYMPICS,MS,2935,Main Draw,MINO Alberto (ECU),DUFFOO Felipe (PER),MINO Alberto
ITTF Americas Olympic Qualification event,2024-05-14,KUMAR Nikhil,KNIGHT Tyrese,4,0,"11,11,11,11|4,6,6,7",R16,OLYMPICS,MS,2935,Main Draw,KUMAR Nikhil (USA),KNIGHT Tyrese (BAR),KUMAR Nikhil
ITTF Americas Olympic Qualification event,2024-05-14,CASTRO Rogelio,GUTIERREZ Allan,4,2,"8,11,7,11,11,11|11,6,11,2,7,6",R16,OLYMPICS,MS,2935,Main Draw,GUTIERREZ Allan (GUA),CASTRO Rogelio (MEX),CASTRO Rogelio
ITTF Americas Olympic Qualification event,2024-05-14,FONSECA Daniela,TELLEZ Cory,4,1,"9,11,11,11,11|11,9,9,7,7",R16,OLYMPICS,WS,2935,Main Draw,TELLEZ Cory (COL),FONSECA Daniela (CUB),FONSECA Daniela
ITTF Americas Olympic Qualification event,2024-05-14,CORDERO Lucia,ORTIZ Yasiris,4,0,"14,11,14,12|12,7,12,10",R16,OLYMPICS,WS,2935,Main Draw,ORTIZ Yasiris (DOM),CORDERO Lucia (GUA),CORDERO Lucia
ITTF Americas Olympic Qualification event,2024-05-14,ARGUELLES Camila,GONZALEZ Eliana,4,0,"11,11,11,11|6,9,7,6",R16,OLYMPICS,WS,2935,Main Draw,ARGUELLES Camila (ARG),GONZALEZ Eliana (PER),ARGUELLES Camila
