tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,WAN Yuan,YEHIA Alaa,3,0,"12,11,11|10,8,6",GROUP,WORLD_CUP,XT,2979,Main Draw,WAN Yuan (GER),YEHIA Alaa (EGY),WAN Yuan
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,SCHREINER Franziska,FATHY Hend,3,0,"11,11,11|3,2,7",GROUP,WORLD_CUP,XT,2979,Main Draw,SCHREINER Franziska (GER),FATHY Hend (EGY),SCHREINER Franziska
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,TANAKA Yuta,ZALEWSKI Mateusz,2,0,"15,11,0|13,6,0",GROUP,WORLD_CUP,XT,2979,Main Draw,TANAKA Yuta (JPN),ZALEWSKI Mateusz (POL),TANAKA Yuta
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,AKAE Kaho,BAJOR Natalia,3,0,"12,12,12|10,10,10",GROUP,WORLD_CUP,XT,2979,Main Draw,AKAE Kaho (JPN),BAJOR Natalia (POL),AKAE Kaho
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,SASAO Asuka,BOGDANOWICZ Natalia,3,0,"11,11,11|4,7,8",GROUP,WORLD_CUP,XT,2979,Main Draw,SASAO Asuka (JPN),BOGDANOWICZ Natalia (POL),SASAO Asuka
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,PORET Thibault,LY Edward,3,0,"11,11,13|2,3,11",GROUP,WORLD_CUP,XT,2979,Main Draw,PORET Thibault (FRA),LY Edward (CAN),PORET Thibault
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,ZARIF Audrey,LIAO Ivy,2,1,"11,5,11|5,11,6",GROUP,WORLD_CUP,XT,2979,Main Draw,ZARIF Audrey (FRA),LIAO Ivy (CAN),ZARIF Audrey
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,LUTZ Camille,XU Jessie,3,0,"11,11,11|6,5,9",GROUP,WORLD_CUP,XT,2979,Main Draw,LUTZ Camille (FRA),XU Jessie (CAN),LUTZ Camille
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,KALLBERG Christina,NG Wing Lam,2,1,"7,11,12|11,9,10",GROUP,WORLD_CUP,XT,2979,Main Draw,KALLBERG Christina (SWE),NG Wing Lam (HKG),KALLBERG Christina
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,CHAN Baldwin,ERIKSSON Anders,2,1,"11,11,11|8,13,9",GROUP,WORLD_CUP,XT,2979,Main Draw,CHAN Baldwin (HKG),ERIKSSON Anders (SWE),CHAN Baldwin
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,KARLSSON Kristian,CHAN Baldwin,3,0,"11,11,14|6,6,12",GROUP,WORLD_CUP,XT,2979,Main Draw,KARLSSON Kristian (SWE),CHAN Baldwin (HKG),KARLSSON Kristian
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,BERGSTROM Linda,NG Wing Lam,2,1,"11,10,11|4,12,6",GROUP,WORLD_CUP,XT,2979,Main Draw,BERGSTROM Linda (SWE),NG Wing Lam (HKG),BERGSTROM Linda
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,DOO Hoi Kem,KALLBERG Christina,3,0,"11,11,11|3,7,7",GROUP,WORLD_CUP,XT,2979,Main Draw,DOO Hoi Kem (HKG),KALLBERG Christina (SWE),DOO Hoi Kem
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,VARTIKAR Pritha,PSIHOGIOS Constantina,2,0,"11,11,0|8,7,0",GROUP,WORLD_CUP,XT,2979,Main Draw,VARTIKAR Pritha (IND),PSIHOGIOS Constantina (AUS),VARTIKAR Pritha
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,SURAVAJJULA Snehit,LUM Nicholas,2,1,"11,10,11|8,12,9",GROUP,WORLD_CUP,XT,2979,Main Draw,SURAVAJJULA Snehit (IND),LUM Nicholas (AUS),SURAVAJJULA Snehit
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,PSIHOGIOS Constantina,GHORPADE Yashaswini,2,1,"13,10,11|11,12,6",GROUP,WORLD_CUP,XT,2979,Main Draw,PSIHOGIOS Constantina (AUS),GHORPADE Yashaswini (IND),PSIHOGIOS Constantina
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,LAY Jian Fang,VARTIKAR Pritha,2,1,"11,11,8|8,3,11",GROUP,WORLD_CUP,XT,2979,Main Draw,LAY Jian Fang (AUS),VARTIKAR Pritha (IND),LAY Jian Fang
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,LIN Shidong,NARESH Sid,2,1,"9,11,11|11,4,2",GROUP,WORLD_CUP,XT,2979,Main Draw,LIN Shidong (CHN),NARESH Sid (USA),LIN Shidong
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,SUN Yingsha,REYES LAI Jessica,3,0,"11,11,11|6,2,3",GROUP,WORLD_CUP,XT,2979,Main Draw,SUN Yingsha (CHN),REYES LAI Jessica (USA),SUN Yingsha
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,WANG Yidi,GOODWIN Kayla,3,0,"11,11,11|3,7,8",GROUP,WORLD_CUP,XT,2979,Main Draw,WANG Yidi (CHN),GOODWIN Kayla (USA),WANG Yidi
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,OH Junsung,PANG Koen,2,0,"11,11,0|5,1,0",GROUP,WORLD_CUP,XT,2979,Main Draw,OH Junsung (KOR),PANG Koen (SGP),OH Junsung
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,JEON Jihee,SER Lin Qian,3,0,"11,11,12|3,8,10",GROUP,WORLD_CUP,XT,2979,Main Draw,JEON Jihee (KOR),SER Lin Qian (SGP),JEON Jihee
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,KIM Nayeong,ZHOU Jingyi,3,0,"11,11,11|6,5,5",GROUP,WORLD_CUP,XT,2979,Main Draw,KIM Nayeong (KOR),ZHOU Jingyi (SGP),KIM Nayeong
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,KUO Guan-Hong,IONESCU Eduard,2,1,"11,11,8|8,5,11",GROUP,WORLD_CUP,XT,2979,Main Draw,KUO Guan-Hong (TPE),IONESCU Eduard (ROU),KUO Guan-Hong
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,IONESCU Eduard,HUANG Yan-Cheng,2,1,"8,11,11|11,8,9",GROUP,WORLD_CUP,XT,2979,Main Draw,IONESCU Eduard (ROU),HUANG Yan-Cheng (TPE),IONESCU Eduard
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,SZOCS Bernadette,CHENG Hsien-Tzu,3,0,"11,11,11|9,5,7",GROUP,WORLD_CUP,XT,2979,Main Draw,SZOCS Bernadette (ROU),CHENG Hsien-Tzu (TPE),SZOCS Bernadette
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,SAMARA Elizabeta,HUANG Yu-Chiao,2,1,"11,11,6|8,9,11",GROUP,WORLD_CUP,XT,2979,Main Draw,SAMARA Elizabeta (ROU),HUANG Yu-Chiao (TPE),SAMARA Elizabeta
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,WAN Yuan,WEGRZYN Katarzyna,2,0,"11,11,0|4,6,0",GROUP,WORLD_CUP,XT,2979,Main Draw,WAN Yuan (GER),WEGRZYN Katarzyna (POL),WAN Yuan
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,STUMPER Kay,ZALEWSKI Mateusz,2,1,"11,11,6|3,7,11",GROUP,WORLD_CUP,XT,2979,Main Draw,STUMPER Kay (GER),ZALEWSKI Mateusz (POL),STUMPER Kay
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,WAN Yuan,BAJOR Natalia,2,1,"5,11,11|11,7,4",GROUP,WORLD_CUP,XT,2979,Main Draw,WAN Yuan (GER),BAJOR Natalia (POL),WAN Yuan
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,2024-12-01,SCHREINER Franziska,WEGRZYN Katarzyna,2,1,"11,11,5|8,7,11",GROUP,WORLD_CUP,XT,2979,Main Draw,SCHREINER Franziska (GER),WEGRZYN Katarzyna (POL),SCHREINER Franziska
