tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
South Africa Regional Championships,2024-06-28,KALAM Musfiquh,GEBAUER Lian,3,0,"11,11,11|5,7,5",GROUP,OTHER,WT,2961,Main Draw,KALAM Musfiquh (RSA),GEBAUER Lian (NAM),KALAM Musfiquh
South Africa Regional Championships,2024-06-28,PATEL Danisha,DE KOKER Michelle,3,0,"11,11,11|4,2,2",GROUP,OTHER,WT,2961,Main Draw,PATEL Danisha (RSA),DE KOKER Michelle (NAM),PATEL Danisha
South Africa Regional Championships,2024-06-28,SONDAY Rochica,BEUKES Netanya,3,0,"11,11,11|3,1,3",GROUP,OTHER,WT,2961,Main Draw,SONDAY Rochica (RSA),BEUKES Netanya (NAM),SONDAY Rochica
South Africa Regional Championships,2024-06-28,ALBINO Isabel,REBATENNE Tshepiso,3,1,"8,11,13,11|11,6,11,9",GROUP,OTHER,WT,2961,Main Draw,ALBINO Isabel (ANG),REBATENNE Tshepiso (BOT),ALBINO Isabel
South Africa Regional Championships,2024-06-28,TAVARES Ruth,RAMAGAPU Olorato,3,1,"11,11,4,11|9,6,11,4",GROUP,OTHER,WT,2961,Main Draw,TAVARES Ruth (ANG),RAMAGAPU Olorato (BOT),TAVARES Ruth
South Africa Regional Championships,2024-06-28,SOUSA Kailane,GAOKGALEMELWE Tsholofelo,3,0,"11,11,11|7,9,6",GROUP,OTHER,WT,2961,Main Draw,SOUSA Kailane (ANG),GAOKGALEMELWE Tsholofelo (BOT),SOUSA Kailane
South Africa Regional Championships,2024-06-28,ABRAHAMS Luke,BOSMAN Caden,3,0,"11,11,11|7,8,8",GROUP,OTHER,MT,2961,Main Draw,ABRAHAMS Luke (RSA),BOSMAN Caden (NAM),ABRAHAMS Luke
South Africa Regional Championships,2024-06-28,GREEN Wayne Marlon,BEUKES Liam,3,2,"11,2,5,11,15|9,11,11,9,13",GROUP,OTHER,MT,2961,Main Draw,BEUKES Liam (RSA),GREEN Wayne Marlon (NAM),GREEN Wayne Marlon
South Africa Regional Championships,2024-06-28,LODEWYK Cowen,TAIT Kean,3,0,"11,11,11|5,4,5",GROUP,OTHER,MT,2961,Main Draw,LODEWYK Cowen (RSA),TAIT Kean (NAM),LODEWYK Cowen
South Africa Regional Championships,2024-06-28,ABRAHAMS Luke,GREEN Wayne Marlon,3,0,"11,11,11|6,5,6",GROUP,OTHER,MT,2961,Main Draw,ABRAHAMS Luke (RSA),GREEN Wayne Marlon (NAM),ABRAHAMS Luke
South Africa Regional Championships,2024-06-28,ANDRE Elizandro,MALOKA Bakang,3,0,"11,11,11|8,4,9",GROUP,OTHER,MT,2961,Main Draw,ANDRE Elizandro (ANG),MALOKA Bakang (BOT),ANDRE Elizandro
South Africa Regional Championships,2024-06-28,MANUEL Domingos,OLYN William,3,0,"11,11,11|7,4,8",GROUP,OTHER,MT,2961,Main Draw,MANUEL Domingos (ANG),OLYN William (BOT),MANUEL Domingos
