tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,RAKOTOARIMANANA Fabio,MUTURI Peter,3,0,"11,11,11|8,8,5",,OTHER,MT,2731,Qualification,RAKOTOARIMANANA Fabio (MAD),MUTURI Peter (KEN),RAKOTOARIMANANA Fabio
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,RAZAFINARIVO Antoine,MUTUA Brian,3,0,"11,11,11|3,4,4",,OTHER,MT,2731,Qualification,RAZAFINARIVO Antoine (MAD),MUTUA Brian (KEN),RAZAFINARIVO Antoine
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,NATIVEL Jonathan,WANDERA Josiah,3,0,"11,11,11|4,3,3",,OTHER,MT,2731,Qualification,NATIVEL Jonathan (MAD),WANDERA Josiah (KEN),NATIVEL Jonathan
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,BOURHAN Abdourazak Abdallah,NADIR Mohamed,3,0,"11,11,13|7,6,11",,OTHER,MT,2731,Qualification,NADIR Mohamed (SUD),BOURHAN Abdourazak Abdallah (DJI),BOURHAN Abdourazak Abdallah
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ELTAYEB Elmutasim,DJAMAL Ahmed,3,1,"11,11,9,12|4,7,11,10",,OTHER,MT,2731,Qualification,ELTAYEB Elmutasim (SUD),DJAMAL Ahmed (DJI),ELTAYEB Elmutasim
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ADAM Mohammed,MOHAMED Houmed Saido,3,1,"11,11,5,11|4,6,11,5",,OTHER,MT,2731,Qualification,ADAM Mohammed (SUD),MOHAMED Houmed Saido (DJI),ADAM Mohammed
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,DJAMAL Ahmed,NADIR Mohamed,3,0,"11,13,11|5,11,7",,OTHER,MT,2731,Qualification,NADIR Mohamed (SUD),DJAMAL Ahmed (DJI),DJAMAL Ahmed
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,BOURHAN Abdourazak Abdallah,ELTAYEB Elmutasim,3,0,"11,14,11|7,12,7",,OTHER,MT,2731,Qualification,ELTAYEB Elmutasim (SUD),BOURHAN Abdourazak Abdallah (DJI),BOURHAN Abdourazak Abdallah
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,LISA Nasimuyu,KHALID Omnia,3,0,"11,11,11|8,5,2",,OTHER,WT,2731,Qualification,LISA Nasimuyu (KEN),KHALID Omnia (SUD),LISA Nasimuyu
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,KINUTHIA Mary,AHMED Nedal,3,0,"11,11,11|5,5,4",,OTHER,WT,2731,Qualification,KINUTHIA Mary (KEN),AHMED Nedal (SUD),KINUTHIA Mary
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,THAKKAR Sejal,MUSA Amal,3,0,"11,11,11|2,8,3",,OTHER,WT,2731,Qualification,THAKKAR Sejal (KEN),MUSA Amal (SUD),THAKKAR Sejal
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,NAKAWALA Jemimah,HOUSSEIN Rahma,3,0,"11,11,11|9,2,7",,OTHER,WT,2731,Qualification,HOUSSEIN Rahma (DJI),NAKAWALA Jemimah (UGA),NAKAWALA Jemimah
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,NANGONZI Judith,OUMAR Nassima,3,0,"11,11,11|4,5,7",,OTHER,WT,2731,Qualification,OUMAR Nassima (DJI),NANGONZI Judith (UGA),NANGONZI Judith
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,NAMAALA Shanitah,KAYED Saredo,3,0,"11,11,11|5,5,7",,OTHER,WT,2731,Qualification,KAYED Saredo (DJI),NAMAALA Shanitah (UGA),NAMAALA Shanitah
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,HOSENALLY Oumehani,KHALID Omnia,3,0,"11,11,11|2,1,3",,OTHER,WT,2731,Qualification,HOSENALLY Oumehani (MRI),KHALID Omnia (SUD),HOSENALLY Oumehani
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,JALIM Nandeshwaree,AHMED Nedal,3,0,"11,11,11|7,2,1",,OTHER,WT,2731,Qualification,JALIM Nandeshwaree (MRI),AHMED Nedal (SUD),JALIM Nandeshwaree
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,KINOO Ruqayyah,MUSA Amal,3,0,"11,11,11|2,2,4",,OTHER,WT,2731,Qualification,KINOO Ruqayyah (MRI),MUSA Amal (SUD),KINOO Ruqayyah
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,GILLO Sentayehu Gebeyehu,OUMAR Nassima,3,0,"11,11,11|8,5,4",,OTHER,WT,2731,Qualification,GILLO Sentayehu Gebeyehu (ETH),OUMAR Nassima (DJI),GILLO Sentayehu Gebeyehu
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,KINFU Feven,KAYED Saredo,3,0,"11,11,11|3,6,8",,OTHER,WT,2731,Qualification,KINFU Feven (ETH),KAYED Saredo (DJI),KINFU Feven
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ABRHA Gidey,HOUSSEIN Rahma,3,2,"11,11,9,5,11|4,3,11,11,6",,OTHER,WT,2731,Qualification,ABRHA Gidey (ETH),HOUSSEIN Rahma (DJI),ABRHA Gidey
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,RAZAFINARIVO Antoine,ABEJE Eyob Sissay,3,0,"11,11,11|6,6,2",,OTHER,MT,2731,Qualification,RAZAFINARIVO Antoine (MAD),ABEJE Eyob Sissay (ETH),RAZAFINARIVO Antoine
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,NATIVEL Jonathan,DUFERA Darara,3,0,"11,17,11|9,15,7",,OTHER,MT,2731,Qualification,NATIVEL Jonathan (MAD),DUFERA Darara (ETH),NATIVEL Jonathan
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,RAVONISON Stephen,FARIS Aden,3,0,"11,11,11|9,6,8",,OTHER,MT,2731,Qualification,RAVONISON Stephen (MAD),FARIS Aden (ETH),RAVONISON Stephen
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ACHUMA Benjamin Ebenezer,NADIR Mohamed,3,1,"11,5,11,11|9,11,6,7",,OTHER,MT,2731,Qualification,ACHUMA Benjamin Ebenezer (UGA),NADIR Mohamed (SUD),ACHUMA Benjamin Ebenezer
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ANKUNDA Samuel,ELTAYEB Elmutasim,3,1,"11,11,5,11|9,9,11,5",,OTHER,MT,2731,Qualification,ANKUNDA Samuel (UGA),ELTAYEB Elmutasim (SUD),ANKUNDA Samuel
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,LUWOOZA Imran,ADAM Mohammed,3,0,"11,11,11|8,7,9",,OTHER,MT,2731,Qualification,LUWOOZA Imran (UGA),ADAM Mohammed (SUD),LUWOOZA Imran
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,MUTUA Brian,FARIS Aden,3,0,"11,13,11|5,11,9",,OTHER,MT,2731,Qualification,MUTUA Brian (KEN),FARIS Aden (ETH),MUTUA Brian
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,DUFERA Darara,WANDERA Josiah,3,0,"11,11,11|3,7,9",,OTHER,MT,2731,Qualification,WANDERA Josiah (KEN),DUFERA Darara (ETH),DUFERA Darara
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ABEJE Eyob Sissay,MUTURI Peter,3,2,"11,12,10,6,11|6,10,12,11,8",,OTHER,MT,2731,Qualification,MUTURI Peter (KEN),ABEJE Eyob Sissay (ETH),ABEJE Eyob Sissay
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,DUFERA Darara,MUTUA Brian,3,1,"12,5,11,11|10,11,6,8",,OTHER,MT,2731,Qualification,MUTUA Brian (KEN),DUFERA Darara (ETH),DUFERA Darara
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ANKUNDA Samuel,BOURHAN Abdourazak Abdallah,3,0,"11,11,18|7,6,16",,OTHER,MT,2731,Qualification,BOURHAN Abdourazak Abdallah (DJI),ANKUNDA Samuel (UGA),ANKUNDA Samuel
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ACHUMA Benjamin Ebenezer,DJAMAL Ahmed,3,0,"11,11,11|4,9,1",,OTHER,MT,2731,Qualification,DJAMAL Ahmed (DJI),ACHUMA Benjamin Ebenezer (UGA),ACHUMA Benjamin Ebenezer
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,LUWOOZA Imran,MOHAMED Houmed Saido,3,1,"11,9,11,11|6,11,7,7",,OTHER,MT,2731,Qualification,MOHAMED Houmed Saido (DJI),LUWOOZA Imran (UGA),LUWOOZA Imran
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,HOSENALLY Oumehani,PARANJO Rufina,3,0,"11,11,11|5,3,1",,OTHER,WT,2731,Qualification,HOSENALLY Oumehani (MRI),PARANJO Rufina (KEN),HOSENALLY Oumehani
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,JALIM Nandeshwaree,LISA Nasimuyu,3,0,"11,11,11|5,9,8",,OTHER,WT,2731,Qualification,JALIM Nandeshwaree (MRI),LISA Nasimuyu (KEN),JALIM Nandeshwaree
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,KINOO Ruqayyah,SETEY Lydia,3,0,"11,11,11|7,2,6",,OTHER,WT,2731,Qualification,KINOO Ruqayyah (MRI),SETEY Lydia (KEN),KINOO Ruqayyah
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,NAKAWALA Jemimah,GILLO Sentayehu Gebeyehu,3,1,"11,5,11,11|9,11,2,8",,OTHER,WT,2731,Qualification,GILLO Sentayehu Gebeyehu (ETH),NAKAWALA Jemimah (UGA),NAKAWALA Jemimah
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,NANGONZI Judith,KINFU Feven,3,2,"7,12,12,9,12|11,10,10,11,10",,OTHER,WT,2731,Qualification,KINFU Feven (ETH),NANGONZI Judith (UGA),NANGONZI Judith
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ABRHA Gidey,NAMAALA Shanitah,3,0,"11,11,12|8,6,10",,OTHER,WT,2731,Qualification,ABRHA Gidey (ETH),NAMAALA Shanitah (UGA),ABRHA Gidey
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,NANGONZI Judith,GILLO Sentayehu Gebeyehu,3,1,"13,12,9,11|11,10,11,8",,OTHER,WT,2731,Qualification,GILLO Sentayehu Gebeyehu (ETH),NANGONZI Judith (UGA),NANGONZI Judith
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,RAZAFINARIVO Antoine,BOURHAN Abdourazak Abdallah,3,0,"11,11,11|3,7,6",SF,OTHER,MT,2731,Main Draw,BOURHAN Abdourazak Abdallah (DJI),RAZAFINARIVO Antoine (MAD),RAZAFINARIVO Antoine
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,RAKOTOARIMANANA Fabio,HOUD Abdourahman,3,0,"11,11,11|5,7,6",SF,OTHER,MT,2731,Main Draw,HOUD Abdourahman (DJI),RAKOTOARIMANANA Fabio (MAD),RAKOTOARIMANANA Fabio
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,RAVONISON Stephen,AHMED Abdouchakour,3,0,"11,11,11|6,2,4",SF,OTHER,MT,2731,Main Draw,AHMED Abdouchakour (DJI),RAVONISON Stephen (MAD),RAVONISON Stephen
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,DUFERA Darara,ACHUMA Benjamin Ebenezer,3,1,"11,11,9,11|8,6,11,9",SF,OTHER,MT,2731,Main Draw,DUFERA Darara (ETH),ACHUMA Benjamin Ebenezer (UGA),DUFERA Darara
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ANKUNDA Samuel,FARIS Aden,3,1,"10,11,11,12|12,4,5,10",SF,OTHER,MT,2731,Main Draw,FARIS Aden (ETH),ANKUNDA Samuel (UGA),ANKUNDA Samuel
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,ABEJE Eyob Sissay,LUWOOZA Imran,3,1,"9,14,11,11|11,12,9,7",SF,OTHER,MT,2731,Main Draw,ABEJE Eyob Sissay (ETH),LUWOOZA Imran (UGA),ABEJE Eyob Sissay
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,DUFERA Darara,ANKUNDA Samuel,3,1,"11,2,11,11|6,11,9,9",SF,OTHER,MT,2731,Main Draw,DUFERA Darara (ETH),ANKUNDA Samuel (UGA),DUFERA Darara
WTTC 2024 Eastern Africa Regional Qualifications,2023-03-09,HOSENALLY Oumehani,ABRHA Gidey,3,1,"12,6,11,11|10,11,7,7",SF,OTHER,WT,2731,Main Draw,HOSENALLY Oumehani (MRI),ABRHA Gidey (ETH),HOSENALLY Oumehani
