tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,NATHOO Chetan,ISSA Salam,3,0,"0,0,0|0,0,0",,OTHER,MT,2744,Qualification,NATHOO Chetan (RSA),ISSA Salam (MAW),NATHOO Chetan
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,COGILL Theo,HARA Stewart,3,0,"0,0,0|0,0,0",,OTHER,MT,2744,Qualification,COGILL Theo (RSA),HARA Stewart (MAW),COGILL Theo
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,AFRIKA Dominique,SOMBA Abell,3,0,"0,0,0|0,0,0",,OTHER,MT,2744,Qualification,AFRIKA Dominique (RSA),SOMBA Abell (MAW),AFRIKA Dominique
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,ANDRE Elizandro,CHAMBOKO Brian,3,0,"11,11,11|3,8,3",,OTHER,MT,2744,Qualification,ANDRE Elizandro (ANG),CHAMBOKO Brian (ZIM),ANDRE Elizandro
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,NETO Edvane,MBIZI Braete,3,0,"11,11,11|3,4,3",,OTHER,MT,2744,Qualification,NETO Edvane (ANG),MBIZI Braete (ZIM),NETO Edvane
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,MANUEL Domingos,CHAFURAMA Lydale,3,0,"11,11,11|3,3,4",,OTHER,MT,2744,Qualification,MANUEL Domingos (ANG),CHAFURAMA Lydale (ZIM),MANUEL Domingos
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,BANDA Charles,MOTHIBI Khethang,3,1,"11,11,8,11|4,7,11,9",,OTHER,MT,2744,Qualification,BANDA Charles (ZAM),MOTHIBI Khethang (LES),BANDA Charles
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,HAMALAMBO Choolwe,HUSSAIN Talal,3,1,"11,11,8,11|9,5,11,7",,OTHER,MT,2744,Qualification,HAMALAMBO Choolwe (ZAM),HUSSAIN Talal (LES),HAMALAMBO Choolwe
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,MUNGA Emmanuel,TALANE Themba,3,1,"11,11,11,11|8,13,7,9",,OTHER,MT,2744,Qualification,MUNGA Emmanuel (ZAM),TALANE Themba (LES),MUNGA Emmanuel
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,MOOKETSI Ndelu,DREYER Delton,3,0,"11,11,11|6,7,3",,OTHER,MT,2744,Qualification,DREYER Delton (NAM),MOOKETSI Ndelu (BOT),MOOKETSI Ndelu
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,MALOKA Bakang,GREEN Wayne Marlon,3,0,"11,11,11|5,2,8",,OTHER,MT,2744,Qualification,GREEN Wayne Marlon (NAM),MALOKA Bakang (BOT),MALOKA Bakang
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,MALOBELA Boago,ORLAM Ewan,3,0,"11,11,11|3,6,6",,OTHER,MT,2744,Qualification,ORLAM Ewan (NAM),MALOBELA Boago (BOT),MALOBELA Boago
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,SASMAN Jade,MVULA Thandiwe,3,0,"0,0,0|0,0,0",,OTHER,WT,2744,Qualification,SASMAN Jade (RSA),MVULA Thandiwe (MAW),SASMAN Jade
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,EDWARDS Lailaa,PENSULO Shyreen,3,0,"0,0,0|0,0,0",,OTHER,WT,2744,Qualification,EDWARDS Lailaa (RSA),PENSULO Shyreen (MAW),EDWARDS Lailaa
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,PATEL Danisha,MWENIBUNGU Chrissy,3,0,"0,0,0|0,0,0",,OTHER,WT,2744,Qualification,PATEL Danisha (RSA),MWENIBUNGU Chrissy (MAW),PATEL Danisha
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,KUNDA Mubanga,DLAMINI Ashley,3,0,"11,11,11|4,2,7",,OTHER,WT,2744,Qualification,DLAMINI Ashley (ZIM),KUNDA Mubanga (ZAM),KUNDA Mubanga
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,NALAVWE Latifa,MAKUVAZA Vimbai,3,0,"11,11,11|7,7,4",,OTHER,WT,2744,Qualification,MAKUVAZA Vimbai (ZIM),NALAVWE Latifa (ZAM),NALAVWE Latifa
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,MWELWA Janet,BOTERERE Naama,3,0,"11,11,11|5,2,5",,OTHER,WT,2744,Qualification,BOTERERE Naama (ZIM),MWELWA Janet (ZAM),MWELWA Janet
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,TAVARES Ruth,BOFELO Reaboka,3,0,"11,11,11|6,6,4",,OTHER,WT,2744,Qualification,BOFELO Reaboka (LES),TAVARES Ruth (ANG),TAVARES Ruth
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,ALBINO Isabel,CHERE Matseliso,3,0,"11,11,11|4,3,3",,OTHER,WT,2744,Qualification,CHERE Matseliso (LES),ALBINO Isabel (ANG),ALBINO Isabel
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,SOUSA Kailane,MAPESHOANE Tholoanason,3,0,"11,11,11|5,7,5",,OTHER,WT,2744,Qualification,MAPESHOANE Tholoanason (LES),SOUSA Kailane (ANG),SOUSA Kailane
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,KUSWANI Constance,SAUNDERSON Erin,3,1,"11,12,5,11|6,10,11,7",,OTHER,WT,2744,Qualification,SAUNDERSON Erin (NAM),KUSWANI Constance (BOT),KUSWANI Constance
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,REBATENNE Tshepiso,DE KOKER Michelle,3,0,"11,11,11|2,7,4",,OTHER,WT,2744,Qualification,DE KOKER Michelle (NAM),REBATENNE Tshepiso (BOT),REBATENNE Tshepiso
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,RAMAGAPU Olorato,GEORGE Bregida,3,0,"11,11,11|8,5,3",,OTHER,WT,2744,Qualification,GEORGE Bregida  (NAM),RAMAGAPU Olorato (BOT),RAMAGAPU Olorato
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,PATEL Danisha,KUNDA Mubanga,3,0,"11,11,12|8,5,10",,OTHER,WT,2744,Qualification,PATEL Danisha (RSA),KUNDA Mubanga (ZAM),PATEL Danisha
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,SASMAN Jade,NALAVWE Latifa,3,1,"11,11,9,11|9,3,11,4",,OTHER,WT,2744,Qualification,SASMAN Jade (RSA),NALAVWE Latifa (ZAM),SASMAN Jade
WTTC 2024 Southern Africa Regional Qualifications,2023-06-29,MAPHANGA Zodwa,MWELWA Janet,3,1,"11,5,11,11|3,11,5,9",,OTHER,WT,2744,Qualification,MAPHANGA Zodwa (RSA),MWELWA Janet (ZAM),MAPHANGA Zodwa
