tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Champions Montpellier 2024,2024-10-22,HIRANO Miu,SAMARA Elizabeta,3,0,"11,11,11|3,1,5",R32,WTT_CHAMPIONS,WS,2940,Main Draw,HIRANO Miu (JPN),SAMARA Elizabeta (ROU)
WTT Champions Montpellier 2024,2024-10-22,ARUNA Quadri,LUM Nicholas,3,1,"11,11,7,13|5,9,11,11",R32,WTT_CHAMPIONS,MS,2940,Main Draw,ARUNA Quadri (NGR),LUM Nicholas (AUS)
WTT Champions Montpellier 2024,2024-10-22,DOO Hoi Kem,SHAN Xiaona,3,2,"8,12,11,8,13|11,10,8,11,11",R32,WTT_CHAMPIONS,WS,2940,Main Draw,DOO Hoi Kem (HKG),SHAN Xiaona (GER)
WTT Champions Montpellier 2024,2024-10-22,LIANG Jingkun,ROLLAND Jules,3,2,"11,15,7,10,11|7,13,11,12,5",R32,WTT_CHAMPIONS,MS,2940,Main Draw,LIANG Jingkun (CHN),ROLLAND Jules (FRA)
WTT Champions Montpellier 2024,2024-10-22,YUAN Jia Nan,LUTZ Charlotte,3,2,"13,12,5,7,11|11,10,11,11,9",R32,WTT_CHAMPIONS,WS,2940,Main Draw,YUAN Jia Nan (FRA),LUTZ Charlotte (FRA)
WTT Champions Montpellier 2024,2024-10-22,GROTH Jonathan,ASSAR Omar,3,0,"11,11,12|7,9,10",R32,WTT_CHAMPIONS,MS,2940,Main Draw,GROTH Jonathan (DEN),ASSAR Omar (EGY)
WTT Champions Montpellier 2024,2024-10-22,XIANG Peng,GERASSIMENKO Kirill,3,0,"11,11,11|5,5,9",R32,WTT_CHAMPIONS,MS,2940,Main Draw,XIANG Peng (CHN),GERASSIMENKO Kirill (KAZ)
WTT Champions Montpellier 2024,2024-10-22,LIN Yun-Ju,PITCHFORD Liam,3,1,"11,12,9,11|7,10,11,6",R32,WTT_CHAMPIONS,MS,2940,Main Draw,LIN Yun-Ju (TPE),PITCHFORD Liam (ENG)
WTT Champions Montpellier 2024,2024-10-22,ITO Mima,MITTELHAM Nina,3,0,"11,11,11|8,6,9",R32,WTT_CHAMPIONS,WS,2940,Main Draw,ITO Mima (JPN),MITTELHAM Nina (GER)
WTT Champions Montpellier 2024,2024-10-22,TOGAMI Shunsuke,CHO Daeseong,3,1,"12,11,11,11|14,8,9,8",R32,WTT_CHAMPIONS,MS,2940,Main Draw,TOGAMI Shunsuke (JPN),CHO Daeseong (KOR)
WTT Champions Montpellier 2024,2024-10-22,SHIN Yubin,JOO Cheonhui,3,1,"7,11,11,11|11,6,7,8",R32,WTT_CHAMPIONS,WS,2940,Main Draw,SHIN Yubin (KOR),JOO Cheonhui (KOR)
WTT Champions Montpellier 2024,2024-10-22,OH Junsung,KAO Cheng-Jui,3,0,"11,11,12|8,4,10",R32,WTT_CHAMPIONS,MS,2940,Main Draw,OH Junsung (KOR),KAO Cheng-Jui (TPE)
WTT Champions Montpellier 2024,2024-10-22,CHENG I-Ching,BAJOR Natalia,3,0,"11,12,11|5,10,3",R32,WTT_CHAMPIONS,WS,2940,Main Draw,CHENG I-Ching (TPE),BAJOR Natalia (POL)
WTT Champions Montpellier 2024,2024-10-23,SZOCS Bernadette,PARANANG Orawan,3,1,"10,11,12,11|12,8,10,2",R32,WTT_CHAMPIONS,WS,2940,Main Draw,SZOCS Bernadette (ROU),PARANANG Orawan (THA)
WTT Champions Montpellier 2024,2024-10-23,MOREGARD Truls,JORGIC Darko,3,1,"6,13,11,11|11,11,5,1",R32,WTT_CHAMPIONS,MS,2940,Main Draw,MOREGARD Truls (SWE),JORGIC Darko (SLO)
WTT Champions Montpellier 2024,2024-10-23,DIAZ Adriana,AKULA Sreeja,3,2,"6,11,11,8,11|11,7,1,11,8",R32,WTT_CHAMPIONS,WS,2940,Main Draw,DIAZ Adriana (PUR),AKULA Sreeja (IND)
WTT Champions Montpellier 2024,2024-10-23,LEBRUN Felix,GAUZY Simon,3,0,"11,11,12|8,9,10",R32,WTT_CHAMPIONS,MS,2940,Main Draw,LEBRUN Felix (FRA),GAUZY Simon (FRA)
WTT Champions Montpellier 2024,2024-10-23,PAVADE Prithika,SUH Hyo Won,3,1,"11,11,9,11|7,5,11,7",R32,WTT_CHAMPIONS,WS,2940,Main Draw,PAVADE Prithika (FRA),SUH Hyo Won (KOR)
WTT Champions Montpellier 2024,2024-10-23,LEBRUN Alexis,FREITAS Marcos,3,1,"12,9,13,11|10,11,11,9",R32,WTT_CHAMPIONS,MS,2940,Main Draw,LEBRUN Alexis (FRA),FREITAS Marcos (POR)
WTT Champions Montpellier 2024,2024-10-23,GODA Hana,HUANG Yi-Hua,3,1,"11,12,7,11|7,10,11,7",R32,WTT_CHAMPIONS,WS,2940,Main Draw,GODA Hana (EGY),HUANG Yi-Hua (TPE)
WTT Champions Montpellier 2024,2024-10-23,LIN Shidong,ROBLES Alvaro,3,0,"11,11,11|7,4,4",R32,WTT_CHAMPIONS,MS,2940,Main Draw,LIN Shidong (CHN),ROBLES Alvaro (ESP)
WTT Champions Montpellier 2024,2024-10-23,BATRA Manika,ZHANG Lily,3,0,"11,11,12|4,8,10",R32,WTT_CHAMPIONS,WS,2940,Main Draw,BATRA Manika (IND),ZHANG Lily (USA)
WTT Champions Montpellier 2024,2024-10-23,CALDERANO Hugo,LIM Jonghoon,3,0,"11,12,11|8,10,3",R32,WTT_CHAMPIONS,MS,2940,Main Draw,CALDERANO Hugo (BRA),LIM Jonghoon (KOR)
WTT Champions Montpellier 2024,2024-10-23,CHEN Xingtong,TAKAHASHI Bruna,3,1,"11,8,11,11|3,11,1,9",R32,WTT_CHAMPIONS,WS,2940,Main Draw,CHEN Xingtong (CHN),TAKAHASHI Bruna (BRA)
WTT Champions Montpellier 2024,2024-10-23,KALLBERG Anton,AN Jaehyun,3,1,"11,11,8,11|6,6,11,9",R32,WTT_CHAMPIONS,MS,2940,Main Draw,KALLBERG Anton (SWE),AN Jaehyun (KOR)
WTT Champions Montpellier 2024,2024-10-23,HARIMOTO Miwa,LIU Yangzi,3,2,"11,5,11,8,11|8,11,7,11,7",R32,WTT_CHAMPIONS,WS,2940,Main Draw,HARIMOTO Miwa (JPN),LIU Yangzi (AUS)
WTT Champions Montpellier 2024,2024-10-24,LIANG Jingkun,TOGAMI Shunsuke,3,1,"10,11,12,11|12,9,10,6",R16,WTT_CHAMPIONS,MS,2940,Main Draw,LIANG Jingkun (CHN),TOGAMI Shunsuke (JPN)
WTT Champions Montpellier 2024,2024-10-24,SHIN Yubin,DOO Hoi Kem,3,2,"9,9,11,11,11|11,11,7,3,9",R16,WTT_CHAMPIONS,WS,2940,Main Draw,SHIN Yubin (KOR),DOO Hoi Kem (HKG)
WTT Champions Montpellier 2024,2024-10-24,LEBRUN Felix,XIANG Peng,3,1,"11,12,5,11|3,10,11,7",R16,WTT_CHAMPIONS,MS,2940,Main Draw,LEBRUN Felix (FRA),XIANG Peng (CHN)
WTT Champions Montpellier 2024,2024-10-24,CHENG I-Ching,YUAN Jia Nan,3,1,"11,6,11,11|7,11,6,5",R16,WTT_CHAMPIONS,WS,2940,Main Draw,CHENG I-Ching (TPE),YUAN Jia Nan (FRA)
WTT Champions Montpellier 2024,2024-10-24,LIN Yun-Ju,GROTH Jonathan,3,0,"13,12,11|11,10,9",R16,WTT_CHAMPIONS,MS,2940,Main Draw,LIN Yun-Ju (TPE),GROTH Jonathan (DEN)
WTT Champions Montpellier 2024,2024-10-24,WANG Yidi,JEON Jihee,3,0,"11,11,11|6,6,7",R32,WTT_CHAMPIONS,WS,2940,Main Draw,WANG Yidi (CHN),JEON Jihee (KOR)
WTT Champions Montpellier 2024,2024-10-24,FRANZISKA Patrick,LY Edward,3,0,"11,11,11|5,8,8",R32,WTT_CHAMPIONS,MS,2940,Main Draw,FRANZISKA Patrick (GER),LY Edward (CAN)
WTT Champions Montpellier 2024,2024-10-24,QIAN Tianyi,SHI Xunyao,3,2,"8,12,11,7,12|11,10,8,11,10",R32,WTT_CHAMPIONS,WS,2940,Main Draw,QIAN Tianyi (CHN),SHI Xunyao (CHN)
WTT Champions Montpellier 2024,2024-10-24,DUDA Benedikt,LIN Gaoyuan,3,1,"8,11,14,15|11,8,12,13",R32,WTT_CHAMPIONS,MS,2940,Main Draw,DUDA Benedikt (GER),LIN Gaoyuan (CHN)
WTT Champions Montpellier 2024,2024-10-24,ODO Satsuki,MESHREF Dina,3,0,"11,11,11|4,5,6",R32,WTT_CHAMPIONS,WS,2940,Main Draw,ODO Satsuki (JPN),MESHREF Dina (EGY)
WTT Champions Montpellier 2024,2024-10-24,HARIMOTO Tomokazu,UDA Yukiya,3,0,"11,13,11|7,11,3",R32,WTT_CHAMPIONS,MS,2940,Main Draw,HARIMOTO Tomokazu (JPN),UDA Yukiya (JPN)
WTT Champions Montpellier 2024,2024-10-25,BATRA Manika,SZOCS Bernadette,3,1,"11,6,13,11|9,11,11,9",R16,WTT_CHAMPIONS,WS,2940,Main Draw,BATRA Manika (IND),SZOCS Bernadette (ROU)
WTT Champions Montpellier 2024,2024-10-25,FRANZISKA Patrick,CALDERANO Hugo,3,2,"11,11,3,5,11|7,9,11,11,9",R16,WTT_CHAMPIONS,MS,2940,Main Draw,FRANZISKA Patrick (GER),CALDERANO Hugo (BRA)
WTT Champions Montpellier 2024,2024-10-25,ITO Mima,PAVADE Prithika,3,0,"11,11,11|4,8,3",R16,WTT_CHAMPIONS,WS,2940,Main Draw,ITO Mima (JPN),PAVADE Prithika (FRA)
WTT Champions Montpellier 2024,2024-10-25,LEBRUN Alexis,MOREGARD Truls,3,1,"11,9,11,11|9,11,3,3",R16,WTT_CHAMPIONS,MS,2940,Main Draw,LEBRUN Alexis (FRA),MOREGARD Truls (SWE)
WTT Champions Montpellier 2024,2024-10-25,GODA Hana,CHEN Xingtong,3,1,"11,12,5,11|6,10,11,7",R16,WTT_CHAMPIONS,WS,2940,Main Draw,GODA Hana (EGY),CHEN Xingtong (CHN)
WTT Champions Montpellier 2024,2024-10-25,LIN Shidong,OH Junsung,3,1,"11,9,11,11|7,11,4,7",R16,WTT_CHAMPIONS,MS,2940,Main Draw,LIN Shidong (CHN),OH Junsung (KOR)
WTT Champions Montpellier 2024,2024-10-25,QIAN Tianyi,WANG Yidi,3,0,"11,11,13|7,9,11",R16,WTT_CHAMPIONS,WS,2940,Main Draw,QIAN Tianyi (CHN),WANG Yidi (CHN)
WTT Champions Montpellier 2024,2024-10-25,DUDA Benedikt,ARUNA Quadri,3,0,"11,11,18|7,4,16",R16,WTT_CHAMPIONS,MS,2940,Main Draw,DUDA Benedikt (GER),ARUNA Quadri (NGR)
WTT Champions Montpellier 2024,2024-10-25,HARIMOTO Miwa,DIAZ Adriana,3,0,"12,11,11|10,4,7",R16,WTT_CHAMPIONS,WS,2940,Main Draw,HARIMOTO Miwa (JPN),DIAZ Adriana (PUR)
