tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Contender Mendoza 2024,2024-05-27,ORENCEL Alexis,CALLABA Nicolas,3,2,"8,11,12,12,11|11,8,10,14,3",QR1,WTT_CONTENDER,MS,2934,Qualification,ORENCEL Alexis (ARG),CALLABA Nicolas (ARG),ORENCEL Alexis
WTT Contender Mendoza 2024,2024-05-27,ARAPOVIC Hana,WATANABE Laura,3,0,"11,11,11|3,7,5",QR1,WTT_CONTENDER,WS,2934,Qualification,ARAPOVIC Hana (CRO),WATANABE Laura (BRA),ARAPOVIC Hana
WTT Contender Mendoza 2024,2024-05-27,ALTINKAYA Sibel,STRASSBURGER Victoria,3,0,"11,11,13|9,5,11",QR1,WTT_CONTENDER,WS,2934,Qualification,ALTINKAYA Sibel (TUR),STRASSBURGER Victoria (BRA),ALTINKAYA Sibel
WTT Contender Mendoza 2024,2024-05-27,GUISNEL Oceane,RIOS Valentina,3,0,"11,11,11|5,5,6",QR1,WTT_CONTENDER,WS,2934,Qualification,GUISNEL Oceane (FRA),RIOS Valentina (CHI),GUISNEL Oceane
WTT Contender Mendoza 2024,2024-05-27,COSSIO ACEVES Arantxa,PRATES Jessica,3,1,"4,11,11,11|11,7,7,7",QR1,WTT_CONTENDER,WS,2934,Qualification,COSSIO ACEVES Arantxa (MEX),PRATES Jessica (BRA),COSSIO ACEVES Arantxa
WTT Contender Mendoza 2024,2024-05-27,SCHREINER Franziska,IWASA Abril,3,0,"11,11,11|2,4,3",QR1,WTT_CONTENDER,WS,2934,Qualification,SCHREINER Franziska (GER),IWASA Abril (ARG),SCHREINER Franziska
WTT Contender Mendoza 2024,2024-05-28,STOYANOV Niagol,PUPPO Andrea,3,2,"11,5,9,11,12|6,11,11,4,10",QR2,WTT_CONTENDER,MS,2934,Qualification,STOYANOV Niagol (ITA),PUPPO Andrea (ITA),STOYANOV Niagol
WTT Contender Mendoza 2024,2024-05-28,ALTO Gaston,MENG Fanbo,3,2,"11,6,11,10,11|9,11,9,12,6",QR2,WTT_CONTENDER,MS,2934,Qualification,ALTO Gaston (ARG),MENG Fanbo (GER),ALTO Gaston
WTT Contender Mendoza 2024,2024-05-28,MLADENOVIC Luka,SATO Lautaro,3,0,"11,11,12|9,4,10",QR2,WTT_CONTENDER,MS,2934,Qualification,MLADENOVIC Luka (LUX),SATO Lautaro (ARG),MLADENOVIC Luka
WTT Contender Mendoza 2024,2024-05-28,ZARIF Audrey,LIAO Ivy,3,0,"11,11,11|5,3,6",QR1,WTT_CONTENDER,WS,2934,Qualification,ZARIF Audrey (FRA),LIAO Ivy (CAN),ZARIF Audrey
WTT Contender Mendoza 2024,2024-05-28,BURGOS Brianna,SANCHI Candela,3,1,"11,11,7,11|3,6,11,8",QR1,WTT_CONTENDER,WS,2934,Qualification,BURGOS Brianna (PUR),SANCHI Candela (ITA),BURGOS Brianna
WTT Contender Mendoza 2024,2024-05-28,TEODORO Guilherme,MOYA Manuel,3,0,"11,11,11|2,9,3",QR2,WTT_CONTENDER,MS,2934,Qualification,TEODORO Guilherme (BRA),MOYA Manuel (CHI),TEODORO Guilherme
WTT Contender Mendoza 2024,2024-05-28,ISHIY Vitor,GONZALES Oscar Enrique,3,1,"15,11,11,11|17,8,6,4",QR2,WTT_CONTENDER,MS,2934,Qualification,ISHIY Vitor (BRA),GONZALES Oscar Enrique (ARG),ISHIY Vitor
WTT Contender Mendoza 2024,2024-05-28,PISTEJ Lubomir,ORENCEL Alexis,3,0,"11,11,11|9,5,7",QR2,WTT_CONTENDER,MS,2934,Qualification,PISTEJ Lubomir (SVK),ORENCEL Alexis (ARG),PISTEJ Lubomir
WTT Contender Mendoza 2024,2024-05-28,ISHIDA Carlos,DESCHAMPS Hugo,3,1,"11,11,8,11|6,6,11,6",QR2,WTT_CONTENDER,MS,2934,Qualification,ISHIDA Carlos (BRA),DESCHAMPS Hugo (FRA),ISHIDA Carlos
WTT Contender Mendoza 2024,2024-05-28,ANDERSEN Martin Buch,RASSENFOSSE Adrien,3,2,"11,11,8,4,13|7,9,11,11,11",QR2,WTT_CONTENDER,MS,2934,Qualification,ANDERSEN Martin Buch (DEN),RASSENFOSSE Adrien (BEL),ANDERSEN Martin Buch
WTT Contender Mendoza 2024,2024-05-28,BARDET Lilian,SANCHI Tomas,3,1,"12,11,7,11|10,8,11,9",QR2,WTT_CONTENDER,MS,2934,Qualification,BARDET Lilian (FRA),SANCHI Tomas (ITA),BARDET Lilian
WTT Contender Mendoza 2024,2024-05-28,CORDERO Lucia,STOLARSKI Lhays,3,0,"11,11,11|6,8,6",QR1,WTT_CONTENDER,WS,2934,Qualification,CORDERO Lucia (GUA),STOLARSKI Lhays (BRA),CORDERO Lucia
WTT Contender Mendoza 2024,2024-05-28,MUTTI Matteo,PORET Thibault,3,2,"11,11,8,7,11|6,4,11,11,8",QR2,WTT_CONTENDER,MS,2934,Qualification,MUTTI Matteo (ITA),PORET Thibault (FRA),MUTTI Matteo
WTT Contender Mendoza 2024,2024-05-28,WALTHER Ricardo,ALTO Luciano,3,1,"8,11,11,11|11,3,6,6",QR2,WTT_CONTENDER,MS,2934,Qualification,WALTHER Ricardo (GER),ALTO Luciano (ARG),WALTHER Ricardo
WTT Contender Mendoza 2024,2024-05-28,ZHANG Sofia-Xuan,MORET Rachel,3,1,"11,5,11,11|5,11,8,9",QR1,WTT_CONTENDER,WS,2934,Qualification,ZHANG Sofia-Xuan (ESP),MORET Rachel (SUI),ZHANG Sofia-Xuan
WTT Contender Mendoza 2024,2024-05-28,LOEUILLETTE Stephanie,MARCHETTI Nathalie,3,2,"11,7,11,5,11|9,11,5,11,9",QR1,WTT_CONTENDER,WS,2934,Qualification,LOEUILLETTE Stephanie (FRA),MARCHETTI Nathalie (BEL),LOEUILLETTE Stephanie
WTT Contender Mendoza 2024,2024-05-28,LABOSOVA Ema,VEGA Paulina,3,1,"12,7,11,11|10,11,7,5",QR1,WTT_CONTENDER,WS,2934,Qualification,LABOSOVA Ema (SVK),VEGA Paulina (CHI),LABOSOVA Ema
WTT Contender Mendoza 2024,2024-05-28,OLAH Benedek,SHAH Manush Utpalbhai,3,0,"11,11,11|5,5,7",QR2,WTT_CONTENDER,MS,2934,Qualification,OLAH Benedek (FIN),SHAH Manush Utpalbhai (IND),OLAH Benedek
WTT Contender Mendoza 2024,2024-05-28,ZHMUDENKO Yaroslav,YANG Tzu-Yi,3,0,"11,13,14|9,11,12",QR2,WTT_CONTENDER,MS,2934,Qualification,ZHMUDENKO Yaroslav (UKR),YANG Tzu-Yi (TPE),ZHMUDENKO Yaroslav
WTT Contender Mendoza 2024,2024-05-28,NUYTINCK Cedric,IIZUKA Leonardo,3,0,"11,11,11|7,9,8",QR2,WTT_CONTENDER,MS,2934,Qualification,NUYTINCK Cedric (BEL),IIZUKA Leonardo (BRA),NUYTINCK Cedric
WTT Contender Mendoza 2024,2024-05-28,KANG Dongsoo,SAAVEDRA Tomas,3,0,"11,11,11|6,9,4",QR2,WTT_CONTENDER,MS,2934,Qualification,KANG Dongsoo (KOR),SAAVEDRA Tomas (ARG),KANG Dongsoo
