tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Contender Muscat 2024,2024-10-28,YIU Kwan To,SHAMS Hamid,3,1,"10,11,11,11|12,6,4,9",QR1,WTT_CONTENDER,MS,2997,Qualification,YIU Kwan To (HKG),SHAMS Hamid (IRI),YIU Kwan To
WTT Contender Muscat 2024,2024-10-28,LI Hon Ming,ALIGHARDASHI Amirhossein,3,0,"11,11,11|8,7,8",QR1,WTT_CONTENDER,MS,2997,Qualification,LI Hon Ming (HKG),ALIGHARDASHI Amirhossein (IRI),LI Hon Ming
WTT Contender Muscat 2024,2024-10-28,HO Kwan Kit,KWAN Man Ho,3,1,"10,11,11,11|12,5,4,6",QR1,WTT_CONTENDER,MS,2997,Qualification,HO Kwan Kit (HKG),KWAN Man Ho (HKG),HO Kwan Kit
WTT Contender Muscat 2024,2024-10-28,JANG Seongil,GHASSANI Ghassan AL,3,0,"11,11,11|9,2,3",QR1,WTT_CONTENDER,MS,2997,Qualification,JANG Seongil (KOR),GHASSANI Ghassan AL (OMA),JANG Seongil
WTT Contender Muscat 2024,2024-10-28,YUAN Licen,JAIN Payas,3,1,"3,11,11,11|11,8,9,7",QR1,WTT_CONTENDER,MS,2997,Qualification,YUAN Licen (CHN),JAIN Payas (IND),YUAN Licen
WTT Contender Muscat 2024,2024-10-28,WOO Hyeonggyu,AL JASSASI Bader,3,0,"11,11,11|2,4,2",QR1,WTT_CONTENDER,MS,2997,Qualification,WOO Hyeonggyu (KOR),AL JASSASI Bader (OMA),WOO Hyeonggyu
WTT Contender Muscat 2024,2024-10-28,PARK Gyuhyeon,GHOSH Anirban,3,0,"11,11,11|5,6,5",QR1,WTT_CONTENDER,MS,2997,Qualification,PARK Gyuhyeon (KOR),GHOSH Anirban (IND),PARK Gyuhyeon
WTT Contender Muscat 2024,2024-10-28,KESHAVARZI Amirmahdi,CHEW Zhe Yu Clarence,3,0,"11,11,11|2,8,7",QR1,WTT_CONTENDER,MS,2997,Qualification,KESHAVARZI Amirmahdi (IRI),CHEW Zhe Yu Clarence (SGP),KESHAVARZI Amirmahdi
WTT Contender Muscat 2024,2024-10-28,FARAJI Benyamin,AL BALUSHI Muhannad,3,0,"11,11,13|2,2,11",QR1,WTT_CONTENDER,MS,2997,Qualification,FARAJI Benyamin (IRI),AL BALUSHI Muhannad (OMA),FARAJI Benyamin
WTT Contender Muscat 2024,2024-10-28,PAU Yik Man,BALUSHI Nasser Saif Nas AL,3,0,"11,11,11|3,6,2",QR1,WTT_CONTENDER,MS,2997,Qualification,PAU Yik Man (HKG),BALUSHI Nasser Saif Nas AL (OMA),PAU Yik Man
WTT Contender Muscat 2024,2024-10-28,PAL Akash,CHUA Josh Shao Han,3,0,"11,11,11|3,4,8",QR1,WTT_CONTENDER,MS,2997,Qualification,PAL Akash (IND),CHUA Josh Shao Han (SGP),PAL Akash
