tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Beirut 2024,2024-03-19,THAKKAR Manav Vikash/KAMATH Archana Girish,KENZHIGULOV Aidos/AKASHEVA Zauresh,3,2,"7,9,11,11,11|11,11,5,5,8",R16,WTT_FEEDER,XD,2893,Main Draw,THAKKAR Manav Vikash/KAMATH Archana Girish (IND),KENZHIGULOV Aidos/AKASHEVA Zauresh (KAZ)
WTT Feeder Beirut 2024,2024-03-19,SHAH Manush Utpalbhai/CHITALE Diya Parag,CHANDRA Jeet/SELVAKUMAR Selena,3,2,"11,8,11,8,11|7,11,6,11,6",R16,WTT_FEEDER,XD,2893,Main Draw,SHAH Manush Utpalbhai/CHITALE Diya Parag (IND),CHANDRA Jeet/SELVAKUMAR Selena (IND)
WTT Feeder Beirut 2024,2024-03-19,CAMPOS Jorge/FONSECA CARRAZANA Daniela,ZAKHAROV Vladislav/ASHKEYEVA Aray,3,0,"11,11,11|9,5,9",R16,WTT_FEEDER,XD,2893,Main Draw,CAMPOS Jorge/FONSECA CARRAZANA Daniela (CUB),ZAKHAROV Vladislav/ASHKEYEVA Aray (KAZ)
WTT Feeder Beirut 2024,2024-03-19,LEVAJAC Dimitrije/LUPULESKU Izabela,ZHUBANOV Sanzhar/BAKHYT Anel,3,0,"11,12,13|7,10,11",R16,WTT_FEEDER,XD,2893,Main Draw,LEVAJAC Dimitrije/LUPULESKU Izabela (SRB),ZHUBANOV Sanzhar/BAKHYT Anel (KAZ)
WTT Feeder Beirut 2024,2024-03-19,GNANASEKARAN Sathiyan/BATRA Manika,BEN ATTIA Youssef/HANFFOU Sarah,3,0,"11,11,11|8,3,5",R16,WTT_FEEDER,XD,2893,Main Draw,GNANASEKARAN Sathiyan/BATRA Manika (IND),BEN ATTIA Youssef/HANFFOU Sarah (TUN/CMR)
WTT Feeder Beirut 2024,2024-03-19,PAL Akash/BAISYA Poymantee,HELMY Mahmoud/HELMY Yousra,3,2,"11,11,6,4,14|5,2,11,11,12",R16,WTT_FEEDER,XD,2893,Main Draw,PAL Akash/BAISYA Poymantee (IND),HELMY Mahmoud/HELMY Yousra (EGY)
WTT Feeder Beirut 2024,2024-03-19,MLADENOVIC Luka/NI Xia Lian,SURAVAJJULA Snehit/AKULA Sreeja,3,0,"11,11,11|4,4,8",R16,WTT_FEEDER,XD,2893,Main Draw,MLADENOVIC Luka/NI Xia Lian (LUX),SURAVAJJULA Snehit/AKULA Sreeja (IND)
WTT Feeder Beirut 2024,2024-03-19,GUNDUZ Ibrahim/ALTINKAYA Sibel,KHARKI Iskender/ROMANOVSKAYA Angelina,3,0,"11,11,11|7,5,4",R16,WTT_FEEDER,XD,2893,Main Draw,GUNDUZ Ibrahim/ALTINKAYA Sibel (TUR),KHARKI Iskender/ROMANOVSKAYA Angelina (KAZ)
WTT Feeder Beirut 2024,2024-03-19,NUYTINCK Cedric,ZAKHAROV Vladislav,3,1,"8,11,11,11|11,9,5,5",R32,WTT_FEEDER,MS,2893,Main Draw,NUYTINCK Cedric (BEL),ZAKHAROV Vladislav (KAZ)
WTT Feeder Beirut 2024,2024-03-19,AN Jaehyun,KENZHIGULOV Aidos,3,1,"11,9,11,11|3,11,9,8",R32,WTT_FEEDER,MS,2893,Main Draw,AN Jaehyun (KOR),KENZHIGULOV Aidos (KAZ)
WTT Feeder Beirut 2024,2024-03-19,SHAMS Navid,ALDMAISY Zeyad,3,0,"12,11,11|10,5,5",R32,WTT_FEEDER,MS,2893,Main Draw,SHAMS Navid (IRI),ALDMAISY Zeyad (JOR)
WTT Feeder Beirut 2024,2024-03-19,THAKKAR Manav Vikash,BEN ATTIA Youssef,3,0,"11,11,11|4,5,6",R32,WTT_FEEDER,MS,2893,Main Draw,THAKKAR Manav Vikash (IND),BEN ATTIA Youssef (TUN)
WTT Feeder Beirut 2024,2024-03-19,SGOUROPOULOS Ioannis,ABO YAMAN Zaid,3,0,"11,11,11|5,6,4",R32,WTT_FEEDER,MS,2893,Main Draw,SGOUROPOULOS Ioannis (GRE),ABO YAMAN Zaid (JOR)
WTT Feeder Beirut 2024,2024-03-19,DESAI Harmeet,MOUKHTAR Hilal,3,0,"11,11,11|3,6,7",R32,WTT_FEEDER,MS,2893,Main Draw,DESAI Harmeet (IND),MOUKHTAR Hilal (LBN)
WTT Feeder Beirut 2024,2024-03-19,CHUANG Chih-Yuan,DANI Mudit,3,0,"11,11,11|7,5,4",R32,WTT_FEEDER,MS,2893,Main Draw,CHUANG Chih-Yuan (TPE),DANI Mudit (IND)
WTT Feeder Beirut 2024,2024-03-19,MADRID Marcos,AL DAKDOUKI Ramez,3,0,"11,11,11|3,4,1",R32,WTT_FEEDER,MS,2893,Main Draw,MADRID Marcos (MEX),AL DAKDOUKI Ramez (LBN)
WTT Feeder Beirut 2024,2024-03-19,PEREIRA Andy,LEVAJAC Dimitrije,3,1,"11,13,7,11|6,11,11,7",R32,WTT_FEEDER,MS,2893,Main Draw,PEREIRA Andy (CUB),LEVAJAC Dimitrije (SRB)
WTT Feeder Beirut 2024,2024-03-19,SALEH Ahmed,KHARKI Iskender,3,1,"11,4,12,11|9,11,10,5",R32,WTT_FEEDER,MS,2893,Main Draw,SALEH Ahmed (EGY),KHARKI Iskender (KAZ)
WTT Feeder Beirut 2024,2024-03-19,CHANDRA Jeet,JARVIS Tom,3,2,"7,14,7,11,11|11,12,11,7,9",R32,WTT_FEEDER,MS,2893,Main Draw,CHANDRA Jeet (IND),JARVIS Tom (ENG)
WTT Feeder Beirut 2024,2024-03-19,GNANASEKARAN Sathiyan,WALKER Samuel,3,1,"7,14,11,11|11,12,7,5",R32,WTT_FEEDER,MS,2893,Main Draw,GNANASEKARAN Sathiyan (IND),WALKER Samuel (ENG)
WTT Feeder Beirut 2024,2024-03-19,JOUTI Eric,GUNDUZ Ibrahim,3,1,"11,1,11,11|4,11,7,6",R32,WTT_FEEDER,MS,2893,Main Draw,JOUTI Eric (BRA),GUNDUZ Ibrahim (TUR)
WTT Feeder Beirut 2024,2024-03-19,SHAH Manush Utpalbhai,STOYANOV Niagol,3,2,"7,8,11,16,11|11,11,4,14,5",R32,WTT_FEEDER,MS,2893,Main Draw,SHAH Manush Utpalbhai (IND),STOYANOV Niagol (ITA)
WTT Feeder Beirut 2024,2024-03-19,HELMY Mahmoud,AFANADOR Brian,3,2,"1,11,9,11,11|11,9,11,5,5",R32,WTT_FEEDER,MS,2893,Main Draw,HELMY Mahmoud (EGY),AFANADOR Brian (PUR)
WTT Feeder Beirut 2024,2024-03-19,SURAVAJJULA Snehit,KHADER Khaled,3,1,"10,11,12,11|12,5,10,3",R32,WTT_FEEDER,MS,2893,Main Draw,SURAVAJJULA Snehit (IND),KHADER Khaled (JOR)
WTT Feeder Beirut 2024,2024-03-19,AKASHEVA Zauresh,DE NUTTE Sarah,3,2,"11,4,9,11,15|8,11,11,5,13",R32,WTT_FEEDER,WS,2893,Main Draw,AKASHEVA Zauresh (KAZ),DE NUTTE Sarah (LUX)
WTT Feeder Beirut 2024,2024-03-19,SUH Hyo Won,ROY Krittwika,3,1,"11,7,11,11|9,11,6,8",R32,WTT_FEEDER,WS,2893,Main Draw,SUH Hyo Won (KOR),ROY Krittwika (IND)
WTT Feeder Beirut 2024,2024-03-19,ALTINKAYA Sibel,NAINA Ms.,3,0,"11,11,11|4,6,7",R32,WTT_FEEDER,WS,2893,Main Draw,ALTINKAYA Sibel (TUR),NAINA Ms. (IND)
WTT Feeder Beirut 2024,2024-03-19,CHITALE Diya Parag,HANFFOU Sarah,3,1,"12,11,4,11|10,6,11,6",R32,WTT_FEEDER,WS,2893,Main Draw,CHITALE Diya Parag (IND),HANFFOU Sarah (CMR)
WTT Feeder Beirut 2024,2024-03-19,NI Xia Lian,MANTZ Chantal,3,1,"9,11,11,11|11,9,5,8",R32,WTT_FEEDER,WS,2893,Main Draw,NI Xia Lian (LUX),MANTZ Chantal (GER)
WTT Feeder Beirut 2024,2024-03-19,HUANG Yi-Hua,ARGUELLES Camila,3,0,"11,11,11|4,4,5",R32,WTT_FEEDER,WS,2893,Main Draw,HUANG Yi-Hua (TPE),ARGUELLES Camila (ARG)
WTT Feeder Beirut 2024,2024-03-19,BADAWY Farida,CODINA Ana,3,1,"11,11,8,11|5,5,11,6",R32,WTT_FEEDER,WS,2893,Main Draw,BADAWY Farida (EGY),CODINA Ana (ARG)
WTT Feeder Beirut 2024,2024-03-19,MAGDIEVA Markhabo,HELMY Yousra,3,0,"11,11,11|5,3,1",R32,WTT_FEEDER,WS,2893,Main Draw,MAGDIEVA Markhabo (UZB),HELMY Yousra (EGY)
WTT Feeder Beirut 2024,2024-03-19,CHEN Szu-Yu,SELVAKUMAR Selena,3,0,"11,11,11|5,8,6",R32,WTT_FEEDER,WS,2893,Main Draw,CHEN Szu-Yu (TPE),SELVAKUMAR Selena (IND)
WTT Feeder Beirut 2024,2024-03-19,MUKHERJEE Ayhika,FONSECA CARRAZANA Daniela,3,2,"12,11,8,5,11|10,4,11,11,8",R32,WTT_FEEDER,WS,2893,Main Draw,MUKHERJEE Ayhika (IND),FONSECA CARRAZANA Daniela (CUB)
WTT Feeder Beirut 2024,2024-03-19,KAMATH Archana Girish,AL-WEDIAN Bara,3,0,"11,11,11|8,8,2",R32,WTT_FEEDER,WS,2893,Main Draw,KAMATH Archana Girish (IND),AL-WEDIAN Bara (JOR)
WTT Feeder Beirut 2024,2024-03-19,LUPULESKU Izabela,BAKHYT Anel,3,1,"11,9,11,11|7,11,5,5",R32,WTT_FEEDER,WS,2893,Main Draw,LUPULESKU Izabela (SRB),BAKHYT Anel (KAZ)
WTT Feeder Beirut 2024,2024-03-19,ZHU Chengzhu,KHADJIEVA Rozalina,3,0,"11,11,11|8,8,9",R32,WTT_FEEDER,WS,2893,Main Draw,ZHU Chengzhu (HKG),KHADJIEVA Rozalina (UZB)
WTT Feeder Beirut 2024,2024-03-19,DOO Hoi Kem,MARCHETTI Nathalie,3,1,"16,11,9,11|14,3,11,2",R32,WTT_FEEDER,WS,2893,Main Draw,DOO Hoi Kem (HKG),MARCHETTI Nathalie (BEL)
WTT Feeder Beirut 2024,2024-03-19,AKULA Sreeja,ASHTARI Mahshid,3,0,"11,11,11|4,3,8",R32,WTT_FEEDER,WS,2893,Main Draw,AKULA Sreeja (IND),ASHTARI Mahshid (IRI)
WTT Feeder Beirut 2024,2024-03-19,PEREIRA Andy/CAMPOS Jorge,KENZHIGULOV Aidos/ZHUBANOV Sanzhar,3,2,"11,11,11,10,11|7,13,8,12,9",R16,WTT_FEEDER,MD,2893,Main Draw,PEREIRA Andy/CAMPOS Jorge (CUB),KENZHIGULOV Aidos/ZHUBANOV Sanzhar (KAZ)
WTT Feeder Beirut 2024,2024-03-19,FAHES Ghaleb/HARB Bassel,MOUKHTAR Hilal/HARB Ahmad Hussein,3,2,"6,11,11,12,15|11,6,6,14,13",R16,WTT_FEEDER,MD,2893,Main Draw,FAHES Ghaleb/HARB Bassel (LBN),MOUKHTAR Hilal/HARB Ahmad Hussein (LBN)
WTT Feeder Beirut 2024,2024-03-19,MORET Rachel,AZAR Laetitia,3,0,"11,11,11|3,3,2",R32,WTT_FEEDER,WS,2893,Main Draw,MORET Rachel (SUI),AZAR Laetitia (LBN)
WTT Feeder Beirut 2024,2024-03-19,DANI Mudit/PAL Akash,ABO YAMAN Zaid/ALDMAISY Zeyad,3,2,"11,10,6,11,11|7,12,11,6,7",R16,WTT_FEEDER,MD,2893,Main Draw,DANI Mudit/PAL Akash (IND),ABO YAMAN Zaid/ALDMAISY Zeyad (JOR)
WTT Feeder Beirut 2024,2024-03-19,HABACH SaadEddine/HABACH Mohamed Nour,GUBRAN Ebrahim/KHADER Khaled,3,1,"11,11,8,11|3,7,11,7",R16,WTT_FEEDER,MD,2893,Main Draw,HABACH SaadEddine/HABACH Mohamed Nour (LBN),GUBRAN Ebrahim/KHADER Khaled (YEM/JOR)
WTT Feeder Beirut 2024,2024-03-19,CHBIB Hassan/HARB Ahmad,ABDALLAH Karim/SAFADIEH Bassam,3,2,"9,11,12,7,11|11,8,10,11,6",R16,WTT_FEEDER,MD,2893,Main Draw,CHBIB Hassan/HARB Ahmad (LBN),ABDALLAH Karim/SAFADIEH Bassam (LBN)
