tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Star Contender Bangkok 2024,2024-07-02,MAUNGWHAN Chayaduj,LIM Yunoh,3,2,"11,6,10,11,11|8,11,12,8,9",QR1,WTT_STAR_CONTENDER,MS,2900,Qualification,MAUNGWHAN Chayaduj (THA),LIM Yunoh (KOR)
WTT Star Contender Bangkok 2024,2024-07-02,JERMPLONG Sataporn,NUCHCHART Sitisak,3,0,"13,11,13|11,8,11",QR1,WTT_STAR_CONTENDER,MS,2900,Qualification,JERMPLONG Sataporn (THA),NUCHCHART Sitisak (THA)
WTT Star Contender Bangkok 2024,2024-07-02,KIM Seongjin,KOLA Nanapat,3,0,"11,11,11|8,4,5",QR1,WTT_STAR_CONTENDER,WS,2900,Qualification,KIM Seongjin (KOR),KOLA Nanapat (THA)
WTT Star Contender Bangkok 2024,2024-07-02,YOO Yerin,DERUJIJAROEN Khemisarar,3,1,"11,11,8,11|5,8,11,8",QR1,WTT_STAR_CONTENDER,WS,2900,Qualification,YOO Yerin (KOR),DERUJIJAROEN Khemisarar (THA)
WTT Star Contender Bangkok 2024,2024-07-02,KASEMPHONGRUEANG Jirathtikul,SAKAMPEE Weerasak,3,2,"11,11,8,11,11|6,13,11,9,4",QR1,WTT_STAR_CONTENDER,MS,2900,Qualification,KASEMPHONGRUEANG Jirathtikul (THA),SAKAMPEE Weerasak (THA)
WTT Star Contender Bangkok 2024,2024-07-02,BERTRAND Irvin,THANANANPONG Issarawut,3,0,"11,11,11|0,7,9",QR1,WTT_STAR_CONTENDER,MS,2900,Qualification,BERTRAND Irvin (FRA),THANANANPONG Issarawut (THA)
WTT Star Contender Bangkok 2024,2024-07-02,JOO Cheonhui/KIM Seongjin,CHANVANITBORIKAN Pacharaphorn/PANKHAOYOY Supamas,3,1,"11,11,9,11|5,9,11,6",QR1,WTT_STAR_CONTENDER,WD,2900,Qualification,JOO Cheonhui/KIM Seongjin (KOR),CHANVANITBORIKAN Pacharaphorn/PANKHAOYOY Supamas (THA)
WTT Star Contender Bangkok 2024,2024-07-02,KIM Seoyun/LEE Daeun,WANG Yi-Ju/HUANG Yi-Hua,3,1,"11,6,11,11|4,11,5,9",QR1,WTT_STAR_CONTENDER,WD,2900,Qualification,KIM Seoyun/LEE Daeun (KOR),WANG Yi-Ju/HUANG Yi-Hua (TPE)
WTT Star Contender Bangkok 2024,2024-07-02,YOO Yerin/CHOI Nahyun,KOLA Nanapat/DERUJIJAROEN Khemisarar,3,0,"11,12,11|8,10,9",QR1,WTT_STAR_CONTENDER,WD,2900,Qualification,YOO Yerin/CHOI Nahyun (KOR),KOLA Nanapat/DERUJIJAROEN Khemisarar (THA)
WTT Star Contender Bangkok 2024,2024-07-02,PICARD Vincent/SEYFRIED Joe,SANGUANSIN Phakpoom/TANVIRIYAVECHAKUL Padasak,3,2,"9,10,11,14,11|11,12,7,12,5",QR1,WTT_STAR_CONTENDER,MD,2900,Qualification,PICARD Vincent/SEYFRIED Joe (FRA),SANGUANSIN Phakpoom/TANVIRIYAVECHAKUL Padasak (THA)
WTT Star Contender Bangkok 2024,2024-07-02,MAUNGWHAN Chayaduj/SAELEE Puripong,JERMPLONG Sataporn/THANMATHIKOM Tanapat,3,2,"8,4,11,12,11|11,11,5,10,6",QR1,WTT_STAR_CONTENDER,MD,2900,Qualification,MAUNGWHAN Chayaduj/SAELEE Puripong (THA),JERMPLONG Sataporn/THANMATHIKOM Tanapat (THA)
WTT Star Contender Bangkok 2024,2024-07-02,MEKAMPORN Nawin,PANFUENG Bhudej,3,0,"11,11,11|9,6,2",QR1,WTT_STAR_CONTENDER,MS,2900,Qualification,MEKAMPORN Nawin (THA),PANFUENG Bhudej (THA)
WTT Star Contender Bangkok 2024,2024-07-02,RUIZ Romain,CHUA Josh Shao Han,3,0,"11,11,11|9,6,7",QR1,WTT_STAR_CONTENDER,MS,2900,Qualification,RUIZ Romain (FRA),CHUA Josh Shao Han (SGP)
WTT Star Contender Bangkok 2024,2024-07-02,SIM Hyunju,CHOI Nahyun,3,2,"11,11,7,8,11|7,9,11,11,6",QR1,WTT_STAR_CONTENDER,WS,2900,Qualification,SIM Hyunju (KOR),CHOI Nahyun (KOR)
WTT Star Contender Bangkok 2024,2024-07-02,WANG Yi-Ju,CHANVANITBORIKAN Pacharaphorn,3,0,"11,13,11|9,11,6",QR1,WTT_STAR_CONTENDER,WS,2900,Qualification,WANG Yi-Ju (TPE),CHANVANITBORIKAN Pacharaphorn (THA)
WTT Star Contender Bangkok 2024,2024-07-03,TANVIRIYAVECHAKUL Padasak,YIU Kwan To,3,2,"17,9,11,11,11|19,11,4,6,8",QR2,WTT_STAR_CONTENDER,MS,2900,Qualification,TANVIRIYAVECHAKUL Padasak (THA),YIU Kwan To (HKG)
WTT Star Contender Bangkok 2024,2024-07-03,BOURRASSAUD Florian,SEYFRIED Joe,3,2,"11,10,11,9,11|8,12,2,11,2",QR2,WTT_STAR_CONTENDER,MS,2900,Qualification,BOURRASSAUD Florian (FRA),SEYFRIED Joe (FRA)
