tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2025 National Games (Women's Singles),2025-11-08,范思琦,朱成竹,CHN,CHN,4,3,,R64,CN_NATIONAL_GAMES,WS,,Main Draw,范思琦,朱成竹
2025 National Games (Women's Singles),2025-11-08,袁雪娇,刘炜珊,CHN,CHN,1,4,,R64,CN_NATIONAL_GAMES,WS,,Main Draw,袁雪娇,刘炜珊
2025 National Games (Women's Singles),2025-11-09,王艺迪,张翔宇,CHN,CHN,4,0,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,王艺迪,张翔宇
2025 National Games (Women's Singles),2025-11-09,杜凯琹,刘斐,CHN,CHN,0,4,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,杜凯琹,刘斐
2025 National Games (Women's Singles),2025-11-09,李雅可,石洵瑶,CHN,CHN,4,3,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,李雅可,石洵瑶
2025 National Games (Women's Singles),2025-11-10,孙颖莎,刘炜珊,CHN,CHN,4,0,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,孙颖莎,刘炜珊
2025 National Games (Women's Singles),2025-11-10,马小惠,陈幸同,CHN,CHN,1,4,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,马小惠,陈幸同
2025 National Games (Women's Singles),2025-11-10,杨诗璐,陈熠,CHN,CHN,0,4,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,杨诗璐,陈熠
2025 National Games (Women's Singles),2025-11-10,朱雨玲,孙艺祯,CHN,CHN,4,2,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,朱雨玲,孙艺祯
2025 National Games (Women's Singles),2025-11-10,齐菲,蒯曼,CHN,CHN,2,4,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,齐菲,蒯曼
2025 National Games (Women's Singles),2025-11-10,范姝涵,臧小桐,CHN,CHN,1,4,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,范姝涵,臧小桐
2025 National Games (Women's Singles),2025-11-10,朱思冰,王晓彤,CHN,CHN,0,4,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,朱思冰,王晓彤
2025 National Games (Women's Singles),2025-11-11,陈梦,孙铭阳,CHN,CHN,4,0,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,陈梦,孙铭阳
2025 National Games (Women's Singles),2025-11-11,范思琦,王曼昱,CHN,CHN,3,4,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,范思琦,王曼昱
2025 National Games (Women's Singles),2025-11-11,朱培育,何卓佳,CHN,CHN,0,4,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,朱培育,何卓佳
2025 National Games (Women's Singles),2025-11-11,钱天一,关卓琳,CHN,CHN,4,0,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,钱天一,关卓琳
2025 National Games (Women's Singles),2025-11-11,王添艺,杨屹韵,CHN,CHN,3,4,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,王添艺,杨屹韵
2025 National Games (Women's Singles),2025-11-11,纵歌曼,胡丽梅,CHN,CHN,3,4,,R32,CN_NATIONAL_GAMES,WS,,Main Draw,纵歌曼,胡丽梅
2025 National Games (Women's Singles),2025-11-12,孙颖莎,王晓彤,CHN,CHN,4,1,,R16,CN_NATIONAL_GAMES,WS,,Main Draw,孙颖莎,王晓彤
2025 National Games (Women's Singles),2025-11-12,臧小桐,陈幸同,CHN,CHN,1,4,,R16,CN_NATIONAL_GAMES,WS,,Main Draw,臧小桐,陈幸同
2025 National Games (Women's Singles),2025-11-12,朱雨玲,李雅可,CHN,CHN,4,2,,R16,CN_NATIONAL_GAMES,WS,,Main Draw,朱雨玲,李雅可
2025 National Games (Women's Singles),2025-11-12,陈梦,何卓佳,CHN,CHN,4,0,,R16,CN_NATIONAL_GAMES,WS,,Main Draw,陈梦,何卓佳
2025 National Games (Women's Singles),2025-11-12,胡丽梅,蒯曼,CHN,CHN,1,4,,R16,CN_NATIONAL_GAMES,WS,,Main Draw,胡丽梅,蒯曼
2025 National Games (Women's Singles),2025-11-12,钱天一,王曼昱,CHN,CHN,1,4,,R16,CN_NATIONAL_GAMES,WS,,Main Draw,钱天一,王曼昱
2025 National Games (Women's Singles),2025-11-12,王艺迪,杨屹韵,CHN,CHN,4,0,,R16,CN_NATIONAL_GAMES,WS,,Main Draw,王艺迪,杨屹韵
2025 National Games (Women's Singles),2025-11-12,刘斐,陈熠,CHN,CHN,4,2,,R16,CN_NATIONAL_GAMES,WS,,Main Draw,刘斐,陈熠
2025 National Games (Women's Singles),2025-11-13,朱雨玲,陈幸同,CHN,CHN,4,2,,QF,CN_NATIONAL_GAMES,WS,,Main Draw,朱雨玲,陈幸同
2025 National Games (Women's Singles),2025-11-13,陈梦,蒯曼,CHN,CHN,4,2,,QF,CN_NATIONAL_GAMES,WS,,Main Draw,陈梦,蒯曼
2025 National Games (Women's Singles),2025-11-13,孙颖莎,刘斐,CHN,CHN,4,0,,QF,CN_NATIONAL_GAMES,WS,,Main Draw,孙颖莎,刘斐
2025 National Games (Women's Singles),2025-11-13,王艺迪,王曼昱,CHN,CHN,1,4,,QF,CN_NATIONAL_GAMES,WS,,Main Draw,王艺迪,王曼昱
2025 National Games (Women's Singles),2025-11-15,孙颖莎,朱雨玲,CHN,CHN,4,1,,SF,CN_NATIONAL_GAMES,WS,,Main Draw,孙颖莎,朱雨玲
2025 National Games (Women's Singles),2025-11-15,陈梦,王曼昱,CHN,CHN,0,4,,SF,CN_NATIONAL_GAMES,WS,,Main Draw,陈梦,王曼昱
2025 National Games (Women's Singles),2025-11-16,陈梦,朱雨玲,CHN,CHN,4,1,,3RD,CN_NATIONAL_GAMES,WS,,Main Draw,陈梦,朱雨玲
2025 National Games (Women's Singles),2025-11-16,王曼昱,孙颖莎,CHN,CHN,4,2,,F,CN_NATIONAL_GAMES,WS,,Main Draw,王曼昱,孙颖莎
