tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,VARADY Barbora,WU Jiamuwa,3,1,"11,11,10,11|4,8,12,5",QR1,GRAND_SLAM,WS,3098,Qualification,VARADY Barbora (SVK),WU Jiamuwa (AUS)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,ALLEGRO Martin,MLADENOVIC Luka,3,2,"11,7,11,10,11|2,11,9,12,8",QR1,GRAND_SLAM,MS,3098,Qualification,ALLEGRO Martin (BEL),MLADENOVIC Luka (LUX)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,STOYANOV Niagol,GNANASEKARAN Sathiyan,3,2,"11,11,6,8,11|7,9,11,11,3",QR1,GRAND_SLAM,MS,3098,Qualification,STOYANOV Niagol (ITA),GNANASEKARAN Sathiyan (IND)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,KUO Guan-Hong,LIANG Jishan,3,1,"11,11,5,11|7,6,11,7",QR1,GRAND_SLAM,MS,3098,Qualification,KUO Guan-Hong (TPE),LIANG Jishan (USA)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,ZHU Sibing,RAKOVAC Lea,3,0,"11,11,11|7,6,5",QR1,GRAND_SLAM,WS,3098,Qualification,ZHU Sibing (CHN),RAKOVAC Lea (CRO)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,GHOSH Swastika,WEGRZYN Katarzyna,3,0,"13,11,11|11,8,6",QR1,GRAND_SLAM,WS,3098,Qualification,GHOSH Swastika (IND),WEGRZYN Katarzyna (POL)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,GERASSIMENKO Kirill,ABBASI Amirreza,3,2,"11,15,8,15,11|7,17,11,13,7",QR1,GRAND_SLAM,MS,3098,Qualification,GERASSIMENKO Kirill (KAZ),ABBASI Amirreza (MLT)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,MORET Rachel,VIVARELLI Debora,3,2,"12,11,7,8,11|10,7,11,11,7",QR1,GRAND_SLAM,WS,3098,Qualification,MORET Rachel (SUI),VIVARELLI Debora (ITA)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,APOLONIA Tiago,HAUG Borgar,3,0,"11,11,11|3,9,4",QR1,GRAND_SLAM,MS,3098,Qualification,APOLONIA Tiago (POR),HAUG Borgar (NOR)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,MALOBABIC Ivana,DIACONU Adina,3,1,"8,11,11,12|11,2,6,10",QR1,GRAND_SLAM,WS,3098,Qualification,MALOBABIC Ivana (CRO),DIACONU Adina (ROU)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,IIZUKA Leonardo,LI Hechen,3,1,"4,11,11,11|11,7,7,8",QR1,GRAND_SLAM,MS,3098,Qualification,IIZUKA Leonardo (BRA),LI Hechen (CHN)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,DE NUTTE Sarah,PICCOLIN Giorgia,3,1,"11,11,6,11|4,7,11,9",QR1,GRAND_SLAM,WS,3098,Qualification,DE NUTTE Sarah (LUX),PICCOLIN Giorgia (ITA)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,TAKAHASHI Giulia,SURJAN Sabina,3,1,"11,4,11,12|6,11,9,10",QR1,GRAND_SLAM,WS,3098,Qualification,TAKAHASHI Giulia (BRA),SURJAN Sabina (SRB)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,CHIRITA Iulian,SANCHI Francisco,3,0,"11,13,11|3,11,8",QR1,GRAND_SLAM,MS,3098,Qualification,CHIRITA Iulian (ROU),SANCHI Francisco (ARG)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,HABESOHN Daniel,JANCARIK Lubomir,3,2,"11,16,11,6,11|13,14,4,11,2",QR1,GRAND_SLAM,MS,3098,Qualification,HABESOHN Daniel (AUT),JANCARIK Lubomir (CZE)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,YANG Yiyun,DRAGOMAN Andreea,3,0,"11,11,11|9,8,8",QR1,GRAND_SLAM,WS,3098,Qualification,YANG Yiyun (CHN),DRAGOMAN Andreea (ROU)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,YUAN Licen,TEODORO Guilherme,3,0,"11,11,11|7,8,5",QR1,GRAND_SLAM,MS,3098,Qualification,YUAN Licen (CHN),TEODORO Guilherme (BRA)
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,2025-09-25,CHAN Baldwin,KOZUL Deni,3,2,"11,5,12,11,11|8,11,14,2,4",QR1,GRAND_SLAM,MS,3098,Qualification,CHAN Baldwin (HKG),KOZUL Deni (SLO)
