tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
FISU World University Games Rhine-Ruhr 2025,2025-07-17,KLEE Sophia,ILLASOVA Adriana,3,0,"11,11,11|5,5,8",GROUP,OTHER,WT,3226,Main Draw,KLEE Sophia (GER),ILLASOVA Adriana (SVK)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,LABOSOVA Ema,LACHENMAYER Lea,3,1,"11,13,7,11|8,11,11,5",GROUP,OTHER,WT,3226,Main Draw,LACHENMAYER Lea (GER),LABOSOVA Ema (SVK)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,SCHREINER Franziska,GRIGELOVA Natalia,3,0,"11,11,14|5,4,12",GROUP,OTHER,WT,3226,Main Draw,SCHREINER Franziska (GER),GRIGELOVA Natalia (SVK)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,KLEE Sophia,LABOSOVA Ema,3,1,"12,7,11,12|10,11,8,10",GROUP,OTHER,WT,3226,Main Draw,KLEE Sophia (GER),LABOSOVA Ema (SVK)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,IDESAWA Kyoka,YILMAZ Ozge,3,1,"11,9,11,12|4,11,7,10",GROUP,OTHER,WT,3226,Main Draw,IDESAWA Kyoka (JPN),YILMAZ Ozge (TUR)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,OMODA Kotomi,HARAC Ece,3,1,"11,11,4,11|2,7,11,9",GROUP,OTHER,WT,3226,Main Draw,OMODA Kotomi (JPN),HARAC Ece (TUR)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,AOI Sakura,ARSLAN Ezel,3,0,"13,11,11|11,4,6",GROUP,OTHER,WT,3226,Main Draw,AOI Sakura (JPN),ARSLAN Ezel (TUR)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,CHIEN Tung-Chuan,INFANTE Claudia,3,0,"11,11,11|7,9,5",GROUP,OTHER,WT,3226,Main Draw,INFANTE Claudia (CHI),CHIEN Tung-Chuan (TPE)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,CHENG Pusyuan,MUNOZ Catalina,3,0,"11,11,11|5,5,2",GROUP,OTHER,WT,3226,Main Draw,MUNOZ Catalina (CHI),CHENG Pusyuan (TPE)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,HUANG Yu-Jie,FUENTES Darling,3,0,"11,11,11|3,9,2",GROUP,OTHER,WT,3226,Main Draw,FUENTES Darling (CHI),HUANG Yu-Jie (TPE)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,LEE Eunju,MIKAYILOVA Zemfira,3,0,"11,11,11|4,3,8",GROUP,OTHER,WT,3226,Main Draw,MIKAYILOVA Zemfira (AZE),LEE Eunju (KOR)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,LEE Daeun,ABILZADE Khadija,3,0,"11,11,11|4,6,3",GROUP,OTHER,WT,3226,Main Draw,ABILZADE Khadija (AZE),LEE Daeun (KOR)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,GWON Yeonhui,MAMMADOVA Sabina,3,0,"11,11,11|8,4,5",GROUP,OTHER,WT,3226,Main Draw,MAMMADOVA Sabina (AZE),GWON Yeonhui (KOR)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,MEN Shuohan,SINGEORZAN Ioana,3,1,"11,11,3,11|7,8,11,8",GROUP,OTHER,WT,3226,Main Draw,SINGEORZAN Ioana (ROU),MEN Shuohan (NED)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,ZAHARIA Elena,ERNST Emine,3,0,"11,11,11|3,9,9",GROUP,OTHER,WT,3226,Main Draw,ZAHARIA Elena (ROU),ERNST Emine (NED)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,UNGVARI Evelyn,JORGUSESKA Dobrila,3,1,"11,11,7,11|3,4,11,4",GROUP,OTHER,WT,3226,Main Draw,UNGVARI Evelyn (ROU),JORGUSESKA Dobrila (NED)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,SINGEORZAN Ioana,ERNST Emine,3,2,"11,11,8,11,11|4,13,11,9,8",GROUP,OTHER,WT,3226,Main Draw,SINGEORZAN Ioana (ROU),ERNST Emine (NED)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,TAN Zhao Yun,LEE Hoi Man,3,0,"11,11,11|7,6,5",GROUP,OTHER,WT,3226,Main Draw,TAN Zhao Yun (SGP),LEE Hoi Man (HKG)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,NG Wing Lam,LAI Chloe,3,0,"11,14,11|9,12,8",GROUP,OTHER,WT,3226,Main Draw,LAI Chloe (SGP),NG Wing Lam (HKG)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,WONG Hoi Tung,CHAN Lu Wen,3,0,"15,11,11|13,7,1",GROUP,OTHER,WT,3226,Main Draw,CHAN Lu Wen (SGP),WONG Hoi Tung (HKG)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,NG Wing Lam,TAN Zhao Yun,3,0,"11,11,11|5,9,9",GROUP,OTHER,WT,3226,Main Draw,TAN Zhao Yun (SGP),NG Wing Lam (HKG)
FISU World University Games Rhine-Ruhr 2025,2025-07-17,WEGRZYN Katarzyna,FU Ching Nam,3,0,"11,11,11|6,4,5",GROUP,OTHER,WT,3226,Main Draw,WEGRZYN Katarzyna (POL),FU Ching Nam (CAN)
