tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Oceania Cup 2025,2025-02-15,LUU Finn,DEY Jeremy,4,0,"11,11,11,11|5,2,5,6",,OTHER,MS,3115,Qualification,LUU Finn (AUS),DEY Jeremy (NCL)
ITTF Oceania Cup 2025,2025-02-15,SHU Dean,CARNET Bydhir,4,0,"11,12,11,11|2,10,8,5",,OTHER,MS,3115,Qualification,SHU Dean (NZL),CARNET Bydhir (PYF)
ITTF Oceania Cup 2025,2025-02-15,LIU Yangzi,PSIHOGIOS Constantina,4,0,"11,11,11,12|9,4,6,10",,OTHER,WS,3115,Qualification,LIU Yangzi (AUS),PSIHOGIOS Constantina (AUS)
ITTF Oceania Cup 2025,2025-02-15,LI Chunli,LI Carolyn,4,0,"11,11,11,11|2,2,4,3",,OTHER,WS,3115,Qualification,LI Carolyn (FIJ),LI Chunli (NZL)
ITTF Oceania Cup 2025,2025-02-15,DELA PENA Alfred,BELROSE Ocean,4,2,"10,11,6,11,11,11|12,7,11,4,6,6",,OTHER,MS,3115,Qualification,DELA PENA Alfred (NZL),BELROSE Ocean (PYF)
ITTF Oceania Cup 2025,2025-02-15,LUM Nicholas,WU Vicky,4,0,"11,11,11,11|4,4,7,1",,OTHER,MS,3115,Qualification,LUM Nicholas (AUS),WU Vicky (FIJ)
ITTF Oceania Cup 2025,2025-02-15,LAM Jocelyn,LULU Anolyn,4,0,"19,11,11,11|17,5,9,9",,OTHER,WS,3115,Qualification,LAM Jocelyn (NZL),LULU Anolyn (VAN)
ITTF Oceania Cup 2025,2025-02-15,JEE Minhyung,GIRET Maylis,4,0,"11,11,11,11|2,2,3,3",,OTHER,WS,3115,Qualification,JEE Minhyung (AUS),GIRET Maylis (NCL)
ITTF Oceania Cup 2025,2025-02-15,LUU Finn,CARNET Bydhir,4,0,"11,11,11,11|2,4,4,7",,OTHER,MS,3115,Qualification,LUU Finn (AUS),CARNET Bydhir (PYF)
ITTF Oceania Cup 2025,2025-02-15,SHU Dean,DEY Jeremy,4,0,"11,11,11,11|2,5,3,9",,OTHER,MS,3115,Qualification,SHU Dean (NZL),DEY Jeremy (NCL)
ITTF Oceania Cup 2025,2025-02-15,LIU Yangzi,LI Chunli,4,0,"11,11,11,11|9,2,5,3",,OTHER,WS,3115,Qualification,LIU Yangzi (AUS),LI Chunli (NZL)
ITTF Oceania Cup 2025,2025-02-15,PSIHOGIOS Constantina,LI Carolyn,4,0,"11,11,11,11|3,1,2,3",,OTHER,WS,3115,Qualification,LI Carolyn (FIJ),PSIHOGIOS Constantina (AUS)
ITTF Oceania Cup 2025,2025-02-15,LUM Nicholas,BELROSE Ocean,4,1,"11,11,10,11,12|6,7,12,8,10",,OTHER,MS,3115,Qualification,LUM Nicholas (AUS),BELROSE Ocean (PYF)
ITTF Oceania Cup 2025,2025-02-15,DELA PENA Alfred,WU Vicky,4,0,"11,11,11,11|5,9,4,3",,OTHER,MS,3115,Qualification,DELA PENA Alfred (NZL),WU Vicky (FIJ)
ITTF Oceania Cup 2025,2025-02-15,JEE Minhyung,LULU Anolyn,4,0,"11,11,11,11|2,6,2,1",,OTHER,WS,3115,Qualification,JEE Minhyung (AUS),LULU Anolyn (VAN)
ITTF Oceania Cup 2025,2025-02-15,LAM Jocelyn,GIRET Maylis,4,0,"11,12,11,11|2,10,3,6",,OTHER,WS,3115,Qualification,LAM Jocelyn (NZL),GIRET Maylis (NCL)
ITTF Oceania Cup 2025,2025-02-15,LUU Finn,SHU Dean,4,1,"11,11,11,5,11|6,6,7,11,7",,OTHER,MS,3115,Qualification,LUU Finn (AUS),SHU Dean (NZL)
ITTF Oceania Cup 2025,2025-02-15,DEY Jeremy,CARNET Bydhir,4,1,"11,11,11,15,11|9,5,5,17,5",,OTHER,MS,3115,Qualification,DEY Jeremy (NCL),CARNET Bydhir (PYF)
ITTF Oceania Cup 2025,2025-02-15,LIU Yangzi,LI Carolyn,4,0,"11,11,11,11|2,3,3,4",,OTHER,WS,3115,Qualification,LIU Yangzi (AUS),LI Carolyn (FIJ)
ITTF Oceania Cup 2025,2025-02-15,PSIHOGIOS Constantina,LI Chunli,4,3,"11,4,5,12,12,9,11|7,11,11,10,10,11,9",,OTHER,WS,3115,Qualification,PSIHOGIOS Constantina (AUS),LI Chunli (NZL)
ITTF Oceania Cup 2025,2025-02-15,LUM Nicholas,DELA PENA Alfred,4,0,"11,11,12,11|8,8,10,5",,OTHER,MS,3115,Qualification,LUM Nicholas (AUS),DELA PENA Alfred (NZL)
ITTF Oceania Cup 2025,2025-02-15,BELROSE Ocean,WU Vicky,4,0,"11,11,11,11|9,6,9,3",,OTHER,MS,3115,Qualification,WU Vicky (FIJ),BELROSE Ocean (PYF)
ITTF Oceania Cup 2025,2025-02-15,GIRET Maylis,LULU Anolyn,4,0,"11,11,11,11|1,4,8,5",,OTHER,WS,3115,Qualification,GIRET Maylis (NCL),LULU Anolyn (VAN)
ITTF Oceania Cup 2025,2025-02-15,JEE Minhyung,LAM Jocelyn,4,0,"11,11,11,11|5,5,2,4",,OTHER,WS,3115,Qualification,JEE Minhyung (AUS),LAM Jocelyn (NZL)
ITTF Oceania Cup 2025,2025-02-15,LI Chunli,LAM Jocelyn,4,2,"11,11,7,9,11,11|9,8,11,11,6,4",QuarterFinal,OTHER,WS,3115,Main Draw,LI Chunli (NZL),LAM Jocelyn (NZL)
ITTF Oceania Cup 2025,2025-02-15,PSIHOGIOS Constantina,GIRET Maylis,4,0,"11,11,11,11|1,1,8,2",QuarterFinal,OTHER,WS,3115,Main Draw,PSIHOGIOS Constantina (AUS),GIRET Maylis (NCL)
ITTF Oceania Cup 2025,2025-02-15,DELA PENA Alfred,DEY Jeremy,4,0,"11,11,11,11|7,9,4,5",QuarterFinal,OTHER,MS,3115,Main Draw,DEY Jeremy (NCL),DELA PENA Alfred (NZL)
ITTF Oceania Cup 2025,2025-02-15,SHU Dean,BELROSE Ocean,4,1,"11,11,11,11,11|2,5,13,9,2",QuarterFinal,OTHER,MS,3115,Main Draw,SHU Dean (NZL),BELROSE Ocean (PYF)
ITTF Oceania Cup 2025,2025-02-15,LUU Finn,DELA PENA Alfred,4,1,"11,11,11,11,11|13,5,6,1,9",SemiFinal,OTHER,MS,3115,Main Draw,LUU Finn (AUS),DELA PENA Alfred (NZL)
ITTF Oceania Cup 2025,2025-02-15,PSIHOGIOS Constantina,JEE Minhyung,4,2,"11,4,11,11,6,11|8,11,7,8,11,8",SemiFinal,OTHER,WS,3115,Main Draw,PSIHOGIOS Constantina (AUS),JEE Minhyung (AUS)
ITTF Oceania Cup 2025,2025-02-15,LUM Nicholas,SHU Dean,4,1,"11,11,11,9,14|8,5,7,11,12",SemiFinal,OTHER,MS,3115,Main Draw,SHU Dean (NZL),LUM Nicholas (AUS)
ITTF Oceania Cup 2025,2025-02-15,JEE Minhyung,LI Chunli,4,1,"10,12,11,11,11|12,10,7,7,4",2,OTHER,WS,3115,Position Draw,LI Chunli (NZL),JEE Minhyung (AUS)
ITTF Oceania Cup 2025,2025-02-15,SHU Dean,DELA PENA Alfred,4,1,"11,8,11,11,11|4,11,5,3,9",2,OTHER,MS,3115,Position Draw,DELA PENA Alfred (NZL),SHU Dean (NZL)
ITTF Oceania Cup 2025,2025-02-15,LUM Nicholas,LUU Finn,4,0,"11,11,11,11|8,7,7,7",Final,OTHER,MS,3115,Main Draw,LUU Finn (AUS),LUM Nicholas (AUS)
